 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6247988999999947 0.08342649999998741 0.0 0.7082253999999821 0.7082253999999821 0.7082253999999821 0.7082253999999821 0.05447887692307555 0.0 0.0 240.71875 229.0703125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.2320198000000033 0.16265880000000266 0.0 1.394678600000006 0.8758545999999825 2.102903999999988 0.4441035199999959 0.14471945842856984 0.33616574999999926 0.10239250083333327 241.7890625 230.16015625 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 0.869718492622904 0.379777262656375 0.538397162099893 0.39496835316263 0.7560232996376179 0.8744918369115433 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.4390989949130546 0.23714132799700433 0.890870806374748 0.4102983067607336 1.2307692307692313 0.292067823691414 0.7619047619047622 0.46677648165168123 0.6582805886043835 0.5177407790074543 0.2531848417709167 0.7763243713891717 0.5000000000000002 0.6065306597126333 0.19230769230769237 0.825052966980536 2.2730302828309763 0.1029995888167378 0.5411976863883277 0.5820507205198845 1.833333333333334 0.15987974607969382 0.4365079365079366 0.6462893685851606 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 5 2.6 0.5477225575051661 0.21066252211737155 2.0 2.0 3.0 3.0 3.0 4.2 4.2 1.9235384061671346 1.9235384061671346 0.4579853348016987 0.4579853348016987 2.0 2.0 3.0 3.0 4.0 4.0 5.0 5.0 7.0 7.0 0.49441323247304425 0.49441323247304425 0.306065334388075 0.306065334388075 0.8433756042820706 0.8433756042820706 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 1.6666666666666667 1.6666666666666667 2.3333333333333335 2.3333333333333335
2 0 2 2.909262400000017 0.45747150000003245 0.0 3.3667339000000496 2.226553800000005 5.469637900000038 0.8249577714285772 0.12533889773809612 0.5913584333333392 0.10626878263889006 259.27734375 248.69921875 43 43 1.0 43 21 21 0.9767441860465116 1.0 0.9486339951401597 1.0 1.0 1.0 1.0 1.0 0.9767441860465116 0.9265727394392257 0.9767441860465116 0.9767441860465116 0.9767441860465116 0.9767441860465116 0.9767441860465116 False 0 0 False 2.0476190476190474 2.0476190476190474 2.0365704131257156 2.0365704131257156 0.9946041552474426 0.9946041552474426 0.6351714438907669 0.6351714438907669 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.215091476071249 0.0019990334783181935 3.035277232499913 0.04806133686391083 5.714285714285715 0.0032985057559390884 2.790697674418605 0.06137837685019168 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5.691472317674675 0.0033746207961221648 0.9265187493889006 0.39592964431279015 4.749999999999998 0.00865169520312065 0.7732558139534881 0.4615080352860213 1 14 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 43.0 0.0 0.0 43.0 43.0 43.0 43.0 43.0 7 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 6.142857142857143 6.142857142857143 4.259443290250164 4.259443290250164 0.6933977449244453 0.6933977449244453 3.0 3.0 3.5 3.5 5.0 5.0 6.5 6.5 15.0 15.0 1.419814430083388 1.419814430083388 0.6933977449244453 0.6933977449244453 0.709744016173038 0.709744016173038 1.0 1.0 1.1666666666666665 1.1666666666666665 1.6666666666666667 1.6666666666666667 2.1666666666666665 2.1666666666666665 5.0 5.0
3 0 1 7.579484300000004 1.0395394000000309 0.0 8.619023700000035 2.5882880999999998 14.088661600000073 0.9930011000000064 0.2015792265396834 0.8790520285714355 0.1753101051785729 260.453125 252.0859375 82 82 1.0 0 43 43 0.8170731707317073 1.0 0.6916284110358661 1.0 1.0 1.0 1.0 1.0 0.8170731707317073 0.5651110187732077 0.8170731707317073 0.8170731707317073 0.8170731707317073 0.8170731707317073 0.8170731707317073 False 0 0 False 1.9069767441860466 1.9069767441860466 1.4608209285058098 1.4608209285058098 0.7660402429969491 0.7660402429969491 0.7605830646200848 0.7605830646200848 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.8595196017203706 0.05729627868874776 1.4995041813899503 0.22324081966555176 2.526230394808002 0.07995987002847883 1.3247305728871228 0.2658745832611018 0.9782353727219459 0.3759739677404414 0.34124489746114395 0.7108847930061216 0.8125 0.44374731008107987 0.28343023255813954 0.7531956688420542 1.3929385405601278 0.24834446107909705 0.2548058305902673 0.7750669776488854 1.0208333333333344 0.36029456956140443 0.18673780487804897 0.8296612410000954 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15 2.8666666666666667 0.3518657752744984 0.12274387509575525 2.0 3.0 3.0 3.0 3.0 5.466666666666667 5.466666666666667 1.7265434778633235 1.7265434778633235 0.31583112399938845 0.31583112399938845 3.0 3.0 4.0 4.0 5.0 5.0 6.5 6.5 8.0 8.0 0.6135593096474263 0.6135593096474263 0.321744516034626 0.321744516034626 0.8727952580297935 0.8727952580297935 1.0 1.0 1.4166666666666665 1.4166666666666665 1.6666666666666667 1.6666666666666667 2.5 2.5 3.0 3.0
4 1 4 0.6261879000000334 0.08272709999999961 0.0 0.708915000000033 0.708915000000033 0.708915000000033 0.708915000000033 0.05453192307692562 0.0 0.0 248.03125 237.0 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.2967128999999886 0.22912619999999606 0.0 1.5258390999999847 0.9259985000000199 2.2347541000000177 0.4702632200000039 0.14996713700000183 0.3563293999999999 0.1074561291666674 247.53515625 237.421875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.9368735864637185 0.14415393079835526 1.1445162101831063 0.3183779085279099 1.692307692307692 0.18409420065330423 0.9999999999999999 0.3678794411714424 0.6582805886043835 0.5177407790074543 0.2531848417709167 0.7763243713891717 0.5000000000000002 0.6065306597126333 0.19230769230769237 0.825052966980536 2.6894857005259087 0.06791585948210864 0.6112467501195247 0.5426738684265501 2.1666666666666674 0.11455884399268763 0.49242424242424254 0.611143038023359 1 7 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 5 2.6 0.5477225575051661 0.21066252211737155 2.0 2.0 3.0 3.0 3.0 4.4 4.4 2.3021728866442674 2.3021728866442674 0.5232211106009699 0.5232211106009699 2.0 2.0 3.0 3.0 4.0 4.0 5.0 5.0 8.0 8.0 0.6280481227138923 0.6280481227138923 0.37111934524002727 0.37111934524002727 0.8099838403700903 0.8099838403700903 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 1.6666666666666667 1.6666666666666667 2.6666666666666665 2.6666666666666665
6 1 2 3.233703999999932 0.4538431999999659 0.0 3.687547199999898 1.683218100000019 5.922301299999916 0.7820236999999928 0.12040097174107005 0.6532816428571319 0.10690409717120027 249.71875 238.22265625 48 48 1.0 48 22 22 0.875 1.0 0.9128117663883076 1.0 1.0 1.0 1.0 1.0 0.875 0.7987102955897691 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.867934016280417 1.867934016280417 0.8561364241285245 0.8561364241285245 0.6591467339918633 0.6591467339918633 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 7.481934164571032 0.0005631671036317989 3.42921982542839 0.03241221809963195 6.863636363636366 0.0010451066267152672 3.145833333333335 0.043031049893098604 0.8333333333333334 0.4345982085070782 0.30303030303030304 0.7385767149187981 0.6666666666666666 0.513417119032592 0.2424242424242424 0.7847231940537559 5.033222956847166 0.006517770190579726 0.8388704928078611 0.4321984190591556 4.222222222222222 0.014666017116527099 0.7037037037037037 0.49474950069645335 1 15 15.0 0.0 0.0 15.0 15.0 15.0 15.0 15.0 48.0 0.0 0.0 48.0 48.0 48.0 48.0 48.0 8 2.75 0.4629100498862757 0.168330927231373 2.0 2.75 3.0 3.0 3.0 6.0 6.0 2.8284271247461903 2.8284271247461903 0.47140452079103173 0.47140452079103173 3.0 3.0 3.75 3.75 5.5 5.5 8.25 8.25 10.0 10.0 1.5784699744744783 1.5784699744744783 0.7234654049674692 0.7234654049674692 0.6935673954133851 0.6935673954133851 1.0 1.0 1.25 1.25 1.8333333333333335 1.8333333333333335 3.125 3.125 5.0 5.0
7 1 1 6.816818699999928 1.0381141999999954 0.0 7.854932899999923 2.3550897000000077 13.777234199999839 0.9154852874999921 0.19360042534226032 0.8195116599999911 0.1921715902539662 256.15625 245.58203125 76 76 1.0 0 48 48 0.881578947368421 1.0 0.6958116358384023 1.0 1.0 1.0 1.0 1.0 0.881578947368421 0.6134128894891179 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 False 0 0 False 1.5833333333333333 1.5833333333333333 0.9415544714433868 0.9415544714433868 0.5946659819642444 0.5946659819642444 0.8286090222912658 0.8286090222912658 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 1.6753247335853934 0.18724736410019324 1.0580998317381431 0.34711476052483636 1.3611111111111127 0.2563757566864119 0.8596491228070186 0.4233105862931741 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.4552137502179978 0.2333504798540396 0.3063607895195785 0.7361209868030626 1.1176470588235294 0.3270484156923281 0.23529411764705882 0.7903383629814982 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 4.75 4.75 1.4832396974191326 1.4832396974191326 0.3122609889303437 0.3122609889303437 3.0 3.0 4.0 4.0 4.0 4.0 6.0 6.0 8.0 8.0 0.4944132324730442 0.4944132324730442 0.3122609889303437 0.3122609889303437 0.8962250624476644 0.8962250624476644 1.0 1.0 1.3333333333333333 1.3333333333333333 1.3333333333333333 1.3333333333333333 2.0 2.0 2.6666666666666665 2.6666666666666665
8 2 4 0.6184211000000062 0.08307450000000927 0.0 0.7014956000000154 0.7014956000000154 0.7014956000000154 0.7014956000000154 0.05396120000000119 0.0 0.0 257.8046875 246.734375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.2930513999999818 0.16799260000003358 0.0 1.4610440000000153 0.86780320000004 2.1625396000000308 0.46982836000000533 0.14822063911111466 0.37033464999999666 0.11491221666666598 261.69921875 250.4453125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 2.8158469565727886 0.059854003524658375 1.6639095652475568 0.1893970705695597 2.4615384615384612 0.085303613635839 1.4545454545454544 0.23350647909091343 0.6582805886043835 0.5177407790074543 0.2531848417709167 0.7763243713891717 0.5000000000000002 0.6065306597126333 0.19230769230769237 0.825052966980536 3.376388603226827 0.034170635896909385 0.7673610461879152 0.4642365520614101 2.6666666666666674 0.06948345122280149 0.6060606060606062 0.5454955638202434 1 7 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 5 2.6 0.5477225575051661 0.21066252211737155 2.0 2.0 3.0 3.0 3.0 4.4 4.4 2.792848008753788 2.792848008753788 0.6347381838076791 0.6347381838076791 2.0 2.0 3.0 3.0 3.0 3.0 5.0 5.0 9.0 9.0 0.8198915917499229 0.8198915917499229 0.4844813951249544 0.4844813951249544 0.7665540909803129 0.7665540909803129 1.0 1.0 1.0 1.0 1.5 1.5 1.6666666666666667 1.6666666666666667 3.0 3.0
