 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6231891000000118 0.08203359999998838 0.0 0.7052227000000002 0.7052227000000002 0.7052227000000002 0.7052227000000002 0.054247900000000016 0.0 0.0 230.4375 220.09765625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.133121999999986 0.2772525999999971 0.0 1.410374599999983 1.4765306999999908 2.1155972999999832 1.0721626499999921 0.0974693318181811 0.6677945999999935 0.060708599999999405 236.5078125 229.6328125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.1966422450849266 0.30220724806941895 0.7071067811865476 0.4930686913952398 0.9704142011834319 0.37892605397414786 0.5734265734265734 0.5635909405021068 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 11.0 11.0 0.0 0.0 0.0 0.0 11.0 11.0 11.0 11.0 11.0 11.0 11.0 11.0 11.0 11.0 0.18519463316790527 0.18519463316790527 0.10943319232648947 0.10943319232648947 0.9337581430195581 0.9337581430195581 1.5714285714285714 1.5714285714285714 1.6369047619047619 1.6369047619047619 1.7023809523809523 1.7023809523809523 1.7678571428571428 1.7678571428571428 1.8333333333333333 1.8333333333333333
2 0 2 3.06412719999998 0.7377995000000013 0.0 3.8019266999999815 3.306890199999998 5.917523999999965 2.0203560999999866 0.1329780908333323 1.3770890499999808 0.12862300249999806 260.42578125 256.2890625 46 46 1.0 46 22 22 0.9130434782608695 1.0 0.9131437359230068 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8337399327992671 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.090909090909091 2.090909090909091 1.973855084879307 1.973855084879307 0.9440176492901035 0.9440176492901035 0.6474137330845218 0.6474137330845218 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 10.0 10.0 0 0.0 0 0.0 4.667453691997613 0.009396164621127202 2.2322604613901627 0.10728564078248916 3.5867768595041336 0.027687427228282106 1.7154150197628466 0.1798890477088789 0.3726779962499646 0.6888870213378976 0.05081972676135881 0.9504499957881908 0.24999999999999978 0.778800783071405 0.03409090909090906 0.9664836384946975 2.6874192494328497 0.06805634939194179 0.17526647278909888 0.8392333581168833 1.8333333333333335 0.15987974607969388 0.11956521739130435 0.8873061381403984 1 14 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 46.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 3 7.333333333333333 0.5773502691896257 0.0787295821622217 7.0 7.0 7.0 7.5 8.0 15.333333333333334 15.333333333333334 6.429100507328637 6.429100507328637 0.4192891635214328 0.4192891635214328 8.0 8.0 13.0 13.0 18.0 18.0 19.0 19.0 20.0 20.0 0.8692106826796101 0.8692106826796101 0.4157094569337266 0.4157094569337266 0.7976358279207524 0.7976358279207524 1.1428571428571428 1.1428571428571428 1.6964285714285714 1.6964285714285714 2.25 2.25 2.553571428571429 2.553571428571429 2.857142857142857 2.857142857142857
3 0 1 6.784098799999988 1.0668719999999752 0.0 7.850970799999963 3.9808080000000032 13.768494799999928 0.9608434066666618 0.19302037297618935 0.7451316499999946 0.1456905058758491 247.96875 236.91015625 75 75 1.0 0 46 46 0.8933333333333333 1.0 0.6959309403123641 1.0 1.0 1.0 1.0 1.0 0.8933333333333333 0.6216983066790452 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 False 0 0 False 1.6304347826086956 1.6304347826086956 1.040484836819919 1.040484836819919 0.6381640332495504 0.6381640332495504 0.813723101521064 0.813723101521064 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.106621570748778 0.12164825299735997 1.2920612300592507 0.2747039710429118 1.817107750472591 0.16249504817065957 1.1144927536231892 0.3280816549299632 0.5309844107358013 0.5880258257315862 0.17314709045732649 0.8410139006269947 0.43750000000000133 0.6456485264278912 0.14266304347826128 0.8670461765427715 1.8540496217739157 0.15660170282308575 0.37080992435478316 0.6901751145722114 1.4375 0.23752081909545814 0.2875 0.7501365667709818 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15 3.066666666666667 0.2581988897471611 0.08419529013494383 3.0 3.0 3.0 3.0 4.0 5.0 5.0 1.5118578920369088 1.5118578920369088 0.30237157840738177 0.30237157840738177 3.0 3.0 4.0 4.0 5.0 5.0 6.0 6.0 8.0 8.0 0.5265440886086152 0.5265440886086152 0.32294704101328403 0.32294704101328403 0.8895152689625188 0.8895152689625188 1.0 1.0 1.1666666666666665 1.1666666666666665 1.6666666666666667 1.6666666666666667 2.0 2.0 2.6666666666666665 2.6666666666666665
4 1 4 0.6250578000000004 0.08134429999999782 0.0 0.7064020999999983 0.7064020999999983 0.7064020999999983 0.7064020999999983 0.05433862307692294 0.0 0.0 240.87109375 229.7890625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.2144329999999997 0.2657741000000442 0.0 1.4802071000000439 1.2607767000000152 2.186609200000042 1.1079443000000104 0.10415428928571532 0.9551119000000057 0.10612354444444508 249.62109375 240.6171875 23 23 1.0 23 13 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7692307692307692 1.7692307692307692 1.0127393670836666 0.5340940088190563 0.5724179031342463 0.49594443676055233 0.7272863647897394 0.8331585053417057 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.5 4.0 2.0 0 0.0 0 0.0 1.3434037843517677 0.2609559175104542 0.7593151824596948 0.46798680286912075 1.0355029585798812 0.3550477616916685 0.5852842809364546 0.556947509745377 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.4433756729740645 0.23612931644846605 0.12551092808470127 0.8820461252995967 0.8333333333333334 0.4345982085070782 0.07246376811594203 0.9300994453050567 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 11.5 11.5 3.5355339059327378 3.5355339059327378 0.30743773095067284 0.30743773095067284 9.0 9.0 10.25 10.25 11.5 11.5 12.75 12.75 14.0 14.0 0.3535533905932738 0.3535533905932738 0.19983452511793737 0.19983452511793737 0.8819730008575237 0.8819730008575237 1.5 1.5 1.625 1.625 1.75 1.75 1.875 1.875 2.0 2.0
6 1 2 2.9658920999999623 0.9032801000000319 0.0 3.869172199999994 3.575950600000006 6.055781400000036 2.048755600000009 0.13899572636363727 1.285158100000011 0.10399279204545527 269.27734375 263.8515625 45 45 1.0 45 23 23 0.9333333333333333 1.0 0.9038553817217917 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.8435983562736723 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 1.9565217391304348 1.9565217391304348 1.9881069312188604 1.9881069312188604 1.016143542622973 1.016143542622973 0.6508875545180917 0.6508875545180917 1.0 1.0 1.0 1.0 1.0 1.0 2.5 2.5 10.0 10.0 0 0.0 0 0.0 5.883879486119968 0.002783963948519176 3.0073161817946503 0.04942414634523722 4.6351606805293 0.00970454758122378 2.3690821256038648 0.09356656923373993 0.3726779962499652 0.6888870213378971 0.048610173423908505 0.9525523875665044 0.2500000000000002 0.7788007830714047 0.03260869565217394 0.9679172357180645 3.5 0.0301973834223185 0.23333333333333334 0.7918895663367816 1.75 0.17377394345044514 0.11666666666666667 0.8898817709880238 1 14 14.0 0.0 0.0 14.0 14.0 14.0 14.0 14.0 45.0 0.0 0.0 45.0 45.0 45.0 45.0 45.0 3 7.666666666666667 0.5773502691896257 0.07530655685082074 7.0 7.5 8.0 8.0 8.0 15.0 15.0 7.0 7.0 0.4666666666666667 0.4666666666666667 8.0 8.0 11.5 11.5 15.0 15.0 18.5 18.5 22.0 22.0 1.0774138379616685 1.0774138379616685 0.550678183847075 0.550678183847075 0.7668234343192976 0.7668234343192976 1.0 1.0 1.4375 1.4375 1.875 1.875 2.508928571428571 2.508928571428571 3.142857142857143 3.142857142857143
7 1 1 6.518333499999997 0.9550888999999216 0.0 7.473422399999919 4.249669100000013 13.529203799999955 0.9451533199999957 0.18889863492063375 0.7091164785714231 0.1414630038860527 255.3203125 244.65234375 72 72 1.0 0 45 45 0.9305555555555556 1.0 0.6992397368517682 1.0 1.0 1.0 1.0 1.0 0.9305555555555556 0.6506814217926177 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 False 0 0 False 1.6 1.6 0.9145291883606758 0.9145291883606758 0.5715807427254224 0.5715807427254224 0.8293855209100388 0.8293855209100388 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.018800523963561 0.1328146775982993 1.2617503274772257 0.28315797331756387 1.6933333333333316 0.1839054828834187 1.0583333333333322 0.34703371813667183 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.1095023109728994 0.1212983202564155 0.4394796481193541 0.6443716338527903 1.7250000000000008 0.1781730517728983 0.35937500000000017 0.6981125100681257 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 4.8 4.8 1.4735767952260144 1.4735767952260144 0.30699516567208635 0.30699516567208635 3.0 3.0 4.0 4.0 4.0 4.0 6.0 6.0 8.0 8.0 0.4911922650753382 0.4911922650753382 0.30699516567208635 0.30699516567208635 0.8950324650629249 0.8950324650629249 1.0 1.0 1.3333333333333333 1.3333333333333333 1.3333333333333333 1.3333333333333333 2.0 2.0 2.6666666666666665 2.6666666666666665
8 2 4 0.6246679999999856 0.07943109999997944 0.0 0.704099099999965 0.704099099999965 0.704099099999965 0.704099099999965 0.05416146923076654 0.0 0.0 254.671875 243.71875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1433119999999946 0.3328415000000007 0.0 1.4761534999999952 1.1646258999999475 2.1802525999999602 1.105051899999978 0.11012761517856845 1.0454779000000087 0.1306847375000011 266.89453125 257.9765625 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.9315199276138029 0.9354143466934853 1.1413526844990654 0.9354143466934853 0.5806852747312156 0.7425596593960613 1.0 0.5 1.0 0.5 1.0 1.0 1.0 1.0 8.0 4.0 0 0.0 0 0.0 2.325571762743227 0.09772755110141296 1.3742014961664522 0.2530415698190499 2.023668639053254 0.13216969166878684 1.1958041958041956 0.3024606187900412 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.7320508075688772 0.17692120631776423 0.15745916432444337 0.8543116992915609 1.0 0.36787944117144233 0.09090909090909091 0.9131007162822623 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 11.0 11.0 4.242640687119285 4.242640687119285 0.385694607919935 0.385694607919935 8.0 8.0 9.5 9.5 11.0 11.0 12.5 12.5 14.0 14.0 0.47140452079103173 0.47140452079103173 0.2785572168310642 0.2785572168310642 0.8494249409526549 0.8494249409526549 1.3333333333333333 1.3333333333333333 1.5 1.5 1.6666666666666665 1.6666666666666665 1.8333333333333333 1.8333333333333333 2.0 2.0
