 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.185936799999972 1.1397354000000064 0.0 2.3256721999999783 2.3256721999999783 2.3256721999999783 2.3256721999999783 0.11628360999999891 0.0 0.0 246.47265625 236.51953125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.130455999999967 0.343885100000044 0.0 3.474341100000011 3.0859773999999973 5.800013299999989 0.6069058199999994 0.11307151494444422 0.3314534222222218 0.08170316327160439 237.8125 226.94921875 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9215808465666321 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8796908080863307 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 1.9894458366193601 1.9894458366193601 0.9042935620997091 0.9042935620997091 0.6344506346681092 0.6344506346681092 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 8.0 8.0 0 0.0 0 0.0 7.848566748139433 0.00039031098149410246 3.5675303400633784 0.028225474999220446 7.099999999999997 0.0008251049232659068 3.2272727272727257 0.03966553012450027 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 7.293833011524186 0.0006797176874430017 1.6576893208009513 0.19057883827762953 6.181818181818182 0.002066666860480782 1.4049586776859502 0.24537719579697972 10 13 1.3 1.5670212364724212 1.2054009511326316 0.0 0.0 1.0 1.75 4.0 4.4 2.988868236194653 0.6792882354987847 2.0 2.0 3.5 5.5 10.0 10 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 4.4 4.4 2.988868236194653 2.988868236194653 0.6792882354987847 0.6792882354987847 2.0 2.0 2.0 2.0 3.5 3.5 5.5 5.5 10.0 10.0 1.4944341180973264 1.4944341180973264 0.6792882354987847 0.6792882354987847 0.6948786428031464 0.6948786428031464 1.0 1.0 1.0 1.0 1.75 1.75 2.75 2.75 5.0 5.0
2 0 1 6.847567500000018 0.6580990999999514 0.0 7.505666599999969 3.3598302999999916 13.305679899999959 0.6288225304347803 0.23984396753623102 0.5046858136363617 0.20602769840909038 237.13671875 227.44921875 67 67 1.0 0 44 44 1.0 1.0 0.702406447410018 1.0 1.0 1.0 1.0 1.0 1.0 0.702406447410018 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.5227272727272727 1.5227272727272727 0.628347273395124 0.628347273395124 0.41264597058784264 0.41264597058784264 0.8711572080430293 0.8711572080430293 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.39017731790107 0.2490311430368789 0.9129522684723445 0.4013376169109265 1.1084710743801658 0.33006321760115387 0.727951153324288 0.48289735988588367 0.42986347681054765 0.6505979103622551 0.2247013628782408 0.7987547209556576 0.3442028985507249 0.7087851019889856 0.17992424242424254 0.8353334918545472 1.5999320637750998 0.2019102345478286 0.5492304099526462 0.5773939961109138 1.1938405797101443 0.303055118822808 0.40982587064676596 0.6637658211870133 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 1.9130434782608696 0.2881040655200304 0.15059985243092497 1.0 2.0 2.0 2.0 2.0 2.9130434782608696 2.9130434782608696 1.1246431142310664 1.1246431142310664 0.38607151682559 0.38607151682559 1.0 1.0 2.0 2.0 3.0 3.0 3.5 3.5 5.0 5.0 0.5325381093824779 0.5325381093824779 0.3497265195944631 0.3497265195944631 0.8871818546955306 0.8871818546955306 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 2.5 2.5
3 1 3 1.208434899999986 0.8365481000000017 0.0 2.044982999999988 2.044982999999988 2.044982999999988 2.044982999999988 0.10224914999999939 0.0 0.0 244.37109375 233.9453125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.2388715000000303 0.3497931999999935 0.0 3.588664700000024 2.8290073999999947 5.633647700000012 0.5904484199999956 0.10856716622222079 0.34171964444444014 0.08458884216049219 245.19921875 233.66015625 46 46 1.0 46 20 20 0.9130434782608695 1.0 0.9345190286451747 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8532565044151594 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.3 2.3 1.9761738683361687 1.9761738683361687 0.8592060297113777 0.8592060297113777 0.6359359117660954 0.6359359117660954 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 8.0 8.0 0 0.0 0 0.0 5.515886148208646 0.0040223613503909406 2.398211368786368 0.09088035945137053 4.8000000000000025 0.008229747049020008 2.0869565217391317 0.12406414835017333 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.924890400257194 0.007263522316369132 1.070628347881999 0.34279305644259206 4.000000000000001 0.018315638888734165 0.8695652173913047 0.41913374169932244 10 15 1.5 1.509230856356236 1.0061539042374907 0.0 0.25 1.0 2.0 4.0 4.6 2.913569784454954 0.633384735751077 2.0 2.25 3.5 5.75 10.0 10 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 4.6 4.6 2.913569784454954 2.913569784454954 0.633384735751077 0.633384735751077 2.0 2.0 2.25 2.25 3.5 3.5 5.75 5.75 10.0 10.0 1.456784892227477 1.456784892227477 0.633384735751077 0.633384735751077 0.6999553168717954 0.6999553168717954 1.0 1.0 1.125 1.125 1.75 1.75 2.875 2.875 5.0 5.0
5 1 1 7.621996699999983 0.9260574999999847 0.0 8.548054199999967 3.118407199999993 14.181701899999979 0.6124434639999987 0.23379894911111077 0.5080283083333322 0.2249526296759258 245.35546875 234.02734375 73 73 1.0 0 46 46 0.9178082191780822 1.0 0.6904036832467859 1.0 1.0 1.0 1.0 1.0 0.9178082191780822 0.6336581750347213 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 False 0 0 False 1.5869565217391304 1.5869565217391304 1.1465133028548724 1.1465133028548724 0.7224604374153991 0.7224604374153991 0.8004919429573685 0.8004919429573685 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 2.0566756997245403 0.1278783701882204 1.295987427223683 0.27362754360668123 1.5448960302457468 0.2133340503587052 0.9734961286480049 0.37776002908636114 0.37210420376762515 0.6892824129574437 0.20223054552588324 0.8169065720755131 0.2984615384615385 0.7419588181789485 0.16220735785953178 0.8502648771544684 2.2702083943651856 0.10329065265009162 0.7774686282072554 0.4595678772888339 1.6584615384615387 0.19043172674135098 0.5679662802950475 0.5666767292321805 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25 1.84 0.3741657386773941 0.20335094493336636 1.0 2.0 2.0 2.0 2.0 2.92 2.92 1.7540429489230491 1.7540429489230491 0.6006996400421402 0.6006996400421402 1.0 1.0 2.0 2.0 2.0 2.0 4.0 4.0 9.0 9.0 0.8205689083394114 0.8205689083394114 0.5170708189536017 0.5170708189536017 0.8435087078688881 0.8435087078688881 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 4.5 4.5
6 2 3 1.2244950000000188 0.7978441000000487 0.0 2.0223391000000674 2.0223391000000674 2.0223391000000674 2.0223391000000674 0.10111695500000337 0.0 0.0 254.6484375 244.19921875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 4.059876100000011 0.5936424000001068 0.0 4.653518500000118 2.8039417000001094 6.675857600000185 0.6937637400000213 0.1102579082777818 0.45929952222223375 0.11891623296296719 268.80078125 257.02734375 56 56 1.0 56 20 20 0.75 1.0 0.8686859556697746 1.0 1.0 1.0 1.0 1.0 0.75 0.6515144667523309 0.75 0.75 0.75 0.75 0.75 False 0 0 False 2.8 2.8 2.876401260347088 2.876401260347088 1.0272861644096742 1.0272861644096742 0.5477208611154685 0.5477208611154685 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 11.0 11.0 0 0.0 0 0.0 7.465922581972038 0.0005722568768608785 2.666400922132871 0.06950191852383673 6.200000000000003 0.0020294306362957284 2.2142857142857153 0.10923150889627095 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.810419824197199 0.0011022300599587342 1.2161463971780713 0.2963700616685496 5.363636363636366 0.004683842946287697 0.9577922077922083 0.3837391677686055 10 20 2.0 2.0 1.0 0.0 0.25 1.5 3.5 5.0 5.6 4.033195589934446 0.7202134982025797 2.0 2.25 4.0 8.25 12.0 10 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 5.6 5.6 4.033195589934446 4.033195589934446 0.7202134982025797 0.7202134982025797 2.0 2.0 2.25 2.25 4.0 4.0 8.25 8.25 12.0 12.0 2.016597794967223 2.016597794967223 0.7202134982025797 0.7202134982025797 0.6314324720761457 0.6314324720761457 1.0 1.0 1.125 1.125 2.0 2.0 4.125 4.125 6.0 6.0
8 2 1 9.730564200000032 1.1443611000000544 0.0 10.874925300000086 3.0833964000000975 17.55078290000027 0.6282362633333435 0.22667810477778116 0.5435755689655244 0.23165809405172705 269.34375 257.78125 96 96 1.0 0 56 56 0.6979166666666666 1.0 0.652267395237373 1.0 1.0 1.0 1.0 1.0 0.6979166666666666 0.4552282862594165 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.6979166666666666 False 0 0 False 1.7142857142857142 1.7142857142857142 1.1235380110782467 1.1235380110782467 0.6553971731289773 0.6553971731289773 0.812914838585168 0.812914838585168 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 7.0 0 0.0 0 0.0 2.5071326821120343 0.08150159551041508 1.4624940645653535 0.23165778416244648 2.010204081632654 0.13396133283139974 1.1726190476190481 0.309555139005361 0.5853651251561742 0.5569024855785232 0.3135884599050933 0.7308197279003606 0.4645161290322576 0.6284391150757093 0.24884792626728083 0.7796985360361101 2.9093841494433588 0.05450928911043127 0.9091825467010496 0.40285340331449365 2.4387096774193537 0.08727338966645021 0.762096774193548 0.46668686343526267 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30 1.8666666666666667 0.3457459036417604 0.18522101980808592 1.0 2.0 2.0 2.0 2.0 3.2 3.2 1.6691934868527747 1.6691934868527747 0.521622964641492 0.521622964641492 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.0 8.0 8.0 0.7710643487317108 0.7710643487317108 0.44978753676016464 0.44978753676016464 0.8580047815092142 0.8580047815092142 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 4.0 4.0
9 3 3 1.1503085999999882 0.9065579999999756 0.0 2.056866599999964 2.056866599999964 2.056866599999964 2.056866599999964 0.10284332999999819 0.0 0.0 280.8671875 270.3515625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
