 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6248845000000074 0.08275420000000366 0.0 0.7076387000000111 0.7076387000000111 0.7076387000000111 0.7076387000000111 0.054433746153847 0.0 0.0 259.62109375 255.86328125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.160267399999995 0.7061340999999928 0.0 1.8664014999999878 0.9433296000000269 2.574040199999999 1.301817849999999 0.16403581388889144 1.6603060999999713 0.4150765249999928 305.09375 296.48046875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.3155870289605438 1.0237562810927818 0.7773923352948668 0.9178504589107699 0.6726394502973617 0.7251581877652983 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 4.0 0 0.0 0 0.0 1.6080419200282206 0.20027939345137077 0.9502065891075849 0.3866611352239025 1.3550295857988164 0.25793966298795884 0.8006993006993006 0.44901485789854795 1.4433756729740645 0.23612931644846605 0.22205779584216379 0.8008690760943223 0.8333333333333334 0.4345982085070782 0.12820512820512822 0.879672914909989 4.041451884327381 0.01757194145970389 0.3674047167570346 0.6925293101035576 2.3333333333333335 0.09697196786440505 0.21212121212121213 0.8088666471820897 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 9.899494936611665 0.899954085146515 4.0 7.5 11.0 14.5 18.0 2 6.5 3.5355339059327378 0.5439282932204212 4.0 5.25 6.5 7.75 9.0 11.0 11.0 9.899494936611665 9.899494936611665 0.899954085146515 0.899954085146515 4.0 4.0 7.5 7.5 11.0 11.0 14.5 14.5 18.0 18.0 0.7071067811865476 0.7071067811865476 0.4178358252465963 0.4178358252465963 0.7914968593107632 0.7914968593107632 1.0 1.0 1.25 1.25 1.5 1.5 1.75 1.75 2.0 2.0
2 0 2 3.8580222000000006 0.8044237000000223 0.0 4.662445900000023 1.5110951000000483 7.236486100000022 1.8393321250000003 0.14845066136363724 1.948744466666651 0.21309390366300174 318.109375 311.6953125 56 56 1.0 56 22 22 0.75 1.0 0.8433084341300183 1.0 1.0 1.0 1.0 1.0 0.75 0.6324813255975137 0.75 0.75 0.75 0.75 0.75 False 0 0 False 2.5454545454545454 2.5454545454545454 2.5584085962673253 2.5584085962673253 1.0050890913907349 1.0050890913907349 0.5893574932884997 0.5893574932884997 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 9.970203542440142 4.677304219682391e-05 3.916865677387199 0.01990338069743456 8.818181818181818 0.00014801723797451405 3.4642857142857144 0.03129535126705819 5.319774431308154 0.004893857501780838 0.9672317147833008 0.3801339019480054 4.0 0.01831563888873418 0.7272727272727273 0.48322508118982543 5.692099788303083 0.0033725039848784763 0.40657855630736306 0.6659247809694947 4.4 0.012277339903068436 0.31428571428571433 0.7303103382513573 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 14.0 6.164414002968976 0.44031528592635544 7.0 11.5 13.5 16.0 22.0 4 5.5 5.802298395176403 1.054963344577528 1.0 2.5 3.5 6.5 14.0 14.0 14.0 6.164414002968976 6.164414002968976 0.44031528592635544 0.44031528592635544 7.0 7.0 11.5 11.5 13.5 13.5 16.0 16.0 22.0 22.0 2.298212666962097 2.298212666962097 0.9028692620208238 0.9028692620208238 0.6139229002251952 0.6139229002251952 1.5714285714285714 1.5714285714285714 2.830357142857143 2.830357142857143 3.9583333333333335 3.9583333333333335 5.25 5.25 7.0 7.0
3 0 1 8.320759299999956 2.7608563999999944 0.0 11.08161569999995 1.7764537000000544 18.318101799999972 2.3420411374999937 0.427788414431207 2.4228393428571278 1.5206033095021598 379.98046875 382.72265625 88 88 1.0 0 56 56 0.7613636363636364 1.0 0.6449189909407611 1.0 1.0 1.0 0.944085808152042 0.9813619360506807 0.7613636363636364 0.49101786810262493 0.7613636363636364 0.7613636363636364 0.7613636363636364 0.7187926039339411 0.7471732922204046 False 0 0 False 1.5714285714285714 1.5714285714285714 0.7350236324498283 0.7350236324498283 0.46774231155898166 0.46774231155898166 0.8631123249223546 0.8631123249223546 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 0 0.0 0 0.0 1.751821209775818 0.17345775265812702 1.1147953153118841 0.32798240500578724 1.3647959183673475 0.2554327998119579 0.8685064935064939 0.41957772358823325 8.850612031567836 0.0001432940089761178 1.2643731473668338 0.2824162740502311 7.444444444444445 0.000584680832876515 1.0634920634920635 0.3452480746154008 14.200938936093861 6.801592084588671e-07 1.2909944487358056 0.27499717647392924 11.88888888888889 6.866274467243593e-06 1.0808080808080809 0.33932121586531644 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 7.0 7.211102550927978 1.0301575072754254 1.0 1.0 4.0 12.25 20.0 11.0 11.0 11.686377906410035 11.686377906410035 1.0623979914918213 1.0623979914918213 1.0 1.0 1.75 1.75 5.5 5.5 20.5 20.5 31.0 31.0 0.3457367161781991 0.3457367161781991 0.22001427393158127 0.22001427393158127 0.9262321331697632 0.9262321331697632 1.0 1.0 1.25 1.25 1.525 1.525 1.6730769230769231 1.6730769230769231 2.0 2.0
4 1 4 0.6252449999999641 0.08292000000002986 0.0 0.7081649999999939 0.7081649999999939 0.7081649999999939 0.7081649999999939 0.0544742307692303 0.0 0.0 292.65234375 285.44921875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.1596641000000147 0.3275939999999906 0.0 1.4872581000000054 0.9415720999999877 2.1954230999999993 1.1128007500000052 0.15336399583333243 1.2840294000000227 0.3210073500000057 321.1484375 313.15234375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.3867504905630728 0.2498859936420094 0.8194434716963612 0.4406768354062774 1.0710059171597632 0.3426636527468157 0.6328671328671328 0.5310669765312122 1.4433756729740645 0.23612931644846605 0.22205779584216379 0.8008690760943223 0.8333333333333334 0.4345982085070782 0.12820512820512822 0.879672914909989 4.041451884327381 0.01757194145970389 0.3674047167570346 0.6925293101035576 2.3333333333333335 0.09697196786440505 0.21212121212121213 0.8088666471820897 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 9.899494936611665 0.899954085146515 4.0 7.5 11.0 14.5 18.0 2 6.5 3.5355339059327378 0.5439282932204212 4.0 5.25 6.5 7.75 9.0 11.0 11.0 9.899494936611665 9.899494936611665 0.899954085146515 0.899954085146515 4.0 4.0 7.5 7.5 11.0 11.0 14.5 14.5 18.0 18.0 0.7071067811865476 0.7071067811865476 0.4178358252465963 0.4178358252465963 0.7914968593107632 0.7914968593107632 1.0 1.0 1.25 1.25 1.5 1.5 1.75 1.75 2.0 2.0
6 1 2 3.642380000000074 0.9123908999999912 0.0 4.554770900000065 1.5615485999999805 6.750194000000064 1.7184085500000208 0.14342019077381046 1.7706952000000342 0.19504278769841676 329.53515625 326.3359375 54 54 1.0 54 22 22 0.7777777777777778 1.0 0.8650302456821983 1.0 1.0 1.0 1.0 1.0 0.7777777777777778 0.6728013021972654 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.7777777777777778 False 0 0 False 2.4545454545454546 2.4545454545454546 2.501947293557612 2.501947293557612 1.0193118603382862 1.0193118603382862 0.5945318764530745 0.5945318764530745 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 9.0 9.0 0 0.0 0 0.0 8.871674676759058 0.00014030742123804924 3.6143859794203568 0.026933457838417607 7.409090909090909 0.0006057210998582343 3.0185185185185186 0.0488735700438954 5.319774431308154 0.004893857501780838 0.9672317147833008 0.3801339019480054 4.0 0.01831563888873418 0.7272727272727273 0.48322508118982543 5.186520991955976 0.005591425630972791 0.3841867401448871 0.6810042444735765 4.0 0.01831563888873418 0.2962962962962963 0.7435670792059064 4 4 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.5 5.802298395176403 0.429799881124178 7.0 10.75 13.0 15.75 21.0 4 5.5 5.802298395176403 1.054963344577528 1.0 2.5 3.5 6.5 14.0 13.5 13.5 5.802298395176403 5.802298395176403 0.429799881124178 0.429799881124178 7.0 7.0 10.75 10.75 13.0 13.0 15.75 15.75 21.0 21.0 2.358495283014151 2.358495283014151 0.9608684486353948 0.9608684486353948 0.6080632797793809 0.6080632797793809 1.5 1.5 2.625 2.625 3.8333333333333335 3.8333333333333335 5.25 5.25 7.0 7.0
7 1 1 7.944258400000038 2.73020070000004 0.0 10.674459100000078 1.8262176999999724 17.424653100000143 2.2248958500000207 0.40939608502057273 2.281849871428599 1.4566910289827046 377.94921875 382.23046875 86 86 1.0 0 54 54 0.7790697674418605 1.0 0.6535150066995392 1.0 1.0 1.0 0.9498145100357233 0.983271503345241 0.7790697674418605 0.5091337842891759 0.7790697674418605 0.7790697674418605 0.7790697674418605 0.7399717694464356 0.7660371014433855 False 0 0 False 1.5925925925925926 1.5925925925925926 0.8130659078513456 0.8130659078513456 0.5105297560927053 0.5105297560927053 0.8508343786061194 0.8508343786061194 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 1.2894882954159115 0.2754116764561414 0.8096786971216189 0.4450010233651304 1.063786008230453 0.34514660567428973 0.6679586563307497 0.5127542177444565 8.203996316159312 0.00027355815773691855 1.2154068616532314 0.2965893189219236 6.888888888888889 0.0010190454849489828 1.0205761316872428 0.36038724983602216 13.307266185559428 1.6623701286726342e-06 1.2378852265636677 0.28999684755413985 11.11111111111111 1.4945338524781451e-05 1.0335917312661498 0.355726987542236 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 6.75 6.860862086606068 1.0164240128305286 1.0 1.0 4.0 11.5 19.0 10.75 10.75 11.209052464096024 11.209052464096024 1.04270255479963 1.04270255479963 1.0 1.0 1.75 1.75 5.5 5.5 20.5 20.5 29.0 29.0 0.3614621536551899 0.3614621536551899 0.22696460810907274 0.22696460810907274 0.9226471623832602 0.9226471623832602 1.0 1.0 1.25 1.25 1.513157894736842 1.513157894736842 1.7237762237762237 1.7237762237762237 2.0 2.0
8 2 4 0.6178569000000209 0.08165289999999459 0.0 0.6995098000000155 0.6995098000000155 0.6995098000000155 0.6995098000000155 0.05380844615384735 0.0 0.0 326.74609375 320.0546875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1005610000000132 0.30222879999999464 0.0 1.4027898000000079 1.007706200000058 2.1022996000000234 1.0657989000000043 0.13589223250000426 1.1238915999999506 0.22477831999999012 351.34765625 344.375 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.9540735874430286 0.6462286662165803 0.8859254740542409 0.7212952435735721 0.7388189318974823 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 4.0 0 0.0 0 0.0 1.206491318566009 0.2992453963668414 0.7468755781599103 0.47384473314198977 0.9822485207100589 0.3744681521196598 0.6080586080586079 0.5444067506814558 1.4433756729740645 0.23612931644846605 0.22205779584216379 0.8008690760943223 0.8333333333333334 0.4345982085070782 0.12820512820512822 0.879672914909989 3.1754264805429417 0.0417762835130517 0.30242156957551825 0.7390264481440365 1.8333333333333333 0.1598797460796939 0.1746031746031746 0.8397902047381501 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 10.5 7.7781745930520225 0.7407785326716212 5.0 7.75 10.5 13.25 16.0 2 6.5 3.5355339059327378 0.5439282932204212 4.0 5.25 6.5 7.75 9.0 10.5 10.5 7.7781745930520225 7.7781745930520225 0.7407785326716212 0.7407785326716212 5.0 5.0 7.75 7.75 10.5 10.5 13.25 13.25 16.0 16.0 0.37319524562623335 0.37319524562623335 0.23102562824481113 0.23102562824481113 0.8763561083909724 0.8763561083909724 1.25 1.25 1.3819444444444444 1.3819444444444444 1.5138888888888888 1.5138888888888888 1.6458333333333333 1.6458333333333333 1.7777777777777777 1.7777777777777777
