 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1240482000000043 0.8670168000000018 0.0 1.991065000000006 1.991065000000006 1.991065000000006 1.991065000000006 0.0995532500000003 0.0 0.0 275.42578125 268.67578125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.9309542000000093 1.0091059000000229 0.0 3.940060100000032 3.6803798000000256 5.931125100000038 2.97964630000002 0.14605801837606935 2.2789128000000147 0.1266062666666675 310.2265625 304.05078125 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9122007732916044 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8707371017783497 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.1667341419992585 2.1667341419992585 0.9848791554542083 0.9848791554542083 0.6152190140998044 0.6152190140998044 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.43572457800852 0.0005898014648141054 3.3798748081856904 0.03405171746405404 6.849999999999997 0.001059455692907613 3.113636363636362 0.04443906457336906 3.4641016151377544 0.03130111324493289 0.34641016151377546 0.7072223522189249 2.0 0.1353352832366127 0.2 0.8187307530779818 2.309401076758503 0.09932071923669414 0.10497277621629558 0.9003490331599661 1.3333333333333333 0.26359713811572677 0.0606060606060606 0.9411939401248326 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 22.0 5.656854249492381 0.25712973861329 18.0 20.0 22.0 24.0 26.0 2 10.0 8.48528137423857 0.8485281374238569 4.0 7.0 10.0 13.0 16.0 22.0 22.0 5.656854249492381 5.656854249492381 0.25712973861329 0.25712973861329 18.0 18.0 20.0 20.0 22.0 22.0 24.0 24.0 26.0 26.0 2.032931995911324 2.032931995911324 0.9240599981415109 0.9240599981415109 0.6296298514871737 0.6296298514871737 1.625 1.625 2.34375 2.34375 3.0625 3.0625 3.78125 3.78125 4.5 4.5
2 0 1 6.762301600000015 3.1716489999999666 0.0 9.933950599999982 4.422203100000019 15.86507570000002 3.998662225000004 0.2766293759259266 3.8574819333333323 0.5662470544091709 369.48828125 371.57421875 73 73 1.0 0 44 44 0.9178082191780822 1.0 0.6699906039488986 1.0 1.0 1.0 1.0 1.0 0.9178082191780822 0.6149228830763864 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 False 0 0 False 1.6590909090909092 1.6590909090909092 1.0771016625849856 1.0771016625849856 0.6492119610101283 0.6492119610101283 0.8068348678978778 0.8068348678978778 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.01078467847923 0.04925301581190935 1.8147195322340561 0.16288358557976437 2.508264462809916 0.08140940575690231 1.5118306351183055 0.22050594232948276 5.744562646538029 0.00320013383524162 0.5222329678670935 0.5931944837706195 4.2 0.014995576820477703 0.38181818181818183 0.6826191544966574 8.371081172704038 0.00023146516458763495 0.45868937932624865 0.6321115613270124 5.7 0.003345965457471272 0.31232876712328766 0.7317409163217867 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 11.0 8.04155872120988 0.7310507928372618 4.0 4.75 9.5 15.75 21.0 18.25 18.25 13.793114224133722 13.793114224133722 0.7557870807744506 0.7557870807744506 6.0 6.0 6.75 6.75 17.0 17.0 28.5 28.5 33.0 33.0 0.3112611498426371 0.3112611498426371 0.18760946017912372 0.18760946017912372 0.9283890581275842 0.9283890581275842 1.2 1.2 1.4785714285714286 1.4785714285714286 1.6607142857142856 1.6607142857142856 1.7946428571428572 1.7946428571428572 1.9285714285714286 1.9285714285714286
3 1 3 1.1202490000000154 0.6848413000000022 0.0 1.8050903000000176 1.8050903000000176 1.8050903000000176 1.8050903000000176 0.09025451500000088 0.0 0.0 300.859375 292.44921875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.921952999999988 1.0965677000000227 0.0 4.0185207000000105 3.433953100000025 5.823611000000028 2.926158050000012 0.14189456688034258 2.4183629999999994 0.13435349999999996 322.87109375 316.75 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9198432073542384 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8780321524745004 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 0.6231271883936114 0.6231271883936114 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 5.982474404458408 0.0025225766883897193 2.7193065474810942 0.06592045128326128 4.849999999999997 0.007828377549225794 2.204545454545453 0.11030065057086678 3.4641016151377544 0.03130111324493289 0.34641016151377546 0.7072223522189249 2.0 0.1353352832366127 0.2 0.8187307530779818 2.309401076758503 0.09932071923669414 0.10497277621629558 0.9003490331599661 1.3333333333333333 0.26359713811572677 0.0606060606060606 0.9411939401248326 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 22.0 5.656854249492381 0.25712973861329 18.0 20.0 22.0 24.0 26.0 2 10.0 8.48528137423857 0.8485281374238569 4.0 7.0 10.0 13.0 16.0 22.0 22.0 5.656854249492381 5.656854249492381 0.25712973861329 0.25712973861329 18.0 18.0 20.0 20.0 22.0 22.0 24.0 24.0 26.0 26.0 2.032931995911324 2.032931995911324 0.9240599981415109 0.9240599981415109 0.6296298514871737 0.6296298514871737 1.625 1.625 2.34375 2.34375 3.0625 3.0625 3.78125 3.78125 4.5 4.5
5 1 1 6.470835800000003 4.146361300000052 0.0 10.617197100000055 4.223615100000032 16.440808100000083 4.142716000000021 0.27849986603463406 4.115749633333351 0.6151667016507959 373.34375 375.671875 71 71 1.0 0 44 44 0.9436619718309859 1.0 0.6636691430877483 1.0 1.0 1.0 1.0 1.0 0.9436619718309859 0.6262793322095652 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 False 0 0 False 1.6136363636363635 1.6136363636363635 1.039138934483047 1.039138934483047 0.6439734241866771 0.6439734241866771 0.8117093230676141 0.8117093230676141 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.3310139495631192 0.0971971441069513 1.4445720250813698 0.23584699155679925 1.8667355371900838 0.15462761489776272 1.1568501920614604 0.31447515887147065 5.744562646538029 0.00320013383524162 0.5222329678670935 0.5931944837706195 4.2 0.014995576820477703 0.38181818181818183 0.6826191544966574 8.489699641330075 0.00020557499707615608 0.4782929375397225 0.6198405958052363 5.9 0.0027394448187683684 0.3323943661971831 0.7172044258935679 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 11.0 8.04155872120988 0.7310507928372618 4.0 4.75 9.5 15.75 21.0 17.75 17.75 13.400870618483463 13.400870618483463 0.7549786263934345 0.7549786263934345 6.0 6.0 6.75 6.75 16.0 16.0 27.0 27.0 33.0 33.0 0.268110990825368 0.268110990825368 0.16615329008896046 0.16615329008896046 0.9372313738582299 0.9372313738582299 1.2 1.2 1.4785714285714286 1.4785714285714286 1.6607142857142856 1.6607142857142856 1.7589285714285714 1.7589285714285714 1.7857142857142858 1.7857142857142858
6 2 3 1.1236774000000338 0.8963308000000154 0.0 2.020008200000049 2.020008200000049 2.020008200000049 2.020008200000049 0.10100041000000246 0.0 0.0 315.2421875 306.81640625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 2.963599599999995 1.1626217000000025 0.0 4.126221299999997 3.525245600000048 6.146229500000047 3.087218550000017 0.15274279596950008 2.6491914999999864 0.15583479411764625 341.72265625 335.86328125 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8981110922521499 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8572878607861432 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 6.85784222623997 0.0010511796952105534 3.117201011927259 0.04428093693992792 6.349999999999997 0.0017467471362611242 2.886363636363635 0.05577867582189848 3.4641016151377544 0.03130111324493289 0.34641016151377546 0.7072223522189249 2.0 0.1353352832366127 0.2 0.8187307530779818 2.886751345948129 0.05575705408641982 0.1312159702703695 0.8770283418877662 1.6666666666666667 0.18887560283756183 0.07575757575757576 0.9270409165125935 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 22.0 7.0710678118654755 0.32141217326661253 17.0 19.5 22.0 24.5 27.0 2 10.0 8.48528137423857 0.8485281374238569 4.0 7.0 10.0 13.0 16.0 22.0 22.0 7.0710678118654755 7.0710678118654755 0.32141217326661253 0.32141217326661253 17.0 17.0 19.5 19.5 22.0 22.0 24.5 24.5 27.0 27.0 1.811961126790528 1.811961126790528 0.8236186939956944 0.8236186939956944 0.654881659841011 0.654881659841011 1.6875 1.6875 2.328125 2.328125 2.96875 2.96875 3.609375 3.609375 4.25 4.25
8 2 1 6.486046599999966 3.1082164999999975 0.0 9.594263099999964 4.1695797000000425 15.74049260000001 3.983055625000002 0.2995779291862763 3.920880933333322 0.6254790491111089 391.00390625 395.34765625 71 71 1.0 0 44 44 0.9436619718309859 1.0 0.6713988406610849 1.0 1.0 1.0 1.0 1.0 0.9436619718309859 0.6335735538632773 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 False 0 0 False 1.6136363636363635 1.6136363636363635 0.9933712646058416 0.9933712646058416 0.6156103611641836 0.6156103611641836 0.8177080498300534 0.8177080498300534 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.591656590734492 0.07489586546368186 1.6060970421453191 0.200669291443185 2.2417355371900842 0.10627390192425148 1.389244558258644 0.24926353760409825 6.48074069840786 0.00153267500884291 0.5891582453098055 0.5547940887660137 4.8 0.00822974704902003 0.43636363636363634 0.6463826349633213 9.191028234098729 0.00010194998234685753 0.517804407554858 0.595827306823783 6.5 0.0015034391929775724 0.36619718309859156 0.6933660676597468 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4 11.0 8.755950357709132 0.7959954870644665 3.0 4.5 9.5 16.0 22.0 17.75 17.75 14.056433876817168 14.056433876817168 0.7919117677080095 0.7919117677080095 6.0 6.0 6.0 6.0 15.5 15.5 27.25 27.25 34.0 34.0 0.34310527391379864 0.34310527391379864 0.21262862045362171 0.21262862045362171 0.9220482242872642 0.9220482242872642 1.2 1.2 1.459090909090909 1.459090909090909 1.6655844155844157 1.6655844155844157 1.8392857142857144 1.8392857142857144 2.0 2.0
9 3 3 1.1224099999999737 0.7995911000000433 0.0 1.922001100000017 1.922001100000017 1.922001100000017 1.922001100000017 0.09610005500000085 0.0 0.0 313.265625 308.47265625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
