 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6287234000000055 0.08048020000001088 0.0 0.7092036000000164 0.7092036000000164 0.7092036000000164 0.7092036000000164 0.05455412307692434 0.0 0.0 234.0234375 222.73828125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.1815701999999888 0.17334089999999946 0.0 1.3549110999999883 0.9125440000000182 2.0641147000000046 0.5377819499999994 0.1272732333333339 0.4128612666666598 0.11073388055555375 236.03125 225.328125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 0.869718492622904 0.379777262656375 0.538397162099893 0.39496835316263 0.7560232996376179 0.8744918369115433 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 2.2767151672228834 0.10262074566481562 1.4093951035189278 0.24429100924128494 1.9408284023668638 0.14358495438041882 1.2014652014652014 0.3007532248579303 0.4183300132670378 0.6581449960016927 0.12871692715908856 0.879222814422615 0.3 0.7408182206817179 0.0923076923076923 0.911824544978916 2.8240042492885875 0.05936774287927556 0.5379055712930643 0.5839700560864296 2.1 0.1224564282529819 0.4 0.6703200460356393 2 5 2.5 0.7071067811865476 0.282842712474619 2.0 2.25 2.5 2.75 3.0 10.5 10.606601717798213 1.0101525445522108 3.0 6.75 10.5 14.25 18.0 4 3.25 0.5 0.15384615384615385 3.0 3.0 3.0 3.25 4.0 5.25 5.25 3.2015621187164243 3.2015621187164243 0.6098213559459855 0.6098213559459855 3.0 3.0 3.75 3.75 4.0 4.0 5.5 5.5 10.0 10.0 0.6579288490181673 0.6579288490181673 0.40728928748743687 0.40728928748743687 0.80289312902767 0.80289312902767 1.0 1.0 1.25 1.25 1.3333333333333333 1.3333333333333333 1.625 1.625 2.5 2.5
2 0 2 3.619958099999984 0.7144458999999941 0.0 4.334403999999978 1.4771355000000241 6.398518699999983 0.952706599999995 0.1493837969819453 0.8653017833333235 0.2608528154075057 248.375 241.01171875 53 53 1.0 53 21 21 0.7924528301886793 1.0 0.8832837778750753 1.0 1.0 1.0 1.0 1.0 0.7924528301886793 0.6999607296368522 0.7924528301886793 0.7924528301886793 0.7924528301886793 0.7924528301886793 0.7924528301886793 False 0 0 False 2.5238095238095237 2.5238095238095237 2.5616215102752324 2.5616215102752324 1.0149821078449035 1.0149821078449035 0.582786480454244 0.582786480454244 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.941062185368983 0.0003558283218691115 3.1464586017499743 0.04300415234663508 7.190476190476191 0.0007537301159202189 2.849056603773585 0.0578989167375876 3.553167600887974 0.028633795415268556 1.1843892002959913 0.30593298621958853 2.875 0.05641613950377735 0.9583333333333334 0.3835315728763107 5.010702830655881 0.006666216438139445 0.6617909398979466 0.5159265132123093 3.3928571428571423 0.033612503849640235 0.44811320754716977 0.638832359293692 2 10 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 26.5 27.577164466275352 1.040647715708504 7.0 16.75 26.5 36.25 46.0 7 3.0 1.9148542155126762 0.6382847385042254 1.0 1.0 4.0 4.5 5.0 7.571428571428571 7.571428571428571 5.31843156256751 5.31843156256751 0.7024343573202372 0.7024343573202372 2.0 2.0 3.5 3.5 7.0 7.0 10.5 10.5 16.0 16.0 2.005706145689628 2.005706145689628 0.7947137558392866 0.7947137558392866 0.638527042208189 0.638527042208189 1.0 1.0 2.0 2.0 2.0 2.0 3.3 3.3 7.0 7.0
3 0 1 7.0918021000000095 1.5855627999999768 0.0 8.677364899999986 1.7400968000000248 15.075883599999969 1.3114513083333286 0.5144886850091549 1.2724835363636289 0.48483639398782713 270.80859375 261.68359375 81 81 1.0 0 53 53 0.8271604938271605 1.0 0.6791732853944625 1.0 1.0 1.0 1.0 1.0 0.8271604938271605 0.5617853101410987 0.8271604938271605 0.8271604938271605 0.8271604938271605 0.8271604938271605 0.8271604938271605 False 0 0 False 1.528301886792453 1.528301886792453 0.7991286982348497 0.7991286982348497 0.5228866790919386 0.5228866790919386 0.8520757405348329 0.8520757405348329 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 2.492566377942901 0.0826974610670672 1.6309384942095524 0.19574578161370582 2.236383054467779 0.10684425619213919 1.4633123689727443 0.23146829511709427 11.414163116852663 1.1038039472999481e-05 2.584338818910037 0.07544594654694152 9.5 7.48518298877006e-05 2.150943396226415 0.11637431887756262 15.855416448937277 1.3004094832970672e-07 2.348950585027745 0.09546929657432812 12.884615384615385 2.5367790184851228e-06 1.9088319088319088 0.14825345904973591 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 4.416666666666667 3.423404295390331 0.7751104065034711 1.0 1.0 4.5 8.0 8.0 6.75 6.75 5.189587477036897 5.189587477036897 0.7688277743758365 0.7688277743758365 1.0 1.0 1.75 1.75 7.5 7.5 11.0 11.0 14.0 14.0 1.1009549882756464 1.1009549882756464 0.7203779552914723 0.7203779552914723 0.8130132459160677 0.8130132459160677 1.0 1.0 1.0 1.0 1.4017857142857144 1.4017857142857144 1.65625 1.65625 5.0 5.0
4 1 4 0.6258714999999455 0.0896192999999954 0.0 0.7154907999999409 0.7154907999999409 0.7154907999999409 0.7154907999999409 0.0550377538461493 0.0 0.0 242.9921875 232.38671875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.175912700000012 0.18230219999995256 0.0 1.3582148999999646 0.9160056999999568 2.0737056999999055 0.539978974999979 0.12813308472221785 0.4146367333333198 0.1267244555555504 246.6484375 236.1953125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 0.869718492622904 0.379777262656375 0.538397162099893 0.39496835316263 0.7560232996376179 0.8744918369115433 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.6080419200282212 0.20027939345137064 0.9954545219222322 0.3695554353181811 1.4023668639053253 0.24601399266747614 0.868131868131868 0.41973493749643814 0.4183300132670378 0.6581449960016927 0.12871692715908856 0.879222814422615 0.3 0.7408182206817179 0.0923076923076923 0.911824544978916 2.0676073128135335 0.12648806630006354 0.39382996434543494 0.6744687302228622 1.5 0.22313016014842982 0.2857142857142857 0.751477293075286 2 5 2.5 0.7071067811865476 0.282842712474619 2.0 2.25 2.5 2.75 3.0 10.5 10.606601717798213 1.0101525445522108 3.0 6.75 10.5 14.25 18.0 4 3.25 0.5 0.15384615384615385 3.0 3.0 3.0 3.25 4.0 5.25 5.25 2.8722813232690143 2.8722813232690143 0.5471012044321932 0.5471012044321932 3.0 3.0 3.0 3.0 4.5 4.5 6.75 6.75 9.0 9.0 0.6574889099191459 0.6574889099191459 0.4070169442356617 0.4070169442356617 0.8029965968967882 0.8029965968967882 1.0 1.0 1.0 1.0 1.5 1.5 2.0625 2.0625 2.25 2.25
6 1 2 3.2659974000000176 0.5513125000000088 0.0 3.8173099000000263 1.4892212999999828 5.891015599999932 0.8800379571428485 0.15245639857142917 0.7785073999999929 0.23533266468253872 256.49609375 246.578125 49 49 1.0 49 21 21 0.8571428571428571 1.0 0.915000937355107 1.0 1.0 1.0 1.0 1.0 0.8571428571428571 0.7842865177329488 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 False 0 0 False 2.3333333333333335 2.3333333333333335 2.394437999475729 2.394437999475729 1.0261877140610267 1.0261877140610267 0.5985780250934869 0.5985780250934869 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.279746492475474 0.0006893602995664776 3.11989135391806 0.044161966183655636 6.571428571428571 0.0013997962741296717 2.8163265306122445 0.059825305980259105 3.553167600887974 0.028633795415268556 1.1843892002959913 0.30593298621958853 2.875 0.05641613950377735 0.9583333333333334 0.3835315728763107 4.286607049870562 0.013751504401029175 0.6123724356957946 0.5420633319807501 2.875 0.05641613950377735 0.4107142857142857 0.6631763835015961 2 10 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 24.5 24.748737341529164 1.0101525445522108 7.0 15.75 24.5 33.25 42.0 7 3.0 1.9148542155126762 0.6382847385042254 1.0 1.0 4.0 4.5 5.0 7.0 7.0 4.618802153517006 4.618802153517006 0.659828879073858 0.659828879073858 2.0 2.0 3.5 3.5 7.0 7.0 9.5 9.5 14.0 14.0 1.9963359293608736 1.9963359293608736 0.8555725411546601 0.8555725411546601 0.6395526038084278 0.6395526038084278 1.0 1.0 1.875 1.875 2.0 2.0 2.95 2.95 7.0 7.0
7 1 1 6.676287700000046 1.3320571000000285 0.0 8.008344800000074 1.7525324000000069 13.899360400000006 1.2181429666666699 0.49052107717300375 1.169562109090912 0.45229340714275806 276.4921875 268.30859375 75 75 1.0 0 49 49 0.8933333333333333 1.0 0.6941555172186924 1.0 1.0 1.0 1.0 1.0 0.8933333333333333 0.6201122620486985 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 False 0 0 False 1.530612244897959 1.530612244897959 0.8441475191064683 0.8441475191064683 0.5515097124828927 0.5515097124828927 0.8427427078924565 0.8427427078924565 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 1.8889406095496148 0.15123193767247825 1.2341078649057484 0.29109434203883866 1.6380674718867156 0.1943552766347132 1.0702040816326543 0.34293852282300613 9.98850835436899 4.5924658893058064e-05 2.4461653112740387 0.08662513082100322 8.26923076923077 0.00025628235572702334 2.025117739403454 0.13197830322632453 14.171002353126179 7.008286942814222e-07 2.2673603765001884 0.10358524557796174 11.576923076923077 9.380072395335717e-06 1.8523076923076922 0.1568747296714126 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 4.083333333333333 3.058767824804721 0.7490859979113603 1.0 1.0 4.5 7.0 7.0 6.25 6.25 4.673425840955336 4.673425840955336 0.7477481345528538 0.7477481345528538 1.0 1.0 1.75 1.75 7.0 7.0 10.25 10.25 13.0 13.0 1.10376877289575 1.10376877289575 0.7211289316252233 0.7211289316252233 0.8088990926987558 0.8088990926987558 1.0 1.0 1.0 1.0 1.3571428571428572 1.3571428571428572 1.6428571428571428 1.6428571428571428 5.0 5.0
8 2 4 0.625268800000029 0.07890229999999576 0.0 0.7041711000000248 0.7041711000000248 0.7041711000000248 0.7041711000000248 0.0541670076923096 0.0 0.0 264.6953125 254.00390625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1715230000000076 0.254851699999989 0.0 1.4263746999999967 0.9050397000000174 2.1305458000000215 0.5545895000000058 0.12919817500000166 0.43777276666666864 0.13438490000000058 269.46484375 258.83984375 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.5171602248704632 0.21933386224631735 0.9391944249198105 0.39094264219155966 1.2840236686390534 0.27692081817055875 0.7948717948717949 0.451639133664089 0.4183300132670378 0.6581449960016927 0.12871692715908856 0.879222814422615 0.3 0.7408182206817179 0.0923076923076923 0.911824544978916 2.0676073128135335 0.12648806630006354 0.39382996434543494 0.6744687302228622 1.5 0.22313016014842982 0.2857142857142857 0.751477293075286 2 5 2.5 0.7071067811865476 0.282842712474619 2.0 2.25 2.5 2.75 3.0 10.5 10.606601717798213 1.0101525445522108 3.0 6.75 10.5 14.25 18.0 4 3.25 0.5 0.15384615384615385 3.0 3.0 3.0 3.25 4.0 5.25 5.25 2.8722813232690143 2.8722813232690143 0.5471012044321932 0.5471012044321932 3.0 3.0 3.0 3.0 4.5 4.5 6.75 6.75 9.0 9.0 0.6574889099191459 0.6574889099191459 0.4070169442356617 0.4070169442356617 0.8029965968967882 0.8029965968967882 1.0 1.0 1.0 1.0 1.5 1.5 2.0625 2.0625 2.25 2.25
