 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6212838000000005 0.07909639999998319 0.0 0.7003801999999837 0.7003801999999837 0.7003801999999837 0.7003801999999837 0.05387539999999875 0.0 0.0 223.30859375 211.16015625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.1720197999999726 0.2075409999999991 0.0 1.3795607999999717 1.0056937999999676 2.0799409999999554 0.7126669333333192 0.11070842571428317 0.5661534999999951 0.09251557999999918 229.33203125 218.3671875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.9473309334313418 0.408248290463863 0.5597864606639747 0.408248290463863 0.7401665335209782 0.8665289106576681 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.3803352649943355 0.2514942217150538 0.8156526565875619 0.44235053014139014 1.1834319526627217 0.3062259800580424 0.6993006993006992 0.4969326876903586 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.178511301977579 0.30773652451956823 0.16070608663330624 0.8515423139988739 0.6666666666666667 0.513417119032592 0.09090909090909093 0.9131007162822623 2 2 1.0 1.4142135623730951 1.4142135623730951 0.0 0.5 1.0 1.5 2.0 11.0 8.48528137423857 0.77138921583987 5.0 8.0 11.0 14.0 17.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 2.516611478423583 2.516611478423583 0.3431742925123068 0.3431742925123068 5.0 5.0 6.0 6.0 7.0 7.0 8.5 8.5 10.0 10.0 0.6825198409814424 0.6825198409814424 0.4033071787617614 0.4033071787617614 0.7971528858793205 0.7971528858793205 1.25 1.25 1.325 1.325 1.4 1.4 1.95 1.95 2.5 2.5
2 0 2 2.990505600000006 0.7334857000000028 0.0 3.7239913000000087 2.7259990999999886 5.803932299999964 1.4881224499999934 0.13332491486111053 1.075496899999995 0.11644561814814788 249.96875 240.1328125 46 46 1.0 46 22 22 0.9130434782608695 1.0 0.9212906955044913 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8411784611127964 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.090909090909091 2.090909090909091 1.973855084879307 1.973855084879307 0.9440176492901035 0.9440176492901035 0.6474137330845218 0.6474137330845218 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 10.0 10.0 0 0.0 0 0.0 4.816466246890766 0.008095343599257529 2.303527335469497 0.09990582012955991 3.6776859504132244 0.025281409634157405 1.7588932806324118 0.17223537460747976 0.5477225575051661 0.5782652777781269 0.09958591954639383 0.9052121711080661 0.4 0.6703200460356393 0.07272727272727274 0.9298543920999655 2.949576240750525 0.05236189008297698 0.25648489050004564 0.7737666856988508 1.6 0.20189651799465538 0.1391304347826087 0.8701145278569137 2 21 10.5 3.5355339059327378 0.3367175148507369 8.0 9.25 10.5 11.75 13.0 23.0 7.0710678118654755 0.30743773095067284 18.0 20.5 23.0 25.5 28.0 4 5.5 0.5773502691896257 0.10497277621629558 5.0 5.0 5.5 6.0 6.0 11.5 11.5 5.0 5.0 0.43478260869565216 0.43478260869565216 6.0 6.0 9.0 9.0 11.0 11.0 13.5 13.5 18.0 18.0 1.041899973872519 1.041899973872519 0.49829998750424825 0.49829998750424825 0.7690485507969738 0.7690485507969738 1.2 1.2 1.55 1.55 1.8333333333333335 1.8333333333333335 2.4 2.4 3.6 3.6
3 0 1 8.27936910000006 0.8283163000001394 0.0 9.1076854000002 3.0878015999999846 14.911617700000164 0.6887243173913132 0.19665581938923693 0.57967535000001 0.1731925254329038 232.0859375 222.890625 83 83 1.0 0 46 46 0.8072289156626506 1.0 0.6811667410368849 1.0 1.0 1.0 1.0 1.0 0.8072289156626506 0.5498574897526661 0.8072289156626506 0.8072289156626506 0.8072289156626506 0.8072289156626506 0.8072289156626506 False 0 0 False 1.8043478260869565 1.8043478260869565 1.2040591572286972 1.2040591572286972 0.6673098943677117 0.6673098943677117 0.7935819394046568 0.7935819394046568 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.0385441370152573 0.04790458125771213 1.6840124132855643 0.1856276648775435 2.3927221172022684 0.09138059631536231 1.326086956521739 0.26551419979187807 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.9426892955008124 0.052723748171327814 0.8154440216448035 0.4424428295470312 2.271739130434782 0.10313266287360226 0.6295180722891563 0.5328485336126801 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 3.608695652173913 3.608695652173913 1.4690482520320491 1.4690482520320491 0.40708566020165216 0.40708566020165216 2.0 2.0 2.5 2.5 3.0 3.0 4.5 4.5 7.0 7.0 0.7345241260160246 0.7345241260160246 0.40708566020165216 0.40708566020165216 0.8561544318751818 0.8561544318751818 1.0 1.0 1.25 1.25 1.5 1.5 2.25 2.25 3.5 3.5
4 1 4 0.6220181999999852 0.08175399999998945 0.0 0.7037721999999746 0.7037721999999746 0.7037721999999746 0.7037721999999746 0.05413632307692113 0.0 0.0 228.95703125 218.0 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.3896281000000101 0.358567800000003 0.0 1.7481959000000131 0.9863551999999771 2.4519680999999878 0.8366801333333219 0.1302665055555535 0.7618425999999943 0.12774155277777843 245.4453125 234.4375 25 25 1.0 25 13 22 0.8 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8 0.8 0.8 0.8 0.8 0.8 0.8 False 0 0 False 1.9230769230769231 1.9230769230769231 1.4978617237881953 0.6817210498023292 0.7788880963698616 0.6111981825813986 0.643098195003468 0.7973380246536586 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 5.0 2.5 0 0.0 0 0.0 1.777572308967899 0.16904804593873465 0.9243376006633074 0.3967941682367939 1.455621301775148 0.2332553968795366 0.7569230769230769 0.4691076167093673 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.838231060987734 0.05852910886946413 0.34058772731852804 0.7113521188063876 2.0000000000000004 0.13533528323661262 0.24000000000000005 0.7866278610665534 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 12.5 12.020815280171307 0.9616652224137046 4.0 8.25 12.5 16.75 21.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 8.333333333333334 8.333333333333334 4.041451884327381 4.041451884327381 0.48497422611928565 0.48497422611928565 4.0 4.0 6.5 6.5 9.0 9.0 10.5 10.5 12.0 12.0 0.768656837173347 0.768656837173347 0.3997015553301404 0.3997015553301404 0.777687458896352 0.777687458896352 1.0 1.0 1.625 1.625 2.25 2.25 2.325 2.325 2.4 2.4
6 1 2 3.416886300000016 0.8025111999999837 0.0 4.2193974999999995 2.8285302999999544 6.671365599999987 1.370270999999994 0.13465071444444426 1.0057061750000038 0.11790638295454506 255.7734375 247.73046875 51 51 1.0 51 25 25 0.8235294117647058 1.0 0.8689101055412554 1.0 1.0 1.0 1.0 1.0 0.8235294117647058 0.7155730280927985 0.8235294117647058 0.8235294117647058 0.8235294117647058 0.8235294117647058 0.8235294117647058 False 0 0 False 2.04 2.04 1.9252705437591535 1.9252705437591535 0.9437600704701733 0.9437600704701733 0.6665335886191338 0.6665335886191338 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 5.8008275271723075 0.0030250503979090716 2.8435429054766215 0.05821903560463513 4.920000000000001 0.007299130846788576 2.4117647058823533 0.0896569367621665 0.816496580927726 0.44197737724067393 0.16329931618554522 0.8493369300745177 0.6666666666666666 0.513417119032592 0.13333333333333333 0.8751733190429475 3.665151201974257 0.02560030017513235 0.3593285492131625 0.6981449386966815 2.5000000000000013 0.08208499862389869 0.24509803921568643 0.7826278062642577 2 24 12.0 5.656854249492381 0.47140452079103173 8.0 10.0 12.0 14.0 16.0 25.5 10.606601717798213 0.4159451654038515 18.0 21.75 25.5 29.25 33.0 5 5.0 0.7071067811865476 0.1414213562373095 4.0 5.0 5.0 5.0 6.0 10.2 10.2 4.711687595755898 4.711687595755898 0.46193015644665675 0.46193015644665675 6.0 6.0 8.0 8.0 8.0 8.0 11.0 11.0 18.0 18.0 1.3597385369580761 1.3597385369580761 0.6665384985088608 0.6665384985088608 0.7332761901399141 0.7332761901399141 1.2 1.2 1.3333333333333333 1.3333333333333333 1.6 1.6 2.2 2.2 4.5 4.5
7 1 1 9.145767900000038 0.8501454999999538 0.0 9.995913399999992 3.1890125999999555 16.66727899999998 0.6871591538461552 0.20385094374542223 0.5870850160000032 0.1860508551523813 255.23828125 243.81640625 92 92 1.0 0 51 51 0.7282608695652174 1.0 0.66126235687778 1.0 1.0 1.0 1.0 1.0 0.7282608695652174 0.4815714990305572 0.7282608695652174 0.7282608695652174 0.7282608695652174 0.7282608695652174 0.7282608695652174 False 0 0 False 1.803921568627451 1.803921568627451 1.216874814319653 1.216874814319653 0.6745719079380685 0.6745719079380685 0.7975244740859888 0.7975244740859888 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.2179120060404807 0.10883612090558409 1.2294946990007012 0.2924403107341355 1.7531718569780848 0.17322363057354848 0.9718670076726339 0.3783759474399346 0.312375331257683 0.7317068442326914 0.15925016887646587 0.8527829925183141 0.25783475783475707 0.7727229079643648 0.13144517066085654 0.876827349683963 2.1877670777129796 0.11216692923259435 0.6182820002232334 0.5388694203509503 1.6695156695156697 0.18833826151390984 0.47181964573268925 0.6238660196707885 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26 1.9615384615384615 0.19611613513818402 0.0999807747763291 1.0 2.0 2.0 2.0 2.0 3.5384615384615383 3.5384615384615383 1.5028178660308569 1.5028178660308569 0.4247093969217639 0.4247093969217639 1.0 1.0 2.25 2.25 3.0 3.0 4.75 4.75 7.0 7.0 0.7235064190879984 0.7235064190879984 0.4010742105813904 0.4010742105813904 0.861550108711268 0.861550108711268 1.0 1.0 1.125 1.125 1.5 1.5 2.375 2.375 3.5 3.5
8 2 4 0.6235390000000365 0.07749289999999576 0.0 0.7010319000000322 0.7010319000000322 0.7010319000000322 0.7010319000000322 0.053925530769233246 0.0 0.0 256.1328125 244.31640625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1075003000000407 0.19200839999997754 0.0 1.2995087000000183 1.0082804000000465 2.0005406000000505 0.6861689333333535 0.1107238266666706 0.5251132000000069 0.09389205666666811 271.234375 261.0390625 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.2917581249035897 0.27478724785299313 0.7996597916069841 0.44948185560804893 1.0532544378698225 0.34880074959903395 0.652014652014652 0.5209950949196457 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.8027756377319946 0.16484071454660576 0.25753937681885636 0.7729511893552639 1.25 0.2865047968601901 0.17857142857142858 0.8364643072929833 2 2 1.0 1.4142135623730951 1.4142135623730951 0.0 0.5 1.0 1.5 2.0 10.5 7.7781745930520225 0.7407785326716212 5.0 7.75 10.5 13.25 16.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 2.6457513110645907 2.6457513110645907 0.37796447300922725 0.37796447300922725 5.0 5.0 5.5 5.5 6.0 6.0 8.0 8.0 10.0 10.0 0.38188130791298663 0.38188130791298663 0.23640271442232505 0.23640271442232505 0.8738977686138039 0.8738977686138039 1.25 1.25 1.375 1.375 1.5 1.5 1.75 1.75 2.0 2.0
