 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1276207999999812 0.7837191000000203 0.0 1.9113399000000015 1.9113399000000015 1.9113399000000015 1.9113399000000015 0.09556699500000007 0.0 0.0 228.84375 218.69921875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 2.7787108000000202 0.5975092000000117 0.0 3.376220000000032 3.3908859000000433 5.2875599000000335 1.079914200000006 0.09896699815126038 0.5021712749999967 0.06753521623949585 241.58984375 233.43359375 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9662801064102341 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.9223582833915871 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.268775948927795 0.005149910469978517 2.3948981586035427 0.09118196454836061 4.6999999999999975 0.00909527710169584 2.136363636363635 0.11808345764159207 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.238710495736488 0.01442618247799639 0.48167164724278266 0.6177498683393488 3.1666666666666656 0.04214384350927644 0.3598484848484847 0.6977820426139111 2 21 10.5 3.5355339059327378 0.3367175148507369 8.0 9.25 10.5 11.75 13.0 22.0 7.0710678118654755 0.32141217326661253 17.0 19.5 22.0 24.5 27.0 5 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 8.8 8.8 5.019960159204453 5.019960159204453 0.5704500180914152 0.5704500180914152 5.0 5.0 5.0 5.0 7.0 7.0 10.0 10.0 17.0 17.0 1.2549900398011133 1.2549900398011133 0.5704500180914152 0.5704500180914152 0.7285653450464813 0.7285653450464813 1.25 1.25 1.25 1.25 1.75 1.75 2.5 2.5 4.25 4.25
2 0 1 7.599550600000015 0.7878647999999728 0.0 8.387415399999988 3.645269800000044 13.674975300000021 0.6341008478260882 0.22133477329192558 0.4972295318181811 0.17675240638528095 228.2890625 216.1015625 79 79 1.0 0 44 44 0.8481012658227848 1.0 0.6972143304737595 1.0 1.0 1.0 1.0 1.0 0.8481012658227848 0.5913083562245808 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 False 0 0 False 1.7954545454545454 1.7954545454545454 1.1529445710581003 1.1529445710581003 0.6421463433741318 0.6421463433741318 0.7973578104549608 0.7973578104549608 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.2930342776214903 0.10095965699582207 1.2771330153841212 0.2788355728868372 1.762396694214877 0.17163301862387115 0.9815880322209442 0.37471556572159853 0.6298723128021928 0.5326598105034215 0.32925143623750985 0.719462095160669 0.5416666666666675 0.5817778142098078 0.28314393939393984 0.7534113344836749 1.8212712553343735 0.16181990570234656 0.5302435300340581 0.5884616441427872 1.346014492753623 0.26027552624214695 0.39187763713080165 0.6757868001134937 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 1.9130434782608696 0.2881040655200304 0.15059985243092497 1.0 2.0 2.0 2.0 2.0 3.4347826086956523 3.4347826086956523 1.4717363572115556 1.4717363572115556 0.4284802052641238 0.4284802052641238 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.0 7.0 7.0 0.6879826728216102 0.6879826728216102 0.38318022283735254 0.38318022283735254 0.8616522474158118 0.8616522474158118 1.0 1.0 1.25 1.25 1.5 1.5 2.0 2.0 3.5 3.5
3 1 3 1.1268100000000345 0.7935937000000166 0.0 1.9204037000000511 1.9204037000000511 1.9204037000000511 1.9204037000000511 0.09602018500000256 0.0 0.0 234.28125 223.3203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 2.809575400000014 0.6003122000000047 0.0 3.409887600000019 3.470435600000073 5.33029130000007 1.0884605000000107 0.09735822878431451 0.49296672499999517 0.0721421499264698 248.80078125 240.19921875 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9619243087498125 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.918200476533912 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.067289096988207 2.067289096988207 0.9396768622673667 0.9396768622673667 0.6258697243757593 0.6258697243757593 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 10.0 10.0 0 0.0 0 0.0 6.365532185135818 0.0017198259500028625 2.8934237205162807 0.05538626054908382 5.899999999999997 0.002739444818768378 2.6818181818181803 0.0684386071328729 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5.282045058497702 0.005082027115522743 0.6002323930111024 0.5486841109239395 4.166666666666665 0.015503853599009342 0.4734848484848483 0.6228280207370503 2 21 10.5 3.5355339059327378 0.3367175148507369 8.0 9.25 10.5 11.75 13.0 22.0 7.0710678118654755 0.32141217326661253 17.0 19.5 22.0 24.5 27.0 5 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 8.8 8.8 5.540758070878027 5.540758070878027 0.6296315989634121 0.6296315989634121 4.0 4.0 5.0 5.0 6.0 6.0 12.0 12.0 17.0 17.0 1.3851895177195068 1.3851895177195068 0.6296315989634121 0.6296315989634121 0.7098276801256822 0.7098276801256822 1.0 1.0 1.25 1.25 1.5 1.5 3.0 3.0 4.25 4.25
5 1 1 8.034079000000006 0.9385160999999158 0.0 8.972595099999921 3.723777600000105 14.302886399999991 0.6610862217391301 0.22990100280538348 0.5218729772727222 0.19198907629869988 238.14453125 225.77734375 83 83 1.0 0 44 44 0.8072289156626506 1.0 0.6888251568133206 1.0 1.0 1.0 1.0 1.0 0.8072289156626506 0.5560395844155721 0.8072289156626506 0.8072289156626506 0.8072289156626506 0.8072289156626506 0.8072289156626506 False 0 0 False 1.8863636363636365 1.8863636363636365 1.3676649441939963 1.3676649441939963 0.7250271993317571 0.7250271993317571 0.7722354593110342 0.7722354593110342 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 1.901975375912766 0.1492734565994648 1.0082761028935145 0.36484739712450565 1.560950413223139 0.2099364499763889 0.8274917853231099 0.43714436431257203 0.6298723128021928 0.5326598105034215 0.32925143623750985 0.719462095160669 0.5416666666666675 0.5817778142098078 0.28314393939393984 0.7534113344836749 1.9181626172165263 0.14687658286089728 0.5315390385057844 0.5876997807043394 1.5126811594202891 0.22031847640026495 0.419176706827309 0.6575879847140649 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 1.9130434782608696 0.2881040655200304 0.15059985243092497 1.0 2.0 2.0 2.0 2.0 3.608695652173913 3.608695652173913 1.7771051648111371 1.7771051648111371 0.49245082880308616 0.49245082880308616 1.0 1.0 2.0 2.0 3.0 3.0 5.0 5.0 7.0 7.0 0.8423100177535022 0.8423100177535022 0.44652579254402525 0.44652579254402525 0.8385334014014296 0.8385334014014296 1.0 1.0 1.0 1.0 2.0 2.0 2.5 2.5 3.5 3.5
6 2 3 1.1242032000000393 0.7095234999999747 0.0 1.833726700000014 1.833726700000014 1.833726700000014 1.833726700000014 0.0916863350000007 0.0 0.0 243.546875 231.91796875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 2.785961600000036 0.5970697000000058 0.0 3.3830313000000416 3.4909995000000578 5.2167580000000555 1.0794403600000124 0.0977147863333337 0.476550575000001 0.06991995631944457 260.16796875 250.72265625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9738257825690558 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.9295609742704625 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 5.601785429664366 0.0036912673313518924 2.5462661043928936 0.07837375977529684 4.399999999999997 0.012277339903068481 1.9999999999999984 0.1353352832366129 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.415880433163923 0.012083910364770585 0.5018045946777184 0.6054371047207712 2.833333333333332 0.05881647164242996 0.3219696969696968 0.7247201512138641 2 20 10.0 2.8284271247461903 0.282842712474619 8.0 9.0 10.0 11.0 12.0 22.0 5.656854249492381 0.25712973861329 18.0 20.0 22.0 24.0 26.0 5 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 8.8 8.8 5.357238094391549 5.357238094391549 0.6087770561808579 0.6087770561808579 5.0 5.0 5.0 5.0 8.0 8.0 8.0 8.0 18.0 18.0 1.3393095235978874 1.3393095235978874 0.6087770561808579 0.6087770561808579 0.7163111610662869 0.7163111610662869 1.25 1.25 1.25 1.25 2.0 2.0 2.0 2.0 4.5 4.5
8 2 1 7.66197389999995 0.826816099999931 0.0 8.48878999999988 3.8386346000000486 13.705547999999936 0.667044031818179 0.2047229734523812 0.5160159095238042 0.16630308829931745 266.24609375 253.91015625 79 79 1.0 0 44 44 0.8481012658227848 1.0 0.6967934143013528 1.0 1.0 1.0 1.0 1.0 0.8481012658227848 0.5909513766859574 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 False 0 0 False 1.7954545454545454 1.7954545454545454 1.2682077713743152 1.2682077713743152 0.7063435688667072 0.7063435688667072 0.7835758588094419 0.7835758588094419 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.919326807376054 0.05397000728462994 1.6259541711967895 0.19672387736529526 2.325413223140495 0.09774304601678693 1.2951668584579974 0.2738521659688396 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.839062641056357 0.05848045746066858 0.7906250392815172 0.4535612130918289 2.207509881422925 0.10997415653066363 0.6147495872317006 0.5407762956448458 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 3.590909090909091 3.590909090909091 1.6230216062021892 1.6230216062021892 0.4519807004613691 0.4519807004613691 2.0 2.0 2.0 2.0 3.0 3.0 4.75 4.75 7.0 7.0 0.8115108031010946 0.8115108031010946 0.4519807004613691 0.4519807004613691 0.8429885253023345 0.8429885253023345 1.0 1.0 1.0 1.0 1.5 1.5 2.375 2.375 3.5 3.5
9 3 3 1.1276118999999767 0.7165517999999906 0.0 1.8441636999999673 1.8441636999999673 1.8441636999999673 1.8441636999999673 0.09220818499999836 0.0 0.0 273.08984375 261.0703125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
