 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6239516999999992 0.08594719999999256 0.0 0.7098988999999918 0.7098988999999918 0.7098988999999918 0.7098988999999918 0.05460760769230706 0.0 0.0 241.55859375 229.42578125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.7821787999999756 0.26910070000000985 0.0 2.0512794999999855 0.8164483999999916 2.7611783999999773 0.41932055714285255 0.18434577119047443 0.35313258333332936 0.12803435666666535 244.1015625 231.9140625 28 28 1.0 28 13 22 0.7142857142857143 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.7142857142857143 0.7142857142857143 0.7142857142857143 0.7142857142857143 0.7142857142857143 0.7142857142857143 0.7142857142857143 False 0 0 False 2.1538461538461537 2.1538461538461537 1.3445044840729643 0.563300712149108 0.624234224748162 0.45768182862115026 0.6678008204491859 0.8258057509621106 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 5.0 2.5 0 0.0 0 0.0 3.0874818831368422 0.0456166780264368 1.433473731456391 0.23847906949004155 2.6923076923076916 0.06772447165924096 1.2499999999999998 0.28650479686019015 0.4818120558297158 0.617663137042309 0.2594372608313854 0.7714856088413483 0.37500000000000006 0.6872892787909721 0.20192307692307696 0.8171577838157348 3.5355339059327378 0.02914319311124245 0.8838834764831844 0.41317523570486175 3.0 0.049787068367863944 0.75 0.4723665527410147 2 13 6.5 9.192388155425117 1.414213562373095 0.0 3.25 6.5 9.75 13.0 14.0 18.384776310850235 1.313198307917874 1.0 7.5 14.0 20.5 27.0 7 1.8571428571428572 0.3779644730092272 0.2035193316203531 1.0 2.0 2.0 2.0 2.0 4.0 4.0 2.449489742783178 2.449489742783178 0.6123724356957945 0.6123724356957945 1.0 1.0 2.5 2.5 3.0 3.0 5.5 5.5 8.0 8.0 1.1338934190276817 1.1338934190276817 0.526450515977138 0.526450515977138 0.7044977885414376 0.7044977885414376 1.0 1.0 1.25 1.25 1.5 1.5 2.75 2.75 4.0 4.0
2 0 2 4.12563210000004 0.45826680000009645 0.0 4.583898900000136 1.3896104000000165 7.3450773000001135 0.5296813466666734 0.13933865909523915 0.4682578428571489 0.17219493348639617 245.53515625 233.1484375 58 58 1.0 58 28 28 0.7241379310344828 1.0 0.838905603961497 1.0 1.0 1.0 1.0 1.0 0.7241379310344828 0.6074833683859117 0.7241379310344828 0.7241379310344828 0.7241379310344828 0.7241379310344828 0.7241379310344828 False 0 0 False 2.0714285714285716 2.0714285714285716 1.6981159806084754 1.6981159806084754 0.8197801285696087 0.8197801285696087 0.7021330049058014 0.7021330049058014 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 5.695728797143718 0.003360287318704538 2.74966217793145 0.06394946109727284 4.749999999999998 0.00865169520312065 2.293103448275861 0.10095267379180178 0.9782353727219459 0.3759739677404414 0.5240546639581853 0.5921148473815435 0.8125 0.44374731008107987 0.43526785714285715 0.64709131583136 3.3854262820376273 0.033863203992889064 0.8755412798373174 0.4166364417282187 2.625000000000001 0.0724397570342514 0.6788793103448278 0.5071850710485635 2 28 14.0 15.556349186104045 1.1111677990074318 3.0 8.5 14.0 19.5 25.0 29.0 31.11269837220809 1.0728516680071756 7.0 18.0 29.0 40.0 51.0 15 1.8666666666666667 0.3518657752744984 0.18849952246848128 1.0 2.0 2.0 2.0 2.0 3.8666666666666667 3.8666666666666667 2.1995670569671746 2.1995670569671746 0.5688535492156486 0.5688535492156486 2.0 2.0 2.5 2.5 3.0 3.0 4.5 4.5 10.0 10.0 1.6460631244043498 1.6460631244043498 0.7946511635055481 0.7946511635055481 0.707979231473745 0.707979231473745 1.0 1.0 1.5 1.5 1.5 1.5 2.25 2.25 7.0 7.0
3 0 1 10.001373399999991 1.1540483000000634 0.0 11.155421700000055 1.6542023000000228 18.50049900000017 0.6711523466666729 0.24109966705555783 0.6372540724137987 0.23987511797208605 252.875 240.90234375 100 100 1.0 0 58 58 0.67 1.0 0.6432301916728762 1.0 1.0 1.0 1.0 1.0 0.67 0.4309642284208271 0.67 0.67 0.67 0.67 0.67 False 0 0 False 1.7241379310344827 1.7241379310344827 1.1963849560644761 1.1963849560644761 0.6939032745173962 0.6939032745173962 0.8062248860543211 0.8062248860543211 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 1.6400168207716035 0.19397677942434693 0.9512097560475301 0.386273444048082 1.29845422116528 0.27295339267742696 0.7531034482758625 0.47090285999947595 0.9393813261853052 0.3908695813447932 0.48588689285446823 0.6151513813956112 0.8064516129032256 0.44643939877581623 0.4171301446051167 0.6589351575076111 2.3132778649109023 0.09893641925519632 0.6939833594732706 0.4995820852934203 1.8387096774193556 0.15902248408504538 0.5516129032258067 0.5760199962218959 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30 1.9333333333333333 0.2537081317024624 0.1312283439840323 1.0 2.0 2.0 2.0 2.0 3.3333333333333335 3.3333333333333335 1.5387709679981694 1.5387709679981694 0.4616312903994508 0.4616312903994508 1.0 1.0 2.0 2.0 3.0 3.0 4.0 4.0 7.0 7.0 0.7390969948633886 0.7390969948633886 0.42867625702076545 0.42867625702076545 0.8637178237426097 0.8637178237426097 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 3.5 3.5
4 1 4 0.6258287999999936 0.08036990000000799 0.0 0.7061987000000016 0.7061987000000016 0.7061987000000016 0.7061987000000016 0.05432297692307705 0.0 0.0 251.4921875 239.6328125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.468490700000018 0.17055349999995428 0.0 1.6390441999999723 0.8143038000000047 2.345242899999974 0.35983625714285544 0.1847678985714273 0.2840916666666639 0.1271875072222221 250.9375 238.86328125 23 23 1.0 23 13 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7692307692307692 1.7692307692307692 1.0919284281983377 0.47703679372151425 0.6171769376773213 0.4593687643244211 0.7122413620650949 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 4.0 2.0 0 0.0 0 0.0 2.0293701474266026 0.13141826922127461 1.147035300719384 0.31757689508785586 1.692307692307692 0.18409420065330423 0.9565217391304347 0.3842270061816406 0.4818120558297158 0.617663137042309 0.2594372608313854 0.7714856088413483 0.37500000000000006 0.6872892787909721 0.20192307692307696 0.8171577838157348 2.5946373267073097 0.07467295304984838 0.7896722298674421 0.4539935764327429 2.125 0.11943296826671962 0.6467391304347826 0.5237508784923767 2 10 5.0 7.0710678118654755 1.4142135623730951 0.0 2.5 5.0 7.5 10.0 11.5 14.849242404917497 1.2912384699928259 1.0 6.25 11.5 16.75 22.0 7 1.8571428571428572 0.3779644730092272 0.2035193316203531 1.0 2.0 2.0 2.0 2.0 3.2857142857142856 3.2857142857142856 1.9760470401187074 1.9760470401187074 0.6014056209056936 0.6014056209056936 1.0 1.0 2.0 2.0 2.0 2.0 5.0 5.0 6.0 6.0 0.9063269671749657 0.9063269671749657 0.5122717640554154 0.5122717640554154 0.748463518429878 0.748463518429878 1.0 1.0 1.0 1.0 1.0 1.0 2.5 2.5 3.0 3.0
6 1 2 3.509151200000005 0.42660770000001946 0.0 3.9357589000000246 1.3818971999999974 6.2810017999999985 0.5658902666666729 0.13333687228174768 0.49170781818182524 0.12872132320346544 257.4375 246.578125 49 49 1.0 49 23 23 0.8571428571428571 1.0 0.8899859758503077 1.0 1.0 1.0 1.0 1.0 0.8571428571428571 0.7628451221574065 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 0.8571428571428571 False 0 0 False 2.130434782608696 2.130434782608696 1.9377669394079493 1.9377669394079493 0.9095640735996496 0.9095640735996496 0.6563062553721934 0.6563062553721934 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 7.618751119444564 0.0004911548419764531 3.576148484637244 0.027983268957453906 6.956521739130435 0.00095240352790674 3.265306122448979 0.038185243933921614 0.5199030152818366 0.5945782101741127 0.2712537471035669 0.7624230092274139 0.4230769230769236 0.6550282443857732 0.2207357859531775 0.8019285330847095 6.281927000340489 0.0018697940266839536 1.5384311021242014 0.21471770746282076 5.423076923076923 0.004413545593575344 1.328100470957614 0.2649801209858006 2 23 11.5 12.020815280171307 1.0452882852322876 3.0 7.25 11.5 15.75 20.0 24.5 24.748737341529164 1.0101525445522108 7.0 15.75 24.5 33.25 42.0 12 1.9166666666666667 0.28867513459481287 0.1506131137016415 1.0 2.0 2.0 2.0 2.0 4.083333333333333 4.083333333333333 2.539088359425425 2.539088359425425 0.6218175574103082 0.6218175574103082 2.0 2.0 2.0 2.0 3.5 3.5 5.25 5.25 10.0 10.0 1.886956825315847 1.886956825315847 0.8857144282094792 0.8857144282094792 0.661870546492574 0.661870546492574 1.0 1.0 1.0 1.0 1.75 1.75 2.625 2.625 7.0 7.0
7 1 1 8.710165699999976 1.0647629000000478 0.0 9.774928600000024 1.6455818000000164 16.055930400000022 0.6967695720000063 0.22561948130476456 0.6572357291666725 0.23491626020833584 262.28515625 251.13671875 87 87 1.0 0 49 49 0.7701149425287356 1.0 0.6678616827326613 1.0 1.0 1.0 1.0 1.0 0.7701149425287356 0.5143302614148081 0.7701149425287356 0.7701149425287356 0.7701149425287356 0.7701149425287356 0.7701149425287356 False 0 0 False 1.7755102040816326 1.7755102040816326 1.31125426790613 1.31125426790613 0.7385225187057515 0.7385225187057515 0.7847304638645836 0.7847304638645836 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 7.0 0 0.0 0 0.0 5.386711401691622 0.004577000529188239 3.0338949273895346 0.04812781823365213 4.637650978758849 0.009680410430389733 2.6120103213699264 0.07338686418973941 0.5491251783869152 0.5774547593822191 0.28016590734026287 0.7556583617863579 0.4615384615384613 0.63031318659672 0.2354788069073782 0.7901924094522766 5.81972772294639 0.0029684132655774255 1.6723355525708017 0.18780791774676456 5.115384615384615 0.0060036682871208264 1.4699381078691423 0.22993971620533005 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25 1.96 0.2 0.10204081632653061 1.0 2.0 2.0 2.0 2.0 3.48 3.48 1.7107503227141787 1.7107503227141787 0.4915949203201663 0.4915949203201663 2.0 2.0 2.0 2.0 3.0 3.0 4.0 4.0 8.0 8.0 0.8426149773176358 0.8426149773176358 0.47457625159269146 0.47457625159269146 0.8429563291200295 0.8429563291200295 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 4.0 4.0
8 2 4 0.6244738000000325 0.08505040000000008 0.0 0.7095242000000326 0.7095242000000326 0.7095242000000326 0.7095242000000326 0.05457878461538712 0.0 0.0 261.69140625 249.76171875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.5196846000000335 0.25924990000000037 0.0 1.7789345000000338 0.8174805000000447 2.4884587000000664 0.3803107571428634 0.18692394714286514 0.3074491333333332 0.12731854583333505 262.1015625 249.95703125 24 24 1.0 24 13 22 0.8333333333333334 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 False 0 0 False 1.8461538461538463 1.8461538461538463 0.8987170342729172 0.6577935144802719 0.48680506023116343 0.570087712549569 0.750022973706284 0.8029249550004505 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 3.0 3.0 0 0.0 0 0.0 1.7709022204955913 0.1701793802166532 0.9592387027684453 0.3831844922546296 1.538461538461539 0.21471117234169715 0.8333333333333336 0.4345982085070781 0.4818120558297158 0.617663137042309 0.2594372608313854 0.7714856088413483 0.37500000000000006 0.6872892787909721 0.20192307692307696 0.8171577838157348 2.3829753310874673 0.0922756181503215 0.695034471567178 0.49905724440329435 1.9999999999999993 0.13533528323661279 0.5833333333333331 0.5580351457700472 2 11 5.5 7.7781745930520225 1.414213562373095 0.0 2.75 5.5 8.25 11.0 12.0 15.556349186104045 1.296362432175337 1.0 6.5 12.0 17.5 23.0 7 1.8571428571428572 0.3779644730092272 0.2035193316203531 1.0 2.0 2.0 2.0 2.0 3.4285714285714284 3.4285714285714284 1.8126539343499315 1.8126539343499315 0.5286907308520634 0.5286907308520634 1.0 1.0 2.0 2.0 4.0 4.0 4.5 4.5 6.0 6.0 0.809173593712687 0.809173593712687 0.4383023632610388 0.4383023632610388 0.7688569712964259 0.7688569712964259 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 3.0 3.0
