 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6279261999999974 0.08241709999997937 0.0 0.7103432999999768 0.7103432999999768 0.7103432999999768 0.7103432999999768 0.05464179230769052 0.0 0.0 219.7109375 208.7421875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.3864639000000025 0.27197839999998763 0.0 1.6584422999999902 1.0948119999999832 2.368785599999967 0.8089285666666536 0.10690781309523643 0.6659868499999888 0.10059237142856978 235.51171875 224.52734375 25 25 1.0 25 13 22 0.8 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8 0.8 0.8 0.8 0.8 0.8 0.8 False 0 0 False 1.9230769230769231 1.9230769230769231 1.4978617237881953 0.6817210498023292 0.7788880963698616 0.6111981825813986 0.643098195003468 0.7973380246536586 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 5.0 2.5 0 0.0 0 0.0 1.463561353110804 0.23141067035726964 0.7610519036176181 0.467174745649537 1.2071005917159765 0.2990631297123114 0.6276923076923078 0.5338222782445792 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.1730674684008835 0.11382791729933252 0.260768096208106 0.7704595713953735 1.5000000000000004 0.22313016014842973 0.18000000000000005 0.835270211411272 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 12.5 9.192388155425117 0.7353910524340094 6.0 9.25 12.5 15.75 19.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 8.333333333333334 8.333333333333334 3.214550253664318 3.214550253664318 0.3857460304397181 0.3857460304397181 6.0 6.0 6.5 6.5 7.0 7.0 9.5 9.5 12.0 12.0 0.46457866215887844 0.46457866215887844 0.24158090432261678 0.24158090432261678 0.8512377652324619 0.8512377652324619 1.5 1.5 1.625 1.625 1.75 1.75 2.075 2.075 2.4 2.4
2 0 2 3.557164900000025 0.8695013999999688 0.0 4.426666299999994 3.057546899999984 6.795451899999961 1.3951809199999885 0.12846378657575613 0.9795894249999897 0.1533855896969685 251.9140625 244.484375 53 53 1.0 53 25 25 0.7924528301886793 1.0 0.8628526419025659 1.0 1.0 1.0 1.0 1.0 0.7924528301886793 0.6837700181114674 0.7924528301886793 0.7924528301886793 0.7924528301886793 0.7924528301886793 0.7924528301886793 False 0 0 False 2.12 2.12 1.833030277982336 1.833030277982336 0.8646369235765735 0.8646369235765735 0.6764873934091639 0.6764873934091639 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 5.212907058446371 0.00544581933894036 2.458918423795458 0.08552740536654999 4.639999999999999 0.009657697627537785 2.1886792452830184 0.11206466084736079 0.408248290463863 0.6648137914037839 0.08164965809277261 0.9215947754162442 0.16666666666666666 0.8464817248906141 0.03333333333333333 0.9672161004820059 4.74341649025257 0.00870884162844016 0.4474921217219406 0.6392292522562852 3.5000000000000013 0.03019738342231846 0.33018867924528317 0.7187881002404726 2 11 5.5 2.1213203435596424 0.385694607919935 4.0 4.75 5.5 6.25 7.0 26.5 9.192388155425117 0.3468825719028346 20.0 23.25 26.5 29.75 33.0 5 5.0 0.7071067811865476 0.1414213562373095 4.0 5.0 5.0 5.0 6.0 10.6 10.6 6.228964600958975 6.228964600958975 0.5876381699017902 0.5876381699017902 4.0 4.0 6.0 6.0 11.0 11.0 12.0 12.0 20.0 20.0 0.9505553932073373 0.9505553932073373 0.4483751854751591 0.4483751854751591 0.7924386694600916 0.7924386694600916 1.0 1.0 1.2 1.2 2.2 2.2 2.4 2.4 3.3333333333333335 3.3333333333333335
3 0 1 8.142185700000006 1.454397799999974 0.0 9.59658349999998 3.8283548999999866 16.39203539999994 1.3123970615384561 0.18982626695054877 1.1027339083333285 0.15821292364087225 247.63671875 236.171875 90 90 1.0 0 53 53 0.7444444444444445 1.0 0.6641931992861543 1.0 1.0 1.0 1.0 1.0 0.7444444444444445 0.4944549372463593 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 False 0 0 False 1.6981132075471699 1.6981132075471699 0.9524241471993242 0.9524241471993242 0.5608719977951576 0.5608719977951576 0.8314804635327656 0.8314804635327656 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.0865911397659236 0.12410948743603982 1.228770337862155 0.2926522198706817 1.7750088999643985 0.16948194110951573 1.0452830188679234 0.3515922980413609 0.5241424183609572 0.5920628889765619 0.12856323469231026 0.879357954730569 0.42857142857142705 0.6514390575310566 0.10512129380053872 0.9002153254258061 1.1554933297794652 0.3149021479703594 0.16690459207925606 0.8462803493341012 0.9065934065934067 0.4038977986780396 0.13095238095238096 0.8772595476606083 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13 4.076923076923077 0.2773500981126145 0.06802926934837715 4.0 4.0 4.0 4.0 5.0 6.923076923076923 6.923076923076923 1.1875421719907089 1.1875421719907089 0.17153386928754683 0.17153386928754683 5.0 5.0 6.0 6.0 7.0 7.0 8.0 8.0 9.0 9.0 0.3265004810142921 0.3265004810142921 0.1922725054861942 0.1922725054861942 0.9288353946342579 0.9288353946342579 1.2 1.2 1.5 1.5 1.75 1.75 2.0 2.0 2.25 2.25
4 1 4 0.6268763000000064 0.07745879999998806 0.0 0.7043350999999944 0.7043350999999944 0.7043350999999944 0.7043350999999944 0.05417962307692265 0.0 0.0 238.0703125 226.58984375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.181309500000026 0.27540250000002686 0.0 1.4567120000000529 0.9384327000000212 2.1610471000000473 0.7398130666666892 0.12521988993506838 0.6405032500000232 0.12246263863636822 249.328125 239.62109375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.9473309334313419 0.7025594235292439 0.5597864606639747 0.6523766075628694 0.7401665335209782 0.7925367763801396 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 3.0 3.0 0 0.0 0 0.0 1.7166087388016458 0.17967443884458514 1.0143597092918817 0.3626345470442284 1.467455621301775 0.23051124757807526 0.8671328671328671 0.4201544626364391 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.674979270186815 0.18731206238577153 0.22840626411638387 0.79580088880797 0.9166666666666667 0.3998496543448473 0.12500000000000003 0.8824969025845953 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 11.0 9.899494936611665 0.899954085146515 4.0 7.5 11.0 14.5 18.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 3.5118845842842465 3.5118845842842465 0.4788933524023973 0.4788933524023973 4.0 4.0 5.5 5.5 7.0 7.0 9.0 9.0 11.0 11.0 0.9169696468985946 0.9169696468985946 0.5418457004400786 0.5418457004400786 0.7462929907765803 0.7462929907765803 1.0 1.0 1.2 1.2 1.4 1.4 2.075 2.075 2.75 2.75
6 1 2 2.9814132999999856 0.6155047999999823 0.0 3.596918099999968 2.6516398000000265 5.757965200000015 1.1879904600000089 0.1433935154444459 0.8220781250000044 0.11943147694444384 262.77734375 255.078125 45 45 1.0 45 22 22 0.9333333333333333 1.0 0.9247343276751951 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.8630853724968488 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 2.0454545454545454 2.0454545454545454 1.9875151446508403 1.9875151446508403 0.9716740707181887 0.9716740707181887 0.6459311047653524 0.6459311047653524 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 5.544429860620372 0.003909171341287702 2.710610154081071 0.06649622139376707 4.25 0.014264233908999256 2.077777777777778 0.12520814359063984 0.658280588604384 0.5177407790074541 0.14960922468281454 0.8610443855834662 0.5000000000000006 0.6065306597126331 0.11363636363636376 0.8925824723203237 4.377975178854566 0.012550745925766377 0.48644168653939623 0.6148101939470104 2.8333333333333335 0.05881647164242988 0.3148148148148148 0.7299240328711836 2 8 4.0 1.4142135623730951 0.3535533905932738 3.0 3.5 4.0 4.5 5.0 22.5 6.363961030678928 0.282842712474619 18.0 20.25 22.5 24.75 27.0 5 4.4 0.5477225575051661 0.12448239943299227 4.0 4.0 4.0 5.0 5.0 9.0 9.0 5.916079783099616 5.916079783099616 0.6573421981221795 0.6573421981221795 4.0 4.0 5.0 5.0 6.0 6.0 12.0 12.0 18.0 18.0 1.4652644812456213 1.4652644812456213 0.716351524164526 0.716351524164526 0.7080922989648204 0.7080922989648204 1.0 1.0 1.2 1.2 1.25 1.25 2.4 2.4 4.5 4.5
7 1 1 6.226090299999981 1.2366568999999714 0.0 7.462747199999953 3.4229305000000068 13.220712399999968 1.3787622700000028 0.1900085063015882 1.151632466666669 0.16356921208112943 263.20703125 254.2890625 72 72 1.0 0 45 45 0.9305555555555556 1.0 0.7036301953846881 1.0 1.0 1.0 1.0 1.0 0.9305555555555556 0.6547669873718626 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 False 0 0 False 1.6 1.6 0.9390517460812168 0.9390517460812168 0.5869073413007605 0.5869073413007605 0.8260420868207045 0.8260420868207045 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.04178571081514 0.1297967243951635 1.2761160692594624 0.27911927787399493 1.715555555555555 0.1798637686353085 1.0722222222222217 0.3422471225764878 0.7537783614444091 0.47058514868399137 0.16750630254320203 0.8457712867619723 0.5909090909090909 0.5538235798307587 0.13131313131313133 0.876943133039094 2.1105794120443453 0.12116774004237131 0.2931360294506035 0.7459206666171725 1.5818181818181818 0.20560093827479448 0.2196969696969697 0.8027620223273279 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 4.5 0.5270462766947299 0.11712139482105109 4.0 4.0 4.5 5.0 5.0 7.2 7.2 1.9321835661585918 1.9321835661585918 0.26835882863313776 0.26835882863313776 5.0 5.0 5.25 5.25 7.0 7.0 9.0 9.0 10.0 10.0 0.38586123009300755 0.38586123009300755 0.24116326880812972 0.24116326880812972 0.9142761476637289 0.9142761476637289 1.0 1.0 1.2875 1.2875 1.625 1.625 1.8 1.8 2.25 2.25
8 2 4 0.6263347999999951 0.07793399999995643 0.0 0.7042687999999515 0.7042687999999515 0.7042687999999515 0.7042687999999515 0.05417452307691935 0.0 0.0 255.0859375 243.69921875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.1729423000000025 0.28947900000001425 0.0 1.4624213000000168 0.9381053999999551 2.1666900999999683 0.741839233333323 0.1255530924999968 0.643706150000007 0.11394251250000131 270.02734375 260.20703125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.784217462268185 0.16792841992165913 1.0543103186130185 0.3484326519721168 1.538461538461538 0.21471117234169734 0.9090909090909088 0.4028903215291331 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 2.134374745810949 0.11831854642035469 0.29105110170149306 0.7474774796710602 1.4999999999999998 0.22313016014842987 0.20454545454545453 0.8150176948166803 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 11.0 9.899494936611665 0.899954085146515 4.0 7.5 11.0 14.5 18.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 3.0550504633038935 3.0550504633038935 0.41659779045053097 0.41659779045053097 4.0 4.0 6.0 6.0 8.0 8.0 9.0 9.0 10.0 10.0 0.5773502691896257 0.5773502691896257 0.3411615227029607 0.3411615227029607 0.8223175856932449 0.8223175856932449 1.0 1.0 1.5 1.5 2.0 2.0 2.0 2.0 2.0 2.0
