 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 5 1.4877423999998882 0.7695613999998727 0.0 2.257303799999761 2.257303799999761 2.257303799999761 2.257303799999761 0.13278257647057418 0.0 0.0 1084.85546875 1104.68359375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 4 3.3788716999999906 2.115495800000076 0.0 5.494367500000067 4.9307420999997476 7.751671299999828 3.950198449999931 0.2688996446428517 2.9696548000001144 0.21211820000000817 1117.26953125 1136.12890625 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.8236016247263818 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.7961482372355024 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.0914103126634984 0.8702602720890289 0.6184658438426491 0.7996986284061347 0.7395753374154457 0.7790220756124124 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 4.0 0 0.0 0 0.0 1.3907753432396335 0.2488822606254158 0.7881060278357923 0.4547051792058996 1.0968858131487886 0.33390932224541336 0.6215686274509803 0.5371012646677529 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 0.5773502691896257 0.5613839137989282 0.03849001794597505 0.9622413098366179 0.3333333333333333 0.7165313105737893 0.02222222222222222 0.9780228724846005 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 15.0 1.4142135623730951 0.09428090415820635 14.0 14.5 15.0 15.5 16.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 1.4142135623730951 1.4142135623730951 0.09428090415820635 0.09428090415820635 14.0 14.0 14.5 14.5 15.0 15.0 15.5 15.5 16.0 16.0 0.019641855032959583 0.019641855032959583 0.011130384518677098 0.011130384518677098 0.9931344940322492 0.9931344940322492 1.75 1.75 1.7569444444444444 1.7569444444444444 1.7638888888888888 1.7638888888888888 1.7708333333333333 1.7708333333333333 1.7777777777777777 1.7777777777777777
2 0 3 7.195360499999651 4.011782000000267 0.0 11.207142499999918 10.778888199999642 18.958813799999746 4.891082024999932 0.34907971628607604 2.928479966666695 0.24616539764950107 1132.328125 1158.7265625 56 56 1.0 56 30 30 0.9821428571428571 0.7446731509832571 0.6390787086227923 1.0 1.0 1.0 1.0 0.9148910503277524 0.7313754161442704 0.6276665888259566 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.8985537101433282 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8519948859193063 1.8519948859193063 0.9921401174567712 0.9921401174567712 0.6918677183967622 0.6918677183967622 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.507830041715275 0.0014917131689186599 3.4863375223474686 0.030612785749318396 5.633333333333331 0.0035766333239705263 3.0178571428571415 0.04890590452504783 0.5477225575051661 0.5782652777781269 0.07302967433402215 0.9295732451495387 0.4 0.6703200460356393 0.05333333333333334 0.9480639384933955 4.69041575982343 0.009182867495108389 0.335029697130245 0.7153168431796725 3.2 0.04076220397836621 0.2285714285714286 0.7956694616416928 4 3 0.75 0.9574271077563381 1.2765694770084508 0.0 0.0 0.5 1.25 2.0 14.0 7.393691004272944 0.528120786019496 7.0 8.5 13.0 18.5 23.0 4 7.5 0.5773502691896257 0.0769800358919501 7.0 7.0 7.5 8.0 8.0 14.0 14.0 7.393691004272944 7.393691004272944 0.528120786019496 0.528120786019496 7.0 7.0 8.5 8.5 13.0 13.0 18.5 18.5 23.0 23.0 1.0615116451500264 1.0615116451500264 0.5686669527589427 0.5686669527589427 0.787298577282947 0.787298577282947 1.0 1.0 1.09375 1.09375 1.625 1.625 2.415178571428571 2.415178571428571 3.2857142857142856 3.2857142857142856
3 0 2 16.771706499999937 6.065906200000143 0.0 22.83761270000008 14.829162499999768 41.796426499999825 6.193704200000013 0.4702685494893996 4.754461150000054 0.3705827965455878 1152.69140625 1171.19921875 90 90 1.0 105 56 56 0.9444444444444444 0.6821787211157231 0.5154166852360582 0.8951921640352893 1.0 1.0 1.0 0.894059573705241 0.6442799032759606 0.4867824249451661 0.8454592660333288 0.9444444444444444 0.9444444444444444 0.9444444444444444 0.8443895973882831 False 0 0 False 1.6071428571428572 1.6071428571428572 1.0900971004051374 1.0900971004051374 0.6782826402520855 0.6782826402520855 0.8168581080459923 0.8168581080459923 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.031825239969197 0.048227530925076 1.8864690382030558 0.15160618048971572 2.5790816326530597 0.07584362435751486 1.6047619047619037 0.20093739145123982 1.224744871391589 0.293832655878073 0.15309310892394862 0.858049825995952 1.0 0.36787944117144233 0.125 0.8824969025845955 2.0000000000000018 0.13533528323661245 0.1555555555555557 0.8559395234122651 1.6785714285714302 0.18664041484472849 0.13055555555555567 0.8776077356090688 7 6 0.8571428571428571 0.6900655593423543 0.8050764858994134 0.0 0.5 1.0 1.0 2.0 12.857142857142858 2.9113897843110044 0.22644142766863368 9.0 11.5 12.0 14.0 18.0 7 8.0 0.816496580927726 0.10206207261596575 7.0 7.5 8.0 8.5 9.0 12.857142857142858 12.857142857142858 2.9113897843110044 2.9113897843110044 0.22644142766863368 0.22644142766863368 9.0 9.0 11.5 11.5 12.0 12.0 14.0 14.0 18.0 18.0 0.34544410279219856 0.34544410279219856 0.21494299729292354 0.21494299729292354 0.9262861560180454 0.9262861560180454 1.2222222222222223 1.2222222222222223 1.3928571428571428 1.3928571428571428 1.5 1.5 1.8125 1.8125 2.142857142857143 2.142857142857143
4 0 1 83.78050839999992 28.87871509999991 0.0 112.65922349999983 27.015845299999796 154.45564999999965 12.180978230769226 0.9364219423269944 10.944739308333345 0.9427212565653499 1234.14453125 1264.3671875 164 164 1.0 0 90 105 0.8963414634146342 0.5815935754486274 0.3311132945541969 0.7195917590331051 1.0 0.7414483898010928 1.0 0.7743473217499067 0.5213064365301722 0.29679057499674966 0.6449999303528442 0.8963414634146342 0.6645909347607357 0.8963414634146342 0.694079611568514 False 0 0 False 1.8222222222222222 1.8222222222222222 1.1175593167554538 1.1927396887182447 0.6132947469999442 0.6859205877612908 0.8332675791302842 0.8255144508505997 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 5.2610456016884415 0.005189875338298698 2.887159171658291 0.055734319562417284 4.39728395061729 0.01231073109006289 2.4131436314363177 0.08953339172025873 1.6458405781822283 0.19285038881408478 0.2377325279596552 0.7884135414727961 1.1153846153846152 0.3277891818894529 0.16111111111111107 0.851197488353945 3.9786518231268158 0.018710847873512824 0.3153809371990769 0.7295109234836333 3.1923076923076925 0.04107696847416893 0.2530487804878049 0.7764300062654993 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13 6.923076923076923 1.5525000516123695 0.22425000745512003 6.0 6.0 6.0 7.0 11.0 12.615384615384615 12.615384615384615 3.500915631147123 3.500915631147123 0.27751160490800364 0.27751160490800364 6.0 6.0 11.0 11.0 11.0 11.0 16.0 16.0 17.0 17.0 0.6853971972393845 0.6853971972393845 0.37613260824112565 0.37613260824112565 0.8839948131957825 0.8839948131957825 1.0 1.0 1.4285714285714286 1.4285714285714286 1.8333333333333333 1.8333333333333333 2.3333333333333335 2.3333333333333335 2.8333333333333335 2.8333333333333335
5 1 5 1.4905233999995744 0.8488525999999865 0.0 2.339375999999561 2.339375999999561 2.339375999999561 2.339375999999561 0.13761035294115065 0.0 0.0 1081.96484375 1102.86328125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 1 4 3.3853213999994978 2.7577323000000433 0.0 6.143053699999541 4.543110699999488 8.482429699999102 4.315903449999496 0.29499079751127794 4.088696199999504 0.3145150923076541 1228.11328125 1251.65625 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.7998590022719457 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.7731970355295475 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.251469724199605 1.0972894411444316 0.7091661770464428 0.9817852894450178 0.7135467346908276 0.7385845403256881 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 5.0 0 0.0 0 0.0 1.964212689066353 0.14026627632757435 1.1130538571376 0.3285540702671041 1.7681660899653981 0.17064565081218816 1.0019607843137257 0.3671588156603312 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 15.0 2.8284271247461903 0.1885618083164127 13.0 14.0 15.0 16.0 17.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 2.8284271247461903 2.8284271247461903 0.1885618083164127 0.1885618083164127 13.0 13.0 14.0 14.0 15.0 15.0 16.0 16.0 17.0 17.0 0.18659762281311668 0.18659762281311668 0.10573865292743279 0.10573865292743279 0.9396127115385058 0.9396127115385058 1.625 1.625 1.6909722222222223 1.6909722222222223 1.7569444444444444 1.7569444444444444 1.8229166666666665 1.8229166666666665 1.8888888888888888 1.8888888888888888
7 1 3 7.108211899999674 3.2669248999994807 0.0 10.375136799999154 9.527697299998863 18.857566499998256 4.865380874999516 0.3640575346184738 3.3112753999997344 0.24117623472219954 1246.00390625 1271.9296875 56 56 1.0 56 30 30 0.9821428571428571 0.771894902307463 0.639984769039382 1.0 1.0 1.0 1.0 0.923964967435821 0.7581110647662583 0.6285564695922501 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9074655930173242 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8888663510036974 1.8888663510036974 1.011892688037695 1.011892688037695 0.6880909750198779 0.6880909750198779 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.43986427278183 0.0015966233711551452 3.449927288990266 0.03174794471926353 5.699999999999998 0.003345965457471278 3.0535714285714275 0.04719008705017148 1.3038404810405297 0.27148714710534766 0.17384539747207065 0.8404268197259018 1.0 0.36787944117144233 0.13333333333333333 0.8751733190429475 3.4351128074635335 0.032221775170162115 0.24536520053310953 0.7824187463160932 2.2 0.11080315836233387 0.15714285714285717 0.8545819669589086 4 3 0.75 0.9574271077563381 1.2765694770084508 0.0 0.0 0.5 1.25 2.0 14.0 5.715476066494082 0.408248290463863 8.0 10.25 13.5 17.25 21.0 4 7.5 1.2909944487358056 0.17213259316477408 6.0 6.75 7.5 8.25 9.0 14.0 14.0 5.715476066494082 5.715476066494082 0.408248290463863 0.408248290463863 8.0 8.0 10.25 10.25 13.5 13.5 17.25 17.25 21.0 21.0 1.0931729437321605 1.0931729437321605 0.5856283627136574 0.5856283627136574 0.7828173473192039 0.7828173473192039 1.1428571428571428 1.1428571428571428 1.2023809523809526 1.2023809523809526 1.6111111111111112 1.6111111111111112 2.375 2.375 3.5 3.5
8 1 2 15.821884299999965 5.898256399999582 0.0 21.720140699999547 13.560306099998797 40.5777071999978 6.01991951428535 0.49193186477733736 4.763188416666442 0.39892491296174204 1271.26953125 1296.55078125 86 86 1.0 100 56 56 0.9883720930232558 0.6988050013887154 0.5197893642799911 0.9062032243339325 1.0 1.0 1.0 0.8996016671295718 0.6906793618376837 0.5137453019046424 0.8956659775393518 0.9883720930232558 0.9883720930232558 0.9883720930232558 0.8891411826280651 False 0 0 False 1.5357142857142858 1.5357142857142858 1.0438440446783177 1.0438440446783177 0.6797124011858813 0.6797124011858813 0.822417412124572 0.822417412124572 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.9873244120545617 0.05042216534185571 1.9452345008727376 0.14295369664060334 2.6160714285714275 0.07308943661848782 1.7034883720930225 0.18204736616838255 2.2638462845343543 0.103949893985998 0.2829807855667943 0.7535342664544488 1.875 0.15335496684492847 0.234375 0.791065110850296 2.0266087084444457 0.13178167428239076 0.16495652278036185 0.8479305689501033 1.5357142857142876 0.21530184919757994 0.12500000000000014 0.8824969025845952 7 4 0.5714285714285714 0.5345224838248488 0.9354143466934854 0.0 0.0 1.0 1.0 1.0 12.285714285714286 2.0586634591635513 0.16756563039703323 10.0 10.5 12.0 14.0 15.0 7 8.0 1.4142135623730951 0.1767766952966369 7.0 7.0 8.0 8.0 11.0 12.285714285714286 12.285714285714286 2.0586634591635513 2.0586634591635513 0.16756563039703323 0.16756563039703323 10.0 10.0 10.5 10.5 12.0 12.0 14.0 14.0 15.0 15.0 0.3096905350792779 0.3096905350792779 0.20165895307487863 0.20165895307487863 0.9329770670317445 0.9329770670317445 1.25 1.25 1.3506493506493507 1.3506493506493507 1.5 1.5 1.6607142857142856 1.6607142857142856 2.142857142857143 2.142857142857143
9 1 1 80.4014476000001 31.428025500000103 0.0 111.8294731000002 25.96043719999875 152.407180299998 14.160284272727061 0.9903384300712831 12.980268979999892 1.0478183223432103 1424.82421875 1489.515625 154 154 1.0 0 86 100 0.9545454545454546 0.5878560151492476 0.3329422006085624 0.690684617774739 1.0 0.7071552862317221 0.9937682672343336 0.7629265228717678 0.5611352871879182 0.3178084642172641 0.6592898624213418 0.9545454545454546 0.6750118641302802 0.9485969823600457 0.7282480445594147 False 0 0 False 1.7906976744186047 1.7906976744186047 1.0966932014525188 1.1693766974183795 0.6124390605514066 0.6841251427073513 0.8337890181379459 0.8261384129767364 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 4.202551441144747 0.014957365256795915 2.34687937622369 0.09566723834051158 3.4683612763656004 0.03116806467854216 1.9368770764119585 0.14415342770947606 3.1562828156109854 0.04258373885445035 0.4037105926944284 0.6678373703176405 2.3257575757575757 0.09770939373754738 0.29748062015503873 0.7426869762397689 7.285830998131464 0.0006851786175595639 0.5204164998665332 0.5942729818005307 5.583333333333333 0.0037600112358255108 0.3988095238095238 0.6711185212790245 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11 7.818181818181818 1.7215215257545762 0.22019461375930624 6.0 7.0 7.0 9.0 11.0 14.0 14.0 5.796550698475776 5.796550698475776 0.41403933560541256 0.41403933560541256 6.0 6.0 11.0 11.0 14.0 14.0 16.5 16.5 27.0 27.0 0.6598765954742696 0.6598765954742696 0.3685025143557609 0.3685025143557609 0.8862362483599864 0.8862362483599864 1.0 1.0 1.25 1.25 1.7142857142857142 1.7142857142857142 2.37012987012987 2.37012987012987 2.8333333333333335 2.8333333333333335
