 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 5 1.480953399999919 1.051065400000084 0.0 2.532018800000003 2.532018800000003 2.532018800000003 2.532018800000003 0.14894228235294135 0.0 0.0 1070.76171875 1089.80078125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 4 3.5223314000000983 1.460540500000036 0.0 4.982871900000134 4.933940500000006 7.514890700000137 3.8323742500000435 0.2565300430672295 2.7308080000000814 0.1950577142857201 1090.328125 1107.9609375 31 31 1.0 31 17 30 0.9354838709677419 1.0 0.8322991934560541 1.0 1.0 1.0 1.0 1.0 0.9354838709677419 0.778602471297599 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 False 0 0 False 1.8235294117647058 1.8235294117647058 0.9510056596602791 0.4134681152796926 0.5215192327169272 0.40165474055741573 0.7641035526176916 0.8778608249394628 1.0 0.5 1.0 1.0 2.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.9694904756215539 0.1395279309886612 1.0800431640505295 0.33958086764286227 1.685121107266436 0.18542197464763996 0.9240986717267553 0.39688898517224447 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 0.8660254037844386 0.4206200260541148 0.05587260669577023 0.9456595989181246 0.5 0.6065306597126334 0.03225806451612903 0.9682566771439105 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 15.5 2.1213203435596424 0.1368593770038479 14.0 14.75 15.5 16.25 17.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.5 15.5 2.1213203435596424 2.1213203435596424 0.1368593770038479 0.1368593770038479 14.0 14.0 14.75 14.75 15.5 15.5 16.25 16.25 17.0 17.0 0.09820927516479823 0.09820927516479823 0.05385669928392161 0.05385669928392161 0.9669347450265678 0.9669347450265678 1.75 1.75 1.7847222222222223 1.7847222222222223 1.8194444444444444 1.8194444444444444 1.8541666666666665 1.8541666666666665 1.8888888888888888 1.8888888888888888
2 0 3 7.236897200000044 3.3692915999998263 0.0 10.60618879999987 9.716552800000102 18.121079500000008 4.681114924999989 0.32570085447069164 3.002635633333284 0.2657824954545391 1113.671875 1143.62109375 57 57 1.0 57 31 31 0.9649122807017544 0.7674129530019401 0.646767545188051 1.0 1.0 1.0 1.0 0.92247098433398 0.7404861827211703 0.6240739471112773 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.890103581374893 False 0 0 False 1.8387096774193548 1.8387096774193548 1.8636304031566702 1.8636304031566702 1.013553377155382 1.013553377155382 0.6936243122223759 0.6936243122223759 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 5.803493870335154 0.0030169953190378003 3.1562861400068383 0.042583597289480815 4.565036420395422 0.010409500081746055 2.482739105829089 0.0835141578983762 0.9354143466934853 0.39242323257176764 0.12069862537980455 0.886301027982724 0.7 0.4965853037914095 0.09032258064516129 0.913636416305788 4.120072814890533 0.016243331642472245 0.2891279168344234 0.7489164002600857 2.8 0.06081006262521797 0.19649122807017544 0.8216085383560855 2 6 3.0 1.4142135623730951 0.47140452079103173 2.0 2.5 3.0 3.5 4.0 28.5 9.192388155425117 0.3225399352780743 22.0 25.25 28.5 31.75 35.0 4 7.75 0.9574271077563381 0.12353898164597911 7.0 7.0 7.5 8.25 9.0 14.25 14.25 7.32006375199925 7.32006375199925 0.5136886843508246 0.5136886843508246 8.0 8.0 8.0 8.0 13.5 13.5 19.75 19.75 22.0 22.0 0.9936812206913992 0.9936812206913992 0.5404231200251469 0.5404231200251469 0.7990724052215694 0.7990724052215694 1.0 1.0 1.1071428571428572 1.1071428571428572 1.626984126984127 1.626984126984127 2.369047619047619 2.369047619047619 3.142857142857143 3.142857142857143
3 0 2 16.24328210000033 5.4679707000000235 0.0 21.711252800000352 13.722046000000262 39.83233230000036 5.192875137500032 0.4483224984054504 3.974422157142856 0.3396135679728602 1106.64453125 1132.828125 89 89 1.0 104 57 57 0.9550561797752809 0.6965668250306387 0.5225361088646167 0.9764704838764945 1.0 1.0 1.0 0.8988556083435463 0.6652604508719583 0.49905133992688105 0.9325841699944049 0.9550561797752809 0.9550561797752809 0.9550561797752809 0.8584576034741733 False 0 0 False 1.5614035087719298 1.5614035087719298 1.0003132341502037 1.0003132341502037 0.6406500488377709 0.6406500488377709 0.8285196651134218 0.8285196651134218 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.5372818347271626 0.029092297378858187 2.2654501638140254 0.10378330453530556 2.9682979378270242 0.05139070611120961 1.9010447466982066 0.1494124394998775 0.3227486121839514 0.724155875452024 0.045298050832835286 0.9557125884459158 0.25 0.7788007830714049 0.03508771929824561 0.9655207177429717 3.3695944365259547 0.03440358735288082 0.3028848931708723 0.7386841190637148 2.611111111111111 0.07345288408931808 0.23470661672908866 0.7908028239175107 2 12 6.0 7.0710678118654755 1.1785113019775793 1.0 3.5 6.0 8.5 11.0 44.5 41.71930009000631 0.9375123615731754 15.0 29.75 44.5 59.25 74.0 8 7.125 0.3535533905932738 0.049621528504319126 7.0 7.0 7.0 7.0 8.0 11.125 11.125 2.1671244937540095 2.1671244937540095 0.1947977073037312 0.1947977073037312 8.0 8.0 10.0 10.0 10.5 10.5 12.25 12.25 15.0 15.0 0.2912314102727349 0.2912314102727349 0.18651899309602124 0.18651899309602124 0.9367813248645828 0.9367813248645828 1.1428571428571428 1.1428571428571428 1.4285714285714286 1.4285714285714286 1.5 1.5 1.6473214285714286 1.6473214285714286 2.142857142857143 2.142857142857143
4 0 1 82.97061039999932 29.55982189999918 0.0 112.5304322999985 26.12386510000016 152.36276459999885 11.183426321428483 0.938995547400403 10.034161799999891 0.9922494336968456 1272.6328125 1327.25390625 163 163 1.0 0 89 104 0.901840490797546 0.5868668446062484 0.332982134676749 0.7369401055269778 1.0 0.7601991999310325 1.0 0.7823553481790936 0.5292602831725062 0.30029677176369385 0.664602426456845 0.901840490797546 0.6855784195697041 0.901840490797546 0.7055597311799188 False 0 0 False 1.8314606741573034 1.8314606741573034 1.1204296563877525 1.1968794546691797 0.6117683399908587 0.6850306846659614 0.8325507627828186 0.8246599058342237 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 4.0 4.0 0 0.0 0 0.0 5.283480124595109 0.005074739301201499 2.8848449760059185 0.055863449040245254 4.475697512940286 0.011382280067354613 2.4437857585992973 0.08683150532487048 1.0834249045547752 0.33843443283337116 0.17042638948052646 0.8433051634750994 0.8523809523809521 0.4263984878814894 0.13408239700374527 0.8745180039713362 6.652067347825033 0.0012913496750539826 0.5713432077886532 0.5647663304597768 5.433333333333332 0.004368509806825174 0.46666666666666656 0.6270890852730562 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14 6.357142857142857 0.6333236937766509 0.09962395183003497 6.0 6.0 6.0 6.75 8.0 11.642857142857142 11.642857142857142 4.6344386907177855 4.6344386907177855 0.39804994889600614 0.39804994889600614 6.0 6.0 6.75 6.75 12.5 12.5 14.75 14.75 19.0 19.0 0.6989885837717262 0.6989885837717262 0.3816563432864027 0.3816563432864027 0.8819166714282368 0.8819166714282368 1.0 1.0 1.125 1.125 1.7321428571428572 1.7321428571428572 2.3214285714285716 2.3214285714285716 3.1666666666666665 3.1666666666666665
5 1 5 1.4938462000002346 0.7152175000002217 0.0 2.2090637000004563 2.2090637000004563 2.2090637000004563 2.2090637000004563 0.1299449235294386 0.0 0.0 1114.40625 1134.625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 1 4 3.3791096999998445 2.419520000000034 0.0 5.7986296999998785 4.49041930000044 8.007693400000335 4.078040250000129 0.2805219993212785 3.6656611999998177 0.2819739384615244 1138.94921875 1158.1875 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.8147944639302187 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.787634648465878 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 0.9034248560828041 0.4831727251749018 0.5119407517802557 0.46936779016990465 0.7728180898548777 0.8608705104005567 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 3.0 2.0 0 0.0 0 0.0 1.1345471483521123 0.32156771083443964 0.6429100507328637 0.5257602068342193 0.8650519031141867 0.4210296993076392 0.4901960784313725 0.6125062831380046 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 15.0 2.8284271247461903 0.1885618083164127 13.0 14.0 15.0 16.0 17.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 2.8284271247461903 2.8284271247461903 0.1885618083164127 0.1885618083164127 13.0 13.0 14.0 14.0 15.0 15.0 16.0 16.0 17.0 17.0 0.18659762281311668 0.18659762281311668 0.10573865292743279 0.10573865292743279 0.9396127115385058 0.9396127115385058 1.625 1.625 1.6909722222222223 1.6909722222222223 1.7569444444444444 1.7569444444444444 1.8229166666666665 1.8229166666666665 1.8888888888888888 1.8888888888888888
7 1 3 7.057914699999856 3.2949206000000686 0.0 10.352835299999924 9.215014600000359 18.36052870000026 4.740691525000074 0.35051473175054354 3.2492504999999787 0.24509140208333066 1152.33203125 1177.0 56 56 1.0 56 30 30 0.9821428571428571 0.77966344522788 0.6445242518234333 1.0 1.0 1.0 1.0 0.9265544817426267 0.7657408837059535 0.6330148901837291 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9100088659972225 False 0 0 False 1.8666666666666667 1.8666666666666667 1.7952683659406263 1.7952683659406263 0.9617509103253356 0.9617509103253356 0.6977746354925889 0.6977746354925889 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.598372414354809 0.0013625839558472207 3.534842364832933 0.029163353797226448 5.966666666666665 0.002562769763066488 3.1964285714285703 0.040908043551080894 1.3038404810405297 0.27148714710534766 0.17384539747207065 0.8404268197259018 1.0 0.36787944117144233 0.13333333333333333 0.8751733190429475 3.4351128074635335 0.032221775170162115 0.24536520053310953 0.7824187463160932 2.2 0.11080315836233387 0.15714285714285717 0.8545819669589086 2 6 3.0 1.4142135623730951 0.47140452079103173 2.0 2.5 3.0 3.5 4.0 28.0 9.899494936611665 0.3535533905932738 21.0 24.5 28.0 31.5 35.0 4 7.5 1.2909944487358056 0.17213259316477408 6.0 6.75 7.5 8.25 9.0 14.0 14.0 5.715476066494082 5.715476066494082 0.408248290463863 0.408248290463863 8.0 8.0 10.25 10.25 13.5 13.5 17.25 17.25 21.0 21.0 1.0931729437321605 1.0931729437321605 0.5856283627136574 0.5856283627136574 0.7828173473192039 0.7828173473192039 1.1428571428571428 1.1428571428571428 1.2023809523809526 1.2023809523809526 1.6111111111111112 1.6111111111111112 2.375 2.375 3.5 3.5
8 1 2 15.73500200000069 5.738818800000217 0.0 21.473820800000908 13.329938600000446 39.83434950000117 5.193570512500131 0.46257010508742435 4.0312322142858 0.37265813964286365 1156.16015625 1177.48046875 86 86 1.0 100 56 56 0.9883720930232558 0.7020591105172831 0.5225285985415393 0.9763927349333631 1.0 1.0 1.0 0.9006863701724277 0.6938956324880123 0.5164526846050098 0.9650393310387891 0.9883720930232558 0.9883720930232558 0.9883720930232558 0.8902132728448413 False 0 0 False 1.5357142857142858 1.5357142857142858 0.9138188743208006 0.9138188743208006 0.5950448483949399 0.5950448483949399 0.8387468458891291 0.8387468458891291 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.6981427852869286 0.06733044378278533 1.7569301857682325 0.1725738210793767 2.3124999999999987 0.09901340836382644 1.5058139534883712 0.221836655606686 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 2.3154073315749675 0.09872596160932985 0.21538672851860163 0.8062295879059465 1.8333333333333333 0.1598797460796939 0.17054263565891473 0.8432071381702743 2 11 5.5 6.363961030678928 1.1570838237598051 1.0 3.25 5.5 7.75 10.0 43.0 39.59797974644666 0.9208832499173643 15.0 29.0 43.0 57.0 71.0 8 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 10.75 10.75 2.434865792722759 2.434865792722759 0.22649914350909384 0.22649914350909384 8.0 8.0 9.0 9.0 10.0 10.0 12.25 12.25 15.0 15.0 0.3478379703889655 0.3478379703889655 0.2264991435090938 0.2264991435090938 0.9258445402561051 0.9258445402561051 1.1428571428571428 1.1428571428571428 1.2857142857142858 1.2857142857142858 1.4285714285714286 1.4285714285714286 1.75 1.75 2.142857142857143 2.142857142857143
9 1 1 80.89689259999966 27.05360330000019 0.0 107.95049589999985 25.28796690000047 147.78484540000102 11.7060155307693 0.9724579386420669 10.574186250000034 0.966591537608046 1295.9765625 1339.609375 158 158 1.0 0 86 100 0.930379746835443 0.5920052210096962 0.3371635980052109 0.7275712314196822 1.0 0.7487638892232007 1.0 0.7802563700776323 0.5507896676482616 0.3136901829542152 0.6769175380929954 0.930379746835443 0.6966347576950032 0.930379746835443 0.7259347240595693 False 0 0 False 1.8372093023255813 1.8372093023255813 1.2820981435891723 1.3476432283293056 0.697850888282714 0.7675319048762933 0.8147662938368448 0.8084092041746109 1.0 0.5 1.0 1.0 1.0 1.0 3.0 3.0 8.0 8.0 0 0.0 0 0.0 4.854174186288281 0.007795768548370224 2.642145443169571 0.07120833212599041 3.9691725256895625 0.018889056879452627 2.1604356785398884 0.11527488730139133 1.043030243047671 0.3523852495045646 0.15766736232115958 0.8541338518215831 0.8351648351648333 0.43380296955532494 0.12624584717607945 0.8813981309035297 4.402796314232059 0.012243056558607199 0.3622553929431441 0.6961045649443576 3.3186813186813198 0.03620053726516802 0.27305605786618453 0.7610501235871301 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13 6.615384615384615 0.6504436355879909 0.09832287514702188 6.0 6.0 7.0 7.0 8.0 12.153846153846153 12.153846153846153 4.68768162041312 4.68768162041312 0.3856953231985479 0.3856953231985479 6.0 6.0 8.0 8.0 12.0 12.0 16.0 16.0 19.0 19.0 0.686935683011822 0.686935683011822 0.37390170087985247 0.37390170087985247 0.8826059929790881 0.8826059929790881 1.0 1.0 1.3333333333333333 1.3333333333333333 1.7142857142857142 1.7142857142857142 2.2857142857142856 2.2857142857142856 3.1666666666666665 3.1666666666666665
