 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.4706823000000213 0.8773565999998709 0.0 2.3480388999998922 2.3480388999998922 2.3480388999998922 2.3480388999998922 0.13811993529411132 0.0 0.0 1080.234375 1105.97265625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.472046399999897 1.2208340000000248 0.0 4.692880399999922 3.221843599999886 7.040919299999814 2.434649466666599 0.2869139715007136 2.0410523999999555 0.24814007045454495 1093.23046875 1118.609375 31 31 1.0 31 17 30 0.9354838709677419 1.0 0.8516238212865679 1.0 1.0 1.0 1.0 1.0 0.9354838709677419 0.796680348945499 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 False 0 0 False 1.8235294117647058 1.8235294117647058 0.8828430011649196 0.373772500798201 0.48413971031624625 0.36309328648968103 0.7766554112290303 0.887915039516972 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 3.0 1.5 0 0.0 0 0.0 2.4167810099028393 0.08920831645846898 1.3253315215596215 0.2657148542825058 2.1176470588235294 0.12031438840089924 1.1612903225806452 0.31308194343912854 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 2.838231060987734 0.05852910886946413 0.27466752203107103 0.7598247062085653 2.0000000000000004 0.13533528323661262 0.19354838709677422 0.8240299628128845 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.333333333333334 10.333333333333334 4.041451884327381 4.041451884327381 0.39110824687039164 0.39110824687039164 6.0 6.0 8.5 8.5 11.0 11.0 12.5 12.5 14.0 14.0 0.5679723519614249 0.5679723519614249 0.31146870914013625 0.31146870914013625 0.8412462337018516 0.8412462337018516 1.2 1.2 1.5166666666666666 1.5166666666666666 1.8333333333333333 1.8333333333333333 2.0833333333333335 2.0833333333333335 2.3333333333333335 2.3333333333333335
2 0 2 7.350851300000102 2.927032600000132 0.0 10.277883900000234 7.994235700000047 17.318803200000048 3.060550850000008 0.30652183271885625 2.0738138800000003 0.27939934366666497 1117.05859375 1154.86328125 57 57 1.0 57 31 31 0.9649122807017544 0.8152432129470489 0.6545710996470092 1.0 1.0 1.0 1.0 0.938414404315683 0.786638187931363 0.631603692641851 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9054875831116239 False 0 0 False 1.8387096774193548 1.8387096774193548 1.8091761328212057 1.8091761328212057 0.9839378967974979 0.9839378967974979 0.699215172426727 0.699215172426727 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.418653543293518 0.0005999564172557224 4.0347063130192815 0.017690874929961523 6.838709677419356 0.0010714850694279478 3.719298245614036 0.024250980107432634 0.4671765921511577 0.6267693980826792 0.09042127590022407 0.9135462491762532 0.35714285714285776 0.6996725373751299 0.06912442396313376 0.9332105590980342 5.827888615466644 0.0029442869440211897 0.6134619595228046 0.5414730626794333 4.642857142857143 0.009630143587403526 0.4887218045112782 0.6134099511405375 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 6 5.166666666666667 0.408248290463863 0.07901579815429606 5.0 5.0 5.0 5.0 6.0 9.5 9.5 5.612486080160912 5.612486080160912 0.5907880084379907 0.5907880084379907 5.0 5.0 6.0 6.0 7.5 7.5 10.5 10.5 20.0 20.0 1.1500724614852174 1.1500724614852174 0.6254780053691533 0.6254780053691533 0.777080839559276 0.777080839559276 1.0 1.0 1.05 1.05 1.5 1.5 2.1 2.1 4.0 4.0
3 0 1 83.07928820000024 34.8671118000002 0.0 117.94640000000044 19.60162440000022 135.26520320000049 13.79759500000003 0.8078960030460728 13.152702844444454 0.8848901797804606 1312.7265625 1348.0 164 164 1.0 0 57 57 0.8963414634146342 0.6334654575202131 0.3493172654916995 0.6955340968697015 1.0 0.7046178588448169 1.0 0.77936110545501 0.5678013552162886 0.31310754894682824 0.6234360502429641 0.8963414634146342 0.6315782027450493 0.8963414634146342 0.6985736737919906 False 0 0 False 2.8771929824561404 2.8771929824561404 3.024130190405384 3.024130190405384 1.0510696393482126 1.0510696393482126 0.6556292034109534 0.6556292034109534 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 12.0 12.0 0 0.0 0 0.0 12.673707362700904 3.1324116255129653e-06 4.404886095572875 0.012217497962696479 11.280701754385966 1.2614018862193113e-05 3.9207317073170733 0.019826582180289248 1.1696930444273916 0.3104622247508101 0.20520930603989326 0.8144768236509115 0.9545454545454555 0.38498709892348326 0.16746411483253604 0.8458069686689715 8.20864289525487 0.000272289996706731 0.5005270058082238 0.6062110987447382 6.181818181818187 0.0020666668604807713 0.37694013303769436 0.6859571388369653 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 5.7 0.48304589153964794 0.08474489325256981 5.0 5.25 6.0 6.0 6.0 16.4 16.4 7.574812062208394 7.574812062208394 0.46187878428099965 0.46187878428099965 8.0 8.0 9.0 9.0 15.0 15.0 23.5 23.5 26.0 26.0 1.3670008624813268 1.3670008624813268 0.475116153423388 0.475116153423388 0.7868877642576437 0.7868877642576437 1.3333333333333333 1.3333333333333333 1.5 1.5 3.0 3.0 4.166666666666666 4.166666666666666 4.8 4.8
4 1 4 1.4767090000001417 0.7810059999999339 0.0 2.2577150000000756 2.2577150000000756 2.2577150000000756 2.2577150000000756 0.13280676470588682 0.0 0.0 1110.12109375 1136.41015625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.598072999999772 2.3758987000003344 0.0 5.9739717000001065 3.3931694000000334 8.231686700000182 2.8642190666667298 0.2968796744588819 2.599743900000078 0.3081263071428566 1125.734375 1152.96484375 32 32 1.0 32 17 30 0.90625 1.0 0.8075388448994386 1.0 1.0 1.0 1.0 1.0 0.90625 0.7318320781901162 0.90625 0.90625 0.90625 0.90625 0.90625 False 0 0 False 1.8823529411764706 1.8823529411764706 1.4526851405748797 0.6819629970986437 0.7717389809304048 0.6440761639264968 0.683333624684241 0.8164763825312453 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 6.0 3.0 0 0.0 0 0.0 1.9808774400567921 0.13794814296574925 1.0523411400301708 0.3491194540840175 1.6470588235294112 0.19261559277384022 0.8749999999999998 0.4168620196785085 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 1.840893502864543 0.15867558565861475 0.17258376589355093 0.8414877978821448 0.9999999999999996 0.3678794411714425 0.09374999999999996 0.9105103613800342 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 32.0 0.0 0.0 32.0 32.0 32.0 32.0 32.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.666666666666666 10.666666666666666 3.511884584284246 3.511884584284246 0.32923917977664807 0.32923917977664807 7.0 7.0 9.0 9.0 11.0 11.0 12.5 12.5 14.0 14.0 0.4670633234885268 0.4670633234885268 0.24812739060327987 0.24812739060327987 0.8647250958602132 0.8647250958602132 1.4 1.4 1.6166666666666667 1.6166666666666667 1.8333333333333333 1.8333333333333333 2.0833333333333335 2.0833333333333335 2.3333333333333335 2.3333333333333335
6 1 2 8.700696899999798 3.214893000000302 0.0 11.9155899000001 7.885956800000031 20.147276600000282 3.566646616666693 0.31928843688035086 2.702784580000025 0.23109336708547568 1147.0703125 1187.21875 66 66 1.0 66 32 32 0.8333333333333334 0.8189097940848267 0.6288792158464924 1.0 1.0 1.0 1.0 0.9396365980282756 0.6824248284040223 0.5240660132054104 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.7830304983568963 False 0 0 False 2.0625 2.0625 2.154327976947351 2.154327976947351 1.0445226554896248 1.0445226554896248 0.6685334650500778 0.6685334650500778 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 0 0.0 0 0.0 8.772626993951128 0.00015491608202461703 4.253394906158123 0.014215890280932583 7.84375 0.00039219554628132326 3.803030303030303 0.022303084247199366 0.7346308866924522 0.47968248348988574 0.1377432912548348 0.8713223391027595 0.5714285714285708 0.5647181220077595 0.10714285714285704 0.8983973213480712 6.106202935189288 0.0022289984160489044 0.5551093577444808 0.574009485381356 4.714285714285714 0.008966268257436799 0.4285714285714286 0.6514390575310556 1 10 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 66.0 0.0 0.0 66.0 66.0 66.0 66.0 66.0 6 5.333333333333333 0.5163977794943222 0.09682458365518541 5.0 5.0 5.0 5.75 6.0 11.0 11.0 5.549774770204643 5.549774770204643 0.504524979109513 0.504524979109513 5.0 5.0 6.75 6.75 11.0 11.0 13.0 13.0 20.0 20.0 1.1290933760552544 1.1290933760552544 0.5474392126328507 0.5474392126328507 0.7819521552540075 0.7819521552540075 1.0 1.0 1.2 1.2 1.9833333333333334 1.9833333333333334 2.4916666666666667 2.4916666666666667 4.0 4.0
7 1 1 111.49087399999962 73.57469620000006 0.0 185.06557019999968 35.22897059999991 205.21284679999997 18.921566818181812 0.9156978306337467 17.29082644 0.99564600812187 1452.11328125 1545.421875 208 208 1.0 0 66 66 0.7067307692307693 0.5408809350117811 0.2923309179251866 0.6394113162036696 1.0 0.6548516337762396 1.0 0.7319108562626736 0.3822571992631338 0.20659925449520403 0.4518916513554781 0.7067307692307693 0.46280379887070777 0.7067307692307693 0.5172639224548703 False 0 0 False 3.1515151515151514 3.1515151515151514 3.3523467061490577 3.3523467061490577 1.063725397143451 1.063725397143451 0.6489650668436417 0.6489650668436417 1.0 1.0 1.0 1.0 1.0 1.0 5.0 5.0 14.0 14.0 0 0.0 0 0.0 15.291810068060522 2.2848161986831943e-07 4.85220896390382 0.00781110403110694 12.83333333333334 2.670263681443483e-06 4.072115384615387 0.01704130144503047 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 13.098403788942441 2.0484978511595415e-06 0.6927040465306098 0.500221616113862 10.416666666666663 2.992947830767652e-05 0.55088141025641 0.5764415049459031 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 18.90909090909091 18.90909090909091 8.431542509583231 8.431542509583231 0.44589888271834394 0.44589888271834394 7.0 7.0 11.0 11.0 20.0 20.0 25.5 25.5 29.0 29.0 1.4052570849305384 1.4052570849305384 0.44589888271834394 0.44589888271834394 0.7905181099860112 0.7905181099860112 1.1666666666666667 1.1666666666666667 1.8333333333333335 1.8333333333333335 3.3333333333333335 3.3333333333333335 4.25 4.25 4.833333333333333 4.833333333333333
8 2 4 1.4804257999998072 0.8146227999998246 0.0 2.2950485999996317 2.2950485999996317 2.2950485999996317 2.2950485999996317 0.13500285882350774 0.0 0.0 1261.30859375 1292.51171875 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.6284202999999025 1.6897699000002149 0.0 5.318190200000117 3.5253276999998207 7.613238799999749 2.6251634333332654 0.28114562317459063 2.175081299999988 0.24952742142856355 1279.1796875 1310.03515625 32 32 1.0 32 17 30 0.90625 1.0 0.8286175230214556 1.0 1.0 1.0 1.0 1.0 0.90625 0.7509346302381942 0.90625 0.90625 0.90625 0.90625 0.90625 False 0 0 False 1.8823529411764706 1.8823529411764706 1.0537049480984033 0.5372177781649362 0.5597807536772768 0.4936595799353468 0.7459967300984625 0.8482379924425876 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 4.0 2.0 0 0.0 0 0.0 2.082220002403277 0.1246531744532695 1.106179376276741 0.3308204902396501 1.8096885813148784 0.16370510969534552 0.9613970588235292 0.3823583355764129 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 2.838231060987733 0.058529108869464185 0.2660841619676 0.7663746251903618 1.9999999999999996 0.13533528323661276 0.18749999999999997 0.8290291181804004 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 32.0 0.0 0.0 32.0 32.0 32.0 32.0 32.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.666666666666666 10.666666666666666 4.041451884327381 4.041451884327381 0.37888611415569196 0.37888611415569196 7.0 7.0 8.5 8.5 10.0 10.0 12.5 12.5 15.0 15.0 0.5738111703855714 0.5738111703855714 0.3048371842673348 0.3048371842673348 0.8399343361271978 0.8399343361271978 1.4 1.4 1.5333333333333332 1.5333333333333332 1.6666666666666667 1.6666666666666667 2.0833333333333335 2.0833333333333335 2.5 2.5
