 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.4722319000001107 0.9857612999999219 0.0 2.4579932000000326 2.4579932000000326 2.4579932000000326 2.4579932000000326 0.14458783529411956 0.0 0.0 1008.48046875 1029.3203125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.327949900000135 1.3029319999999416 0.0 4.630881900000077 3.3273474000000647 7.088875100000109 2.450140233333381 0.2966246517482576 2.011536650000039 0.2523242903846199 1145.13671875 1170.33984375 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.8495362993409884 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.8212184226962888 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.6019289842524966 0.770551750371122 0.9077597577430815 0.770551750371122 0.6624846169917402 0.7983592649024736 1.0 0.5 1.0 0.5 1.0 0.5 1.0 1.0 6.0 3.0 0 0.0 0 0.0 1.5406824533775056 0.21423484623208805 0.8730533902472533 0.41767427766973797 1.2941176470588238 0.2741396455701273 0.7333333333333335 0.4803053010897993 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 2.0615528128088303 0.12725621131859366 0.20615528128088303 0.8137067130515866 1.25 0.2865047968601901 0.125 0.8824969025845955 3 3 1.0 1.0 1.0 0.0 0.5 1.0 1.5 2.0 10.0 3.605551275463989 0.3605551275463989 6.0 8.5 11.0 12.0 13.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 10.0 10.0 3.605551275463989 3.605551275463989 0.3605551275463989 0.3605551275463989 6.0 6.0 8.5 8.5 11.0 11.0 12.0 12.0 13.0 13.0 0.4910306620885411 0.4910306620885411 0.27825070851684 0.27825070851684 0.8590054641701313 0.8590054641701313 1.2 1.2 1.5166666666666666 1.5166666666666666 1.8333333333333333 1.8333333333333333 2.0 2.0 2.1666666666666665 2.1666666666666665
2 0 2 7.279931200000078 3.010114099999896 0.0 10.290045299999974 8.391684100000077 17.378920400000084 3.0778170666666917 0.3634883290343964 2.015043660000015 0.2872277521269876 1156.49609375 1181.45703125 56 56 1.0 56 30 30 0.9821428571428571 0.802587619885411 0.6539702688252614 1.0 1.0 1.0 1.0 0.934195873295137 0.788255698101743 0.6422922283105246 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9175138041291524 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8332810859848756 1.8332810859848756 0.9821148674918976 0.9821148674918976 0.6938032940891661 0.6938032940891661 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.373440259447071 0.0017062790740377896 3.4143429961323597 0.032898013725042245 5.666666666666665 0.0034593773364647645 3.0357142857142847 0.04804033609170924 0.7559289460184544 0.4695742029742176 0.15118578920369088 0.8596879630790087 0.5714285714285714 0.5647181220077593 0.11428571428571428 0.8920030614530944 5.188509894048089 0.005580315884598623 0.5559117743622952 0.573549075376526 3.4285714285714275 0.03243324089479555 0.36734693877551006 0.6925693242051978 6 6 1.0 1.0954451150103321 1.0954451150103321 0.0 0.25 1.0 1.0 3.0 9.333333333333334 6.153589738247641 0.6593131862408186 4.0 5.5 8.0 9.75 21.0 6 5.0 0.8944271909999159 0.17888543819998318 4.0 4.25 5.0 5.75 6.0 9.333333333333334 9.333333333333334 6.153589738247641 6.153589738247641 0.6593131862408186 0.6593131862408186 4.0 4.0 5.5 5.5 8.0 8.0 9.75 9.75 21.0 21.0 0.9243866835587479 0.9243866835587479 0.4952071519064721 0.4952071519064721 0.8075362181095533 0.8075362181095533 1.0 1.0 1.1875 1.1875 1.525 1.525 1.95 1.95 3.5 3.5
3 0 1 76.88738630000046 30.77002090000053 0.0 107.65740720000099 20.09590680000008 125.03632760000107 10.658436741666776 0.7767482913430229 9.80048491818193 1.1534357763387906 1330.99609375 1396.9140625 154 154 1.0 0 56 56 0.9545454545454546 0.629304321896404 0.3601408991447642 0.7470650224199118 1.0 0.7654683899040863 0.9809559974527844 0.7919095697510915 0.600699579992022 0.3437708582745477 0.7131075214008249 0.9545454545454546 0.7306743721811733 0.9363670884776578 0.755913680216951 False 0 0 False 2.75 2.75 2.9434055724001684 2.9434055724001684 1.0703292990546067 1.0703292990546067 0.6591491094797243 0.6591491094797243 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 12.0 12.0 0 0.0 0 0.0 8.403071292263153 0.00022417775038923728 3.055662288095692 0.04709152228565798 7.258928571428571 0.0007038617693584667 2.6396103896103895 0.07138907806531125 1.4734110665188336 0.2291425301773504 0.3157309428254643 0.7292556352346709 1.2307692307692295 0.29206782369141454 0.26373626373626347 0.7681761088399494 10.415923050380746 2.99517426322063e-05 0.811630367562136 0.44413337497909 8.435897435897433 0.00021693833053484154 0.6573426573426571 0.5182266120729498 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 4.666666666666667 0.778498944161523 0.16682120232032635 3.0 4.0 5.0 5.0 6.0 12.833333333333334 12.833333333333334 8.28836351139172 8.28836351139172 0.645846507381173 0.645846507381173 3.0 3.0 5.75 5.75 12.5 12.5 17.75 17.75 26.0 26.0 1.4420884535090446 1.4420884535090446 0.5243958012760163 0.5243958012760163 0.7781924002228896 0.7781924002228896 1.0 1.0 1.2375 1.2375 2.5 2.5 3.55 3.55 5.2 5.2
4 1 4 1.472935899999868 0.7832054000000994 0.0 2.2561412999999675 2.2561412999999675 2.2561412999999675 2.2561412999999675 0.13271419411764515 0.0 0.0 1126.140625 1152.87890625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.722648900000479 1.213270499999851 0.0 4.93591940000033 3.2805496000000858 7.192060700000297 2.4841470333334428 0.26285702777778897 2.0859457500001213 0.23220557857143426 1204.52734375 1235.22265625 33 33 1.0 33 17 30 0.8787878787878788 1.0 0.8451523980004431 1.0 1.0 1.0 1.0 1.0 0.8787878787878788 0.7427096830912985 0.8787878787878788 0.8787878787878788 0.8787878787878788 0.8787878787878788 0.8787878787878788 False 0 0 False 1.9411764705882353 1.9411764705882353 0.9663454503498036 0.4044786041022079 0.49781432290747457 0.3716830416074343 0.7613392863648435 0.8801127580665902 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 3.0 1.5 0 0.0 0 0.0 1.7597970943119516 0.17207977624636459 0.9065621394940357 0.4039104275880802 1.422145328719723 0.2411960167136346 0.7326203208556149 0.4806478868820491 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 2.0615528128088303 0.12725621131859366 0.18741389207353001 0.8291005072322876 1.25 0.2865047968601901 0.11363636363636363 0.8925824723203238 3 4 1.3333333333333333 0.5773502691896257 0.4330127018922193 1.0 1.0 1.0 1.5 2.0 11.0 3.605551275463989 0.32777738867854445 7.0 9.5 12.0 13.0 14.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 11.0 11.0 3.605551275463989 3.605551275463989 0.32777738867854445 0.32777738867854445 7.0 7.0 9.5 9.5 12.0 12.0 13.0 13.0 14.0 14.0 0.4729732589731726 0.4729732589731726 0.24365289098617982 0.24365289098617982 0.8633060994143956 0.8633060994143956 1.4 1.4 1.7 1.7 2.0 2.0 2.166666666666667 2.166666666666667 2.3333333333333335 2.3333333333333335
6 1 2 8.88258089999988 2.2532484999996996 0.0 11.13582939999958 5.299311899999907 18.327890099999877 2.802779871428616 0.3087990107549683 2.3866912000000675 0.274671069289052 1210.953125 1238.578125 69 69 1.0 69 33 33 0.7971014492753623 0.9650679272289338 0.6448278170726263 1.0 1.0 1.0 1.0 0.988355975742978 0.769257043443353 0.5139931875216586 0.7971014492753623 0.7971014492753623 0.7971014492753623 0.7971014492753623 0.7878199806646925 False 0 0 False 2.090909090909091 2.090909090909091 2.051883835095757 2.051883835095757 0.98133574721971 0.98133574721971 0.6808932824573546 0.6808932824573546 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.742407218228424 0.001179803690617052 3.2246295391527244 0.039770512265151416 6.121212121212121 0.0021957927823108123 2.927536231884058 0.053528758262547535 2.095914393017316 0.12295776051726594 0.44458790154912764 0.6410884131452625 1.75 0.17377394345044514 0.3712121212121212 0.6898975841247956 2.11288563682129 0.12088862197633048 0.2143507167789714 0.807065284044612 1.6428571428571415 0.1934266046003928 0.16666666666666652 0.8464817248906142 7 8 1.1428571428571428 0.6900655593423543 0.60380736442456 0.0 1.0 1.0 1.5 2.0 9.857142857142858 3.2877840272018797 0.33354330710743707 4.0 8.5 11.0 12.0 13.0 7 4.714285714285714 1.1126972805283737 0.23602669586965502 3.0 4.0 5.0 5.5 6.0 9.857142857142858 9.857142857142858 3.2877840272018797 3.2877840272018797 0.33354330710743707 0.33354330710743707 4.0 4.0 8.5 8.5 11.0 11.0 12.0 12.0 13.0 13.0 1.0077937031695268 1.0077937031695268 0.4819882928202085 0.4819882928202085 0.8006478044640903 0.8006478044640903 1.0 1.0 1.5 1.5 2.0 2.0 2.925 2.925 3.6666666666666665 3.6666666666666665
7 1 1 99.11314309999949 38.90403550000053 0.0 138.01717860000002 17.20496419999995 156.3450686999999 10.669732900000012 0.7712951218243286 10.20293066428573 1.1583737877259268 1374.8828125 1433.25390625 198 198 1.0 0 69 69 0.7424242424242424 0.6557163105788921 0.329448334182463 0.7468388772480328 1.0 0.7565190239984643 0.9803860594077224 0.7975404646616929 0.4868196851267533 0.24459042992334373 0.5544712876538426 0.7424242424242424 0.5616580632715871 0.7278623774390667 0.5921133752791357 False 0 0 False 2.869565217391304 2.869565217391304 2.791336615727632 2.791336615727632 0.9727385176020535 0.9727385176020535 0.6852420635778484 0.6852420635778484 1.0 1.0 1.0 1.0 1.0 1.0 6.0 6.0 9.0 9.0 0 0.0 0 0.0 7.559301368318615 0.0005212392709780632 2.6343019919898207 0.07176904729907091 5.97479521109011 0.0025420226115077174 2.0821256038647356 0.12466494208617737 0.9082951062292488 0.403211070409452 0.19745545787592367 0.8208167007328143 0.6750000000000012 0.5091564206075486 0.14673913043478287 0.8635192139182594 8.381527307120109 0.00022905983344471525 0.6349641899333416 0.5299544656825181 6.150000000000003 0.0021334817700377024 0.46590909090909116 0.6275643327571561 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15 4.6 0.828078671210825 0.1800171024371359 3.0 4.0 5.0 5.0 6.0 13.2 13.2 8.028520589569592 8.028520589569592 0.6082212567855751 0.6082212567855751 4.0 4.0 5.0 5.0 12.0 12.0 19.0 19.0 26.0 26.0 1.639220036493676 1.639220036493676 0.5712433460508265 0.5712433460508265 0.7707938069741033 0.7707938069741033 1.0 1.0 1.2916666666666665 1.2916666666666665 2.4 2.4 3.45 3.45 6.25 6.25
8 2 4 1.4821092999999337 1.16958139999997 0.0 2.6516906999999037 2.6516906999999037 2.6516906999999037 2.6516906999999037 0.15598180588234728 0.0 0.0 1210.90234375 1240.41796875 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.9086619000000837 1.6723625000001903 0.0 5.581024400000274 3.524195599999871 8.232715100000178 2.8310271333334263 0.31418200820512954 2.4844429000002037 0.29576553333334216 1326.6796875 1358.69921875 34 34 1.0 34 17 30 0.8529411764705882 1.0 0.807506426411388 1.0 1.0 1.0 1.0 1.0 0.8529411764705882 0.6887554813508898 0.8529411764705882 0.8529411764705882 0.8529411764705882 0.8529411764705882 0.8529411764705882 False 0 0 False 2.0 2.0 1.7677669529663689 0.8797141915551491 0.8838834764831844 0.7669303208429505 0.6406762508533941 0.7772424230458131 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 8.0 4.0 0 0.0 0 0.0 2.388698882852583 0.09174898242427262 1.1943494414262914 0.3029009449048857 2.0588235294117645 0.127604003979795 1.0294117647058822 0.35721702644162273 0.3726779962499652 0.6888870213378971 0.06576670522058209 0.936349284212233 0.2500000000000002 0.7788007830714047 0.04411764705882357 0.9568413812767794 3.236081306491267 0.039317667497158044 0.28553658586687647 0.7516108423410875 2.2500000000000004 0.10539922456186429 0.1985294117647059 0.8199356546312099 3 4 1.3333333333333333 1.1547005383792515 0.8660254037844386 0.0 1.0 2.0 2.0 2.0 11.333333333333334 4.725815626252608 0.41698373172817127 6.0 9.5 13.0 14.0 15.0 3 5.666666666666667 0.5773502691896257 0.10188534162169866 5.0 5.5 6.0 6.0 6.0 11.333333333333334 11.333333333333334 4.725815626252608 4.725815626252608 0.41698373172817127 0.41698373172817127 6.0 6.0 9.5 9.5 13.0 13.0 14.0 14.0 15.0 15.0 0.6752228712994888 0.6752228712994888 0.3376114356497444 0.3376114356497444 0.8178936242128395 0.8178936242128395 1.2 1.2 1.6833333333333331 1.6833333333333331 2.1666666666666665 2.1666666666666665 2.333333333333333 2.333333333333333 2.5 2.5
