 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.4710016999998743 0.7258209000000306 0.0 2.196822599999905 2.196822599999905 2.196822599999905 2.196822599999905 0.12922485882352383 0.0 0.0 1194.8671875 1224.578125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.354917999999941 2.2733042999999498 0.0 5.628222299999891 4.493186399999786 7.825044899999796 3.9780141499999218 0.2746631527149256 3.4628419000000576 0.26637245384615826 1214.66015625 1242.69921875 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.8210175840765922 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.7936503312740392 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.147247344990711 1.0684306798510883 0.6501068288280696 0.9559642924983421 0.7302756183903186 0.7434749502350021 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 5.0 0 0.0 0 0.0 1.715994370095861 0.1797848591129462 0.972396809720988 0.3781755361817683 1.4705882352941178 0.22979027467301683 0.8333333333333334 0.4345982085070782 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 1.1547005383792515 0.3151518986722024 0.0769800358919501 0.9259083383560902 0.6666666666666666 0.513417119032592 0.04444444444444444 0.9565287391030293 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 30.0 0.0 0.0 30.0 30.0 30.0 30.0 30.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 2.8284271247461903 2.8284271247461903 0.1885618083164127 0.1885618083164127 13.0 13.0 14.0 14.0 15.0 15.0 16.0 16.0 17.0 17.0 0.18659762281311668 0.18659762281311668 0.10573865292743279 0.10573865292743279 0.9396127115385058 0.9396127115385058 1.625 1.625 1.6909722222222223 1.6909722222222223 1.7569444444444444 1.7569444444444444 1.8229166666666665 1.8229166666666665 1.8888888888888888 1.8888888888888888
2 0 2 7.275181799999984 3.3100046000000702 0.0 10.585186400000055 9.50830309999975 18.41023129999985 3.861960739999984 0.33334726859585007 2.450375150000042 0.2003640512820532 1229.7109375 1262.125 56 56 1.0 56 30 30 0.9821428571428571 0.7723638102254712 0.644063300397826 1.0 1.0 1.0 1.0 0.9241212700751571 0.7585715993285878 0.6325621700335791 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9076191045381007 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8519948859193063 1.8519948859193063 0.9921401174567712 0.9921401174567712 0.6918677183967622 0.6918677183967622 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.738007178739181 0.0011850063109190003 3.60964670289599 0.027061405893995378 6.033333333333331 0.002397489014376524 3.232142857142856 0.039472823475517275 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 5.259911279353168 0.005195765669948007 0.46963493565653286 0.6252304759781486 4.000000000000002 0.018315638888734147 0.3571428571428573 0.6996725373751302 1 8 8.0 0.0 0.0 8.0 8.0 8.0 8.0 8.0 56.0 0.0 0.0 56.0 56.0 56.0 56.0 56.0 5 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 11.2 11.2 6.099180272790763 6.099180272790763 0.544569667213461 0.544569667213461 6.0 6.0 7.0 7.0 9.0 9.0 13.0 13.0 21.0 21.0 1.016530045465127 1.016530045465127 0.5445696672134609 0.5445696672134609 0.7937849068063608 0.7937849068063608 1.0 1.0 1.1666666666666667 1.1666666666666667 1.5 1.5 2.1666666666666665 2.1666666666666665 3.5 3.5
3 0 1 79.52394899999956 48.4278671999993 0.0 127.95181619999886 36.263680399999714 146.3620474999987 16.49760374444434 0.8943253771215327 14.02684416249992 0.9127493726701504 1417.375 1499.9296875 154 154 1.0 0 56 56 0.9545454545454546 0.5365322243871761 0.3384903346267768 0.6630614644818906 1.0 0.6924484006770535 1.0 0.7429935416880765 0.5121443960059409 0.3231044103255597 0.632922307005441 0.9545454545454546 0.6609734733735511 0.9545454545454546 0.7092211079749822 False 0 0 False 2.75 2.75 2.998484465677468 2.998484465677468 1.0903579875190792 1.0903579875190792 0.6557032745897466 0.6557032745897466 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 12.0 12.0 0 0.0 0 0.0 8.445994401405404 0.00021475893286117807 3.0712706914201466 0.046362205355485735 7.241071428571429 0.0007165436233702176 2.6331168831168834 0.07185415185294759 0.8670939117834084 0.4201708302191581 0.13935437867947637 0.8699196928356955 0.7000000000000006 0.4965853037914092 0.1125000000000001 0.8935973471085156 7.147390096055006 0.0007869151765895891 0.4177046160032147 0.6585567268156336 5.7 0.003345965457471272 0.33311688311688314 0.7166864207172627 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9 6.222222222222222 0.44095855184409843 0.0708683386892301 6.0 6.0 6.0 6.0 7.0 17.11111111111111 17.11111111111111 7.8013531589789675 7.8013531589789675 0.4559232365637059 0.4559232365637059 8.0 8.0 12.0 12.0 13.0 13.0 22.0 22.0 29.0 29.0 1.243108997571729 1.243108997571729 0.45203963548062875 0.45203963548062875 0.7993062691230076 0.7993062691230076 1.2857142857142858 1.2857142857142858 2.0 2.0 2.1666666666666665 2.1666666666666665 3.6666666666666665 3.6666666666666665 4.833333333333333 4.833333333333333
4 1 4 1.474556499999835 0.8534205999999358 0.0 2.327977099999771 2.327977099999771 2.327977099999771 2.327977099999771 0.13693982941175123 0.0 0.0 1168.7734375 1197.51171875 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.489658100000156 2.6209474000003183 0.0 6.110605500000474 4.714181899999858 8.438582600000245 4.284539400000085 0.2817429598739537 3.8548969000003126 0.2753497785714509 1189.42578125 1217.04296875 31 31 1.0 31 17 30 0.9354838709677419 1.0 0.8011704687397754 1.0 1.0 1.0 1.0 1.0 0.9354838709677419 0.7494820514017253 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 False 0 0 False 1.8235294117647058 1.8235294117647058 1.5097720903188938 1.5315313367000094 0.8279395334006837 1.2700503767756177 0.6752126166983632 0.6721657431805951 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 7.0 7.0 0 0.0 0 0.0 2.399538594631899 0.09075982069822418 1.3158760035078156 0.2682392417714489 2.0761245674740487 0.125415310181522 1.1385199240986719 0.32029272871788905 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 0.8660254037844386 0.4206200260541148 0.05587260669577023 0.9456595989181246 0.5 0.6065306597126334 0.03225806451612903 0.9682566771439105 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.5 15.5 2.1213203435596424 2.1213203435596424 0.1368593770038479 0.1368593770038479 14.0 14.0 14.75 14.75 15.5 15.5 16.25 16.25 17.0 17.0 0.09820927516479823 0.09820927516479823 0.05385669928392161 0.05385669928392161 0.9669347450265678 0.9669347450265678 1.75 1.75 1.7847222222222223 1.7847222222222223 1.8194444444444444 1.8194444444444444 1.8541666666666665 1.8541666666666665 1.8888888888888888 1.8888888888888888
6 1 2 7.341272600000366 3.196401200000423 0.0 10.537673800000789 9.598080500000151 18.976256400001034 3.928740700000162 0.3358593553968421 2.511405750000165 0.2304896029762076 1205.64453125 1238.0078125 57 57 1.0 57 31 31 0.9649122807017544 0.7702069064491042 0.6389232345603114 1.0 1.0 1.0 1.0 0.9234023021497014 0.7431821027140478 0.6165048754529321 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.9649122807017544 0.8910022213725188 False 0 0 False 1.8387096774193548 1.8387096774193548 1.8990659843468385 1.8990659843468385 1.0328253599079298 1.0328253599079298 0.6900429304564736 0.6900429304564736 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.125380915760537 0.002186658027018786 3.331347515589064 0.035744905782533025 5.049947970863685 0.006409666927015228 2.746462931522355 0.06415437879737923 0.44721359549995854 0.6394073191618967 0.07213122508063848 0.930408794830897 0.33333333333333376 0.7165313105737889 0.053763440860215124 0.9476562567372651 4.564354645876384 0.010416599433461267 0.4003819864803846 0.6700640417387259 2.9 0.05502322005640723 0.25438596491228066 0.7753924699976923 1 8 8.0 0.0 0.0 8.0 8.0 8.0 8.0 8.0 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 5 6.2 0.4472135954999579 0.07213122508063838 6.0 6.0 6.0 6.0 7.0 11.4 11.4 6.18869937870632 6.18869937870632 0.5428683665531859 0.5428683665531859 6.0 6.0 7.0 7.0 9.0 9.0 14.0 14.0 21.0 21.0 1.0563757405466199 1.0563757405466199 0.5745201395955302 0.5745201395955302 0.7900559783280166 0.7900559783280166 1.0 1.0 1.1666666666666667 1.1666666666666667 1.2857142857142858 1.2857142857142858 2.3333333333333335 2.3333333333333335 3.5 3.5
7 1 1 87.71928460000026 77.70862000000022 0.0 165.4279046000005 37.45360190000042 184.40416100000152 20.69964214444461 1.0474986427479227 18.605397175000135 1.9573604536542155 1566.32421875 1654.33203125 163 163 1.0 0 57 57 0.901840490797546 0.5317003777477699 0.3068947233346372 0.6243917635583549 0.9938089763949438 0.6422685444230355 0.9104004936099581 0.6947898052602545 0.4795089296252894 0.2767700879152863 0.563101774497412 0.896257175031023 0.5792237793262959 0.8210360279795328 0.6265895789770394 False 0 0 False 2.8596491228070176 2.8596491228070176 3.1816359027305214 3.1816359027305214 1.1125966040223296 1.1125966040223296 0.6461329724790958 0.6461329724790958 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 13.0 13.0 0 0.0 0 0.0 8.009356383560139 0.00033233854871794787 2.8008178764596803 0.060760347839532845 6.490612496152657 0.001517619187427672 2.269723388225162 0.1033407614013777 1.1105554165971776 0.32937596938147545 0.17535085525218594 0.8391625445267751 0.8999999999999989 0.40656965974059955 0.14210526315789457 0.8675299327391972 7.424932971389683 0.0005962008378587047 0.40996562418716037 0.6636730640452301 5.344444444444444 0.004774603025891194 0.29509202453987726 0.7444630754415908 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9 6.333333333333333 0.5 0.07894736842105264 6.0 6.0 6.0 7.0 7.0 18.11111111111111 18.11111111111111 10.142046692414263 10.142046692414263 0.5599903081701127 0.5599903081701127 6.0 6.0 8.0 8.0 18.0 18.0 28.0 28.0 32.0 32.0 1.605015248556149 1.605015248556149 0.5612630010288374 0.5612630010288374 0.7631891199654715 0.7631891199654715 1.0 1.0 1.3333333333333333 1.3333333333333333 2.5714285714285716 2.5714285714285716 4.0 4.0 5.333333333333333 5.333333333333333
8 2 4 1.4759484000001066 1.0901767000002565 0.0 2.566125100000363 2.566125100000363 2.566125100000363 2.566125100000363 0.150948535294139 0.0 0.0 1278.859375 1312.484375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.5000578999997742 2.0883674000000383 0.0 5.5884252999998125 5.2757353000001785 8.154550400000176 4.229379100000074 0.28203743844538365 3.183022899999969 0.22735877857142636 1309.69921875 1342.15234375 31 31 1.0 31 17 30 0.9354838709677419 0.9675109925226091 0.8099931631180922 1.0 1.0 1.0 1.0 0.9891703308408697 0.9050909284888923 0.7577355396911185 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9354838709677419 0.9253528901414587 False 0 0 False 1.8235294117647058 1.8235294117647058 1.3339459376998315 0.6242642728467978 0.7315187400289399 0.6064281507654607 0.7008483768315721 0.8287968821326059 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 2.5 0 0.0 0 0.0 2.333745226456162 0.09693203400254069 1.2797957693469275 0.27809408999152907 1.8892733564013844 0.1511816240926376 1.0360531309297916 0.3548524779550702 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 0.8660254037844386 0.4206200260541148 0.05587260669577023 0.9456595989181246 0.5 0.6065306597126334 0.03225806451612903 0.9682566771439105 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 31.0 0.0 0.0 31.0 31.0 31.0 31.0 31.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.5 15.5 2.1213203435596424 2.1213203435596424 0.1368593770038479 0.1368593770038479 14.0 14.0 14.75 14.75 15.5 15.5 16.25 16.25 17.0 17.0 0.09820927516479823 0.09820927516479823 0.05385669928392161 0.05385669928392161 0.9669347450265678 0.9669347450265678 1.75 1.75 1.7847222222222223 1.7847222222222223 1.8194444444444444 1.8194444444444444 1.8541666666666665 1.8541666666666665 1.8888888888888888 1.8888888888888888
