 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 1.473357500000077 0.9205789999998046 0.0 2.3939364999998816 2.3939364999998816 2.3939364999998816 2.3939364999998816 0.1408197941176401 0.0 0.0 1060.9140625 1086.15234375 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 3.3565373000001273 3.9710582999999815 0.0 7.327595600000109 4.263834399999894 9.72153209999999 4.926138999999978 0.33289431111110845 5.588443600000062 0.4657036333333385 1177.296875 1214.515625 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.7672967969180808 1.0 1.0 0.9382626803548022 1.0 0.9794208934516008 0.9666666666666667 0.7417202370208115 0.9666666666666667 0.9666666666666667 0.9069872576763088 0.9666666666666667 0.9467735303365474 False 0 0 False 1.7647058823529411 1.7647058823529411 1.251469724199605 0.5863019699779287 0.7091661770464428 0.5863019699779287 0.7135467346908276 0.8371441023778896 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 2.5 0 0.0 0 0.0 2.3211081949351597 0.09816473963694913 1.3152946437965907 0.2683952305980005 1.892733564013841 0.15065940829467075 1.0725490196078433 0.3421352953850054 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 1.7320508075688772 0.17692120631776423 0.11547005383792515 0.8909472522884108 1.0 0.36787944117144233 0.06666666666666667 0.9355069850316178 2 3 1.5 0.7071067811865476 0.47140452079103173 1.0 1.25 1.5 1.75 2.0 15.0 4.242640687119285 0.282842712474619 12.0 13.5 15.0 16.5 18.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 4.242640687119285 4.242640687119285 0.282842712474619 0.282842712474619 12.0 12.0 13.5 13.5 15.0 15.0 16.5 16.5 18.0 18.0 0.3535533905932738 0.3535533905932738 0.20034692133618848 0.20034692133618848 0.8931484364745386 0.8931484364745386 1.5 1.5 1.625 1.625 1.75 1.75 1.875 1.875 2.0 2.0
2 0 2 7.23350529999999 2.917142799999965 0.0 10.150648099999955 8.85334680000011 19.872180199999946 4.1071798399999695 0.3344145094761871 2.920638099999934 0.2032814130357081 1164.55859375 1196.50390625 56 56 1.0 56 30 30 0.9821428571428571 0.7892522594566018 0.6311717118652992 1.0 1.0 1.0 1.0 0.9297507531522006 0.7751584691091624 0.6199007884391331 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9131480611316255 False 0 0 False 1.8666666666666667 1.8666666666666667 1.8705214713316294 1.8705214713316294 1.0020650739276586 1.0020650739276586 0.6899639767218287 0.6899639767218287 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.451473682583849 0.0002135854262048838 4.52757518709849 0.01080684891446934 7.766666666666665 0.00042362299260278926 4.160714285714285 0.015596413644897784 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.89685918854856 0.0010109556690215454 0.6157909989775501 0.5402134180032498 5.500000000000003 0.004086771438464056 0.4910714285714288 0.6119703602715728 2 6 3.0 1.4142135623730951 0.47140452079103173 2.0 2.5 3.0 3.5 4.0 28.0 9.899494936611665 0.3535533905932738 21.0 24.5 28.0 31.5 35.0 5 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 11.2 11.2 5.974947698515862 5.974947698515862 0.5334774730817734 0.5334774730817734 6.0 6.0 7.0 7.0 10.0 10.0 12.0 12.0 21.0 21.0 0.9958246164193104 0.9958246164193104 0.5334774730817734 0.5334774730817734 0.7968194053573033 0.7968194053573033 1.0 1.0 1.1666666666666667 1.1666666666666667 1.6666666666666667 1.6666666666666667 2.0 2.0 3.5 3.5
3 0 1 82.35198570000068 46.707596700000295 0.0 129.05958240000098 36.96270510000022 148.93176260000092 18.847577750000113 0.8988008979285318 16.25970241428581 1.180949126417243 1428.41015625 1479.70703125 154 154 1.0 0 56 56 0.9545454545454546 0.5336725749718184 0.33610363784916863 0.640074492589932 1.0 0.6656255576874373 0.9778110160902973 0.7257030495831843 0.5094147306549176 0.3208261997651155 0.6109801974722079 0.9545454545454546 0.6353698505198265 0.9333650608134656 0.6927165473294032 False 0 0 False 2.75 2.75 3.0226418306447815 3.0226418306447815 1.0991424838708297 1.0991424838708297 0.6542068953145124 0.6542068953145124 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 12.0 12.0 0 0.0 0 0.0 11.793801337991072 7.5512206068346165e-06 4.288655031996753 0.013723370384622376 10.357142857142858 3.176508405357046e-05 3.7662337662337664 0.02313904644299063 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 10.779352691346752 2.082507660624903e-05 0.5599663735764546 0.5712282718896758 8.555555555555555 0.00019247283028863478 0.4444444444444444 0.6411803884299546 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 19.25 19.25 10.081808227835776 10.081808227835776 0.5237302975499104 0.5237302975499104 8.0 8.0 9.0 9.0 20.5 20.5 28.25 28.25 30.0 30.0 1.4402583182622537 1.4402583182622537 0.5237302975499104 0.5237302975499104 0.7783786435617461 0.7783786435617461 1.1428571428571428 1.1428571428571428 1.2857142857142858 1.2857142857142858 2.928571428571429 2.928571428571429 4.035714285714286 4.035714285714286 4.285714285714286 4.285714285714286
4 1 4 1.4777916000001596 0.8763825999999426 0.0 2.3541742000001022 2.3541742000001022 2.3541742000001022 2.3541742000001022 0.13848083529412367 0.0 0.0 1162.10546875 1192.42578125 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 3.3755253999999013 2.851263500000073 0.0 6.226788899999974 4.224082900000099 8.580963100000076 4.356130650000068 0.300675076388894 4.488178400000038 0.37401486666666983 1216.765625 1256.7265625 30 30 1.0 30 17 30 0.9666666666666667 1.0 0.7969580757127096 1.0 1.0 1.0 1.0 1.0 0.9666666666666667 0.7703928065222859 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 0.9666666666666667 False 0 0 False 1.7647058823529411 1.7647058823529411 1.4374200745044001 0.6846531968814576 0.81453804221916 0.6846531968814576 0.6855372239176942 0.815912301189534 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 0 0.0 0 0.0 1.854574443580523 0.15651953639774424 1.050925518028963 0.3496140252445838 1.384083044982699 0.2505534407249776 0.7843137254901962 0.45643283254493355 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 1.7320508075688772 0.17692120631776423 0.11547005383792515 0.8909472522884108 1.0 0.36787944117144233 0.06666666666666667 0.9355069850316178 2 3 1.5 0.7071067811865476 0.47140452079103173 1.0 1.25 1.5 1.75 2.0 15.0 4.242640687119285 0.282842712474619 12.0 13.5 15.0 16.5 18.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 15.0 15.0 4.242640687119285 4.242640687119285 0.282842712474619 0.282842712474619 12.0 12.0 13.5 13.5 15.0 15.0 16.5 16.5 18.0 18.0 0.3535533905932738 0.3535533905932738 0.20034692133618848 0.20034692133618848 0.8931484364745386 0.8931484364745386 1.5 1.5 1.625 1.625 1.75 1.75 1.875 1.875 2.0 2.0
6 1 2 7.254342999999494 3.4615152999999736 0.0 10.715858299999468 9.429790900000057 19.296821399999544 4.017145439999877 0.3191905664761747 2.6639840749998314 0.19070115130950954 1204.4453125 1239.75390625 56 56 1.0 56 30 30 0.9821428571428571 0.7742790798072245 0.6360976863845653 1.0 1.0 1.0 1.0 0.9247596932690748 0.7604526676678098 0.624738799127698 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9821428571428571 0.9082461273178414 False 0 0 False 1.8666666666666667 1.8666666666666667 1.9070347687431926 1.9070347687431926 1.0216257689695674 1.0216257689695674 0.6862476763004901 0.6862476763004901 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 8.752565761387194 0.0001580552723064735 4.6888745150288536 0.00919703145409474 8.066666666666665 0.00031382763161986294 4.32142857142857 0.013280897273661241 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.89685918854856 0.0010109556690215454 0.6157909989775501 0.5402134180032498 5.500000000000003 0.004086771438464056 0.4910714285714288 0.6119703602715728 2 6 3.0 1.4142135623730951 0.47140452079103173 2.0 2.5 3.0 3.5 4.0 28.0 9.899494936611665 0.3535533905932738 21.0 24.5 28.0 31.5 35.0 5 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 11.2 11.2 5.974947698515862 5.974947698515862 0.5334774730817734 0.5334774730817734 6.0 6.0 7.0 7.0 10.0 10.0 12.0 12.0 21.0 21.0 0.9958246164193104 0.9958246164193104 0.5334774730817734 0.5334774730817734 0.7968194053573033 0.7968194053573033 1.0 1.0 1.1666666666666667 1.1666666666666667 1.6666666666666667 1.6666666666666667 2.0 2.0 3.5 3.5
7 1 1 82.39568880000081 50.679340700000125 0.0 133.07502950000094 37.876891000000114 152.37185090000048 19.27846675000005 0.9115571304811494 16.62154900000004 1.1680884182086184 1435.37109375 1492.46875 154 154 1.0 0 56 56 0.9545454545454546 0.5300228953565769 0.3329739642297511 0.6362578642706697 1.0 0.6617448597790209 0.9792718681017133 0.723679874412437 0.5059309455676416 0.3178387840374897 0.6073370522583665 0.9545454545454546 0.6316655479708836 0.9347595104607264 0.6907853346664172 False 0 0 False 2.75 2.75 2.9434055724001684 2.9434055724001684 1.0703292990546067 1.0703292990546067 0.6591491094797243 0.6591491094797243 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 12.0 12.0 0 0.0 0 0.0 11.584125529607933 9.312755581816464e-06 4.212409283493794 0.01481064228228679 10.160714285714286 3.865964427047921e-05 3.694805194805195 0.024852294547040465 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 10.652334120849863 2.364558548153266e-05 0.5533680062779149 0.5750099084318215 8.444444444444445 0.00021509205806226583 0.43867243867243866 0.6448919867115777 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 19.25 19.25 10.067628462410742 10.067628462410742 0.5229936863589996 0.5229936863589996 8.0 8.0 9.0 9.0 21.0 21.0 28.0 28.0 30.0 30.0 1.4382326374872487 1.4382326374872487 0.5229936863589996 0.5229936863589996 0.7785849494828241 0.7785849494828241 1.1428571428571428 1.1428571428571428 1.2857142857142858 1.2857142857142858 3.0 3.0 4.0 4.0 4.285714285714286 4.285714285714286
8 2 4 1.4840586999998777 0.8675930000001699 0.0 2.3516517000000476 2.3516517000000476 2.3516517000000476 2.3516517000000476 0.13833245294117927 0.0 0.0 1236.1171875 1267.00390625 17 17 1.0 30 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 17.0 0.0 0.0 17.0 17.0 17.0 17.0 17.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 3.8314983999996457 3.628965600000015 0.0 7.460463999999661 6.071289099999603 9.812115699999708 4.971257049999849 0.3099103311111005 3.871225000000095 0.258081666666673 1282.08984375 1321.82421875 33 33 1.0 33 17 30 0.8787878787878788 0.9028527660146265 0.7652011467917148 1.0 1.0 1.0 1.0 0.9676175886715421 0.7934160671037627 0.6724494926351433 0.8787878787878788 0.8787878787878788 0.8787878787878788 0.8787878787878788 0.8503306082265067 False 0 0 False 1.9411764705882353 1.9411764705882353 1.0289915108550531 0.5162791082806458 0.5300865358950274 0.46193393898794627 0.7502698205154834 0.8530787031932752 1.0 0.5 1.0 0.5 2.0 1.0 3.0 1.5 4.0 2.0 0 0.0 0 0.0 1.689577248981773 0.18459754630048303 0.8703882797784892 0.4187889104096287 1.3806228373702423 0.25142190932221004 0.7112299465240642 0.49103987310872343 0.28867513459481287 0.7492555730849976 0.03396178054056622 0.9666084471838756 0.16666666666666666 0.8464817248906141 0.0196078431372549 0.9805831403241086 0.8660254037844386 0.4206200260541148 0.05248638810814779 0.948867236846107 0.5 0.6065306597126334 0.030303030303030304 0.9701515036966302 2 3 1.5 0.7071067811865476 0.47140452079103173 1.0 1.25 1.5 1.75 2.0 16.5 2.1213203435596424 0.12856486930664499 15.0 15.75 16.5 17.25 18.0 2 8.5 0.7071067811865476 0.0831890330807703 8.0 8.25 8.5 8.75 9.0 16.5 16.5 2.1213203435596424 2.1213203435596424 0.12856486930664499 0.12856486930664499 15.0 15.0 15.75 15.75 16.5 16.5 17.25 17.25 18.0 18.0 0.08838834764831845 0.08838834764831845 0.04553339121277011 0.04553339121277011 0.9701053144828355 0.9701053144828355 1.875 1.875 1.90625 1.90625 1.9375 1.9375 1.96875 1.96875 2.0 2.0
