 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6270983000000001 0.08318219999998178 0.0 0.7102804999999819 0.7102804999999819 0.7102804999999819 0.7102804999999819 0.05463696153846014 0.0 0.0 318.6796875 311.52734375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.5724343000000118 0.3935993000000195 0.053508600000029105 2.0195422000000605 2.7298227000000423 2.7298227000000423 2.7298227000000423 0.12408285000000192 0.0 0.0 374.63671875 374.4453125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.4366984945013912 0.67700320038633 0.8489582012962766 0.67700320038633 0.6527634963020901 0.7984332947023015 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 3 0.23076923076923078 7 0.3181818181818182 1.7709022204955904 0.17017938021665335 1.0464422212019397 0.35118496756368195 1.5502958579881654 0.2121851878565379 0.9160839160839159 0.40008273487123963 0.8660254037844386 0.4206200260541148 0.13323467750529824 0.8752596642505708 0.5 0.6065306597126334 0.07692307692307693 0.925961078642316 0.5773502691896257 0.5613839137989282 0.05248638810814779 0.948867236846107 0.3333333333333333 0.7165313105737893 0.0303030303030303 0.9701515036966302 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
2 0 2 5.812095399999961 1.8648517000000169 0.33879400000002136 8.0157411 10.745563800000042 10.745563800000042 10.745563800000042 0.18526834137931106 0.0 0.0 475.7890625 476.18359375 58 58 1.0 58 22 22 0.7241379310344828 0.7453306127428456 0.7453306127428456 0.7453306127428456 1.0 1.0 1.0 0.7453306127428456 0.5397221678482675 0.5397221678482675 0.5397221678482675 0.7241379310344828 0.7241379310344828 0.7241379310344828 0.5397221678482675 False 0 0 False 2.6363636363636362 2.6363636363636362 2.8709622502610936 2.8709622502610936 1.0889856811335183 1.0889856811335183 0.5621208249201476 0.5621208249201476 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 11.0 11.0 4 0.18181818181818182 16 0.27586206896551724 9.677869446566916 6.26548511807745e-05 3.6709159969736582 0.025453144262069568 8.545454545454545 0.0001944268524763669 3.2413793103448274 0.03910991317080766 2.8809720581775875 0.056080223091070025 0.6547663768585426 0.5195634304501335 2.1666666666666674 0.11455884399268763 0.49242424242424254 0.611143038023359 0.912870929175278 0.4013702627582495 0.07869576975648948 0.9243210881033896 0.7000000000000007 0.49658530379140914 0.06034482758620696 0.9414398431776794 1 11 11.0 0.0 0.0 11.0 11.0 11.0 11.0 11.0 58.0 0.0 0.0 58.0 58.0 58.0 58.0 58.0 1 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 58.0 58.0 0.0 0.0 0.0 0.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 58.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362 2.6363636363636362
3 0 1 19.794336900000005 10.136424700000006 1.7012953000000266 31.632056900000038 42.37762070000008 42.37762070000008 42.37762070000008 0.44143354895833414 0.0 0.0 818.7265625 838.0390625 96 96 1.0 0 58 58 0.6979166666666666 0.5133808171925052 0.5133808171925052 0.5133808171925052 1.0 1.0 1.0 0.5133808171925052 0.35829702866560253 0.35829702866560253 0.35829702866560253 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.35829702866560253 False 0 0 False 1.6551724137931034 1.6551724137931034 1.035369654099037 1.035369654099037 0.6255358326848348 0.6255358326848348 0.8249753909219875 0.8249753909219875 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 8 0.13793103448275862 8 0.08333333333333333 2.063498524189957 0.12700884818658142 1.2466970250314322 0.2874526795872992 1.7717003567181935 0.17004360807850052 1.0704022988505753 0.3428705532396876 1.2000712229575954 0.3011727607335364 0.2482905978532956 0.7801332053001002 0.9487179487179487 0.38723716324981633 0.1962864721485411 0.8217767847937185 0.7337993857053428 0.48008150581914694 0.09172492321316784 0.9123560830102837 0.38461538461538464 0.6807123983233854 0.04807692307692308 0.9530604719137336 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 58.0 0.0 0.0 58.0 58.0 58.0 58.0 58.0 96.0 96.0 0.0 0.0 0.0 0.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034 1.6551724137931034
4 1 4 0.6293499000000224 0.08501959999998121 0.0 0.7143695000000037 0.7143695000000037 0.7143695000000037 0.7143695000000037 0.05495150000000028 0.0 0.0 337.78125 331.44140625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.5057408999998643 0.3355253999999377 0.05297440000003917 1.8942406999998411 2.608610199999845 2.608610199999845 2.608610199999845 0.12421953333332594 0.0 0.0 394.8671875 399.8359375 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 1 0.07692307692307693 2 0.09523809523809523 1.3456042834258386 0.2603823155923018 0.832993127835043 0.43474608636016254 1.1005917159763314 0.33267417682201406 0.6813186813186813 0.505949366291792 1.4433756729740645 0.23612931644846605 0.22205779584216379 0.8008690760943223 0.8333333333333334 0.4345982085070782 0.12820512820512822 0.879672914909989 0.8660254037844386 0.4206200260541148 0.08247860988423225 0.9208311343307147 0.5 0.6065306597126334 0.047619047619047616 0.9534969548334767 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 21.0 21.0 0.0 0.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154 1.6153846153846154
6 1 2 4.433636799999817 1.2265155999999422 0.21862949999979264 5.878781899999552 8.487392099999397 8.487392099999397 8.487392099999397 0.18058281063828505 0.0 0.0 472.3671875 484.5859375 47 47 1.0 47 21 21 0.8936170212765957 0.7997113857548545 0.7997113857548545 0.7997113857548545 1.0 1.0 1.0 0.7997113857548545 0.7146357064192316 0.7146357064192316 0.7146357064192316 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.7146357064192316 False 0 0 False 2.238095238095238 2.238095238095238 1.972429007715155 1.972429007715155 0.8812980672769841 0.8812980672769841 0.6421837944838613 0.6421837944838613 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 6.941228280196013 0.0009670810208925847 3.101399869874814 0.044986183491664986 6.333333333333332 0.0017761035457343807 2.8297872340425525 0.059025410931592116 2.4849547279578355 0.08332932691549179 0.4733247100872068 0.62292776740472 1.9 0.14956861922263506 0.3619047619047619 0.6963486836060755 1.2942179105544784 0.2741121607488501 0.11014620515357264 0.8957031693033864 0.8 0.44932896411722156 0.06808510638297872 0.9341809654309208 1 8 8.0 0.0 0.0 8.0 8.0 8.0 8.0 8.0 47.0 0.0 0.0 47.0 47.0 47.0 47.0 47.0 1 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 47.0 47.0 0.0 0.0 0.0 0.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238 2.238095238095238
7 1 1 11.04846280000001 4.803750999999892 0.9291506999999797 16.78136449999988 25.26875659999928 25.26875659999928 25.26875659999928 0.36098223714284683 0.0 0.0 648.18359375 650.41015625 70 70 1.0 0 47 47 0.9571428571428572 0.5921256671672847 0.5921256671672847 0.5921256671672847 1.0 1.0 1.0 0.5921256671672847 0.5667488528601153 0.5667488528601153 0.5667488528601153 0.9571428571428572 0.9571428571428572 0.9571428571428572 0.5667488528601153 False 0 0 False 1.4893617021276595 1.4893617021276595 0.6210909205139501 0.6210909205139501 0.41701818948793795 0.41701818948793795 0.8745244649537225 0.8745244649537225 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 6 0.1276595744680851 7 0.1 1.3041355677210182 0.27140704668317817 0.8756338811841123 0.41659786241886637 1.0679040289723867 0.3437282072945331 0.7170212765957453 0.4882043178686156 0.44305337860837585 0.6420729332134067 0.084840008669689 0.9186592501600559 0.3444444444444449 0.708613918533233 0.06595744680851072 0.9361707004951189 0.8541836041681149 0.4256305322715021 0.10982360625018621 0.8959921687765137 0.611111111111112 0.5427474811642213 0.0785714285714287 0.9244360264284969 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 47.0 0.0 0.0 47.0 47.0 47.0 47.0 47.0 70.0 70.0 0.0 0.0 0.0 0.0 70.0 70.0 70.0 70.0 70.0 70.0 70.0 70.0 70.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595 1.4893617021276595
8 2 4 0.6272268000000167 0.079519600000026 0.0 0.7067464000000427 0.7067464000000427 0.7067464000000427 0.7067464000000427 0.05436510769231098 0.0 0.0 489.44140625 483.95703125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.6742884999999887 0.39543489999988424 0.053589200000004666 2.1233125999998776 2.8300589999999204 2.8300589999999204 2.8300589999999204 0.12304604347825741 0.0 0.0 503.66015625 498.92578125 23 23 1.0 23 13 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7692307692307692 1.7692307692307692 1.0919284281983377 0.47703679372151425 0.6171769376773213 0.4593687643244211 0.7122413620650949 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 4.0 2.0 2 0.15384615384615385 2 0.08695652173913043 2.767093192093069 0.0628444161420106 1.5640091955308653 0.20929528117525273 2.3076923076923075 0.09949058049485845 1.3043478260869565 0.2713494443804466 1.4433756729740645 0.23612931644846605 0.22205779584216379 0.8008690760943223 0.8333333333333334 0.4345982085070782 0.12820512820512822 0.879672914909989 0.28867513459481287 0.7492555730849976 0.025102185616940248 0.9752102544751351 0.16666666666666666 0.8464817248906141 0.014492753623188404 0.9856117608207141 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 23.0 23.0 0.0 0.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692
