 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1327798999999956 0.8756201999999931 0.0 2.0084000999999887 2.0084000999999887 2.0084000999999887 2.0084000999999887 0.10042000499999944 0.0 0.0 285.35546875 277.62890625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 4.63720529999992 1.293520599999951 0.6878269999999702 6.618552899999841 8.62695299999983 8.62695299999983 8.62695299999983 0.16590294230768904 0.0 0.0 365.2890625 360.09375 52 52 1.0 52 20 20 0.8076923076923077 0.7956253779149985 0.7956253779149985 0.7956253779149985 1.0 1.0 1.0 0.7956253779149985 0.6426204975467296 0.6426204975467296 0.6426204975467296 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.6426204975467296 False 0 0 False 2.6 2.6 2.7414940221864814 2.7414940221864814 1.0544207777640313 1.0544207777640313 0.5595450853601956 0.5595450853601956 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 0 0.0 0 0.0 6.112282715974449 0.002215487707000652 2.3508779676824805 0.09528546791903905 5.399999999999999 0.004516580942612675 2.076923076923076 0.12531520484413733 1.5374122295716148 0.2149365889287328 0.7687061147858074 0.46361254181561223 1.2727272727272727 0.2800667608216489 0.6363636363636364 0.5292133415000503 2.3316010886006278 0.09714009261952843 0.4483848247308899 0.6386588650104723 1.618181818181817 0.1982588422037541 0.311188811188811 0.7325755443510514 1 22 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 52.0 52.0 0.0 0.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6
2 0 1 17.476119600000075 7.448282300000031 3.1410099000000287 28.065411800000135 36.692364799999964 36.692364799999964 36.692364799999964 0.39034430638297835 0.0 0.0 678.88671875 680.65234375 94 94 1.0 0 52 52 0.7127659574468085 0.5347712567828264 0.5347712567828264 0.5347712567828264 1.0 1.0 1.0 0.5347712567828264 0.38116674685584434 0.38116674685584434 0.38116674685584434 0.7127659574468085 0.7127659574468085 0.7127659574468085 0.38116674685584434 False 0 0 False 1.8076923076923077 1.8076923076923077 1.2839653886126972 1.2839653886126972 0.7102787256155346 0.7102787256155346 0.7909738814774678 0.7909738814774678 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 1 0.019230769230769232 1 0.010638297872340425 2.37264364577205 0.09323392272558899 1.3125262721292192 0.2691392777744161 1.96301775147929 0.14043398595466838 1.085924713584288 0.33758946794772027 1.231383103597773 0.2918885862104969 0.544650218899015 0.5800446365122549 0.9257246376811589 0.39624418155110336 0.40945512820512797 0.6640119529711661 1.1810705043442127 0.3069499713813397 0.2889853361693286 0.7490231888713499 0.9166666666666714 0.3998496543448455 0.22429078014184511 0.7990827431902217 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 94.0 94.0 0.0 0.0 0.0 0.0 94.0 94.0 94.0 94.0 94.0 94.0 94.0 94.0 94.0 94.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077 1.8076923076923077
3 1 3 1.1361988000000167 0.7029308999999699 0.0 1.8391296999999867 1.8391296999999867 1.8391296999999867 1.8391296999999867 0.09195648499999934 0.0 0.0 329.51953125 322.58203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 4.622182499999937 1.4005464999999901 0.7154175000000436 6.738146499999971 8.577276199999957 8.577276199999957 8.577276199999957 0.16494761923076842 0.0 0.0 415.34765625 414.19921875 52 52 1.0 52 20 20 0.8076923076923077 0.7970654935369716 0.7970654935369716 0.7970654935369716 1.0 1.0 1.0 0.7970654935369716 0.6437836678567848 0.6437836678567848 0.6437836678567848 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.6437836678567848 False 0 0 False 2.6 2.6 2.5422741580594415 2.5422741580594415 0.9777977530997851 0.9777977530997851 0.5778097563724114 0.5778097563724114 1.0 1.0 1.0 1.0 1.5 1.5 3.0 3.0 10.0 10.0 1 0.05 1 0.019230769230769232 7.1414284285428495 0.0007916205151284205 2.74670324174725 0.06413896369645981 5.7 0.003345965457471272 2.1923076923076925 0.11165877697151848 1.243163121016122 0.28847030680530933 0.621581560508061 0.5370943183513575 0.8181818181818182 0.44123316775998395 0.4090909090909091 0.6642538428642953 3.610590483060026 0.027035877924192323 0.6943443236653896 0.49940178659225043 2.6363636363636354 0.07162123746450362 0.5069930069930068 0.6023039823842993 1 23 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 52.0 52.0 0.0 0.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6
5 1 1 18.144437399999973 8.118123499999896 3.3939168000001416 29.65647770000001 38.23375389999997 38.23375389999997 38.23375389999997 0.39826826979166635 0.0 0.0 697.63671875 701.3046875 96 96 1.0 0 52 52 0.6979166666666666 0.5286248626264136 0.5286248626264136 0.5286248626264136 1.0 1.0 1.0 0.5286248626264136 0.36893610204135113 0.36893610204135113 0.36893610204135113 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.36893610204135113 False 0 0 False 1.8461538461538463 1.8461538461538463 1.513140033235852 1.513140033235852 0.8196175180027532 0.8196175180027532 0.7667739460850622 0.7667739460850622 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 2.0762107040408893 0.12540450780252033 1.1246141313554816 0.3247777647384793 1.7278106508875744 0.17767297262994325 0.935897435897436 0.3922337029282811 1.0852547064066471 0.33781573110484653 0.5008867875722987 0.605993034276392 0.8933333333333334 0.40928917913121854 0.4123076923076924 0.6621205153165961 1.0 0.36787944117144233 0.25 0.7788007830714049 0.44 0.6440364210831414 0.11 0.8958341352965282 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 96.0 96.0 0.0 0.0 0.0 0.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463 1.8461538461538463
6 2 3 1.140013300000021 0.7669211999999561 0.0 1.906934499999977 1.906934499999977 1.906934499999977 1.906934499999977 0.09534672499999886 0.0 0.0 360.61328125 354.34765625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 4.881405999999998 1.1964636999999527 0.7442422000000875 6.8221119000000385 8.729046400000016 8.729046400000016 8.729046400000016 0.1616490074074077 0.0 0.0 456.35546875 456.0703125 54 54 1.0 54 20 20 0.7777777777777778 0.7927136440506678 0.7927136440506678 0.7927136440506678 1.0 1.0 1.0 0.7927136440506678 0.6165550564838528 0.6165550564838528 0.6165550564838528 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.6165550564838528 False 0 0 False 2.7 2.7 2.735728518386974 2.735728518386974 1.0132327845877682 1.0132327845877682 0.5600598681743745 0.5600598681743745 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 8.784361103688758 0.00015310890327064583 3.2534670754402804 0.03864000750379365 7.649999999999997 0.000476044129022271 2.833333333333332 0.05881647164242996 1.7056057308448835 0.181662314374621 0.8528028654224418 0.42621862274497224 1.4545454545454546 0.23350647909091338 0.7272727272727273 0.48322508118982543 4.096561751251672 0.016629754451974028 0.7586225465280874 0.4683110596272835 2.9999999999999982 0.049787068367864035 0.5555555555555551 0.5737534207374331 1 23 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 54.0 0.0 0.0 54.0 54.0 54.0 54.0 54.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 54.0 54.0 0.0 0.0 0.0 0.0 54.0 54.0 54.0 54.0 54.0 54.0 54.0 54.0 54.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 2.7 2.7 2.7 2.7 2.7 2.7 2.7 2.7 2.7 2.7
8 2 1 18.5493661000001 8.660031700000133 3.4656248999999093 30.67502270000014 39.40406910000016 39.40406910000016 39.40406910000016 0.41045905312500164 0.0 0.0 746.0625 748.2109375 96 96 1.0 0 54 54 0.6979166666666666 0.5241402440857755 0.5241402440857755 0.5241402440857755 1.0 1.0 1.0 0.5241402440857755 0.36580621201819746 0.36580621201819746 0.36580621201819746 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.36580621201819746 False 0 0 False 1.7777777777777777 1.7777777777777777 1.3127339563870406 1.3127339563870406 0.7384128504677103 0.7384128504677103 0.7898135600871243 0.7898135600871243 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 1 0.018518518518518517 1 0.010416666666666666 1.7690759253434063 0.17049046197083054 0.995105208005666 0.36968454872392226 1.401234567901235 0.24629271109442577 0.7881944444444448 0.4546649774932932 0.9539392014169457 0.38522056932057 0.4239729784075314 0.6544415657232185 0.66 0.5168513344916992 0.29333333333333333 0.7457735080913922 0.8246211251235321 0.4384010601510338 0.20615528128088303 0.8137067130515866 0.44 0.6440364210831414 0.11 0.8958341352965282 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 54.0 0.0 0.0 54.0 54.0 54.0 54.0 54.0 96.0 96.0 0.0 0.0 0.0 0.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 96.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777 1.7777777777777777
9 3 3 1.144479500000017 0.8430315999999891 0.0 1.987511100000006 1.987511100000006 1.987511100000006 1.987511100000006 0.09937555500000031 0.0 0.0 503.72265625 496.71484375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
