 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1403128999999765 0.8281957000000162 0.0 1.9685085999999927 1.9685085999999927 1.9685085999999927 1.9685085999999927 0.09842542999999963 0.0 0.0 284.34765625 278.6328125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.7384683000000294 0.9827129000000028 0.35861989999997945 5.079801100000012 7.048309700000004 7.048309700000004 7.048309700000004 0.16018885681818193 0.0 0.0 345.83203125 346.40234375 44 44 1.0 44 20 20 0.9545454545454546 0.8512999795586953 0.8512999795586953 0.8512999795586953 1.0 1.0 1.0 0.8512999795586953 0.812604525942391 0.812604525942391 0.812604525942391 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.812604525942391 False 0 0 False 2.2 2.2 1.9894458366193601 1.9894458366193601 0.9042935620997091 0.9042935620997091 0.6344506346681092 0.6344506346681092 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 8.0 8.0 0 0.0 0 0.0 7.848566748139433 0.00039031098149410246 3.5675303400633784 0.028225474999220446 7.099999999999997 0.0008251049232659068 3.2272727272727257 0.03966553012450027 2.2502204477544114 0.10537599210035904 0.6750661343263235 0.5091227490041157 1.6666666666666665 0.18887560283756186 0.49999999999999994 0.6065306597126334 2.6577230975953965 0.07010766847237762 0.3624167860357359 0.6959922275413383 2.1428571428571432 0.11731916609425073 0.29220779220779225 0.746613379411278 1 7 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2
2 0 1 9.863229700000005 4.322284899999929 0.7480028999999888 14.933517499999923 21.981827199999927 21.981827199999927 21.981827199999927 0.3280869731343273 0.0 0.0 532.390625 536.97265625 67 67 1.0 0 44 44 1.0 0.6145226496578708 0.6145226496578708 0.6145226496578708 1.0 1.0 1.0 0.6145226496578708 0.6145226496578708 0.6145226496578708 0.6145226496578708 1.0 1.0 1.0 0.6145226496578708 False 0 0 False 1.5227272727272727 1.5227272727272727 0.628347273395124 0.628347273395124 0.41264597058784264 0.41264597058784264 0.8711572080430293 0.8711572080430293 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 6 0.13636363636363635 7 0.1044776119402985 1.39017731790107 0.2490311430368789 0.9129522684723445 0.4013376169109265 1.1084710743801658 0.33006321760115387 0.727951153324288 0.48289735988588367 1.0 0.36787944117144233 0.18181818181818182 0.8337529180751806 0.6666666666666666 0.513417119032592 0.1212121212121212 0.8858460329277068 0.4330127018922193 0.64855225391183 0.05170300918116051 0.9496108506716326 0.3333333333333333 0.7165313105737893 0.03980099502487562 0.9609806600570862 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 67.0 67.0 0.0 0.0 0.0 0.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727
3 1 3 1.1334089000000063 0.7757457000000301 0.0 1.9091546000000363 1.9091546000000363 1.9091546000000363 1.9091546000000363 0.09545773000000182 0.0 0.0 294.1953125 287.3671875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.744921000000062 1.056914800000044 0.361702300000033 5.163538100000139 7.072692700000175 7.072692700000175 7.072692700000175 0.1607430159090949 0.0 0.0 361.390625 359.94921875 44 44 1.0 44 20 20 0.9545454545454546 0.8502370760443836 0.8502370760443836 0.8502370760443836 1.0 1.0 1.0 0.8502370760443836 0.8115899362241844 0.8115899362241844 0.8115899362241844 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.8115899362241844 False 0 0 False 2.2 2.2 1.9628121608924702 1.9628121608924702 0.8921873458602136 0.8921873458602136 0.6374379375407305 0.6374379375407305 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 8.0 8.0 8 0.4 8 0.18181818181818182 8.033056703397529 0.00032455462392511135 3.65138941063524 0.025955041503835458 7.249999999999997 0.000710174388842551 3.295454545454544 0.037051199764577825 2.30251760071173 0.1000067494559971 0.690755280213519 0.5011973816110881 1.8095238095238095 0.16373208590187505 0.5428571428571428 0.5810856336678201 2.9059326290271166 0.05469775409293974 0.39626354032187955 0.6728293549053947 2.285714285714286 0.1017013923042268 0.31168831168831174 0.7322097138745852 1 7 7.0 0.0 0.0 7.0 7.0 7.0 7.0 7.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2
5 1 1 9.864923200000106 3.991985799999995 0.7487840999999804 14.605693100000082 21.678385800000257 21.678385800000257 21.678385800000257 0.3235579970149292 0.0 0.0 533.8828125 538.40625 67 67 1.0 0 44 44 1.0 0.6167931853840205 0.6167931853840205 0.6167931853840205 1.0 1.0 1.0 0.6167931853840205 0.6167931853840205 0.6167931853840205 0.6167931853840205 1.0 1.0 1.0 0.6167931853840205 False 0 0 False 1.5227272727272727 1.5227272727272727 0.628347273395124 0.628347273395124 0.41264597058784264 0.41264597058784264 0.8711572080430293 0.8711572080430293 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 7 0.1590909090909091 8 0.11940298507462686 1.3582279108644615 0.25711600596197454 0.8919705683289001 0.40984732432522175 1.1084710743801658 0.33006321760115387 0.727951153324288 0.48289735988588367 1.0 0.36787944117144233 0.18181818181818182 0.8337529180751806 0.6666666666666666 0.513417119032592 0.1212121212121212 0.8858460329277068 0.4330127018922193 0.64855225391183 0.05170300918116051 0.9496108506716326 0.3333333333333333 0.7165313105737893 0.03980099502487562 0.9609806600570862 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 67.0 67.0 0.0 0.0 0.0 0.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 67.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727 1.5227272727272727
6 2 3 1.1375668000000019 0.797549599999968 0.0 1.9351163999999699 1.9351163999999699 1.9351163999999699 1.9351163999999699 0.0967558199999985 0.0 0.0 310.875 303.296875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 4.696513699999983 1.3127049000000568 0.4132020000000267 6.422420600000066 8.357537000000036 8.357537000000036 8.357537000000036 0.16072186538461608 0.0 0.0 401.3671875 406.921875 52 52 1.0 52 20 20 0.8076923076923077 0.803629010350047 0.803629010350047 0.803629010350047 1.0 1.0 1.0 0.803629010350047 0.6490849698981149 0.6490849698981149 0.6490849698981149 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.6490849698981149 False 0 0 False 2.6 2.6 2.6437612759495757 2.6437612759495757 1.016831259980606 1.016831259980606 0.5683805001112026 0.5683805001112026 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 2 0.1 12 0.23076923076923078 9.435570994910695 7.983320838394354e-05 3.6290657672733437 0.026540968271300102 8.149999999999999 0.0002887353596282035 3.134615384615384 0.04351648772170244 1.8940173144144137 0.15046612331030518 0.568205194324324 0.5665413583831438 1.5238095238095237 0.21788028382312244 0.4571428571428571 0.6330898921891813 3.9781147325582302 0.018720899992643474 0.4590132383721035 0.6319068794257188 3.000000000000001 0.049787068367863896 0.34615384615384626 0.7074036474040616 1 8 8.0 0.0 0.0 8.0 8.0 8.0 8.0 8.0 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 52.0 52.0 0.0 0.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6 2.6
8 2 1 12.55087279999988 5.783573600000068 1.0080253000000567 19.342471700000004 27.70000870000004 27.70000870000004 27.70000870000004 0.36447379868421104 0.0 0.0 626.12109375 626.6796875 76 76 1.0 0 52 52 0.881578947368421 0.5776855844543176 0.5776855844543176 0.5776855844543176 1.0 1.0 1.0 0.5776855844543176 0.5092754494531484 0.5092754494531484 0.5092754494531484 0.881578947368421 0.881578947368421 0.881578947368421 0.5092754494531484 False 0 0 False 1.4615384615384615 1.4615384615384615 0.609131122158358 0.609131122158358 0.4167739256872976 0.4167739256872976 0.8796089556804704 0.8796089556804704 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 8 0.15384615384615385 10 0.13157894736842105 1.431885420691253 0.23885814933197652 0.9797110773150679 0.3754195504080675 1.1568047337278111 0.31448945471309714 0.7914979757085024 0.4531654557476856 0.9169191571456784 0.39974870885851255 0.15869754642905973 0.8532543897831043 0.6777777777777779 0.5077440597374459 0.11730769230769234 0.8893115167486609 1.0417222207408183 0.3528464788549012 0.12336184192983375 0.8839437567718325 0.7888888888888876 0.4543493475320113 0.0934210526315788 0.9108099206342434 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 52.0 0.0 0.0 52.0 52.0 52.0 52.0 52.0 76.0 76.0 0.0 0.0 0.0 0.0 76.0 76.0 76.0 76.0 76.0 76.0 76.0 76.0 76.0 76.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615 1.4615384615384615
9 3 3 1.1389374000000316 0.9393169000000512 0.0 2.078254300000083 2.078254300000083 2.078254300000083 2.078254300000083 0.10391271500000414 0.0 0.0 428.875 420.69921875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
