 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6201637999999718 0.08524589999996124 0.0 0.7054096999999331 0.7054096999999331 0.7054096999999331 0.7054096999999331 0.05426228461537947 0.0 0.0 300.234375 292.2421875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.6933727000000687 0.5583694000000179 0.06272309999998527 2.314465200000072 3.019874900000005 3.019874900000005 3.019874900000005 0.1312989086956524 0.0 0.0 360.328125 358.2265625 23 23 1.0 23 13 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7692307692307692 1.7692307692307692 1.4806443503784736 0.6910601294852009 0.8368859371704417 0.6654653098746378 0.6457948214502014 0.7951789471817595 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 5 0.38461538461538464 7 0.30434782608695654 2.766023784056185 0.06291165841401082 1.5634047475100177 0.20942182753522737 2.27810650887574 0.10247806442911535 1.287625418060201 0.27592521281082216 2.0207259421636903 0.1325591998305055 0.3108809141790293 0.7328011368984495 1.1666666666666667 0.3114032239145977 0.1794871794871795 0.8356986649599262 2.0207259421636903 0.1325591998305055 0.17571529931858176 0.8388567724384767 1.1666666666666667 0.3114032239145977 0.10144927536231885 0.9035270092600377 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 23.0 23.0 0.0 0.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692 1.7692307692307692
2 0 2 5.404063100000002 1.6943893999999489 0.4259057999999811 7.524358299999932 10.544233199999937 10.544233199999937 10.544233199999937 0.19171333090908976 0.0 0.0 424.3203125 427.7109375 55 55 1.0 55 23 23 0.7636363636363637 0.7493731275968523 0.7493731275968523 0.7493731275968523 1.0 1.0 1.0 0.7493731275968523 0.5722485701648691 0.5722485701648691 0.5722485701648691 0.7636363636363637 0.7636363636363637 0.7636363636363637 0.5722485701648691 False 0 0 False 2.391304347826087 2.391304347826087 2.606619727379131 2.606619727379131 1.0900409769040003 1.0900409769040003 0.5908871515186265 0.5908871515186265 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 6.794860728899583 0.001119513874078445 2.841487213903462 0.058338839082835874 5.697542533081285 0.003354198168558535 2.382608695652174 0.09230945586442248 1.5823932046012628 0.20548274703564795 0.41279822728728593 0.6617958016913338 1.1666666666666665 0.31140322391459774 0.3043478260869565 0.7376042638218265 2.713136766016618 0.06632842331670225 0.295978556292722 0.7438033777510732 2.0238095238095237 0.13215107228561426 0.2207792207792208 0.8018937022148177 1 23 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 1 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 55.0 55.0 0.0 0.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 55.0 0.0 0.0 0.0 0.0 0.0 0.0 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087 2.391304347826087
3 0 1 21.87691650000005 10.378411199999988 4.27873330000007 36.53406100000011 47.078294200000045 47.078294200000045 47.078294200000045 0.4526759057692312 0.0 0.0 798.89453125 828.8671875 104 104 1.0 0 55 55 0.6442307692307693 0.49796568632715377 0.49796568632715377 0.49796568632715377 1.0 1.0 1.0 0.49796568632715377 0.32080481715307024 0.32080481715307024 0.32080481715307024 0.6442307692307693 0.6442307692307693 0.6442307692307693 0.32080481715307024 False 0 0 False 1.8909090909090909 1.8909090909090909 1.3967253670073265 1.3967253670073265 0.7386528383211823 0.7386528383211823 0.7818740456923531 0.7818740456923531 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 2 0.03636363636363636 2 0.019230769230769232 4.234412348116833 0.014488321786170839 2.2393526841002482 0.10652743897062275 3.638016528925619 0.02630446640516596 1.9239510489510487 0.14602885366589013 6.78849107763361 0.001126667546054802 2.962250652058303 0.05170242196439711 5.9 0.0027394448187683684 2.5745454545454547 0.07618844604093226 8.835031283350265 0.00014554412054242983 2.0388533730808307 0.13017789080910158 7.6400000000000015 0.00048082845205837986 1.7630769230769234 0.17151630859019 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 104.0 104.0 0.0 0.0 0.0 0.0 104.0 104.0 104.0 104.0 104.0 104.0 104.0 104.0 104.0 104.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909 1.8909090909090909
4 1 4 0.6220127000000275 0.08040350000001695 0.0 0.7024162000000445 0.7024162000000445 0.7024162000000445 0.7024162000000445 0.054032015384618805 0.0 0.0 350.35546875 344.375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.5914941999999428 0.5725607000001105 0.06403479999991646 2.2280896999999698 2.930505900000014 2.930505900000014 2.930505900000014 0.13320481363636427 0.0 0.0 406.83984375 408.33984375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.9368735864637185 0.14415393079835526 1.1445162101831063 0.3183779085279099 1.692307692307692 0.18409420065330423 0.9999999999999999 0.3678794411714424 2.598076211353316 0.07441660241090339 0.39970403251589476 0.6705184683350357 1.5 0.22313016014842982 0.23076923076923078 0.7939226578179512 2.886751345948129 0.05575705408641982 0.262431940540739 0.7691787124744045 1.6666666666666667 0.18887560283756183 0.15151515151515152 0.8594048608885093 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
6 1 2 4.27023490000002 1.311891599999882 0.4021937999999352 5.984320299999837 8.914826199999851 8.914826199999851 8.914826199999851 0.19380056956521416 0.0 0.0 449.4765625 448.17578125 46 46 1.0 46 22 22 0.9130434782608695 0.7875728794855641 0.7875728794855641 0.7875728794855641 1.0 1.0 1.0 0.7875728794855641 0.719088281269428 0.719088281269428 0.719088281269428 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.719088281269428 False 0 0 False 2.090909090909091 2.090909090909091 1.9250007027603147 1.9250007027603147 0.9206525100158027 0.9206525100158027 0.652772571991812 0.652772571991812 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 6.960929927426756 0.0009482143938511496 3.329140400073666 0.03582388604590267 6.363636363636363 0.0017230895256151245 3.043478260869565 0.04766879629506209 1.0540925533894598 0.34850853674870147 0.2874797872880345 0.7501517292185773 0.761904761904762 0.46677648165168134 0.2077922077922078 0.8123758245410723 4.707306040479008 0.009029068793818316 0.6139964400624792 0.541183733192051 3.714285714285714 0.02437284407327961 0.4844720496894409 0.6160223401127408 1 12 12.0 0.0 0.0 12.0 12.0 12.0 12.0 12.0 46.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 1 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 46.0 46.0 0.0 0.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091 2.090909090909091
7 1 1 10.579137400000036 4.605456400000065 1.4468081000002542 16.631401900000355 25.546228100000206 25.546228100000206 25.546228100000206 0.3702351898550755 0.0 0.0 631.734375 639.68359375 69 69 1.0 0 46 46 0.9710144927536232 0.59039642576174 0.59039642576174 0.59039642576174 1.0 1.0 1.0 0.59039642576174 0.5732834858845881 0.5732834858845881 0.5732834858845881 0.9710144927536232 0.9710144927536232 0.9710144927536232 0.5732834858845881 False 0 0 False 1.5 1.5 0.6236095644623235 0.6236095644623235 0.415739709641549 0.415739709641549 0.873414157484718 0.873414157484718 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 7 0.15217391304347827 8 0.11594202898550725 1.487264778625222 0.2259899434688802 0.9915098524168147 0.3710160883772015 1.2065217391304348 0.29923629329144313 0.8043478260869565 0.4473796007427037 2.797172827012272 0.0609822264454309 0.7905053641556422 0.45361549633520987 2.208791208791209 0.10983333387332628 0.6242236024844721 0.5356771655299579 4.822679935289274 0.00804519761376132 0.9086208573733416 0.4030797453327635 4.027472527472528 0.0178193109044249 0.7587991718426503 0.46822835134346685 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 46.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 69.0 69.0 0.0 0.0 0.0 0.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 69.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5
8 2 4 0.625782600000008 0.08467140000001905 0.0 0.710454000000027 0.710454000000027 0.710454000000027 0.710454000000027 0.05465030769230977 0.0 0.0 361.58203125 354.21484375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.6119014999999877 0.5031502000001069 0.06716279999992025 2.182214500000015 2.892668500000042 2.892668500000042 2.892668500000042 0.13148493181818371 0.0 0.0 418.2890625 418.125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 3 0.23076923076923078 3 0.13636363636363635 1.3345655056074979 0.2632725410514112 0.7886068896771579 0.4544774917573013 1.047337278106509 0.3508707776635784 0.6188811188811189 0.5385466703194911 2.0207259421636903 0.1325591998305055 0.3108809141790293 0.7328011368984495 1.1666666666666667 0.3114032239145977 0.1794871794871795 0.8356986649599262 3.4641016151377544 0.03130111324493289 0.31491832864888675 0.7298484795464344 2.0 0.1353352832366127 0.18181818181818182 0.8337529180751806 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
