 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1262072000000032 0.6982510000000062 0.0 1.8244582000000094 1.8244582000000094 1.8244582000000094 1.8244582000000094 0.09122291000000046 0.0 0.0 294.45703125 288.2578125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 5.401939500000083 1.7692712999999571 0.35660630000003835 7.527817100000078 9.352275300000088 9.352275300000088 9.352275300000088 0.16407500526315943 0.0 0.0 401.10546875 396.734375 57 57 1.0 57 20 20 0.7368421052631579 0.7761974020322524 0.7761974020322524 0.7761974020322524 1.0 1.0 1.0 0.7761974020322524 0.5719349278132386 0.5719349278132386 0.5719349278132386 0.7368421052631579 0.7368421052631579 0.7368421052631579 0.5719349278132386 False 0 0 False 2.85 2.85 3.030980386815982 3.030980386815982 1.0635018901108708 1.0635018901108708 0.5346681574846786 0.5346681574846786 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 11.0 11.0 1 0.05 2 0.03508771929824561 4.542989104103157 0.010641550264799774 1.5940312645975987 0.20310518841788514 3.8549999999999995 0.021173603310116536 1.3526315789473682 0.2585589462931061 2.3804761428476167 0.09250652070431782 0.5951190357119042 0.55149691413267 1.6666666666666667 0.18887560283756183 0.4166666666666667 0.6592406302004438 4.464676173400858 0.011508421889770047 0.39163826082463665 0.67594858682464 3.0 0.049787068367863944 0.2631578947368421 0.7686205265937358 1 16 16.0 0.0 0.0 16.0 16.0 16.0 16.0 16.0 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 57.0 57.0 0.0 0.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 57.0 57.0 57.0 57.0 57.0 0.0 0.0 0.0 0.0 0.0 0.0 2.85 2.85 2.85 2.85 2.85 2.85 2.85 2.85 2.85 2.85
2 0 1 20.01519929999992 9.693967999999941 2.9695080000000047 32.67867529999987 42.030950599999954 42.030950599999954 42.030950599999954 0.4288872510204077 0.0 0.0 776.41796875 804.27734375 98 98 1.0 0 57 57 0.6836734693877551 0.5145914271546235 0.5145914271546235 0.5145914271546235 1.0 1.0 1.0 0.5145914271546235 0.35181250631999766 0.35181250631999766 0.35181250631999766 0.6836734693877551 0.6836734693877551 0.6836734693877551 0.35181250631999766 False 0 0 False 1.719298245614035 1.719298245614035 1.0133816437501344 1.0133816437501344 0.5894158540179353 0.5894158540179353 0.826909017009402 0.826909017009402 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 4 0.07017543859649122 5 0.05102040816326531 3.725403242850714 0.024103378951650618 2.1668161718621497 0.11454171813055687 2.990766389658355 0.05024891171661084 1.739527389903329 0.1756033729357336 8.38805562238252 0.00022756932917256104 2.501700799657945 0.08194550714347378 7.2222222222222205 0.0007301779968647988 2.153996101364522 0.11601960409167193 10.590722293253208 2.5148248820327383e-05 1.8371661120949443 0.15926813521779212 9.222222222222225 9.88188460188396e-05 1.599773242630386 0.2019423047090514 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 98.0 98.0 0.0 0.0 0.0 0.0 98.0 98.0 98.0 98.0 98.0 98.0 98.0 98.0 98.0 98.0 0.0 0.0 0.0 0.0 0.0 0.0 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035 1.719298245614035
3 1 3 1.1290821999999423 0.7256311000000153 0.0 1.8547132999999576 1.8547132999999576 1.8547132999999576 1.8547132999999576 0.09273566499999789 0.0 0.0 355.30078125 349.37109375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.801557999999943 1.033570800000021 0.16039830000003974 4.995527100000004 6.8502403999999615 6.8502403999999615 6.8502403999999615 0.15568728181818095 0.0 0.0 447.234375 445.234375 44 44 1.0 44 20 20 0.9545454545454546 0.8602631604970208 0.8602631604970208 0.8602631604970208 1.0 1.0 1.0 0.8602631604970208 0.821160289565338 0.821160289565338 0.821160289565338 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.821160289565338 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 10 0.5 14 0.3181818181818182 5.332916650389352 0.00482996213743211 2.4240530229042507 0.08856194547888858 4.599999999999997 0.010051835744633612 2.0909090909090895 0.12357474406161408 1.343709624716425 0.2608761188609294 0.20155644370746376 0.8174574359295309 0.7500000000000002 0.4723665527410146 0.11250000000000003 0.8935973471085157 1.4337208778404384 0.2384201375330561 0.09775369621639353 0.9068722423127551 1.0000000000000004 0.36787944117144217 0.06818181818181822 0.9340906234779491 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2
5 1 1 11.147214099999928 5.073481200000103 1.192590799999934 17.413286099999965 24.263526499999927 24.263526499999927 24.263526499999927 0.33237707534246475 0.0 0.0 630.4765625 628.1171875 73 73 1.0 0 44 44 0.9178082191780822 0.5985850565054966 0.5985850565054966 0.5985850565054966 1.0 1.0 1.0 0.5985850565054966 0.5493862847379216 0.5493862847379216 0.5493862847379216 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.5493862847379216 False 0 0 False 1.6590909090909092 1.6590909090909092 0.9869657947038658 0.9869657947038658 0.5948834926982205 0.5948834926982205 0.8185585778459048 0.8185585778459048 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 5 0.11363636363636363 5 0.0684931506849315 1.6406981732993324 0.1938446578711539 0.9889139674680907 0.37198045460710366 1.2892561983471065 0.27547560611761807 0.7770859277708586 0.45974378777438907 3.4245105821522466 0.03256521508704894 0.7782978595800559 0.45918694714849434 2.818181818181817 0.05971441573218535 0.6404958677685947 0.5270310215412354 6.06967125064522 0.0023119331322089256 0.8314618151568794 0.4354123285363431 5.045454545454546 0.0064385330926608805 0.6911581569115817 0.5009955015340269 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 73.0 73.0 0.0 0.0 0.0 0.0 73.0 73.0 73.0 73.0 73.0 73.0 73.0 73.0 73.0 73.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092 1.6590909090909092
6 2 3 1.1274890999999627 0.7454036999999971 0.0 1.8728927999999598 1.8728927999999598 1.8728927999999598 1.8728927999999598 0.09364463999999799 0.0 0.0 374.97265625 368.9140625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.819038199999909 1.3456931999999995 0.25741000000002145 5.42214139999993 7.29503419999989 7.29503419999989 7.29503419999989 0.16579623181817932 0.0 0.0 459.27734375 460.22265625 44 44 1.0 44 20 20 0.9545454545454546 0.8409165666485054 0.8409165666485054 0.8409165666485054 1.0 1.0 1.0 0.8409165666485054 0.8026930863463007 0.8026930863463007 0.8026930863463007 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.8026930863463007 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 4 0.2 11 0.25 5.444263035526479 0.004321023275154516 2.4746650161483994 0.08419118822261681 4.2799999999999985 0.013842662086479525 1.9454545454545447 0.14292224391483613 2.280350850198276 0.1022483265759759 0.4560701700396552 0.6337693639168265 1.6 0.20189651799465538 0.32 0.7261490370736909 5.9497899122574065 0.0026063880310714057 0.5408899920234006 0.5822298418025816 4.6 0.010051835744633586 0.41818181818181815 0.658242537082838 1 10 10.0 0.0 0.0 10.0 10.0 10.0 10.0 10.0 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 1 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 44.0 44.0 0.0 0.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 44.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2 2.2
8 2 1 11.560235999999975 5.543482999999981 1.3747836999999663 18.478502699999922 25.77353689999981 25.77353689999981 25.77353689999981 0.3436471586666642 0.0 0.0 652.9453125 650.83984375 75 75 1.0 0 44 44 0.8933333333333333 0.5889963191706177 0.5889963191706177 0.5889963191706177 1.0 1.0 1.0 0.5889963191706177 0.5261700451257518 0.5261700451257518 0.5261700451257518 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.5261700451257518 False 0 0 False 1.7045454545454546 1.7045454545454546 1.0692215263005322 1.0692215263005322 0.6272766287629788 0.6272766287629788 0.8078393176243296 0.8078393176243296 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 4 0.09090909090909091 4 0.05333333333333334 2.721347730642737 0.06578603280113557 1.5965240019770723 0.2025995310201344 2.118801652892561 0.12017555428557866 1.2430303030303023 0.2885086233949378 3.9791121287711073 0.01870223714656231 0.9947780321927768 0.36980552035508035 3.3333333333333335 0.035673993347252395 0.8333333333333334 0.4345982085070782 8.07258735887489 0.0003119750445174214 1.1839794793016505 0.30605835906909445 6.833333333333333 0.0010772612553122203 1.0022222222222221 0.36706283897399766 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1 44.0 0.0 0.0 44.0 44.0 44.0 44.0 44.0 75.0 75.0 0.0 0.0 0.0 0.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546 1.7045454545454546
9 3 3 1.1300993999999775 0.8044469999999535 0.0 1.934546399999931 1.934546399999931 1.934546399999931 1.934546399999931 0.09672731999999655 0.0 0.0 392.06640625 385.359375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
