 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6316489000000018 0.08095719999997897 0.0 0.7126060999999808 0.7126060999999808 0.7126060999999808 0.7126060999999808 0.05481585384615237 0.0 0.0 256.703125 245.578125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.6797401999999835 0.7199830999999932 0.015256000000000824 2.4149792999999775 2.8479736999999545 3.1275853999999583 1.5789117499999819 0.11784160555555544 0.30984980000000917 0.01721387777777829 283.08203125 276.3203125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 4 0.3076923076923077 4 0.18181818181818182 1.3888823142513684 0.24935384818307307 0.8207031856939905 0.44012205813199784 1.0887573964497042 0.3366345371928509 0.6433566433566433 0.5255254586262809 2.598076211353316 0.07441660241090339 0.39970403251589476 0.6705184683350357 1.5 0.22313016014842982 0.23076923076923078 0.7939226578179512 4.041451884327381 0.01757194145970389 0.3674047167570346 0.6925293101035576 2.3333333333333335 0.09697196786440505 0.21212121212121213 0.8088666471820897 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 11.0 9.899494936611665 0.899954085146515 4.0 7.5 11.0 14.5 18.0 2 6.5 6.363961030678928 0.9790709277967581 2.0 4.25 6.5 8.75 11.0 11.0 11.0 9.899494936611665 9.899494936611665 0.899954085146515 0.899954085146515 4.0 4.0 7.5 7.5 11.0 11.0 14.5 14.5 18.0 18.0 0.2571297386132899 0.2571297386132899 0.15194030008967133 0.15194030008967133 0.9107853195952006 0.9107853195952006 1.6363636363636365 1.6363636363636365 1.7272727272727273 1.7272727272727273 1.8181818181818183 1.8181818181818183 1.9090909090909092 1.9090909090909092 2.0 2.0
2 0 2 3.861488499999993 0.6282028999999483 0.024246900000079563 4.513938300000021 3.909370399999929 7.641523699999979 1.5592289000000021 0.16405924648989925 0.9716935250000205 0.09543758350469203 271.94921875 262.59765625 48 48 1.0 48 22 22 0.875 1.0 0.8275772182135331 1.0 1.0 1.0 1.0 1.0 0.875 0.7241300659368415 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.9913231694950886 1.9913231694950886 0.9126897860185823 0.9126897860185823 0.6455189996088173 0.6455189996088173 1.0 1.0 1.0 1.0 1.0 1.0 2.75 2.75 8.0 8.0 3 0.13636363636363635 3 0.0625 5.378254348272379 0.004615872607100212 2.465033242958174 0.08500601647327903 4.231404958677689 0.014531959396856624 1.9393939393939408 0.14379106947784076 1.4375905768565216 0.23749930618060683 0.3267251311037549 0.7212819737616366 1.0666666666666664 0.3441537868654125 0.24242424242424235 0.7847231940537559 3.022140521771504 0.048696870011433496 0.31480630435119833 0.7299302448895416 2.2000000000000006 0.11080315836233381 0.22916666666666674 0.7951959897951257 5 5 1.0 0.7071067811865476 0.7071067811865476 0.0 1.0 1.0 1.0 2.0 9.6 3.0495901363953815 0.31766563920785224 6.0 8.0 9.0 11.0 14.0 5 4.4 2.3021728866442674 0.5232211106009699 2.0 3.0 4.0 5.0 8.0 9.6 9.6 3.0495901363953815 3.0495901363953815 0.31766563920785224 0.31766563920785224 6.0 6.0 8.0 8.0 9.0 9.0 11.0 11.0 14.0 14.0 1.260957528582501 1.260957528582501 0.5779388672669796 0.5779388672669796 0.7360798432638391 0.7360798432638391 1.375 1.375 1.5 1.5 2.6666666666666665 2.6666666666666665 2.8 2.8 4.5 4.5
3 0 1 7.293850699999965 1.3012038999999476 0.05337579999995512 8.648430399999867 5.035028499999953 16.289954099999846 1.6770029199999883 0.24866492522222158 1.3038889666666589 0.2282315287125197 272.47265625 262.515625 71 71 1.0 0 48 48 0.9436619718309859 0.9954067413900409 0.6652967580450642 1.0 1.0 1.0 1.0 0.9984689137966803 0.9393274883539823 0.6278152505495675 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.942217144005318 False 0 0 False 1.4791666666666667 1.4791666666666667 0.6838434352771336 0.6838434352771336 0.46231668863806213 0.46231668863806213 0.8653960519993563 0.8653960519993563 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 15 0.3125 18 0.2535211267605634 1.233250044109585 0.2913441559515509 0.833746508693804 0.4344186803264828 1.0112847222222212 0.36375135979978684 0.683685446009389 0.5047533191357676 1.0357254813546264 0.3549687642682587 0.2157761419488805 0.8059156923980576 0.8545454545454544 0.4254765455645466 0.178030303030303 0.8369170619814145 1.562340900990912 0.2096447387681214 0.2200480142240721 0.8024802665701259 1.0818181818181836 0.33897864020955715 0.15236875800256108 0.8586715803349874 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 4.8 1.9321835661585918 0.40253824294970664 2.0 3.25 5.5 6.0 7.0 7.1 7.1 2.4244128727957577 2.4244128727957577 0.3414666018022194 0.3414666018022194 2.0 2.0 5.5 5.5 8.0 8.0 9.0 9.0 9.0 9.0 0.42328671456964784 0.42328671456964784 0.28616566618793093 0.28616566618793093 0.9088218917561479 0.9088218917561479 1.0 1.0 1.2857142857142858 1.2857142857142858 1.5 1.5 1.7291666666666667 1.7291666666666667 2.5 2.5
4 1 4 0.627715099999989 0.08054859999997177 0.0 0.7082636999999607 0.7082636999999607 0.7082636999999607 0.7082636999999607 0.05448182307692006 0.0 0.0 264.21875 252.81640625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.71102190000002 4.306445499999967 0.014118700000040008 6.031586100000027 6.739849799999988 6.739849799999988 6.739849799999988 0.3063568090909085 0.0 0.0 307.7578125 299.9140625 22 22 1.0 22 13 22 0.9090909090909091 0.8655329916202315 0.8655329916202315 0.8655329916202315 1.0 1.0 1.0 0.9551776638734105 0.7868481742002104 0.7868481742002104 0.7868481742002104 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.7868481742002104 False 0 0 False 1.6923076923076923 1.6923076923076923 1.4366984945013912 0.7489308618940976 0.8489582012962766 0.7211926818239458 0.6527634963020901 0.7820601550860014 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 9 0.6923076923076923 27 1.2272727272727273 1.2848686991146203 0.27668691048336674 0.7592405949313665 0.46802171014984467 1.059171597633136 0.346742934053915 0.6258741258741258 0.5347937470908982 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
6 1 2 3.99863670000002 0.6178758999999729 0.02569570000004262 4.642208300000036 7.802330800000021 11.382058100000023 2.8831025250000017 0.28904990105283646 1.2433597666666618 0.11278459831649768 293.96484375 283.30078125 48 48 1.0 48 22 22 0.875 0.8218121842130942 0.7333011421937676 1.0 1.0 1.0 1.0 0.9406040614043647 0.7190856611864574 0.6416384994195466 0.875 0.875 0.875 0.875 0.8230285537288191 False 0 0 False 2.1818181818181817 2.1818181818181817 2.0150945537631877 2.0150945537631877 0.9235850038081278 0.9235850038081278 0.6429582551983959 0.6429582551983959 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 8.0 8.0 5 0.22727272727272727 5 0.10416666666666667 6.257227226334639 0.001916552602531379 2.867895812070043 0.056818357385161194 5.5909090909090935 0.0037316339277434214 2.5625000000000013 0.07711171996831662 2.345207879911715 0.09582727949341142 0.4264014327112209 0.6528542124739429 1.8 0.16529888822158653 0.32727272727272727 0.7208871106386896 1.4142135623730951 0.2431167344342142 0.11785113019775793 0.88882836246845 0.8 0.44932896411722156 0.06666666666666667 0.9355069850316178 4 6 1.5 0.5773502691896257 0.38490017945975047 1.0 1.0 1.5 2.0 2.0 12.0 2.581988897471611 0.2151657414559676 9.0 10.5 12.0 13.5 15.0 4 5.5 2.516611478423583 0.4575657233497424 2.0 5.0 6.0 6.5 8.0 12.0 12.0 2.581988897471611 2.581988897471611 0.2151657414559676 0.2151657414559676 9.0 9.0 10.5 10.5 12.0 12.0 13.5 13.5 15.0 15.0 1.311176581463297 1.311176581463297 0.6009559331706779 0.6009559331706779 0.7289727494433519 0.7289727494433519 1.625 1.625 1.78125 1.78125 2.1666666666666665 2.1666666666666665 3.0 3.0 4.5 4.5
7 1 1 8.038062600000003 1.3588586000000475 0.054372600000021976 9.451293800000073 8.93615480000004 20.833351900000096 2.136332510000011 0.2712012902857152 1.3807967000000079 0.19786964914903057 294.85546875 284.171875 75 75 1.0 0 48 48 0.8933333333333333 0.786995168662851 0.6233278164914373 1.0 1.0 1.0 1.0 0.9289983895542837 0.7030490173388135 0.5568395160656839 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8299052280018268 False 0 0 False 1.5625 1.5625 0.896951100448483 0.896951100448483 0.5740487042870291 0.5740487042870291 0.834612588829788 0.834612588829788 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 10 0.20833333333333334 17 0.22666666666666666 1.6050457547995323 0.20088036345919713 1.0272292830717007 0.35799749741323267 1.2473958333333333 0.28725187543837466 0.7983333333333333 0.4500784701389383 1.2060453783110552 0.29937887169398975 0.2512594538148032 0.7778205368711762 0.9090909090909097 0.40289032152913273 0.18939393939393953 0.8274604732029095 1.4847711791873706 0.22655417505629113 0.19796949055831609 0.8203948825458393 1.2272727272727273 0.2930908272837557 0.16363636363636364 0.8490507114646861 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 4.8 1.4757295747452437 0.30744366140525914 3.0 3.25 5.0 6.0 7.0 7.5 7.5 2.1213203435596424 2.1213203435596424 0.282842712474619 0.282842712474619 4.0 4.0 5.5 5.5 8.5 8.5 9.0 9.0 10.0 10.0 0.45209744666936397 0.45209744666936397 0.28934236586839296 0.28934236586839296 0.9036451413577061 0.9036451413577061 1.1666666666666667 1.1666666666666667 1.2976190476190477 1.2976190476190477 1.5 1.5 1.7666666666666666 1.7666666666666666 2.6666666666666665 2.6666666666666665
8 2 4 0.6649340999999964 0.08203159999999343 0.0 0.7469656999999899 0.7469656999999899 0.7469656999999899 0.7469656999999899 0.057458899999999216 0.0 0.0 290.91015625 279.80859375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.778024999999957 1.5545575999999528 0.015549400000040237 3.34813199999995 4.09509769999994 4.09509769999994 4.09509769999994 0.18614080454545182 0.0 0.0 311.51953125 301.8828125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 3 0.23076923076923078 3 0.13636363636363635 1.3054279037290109 0.27105652412917053 0.7713892158398701 0.4623702898050804 1.1005917159763312 0.33267417682201417 0.6503496503496503 0.5218632751803681 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 4 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 1 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 22.0 22.0 0.0 0.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923 1.6923076923076923
