 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6317615999999973 0.08067059999996928 0.0 0.7124321999999665 0.7124321999999665 0.7124321999999665 0.7124321999999665 0.05480247692307435 0.0 0.0 246.22265625 234.2265625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.575253999999937 0.2323021000000125 0.009495999999970195 1.8170520999999198 1.3448584999999653 2.5294842999998863 0.8624796999999589 0.11147270595237543 0.6212902999999557 0.08326164196427996 253.69140625 241.70703125 23 23 1.0 23 13 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7692307692307692 1.7692307692307692 1.4806443503784736 0.6910601294852009 0.8368859371704417 0.6654653098746378 0.6457948214502014 0.7951789471817595 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 2 0.15384615384615385 4 0.17391304347826086 2.8440740842055616 0.05818811910312346 1.6075201345509698 0.2003839235990512 2.4319526627218937 0.08786509406949972 1.3745819397993313 0.2529453200749206 1.49071198499986 0.22521225069901224 0.3440104580768908 0.7089215140550392 1.0000000000000002 0.3678794411714422 0.23076923076923084 0.7939226578179512 0.23570226039551595 0.7900158579283462 0.030743773095067296 0.9697240106283564 0.16666666666666674 0.846481724890614 0.02173913043478262 0.9784954614449578 3 4 1.3333333333333333 1.5275252316519468 1.1456439237389602 0.0 0.5 1.0 2.0 3.0 7.666666666666667 0.5773502691896257 0.07530655685082074 7.0 7.5 8.0 8.0 8.0 3 4.333333333333333 2.309401076758503 0.532938710021193 3.0 3.0 3.0 5.0 7.0 7.666666666666667 7.666666666666667 0.5773502691896257 0.5773502691896257 0.07530655685082074 0.07530655685082074 7.0 7.0 7.5 7.5 8.0 8.0 8.0 8.0 8.0 8.0 0.8010763733933677 0.8010763733933677 0.45278229800494696 0.45278229800494696 0.7706058134492567 0.7706058134492567 1.1428571428571428 1.1428571428571428 1.7380952380952381 1.7380952380952381 2.3333333333333335 2.3333333333333335 2.5 2.5 2.6666666666666665 2.6666666666666665
2 0 2 4.139481300000014 0.6990631000000462 0.017361200000095778 4.855905600000156 2.0148434999999907 7.3853899000000425 1.0899858428571452 0.2137845967120169 0.9358429000000044 0.2872116917658745 261.89453125 251.6796875 47 47 1.0 47 23 23 0.8936170212765957 1.0 0.8373074163951406 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.7482321593318277 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.0434782608695654 2.0434782608695654 1.9182914005002476 1.9182914005002476 0.938738344925653 0.938738344925653 0.6584275924462266 0.6584275924462266 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 6 0.2608695652173913 6 0.1276595744680851 8.48784296867405 0.0002059570371038779 4.153625282542619 0.01570736948919526 7.60869565217391 0.0004961185477811111 3.723404255319147 0.02415160949571113 3.6960403522843586 0.024821616999257785 1.1248818463474135 0.3246908284993992 3.125 0.04393693362340742 0.9510869565217391 0.3863208811564044 2.0959143930173156 0.122957760517266 0.31215746278981293 0.731866277448879 1.4285714285714288 0.23965103644177574 0.21276595744680854 0.8083453022776933 7 16 2.2857142857142856 1.889822365046136 0.8267972847076845 0.0 1.0 2.0 3.5 5.0 6.714285714285714 4.15187851918806 0.6183648858365195 2.0 3.5 7.0 8.5 14.0 7 3.2857142857142856 2.4299715851758235 0.7395565694013376 1.0 1.5 3.0 4.0 8.0 6.714285714285714 6.714285714285714 4.15187851918806 4.15187851918806 0.6183648858365195 0.6183648858365195 2.0 2.0 3.5 3.5 7.0 7.0 8.5 8.5 14.0 14.0 2.080056947480502 2.080056947480502 1.017900208341522 1.017900208341522 0.6412214442810197 0.6412214442810197 1.0 1.0 1.5625 1.5625 2.0 2.0 2.75 2.75 7.0 7.0
3 0 1 9.710906900000026 1.1160212000001337 0.03583079999995675 10.862758900000117 2.494654099999998 18.24814880000016 0.8383987913043505 0.23446739884057963 0.7631144590909119 0.2275486062121204 258.20703125 246.765625 89 89 1.0 0 47 47 0.7528089887640449 1.0 0.6455723936450715 1.0 1.0 1.0 1.0 1.0 0.7528089887640449 0.48599270083393015 0.7528089887640449 0.7528089887640449 0.7528089887640449 0.7528089887640449 0.7528089887640449 False 0 0 False 1.8936170212765957 1.8936170212765957 1.4778663020248144 1.4778663020248144 0.7804462493838907 0.7804462493838907 0.764321288003812 0.764321288003812 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 2 0.0425531914893617 2 0.02247191011235955 2.211947475466728 0.10948721708753427 1.1681070937858002 0.3109549931652492 1.771842462652784 0.17001944558951057 0.935692087018886 0.39231425594976016 1.61906664828666 0.1980834943995692 0.7923092108636847 0.4527979810732092 1.211956521739129 0.2976144203443005 0.593085106382978 0.5526197613900319 1.3883573862244771 0.2494847753672654 0.35878898745126936 0.6985217326525255 1.072463768115944 0.34216446417269214 0.27715355805243497 0.7579381006753262 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 2.0434782608695654 0.9759965009980692 0.47761530899905513 1.0 1.0 2.0 3.0 4.0 3.869565217391304 3.869565217391304 1.3247417527437002 1.3247417527437002 0.3423489922820798 0.3423489922820798 1.0 1.0 3.0 3.0 4.0 4.0 4.0 4.0 6.0 6.0 1.7513405368143935 1.7513405368143935 0.9248652273064775 0.9248652273064775 0.7371300101877735 0.7371300101877735 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 3.0 3.0 6.0 6.0
4 1 4 0.6301935999999841 0.12924150000000623 0.0 0.7594350999999904 0.7594350999999904 0.7594350999999904 0.7594350999999904 0.05841808461538388 0.0 0.0 253.58203125 241.6875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.4323517999999495 0.21361219999998582 0.009783299999980954 1.6557472999999163 1.3851051999999129 2.4151823999999067 0.824628699999972 0.10935532361110785 0.5443904500000016 0.0680488062500002 257.55859375 246.703125 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.031553471276484 0.45643546458763845 0.6095543239361042 0.45643546458763845 0.7236589661630024 0.853411535480984 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 1 0.07692307692307693 2 0.09090909090909091 1.0932823387347612 0.3351147264620062 0.6460304728887225 0.524122170048419 0.8520710059171598 0.4265306690684622 0.5034965034965035 0.604413626404216 0.3726779962499652 0.6888870213378971 0.08600261451922275 0.917591832155531 0.2500000000000002 0.7788007830714047 0.057692307692307744 0.9439403459411809 0.7453559924999302 0.47456532816780045 0.10163945352271776 0.9033551944937719 0.5000000000000002 0.6065306597126333 0.06818181818181822 0.9340906234779491 3 4 1.3333333333333333 0.5773502691896257 0.4330127018922193 1.0 1.0 1.0 1.5 2.0 7.333333333333333 1.1547005383792515 0.1574591643244434 6.0 7.0 8.0 8.0 8.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.333333333333333 7.333333333333333 1.1547005383792515 1.1547005383792515 0.1574591643244434 0.1574591643244434 6.0 6.0 7.0 7.0 8.0 8.0 8.0 8.0 8.0 8.0 0.264575131106459 0.264575131106459 0.15633985019927124 0.15633985019927124 0.9084831050003165 0.9084831050003165 1.5 1.5 1.55 1.55 1.6 1.6 1.8 1.8 2.0 2.0
6 1 2 4.279890400000028 0.564942200000047 0.017254100000045014 4.86208670000012 2.0532733999999806 7.2772691000000265 1.0745332142857162 0.21398807651360266 0.9114098500000054 0.2324295231150864 266.6953125 255.30078125 48 48 1.0 48 22 22 0.875 1.0 0.8416378037742329 1.0 1.0 1.0 1.0 1.0 0.875 0.7364330783024537 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.918242341221171 1.918242341221171 0.8791944063930368 0.8791944063930368 0.6535209356502769 0.6535209356502769 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 8.0 8.0 2 0.09090909090909091 2 0.041666666666666664 5.350909399808475 0.004743834994586429 2.4525001415788843 0.08607810978915378 4.185950413223143 0.015207745428922842 1.9185606060606073 0.14681813925018586 1.8419709940325182 0.1585047061935839 0.5860816799194376 0.5565035773866595 1.2142857142857144 0.2969220257278961 0.3863636363636364 0.6795233813363141 2.5424959615082416 0.07866979775013297 0.3707806610532853 0.6901953116701909 1.9285714285714297 0.14535570123384647 0.28125000000000017 0.7548396019890072 7 13 1.8571428571428572 1.7728105208558367 0.954590280460835 0.0 0.5 2.0 2.5 5.0 6.857142857142857 4.099941927579439 0.5979081977720015 2.0 5.0 6.0 7.5 15.0 7 3.142857142857143 2.1157009420498154 0.6731775724703958 1.0 1.5 3.0 4.5 6.0 6.857142857142857 6.857142857142857 4.099941927579439 4.099941927579439 0.5979081977720015 0.5979081977720015 2.0 2.0 5.0 5.0 6.0 6.0 7.5 7.5 15.0 15.0 1.9923796625083081 1.9923796625083081 0.9131740119829747 0.9131740119829747 0.6454047587017844 0.6454047587017844 1.0 1.0 1.6666666666666665 1.6666666666666665 2.5 2.5 2.833333333333333 2.833333333333333 7.0 7.0
7 1 1 8.134583000000006 1.1700905999999947 0.03680890000005377 9.341482500000055 2.5323000000000206 16.61875160000008 0.8800958450000032 0.22683030783333397 0.7931377315789496 0.22021722850877076 257.48046875 245.86328125 79 79 1.0 0 48 48 0.8481012658227848 1.0 0.6617744322086072 1.0 1.0 1.0 1.0 1.0 0.8481012658227848 0.5612517336452745 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 False 0 0 False 1.6458333333333333 1.6458333333333333 1.1937707704925054 1.1937707704925054 0.7253290757422818 0.7253290757422818 0.7970599113803855 0.7970599113803855 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 3 0.0625 3 0.0379746835443038 1.8552392340991342 0.15641551827293204 1.1272339650222587 0.3239280146042255 1.448784722222223 0.23485552944087393 0.8802742616033761 0.414669168253611 0.930949336251263 0.3941793239686848 0.38789555677135956 0.6784832025399055 0.6761904761904762 0.5085506426652403 0.2817460317460318 0.7544652704311022 1.1057210532584816 0.3309721476366219 0.27992938057176747 0.7558371163560448 0.7142857142857147 0.4895416595569529 0.18083182640144677 0.8345757004933833 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20 2.4 1.0954451150103321 0.4564354645876384 1.0 1.75 2.0 3.0 4.0 3.95 3.95 0.9445132413883326 0.9445132413883326 0.23911727630084367 0.23911727630084367 1.0 1.0 4.0 4.0 4.0 4.0 4.0 4.0 6.0 6.0 1.5452246756525778 1.5452246756525778 0.938870689004098 0.938870689004098 0.7586746529893382 0.7586746529893382 1.0 1.0 1.25 1.25 1.4166666666666665 1.4166666666666665 2.0 2.0 6.0 6.0
8 2 4 0.6293354999999679 0.07885100000000023 0.0 0.7081864999999681 0.7081864999999681 0.7081864999999681 0.7081864999999681 0.05447588461538216 0.0 0.0 257.87890625 245.92578125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.433916900000014 0.30335540000001515 0.01019349999991448 1.7474657999999437 1.3379802999999129 2.4556522999999117 0.8380259333333177 0.11542806726190372 0.58804875000002 0.0776396196428604 276.578125 264.828125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 2 0.15384615384615385 2 0.09523809523809523 0.9294650748918898 0.3947648235176041 0.5753831415997412 0.5624893144598944 0.7573964497041417 0.46888560648317174 0.46886446886446864 0.6257123809193144 0.7453559924999302 0.47456532816780045 0.17200522903844545 0.8419747704385442 0.5000000000000002 0.6065306597126333 0.11538461538461545 0.8910233766955563 0.7071067811865476 0.4930686913952398 0.10101525445522108 0.9039192439850624 0.5 0.6065306597126334 0.07142857142857142 0.9310627797040227 3 3 1.0 1.0 1.0 0.0 0.5 1.0 1.5 2.0 7.0 1.0 0.14285714285714285 6.0 6.5 7.0 7.5 8.0 3 4.333333333333333 1.1547005383792515 0.2664693550105965 3.0 4.0 5.0 5.0 5.0 7.0 7.0 1.0 1.0 0.14285714285714285 0.14285714285714285 6.0 6.0 6.5 6.5 7.0 7.0 7.5 7.5 8.0 8.0 0.3055050463303894 0.3055050463303894 0.1891221715378601 0.1891221715378601 0.8960642346357122 0.8960642346357122 1.4 1.4 1.5 1.5 1.6 1.6 1.8 1.8 2.0 2.0
