 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6263520000000042 0.08222399999998942 0.0 0.7085759999999937 0.7085759999999937 0.7085759999999937 0.7085759999999937 0.05450584615384567 0.0 0.0 240.18359375 228.65625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.4898229 0.44273009999999857 0.010143699999993316 1.942696699999992 1.8825017999999858 2.6512726999999856 1.3405563999999934 0.11677119316239268 0.7986110000000011 0.061431615384615466 248.8359375 239.375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.47703679372151425 0.5051388811566561 0.4593687643244211 0.7591359643025763 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.5 3.0 2.0 0 0.0 0 0.0 1.0377490433255416 0.35425118924964283 0.6132153437832746 0.5416066149265877 0.8402366863905326 0.4316083555148887 0.49650349650349657 0.6086551081914459 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.1547005383792515 0.3151518986722024 0.10497277621629558 0.9003490331599661 0.6666666666666666 0.513417119032592 0.0606060606060606 0.9411939401248326 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 11.0 2.8284271247461903 0.25712973861329 9.0 10.0 11.0 12.0 13.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 11.0 11.0 2.8284271247461903 2.8284271247461903 0.25712973861329 0.25712973861329 9.0 9.0 10.0 10.0 11.0 11.0 12.0 12.0 13.0 13.0 0.25253813613805276 0.25253813613805276 0.149227080445213 0.149227080445213 0.9122119113686472 0.9122119113686472 1.5 1.5 1.5892857142857144 1.5892857142857144 1.6785714285714286 1.6785714285714286 1.7678571428571428 1.7678571428571428 1.8571428571428572 1.8571428571428572
2 0 2 3.527801600000018 0.6136417999999679 0.019170000000016785 4.160613400000003 3.2385428999999917 6.811886099999988 1.7332994499999952 0.139802630224359 1.2315516333333296 0.09053320205128182 252.859375 242.46875 46 46 1.0 46 22 22 0.9130434782608695 1.0 0.8620706179900783 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.7871079555561584 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.090909090909091 2.090909090909091 2.04494943258218 2.04494943258218 0.9780192938436515 0.9780192938436515 0.6397706239495857 0.6397706239495857 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 7 0.3181818181818182 14 0.30434782608695654 4.9751448336407735 0.00690751842595993 2.379417094349935 0.09260454149131754 3.950413223140497 0.019246746930726106 1.8893280632411074 0.15117335364998627 1.5811388300841898 0.20574066108381442 0.2874797872880345 0.7501517292185773 1.2 0.30119421191220214 0.21818181818181817 0.8039792503313262 3.420526275297414 0.03269522372190959 0.2974370674171664 0.742719322995356 2.6 0.07427357821433388 0.22608695652173913 0.7976487378900852 4 4 1.0 0.816496580927726 0.816496580927726 0.0 0.75 1.0 1.25 2.0 11.5 3.872983346207417 0.3367811605397754 6.0 10.5 12.5 13.5 15.0 4 5.5 3.1091263510296048 0.5652957001872009 3.0 3.75 4.5 6.25 10.0 11.5 11.5 3.872983346207417 3.872983346207417 0.3367811605397754 0.3367811605397754 6.0 6.0 10.5 10.5 12.5 12.5 13.5 13.5 15.0 15.0 1.725060385416503 1.725060385416503 0.8250288799818059 0.8250288799818059 0.675678803257334 0.675678803257334 1.2 1.2 1.425 1.425 2.05 2.05 3.2 3.2 5.0 5.0
3 0 1 7.846716800000003 1.4551446999999769 0.044418400000004965 9.346279899999985 5.053888399999998 16.158165999999973 2.0724793374999937 0.23021653282280138 1.6465637571428502 0.2460124871742538 258.21875 247.88671875 75 75 1.0 0 46 46 0.8933333333333333 0.9929976294505135 0.6667350991434418 1.0 1.0 1.0 1.0 0.9976658764835045 0.8870778823091254 0.5956166885681413 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8912481829919306 False 0 0 False 1.6304347826086956 1.6304347826086956 1.0189034552928602 1.0189034552928602 0.6249274525796209 0.6249274525796209 0.8165003071977865 0.8165003071977865 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 19 0.41304347826086957 25 0.3333333333333333 3.47203927264296 0.03105363920989818 2.129517420554349 0.11889465612761387 2.93052930056711 0.05336878254113815 1.7973913043478273 0.1657306656556924 1.3228756555322954 0.26636821632252894 0.23006533139692092 0.7944816962087556 0.9444444444444444 0.3888955639892229 0.1642512077294686 0.8485288381018131 3.6921463194792867 0.024918461625829065 0.39382894074445723 0.6744694206100672 2.6944444444444446 0.06757991574479218 0.28740740740740744 0.7502060270762029 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.75 2.6049403612586386 0.4530331063058502 1.0 5.25 6.0 7.25 9.0 9.375 9.375 4.2067123233504535 4.2067123233504535 0.4487159811573817 0.4487159811573817 3.0 3.0 6.25 6.25 11.0 11.0 12.25 12.25 14.0 14.0 0.6106668562757779 0.6106668562757779 0.3745423385158105 0.3745423385158105 0.8755045875744912 0.8755045875744912 1.1666666666666667 1.1666666666666667 1.3333333333333333 1.3333333333333333 1.6458333333333335 1.6458333333333335 1.869047619047619 1.869047619047619 3.0 3.0
4 1 4 0.6230659000000145 0.08316079999998749 0.0 0.706226700000002 0.706226700000002 0.706226700000002 0.706226700000002 0.05432513076923092 0.0 0.0 244.83984375 233.25390625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.4966721000000547 0.5227401000000782 0.010552600000025336 2.029964800000158 2.085704400000111 2.73619150000016 1.3826459500000752 0.11696366160714929 0.6795875000000393 0.048541964285717096 253.9453125 243.875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 1.1966422450849266 0.30220724806941895 0.7071067811865476 0.4930686913952398 0.9704142011834319 0.37892605397414786 0.5734265734265734 0.5635909405021068 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 1.7320508075688772 0.17692120631776423 0.15745916432444337 0.8543116992915609 1.0 0.36787944117144233 0.09090909090909091 0.9131007162822623 2 3 1.5 0.7071067811865476 0.47140452079103173 1.0 1.25 1.5 1.75 2.0 11.0 4.242640687119285 0.385694607919935 8.0 9.5 11.0 12.5 14.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 11.0 11.0 4.242640687119285 4.242640687119285 0.385694607919935 0.385694607919935 8.0 8.0 9.5 9.5 11.0 11.0 12.5 12.5 14.0 14.0 0.47140452079103173 0.47140452079103173 0.2785572168310642 0.2785572168310642 0.8494249409526549 0.8494249409526549 1.3333333333333333 1.3333333333333333 1.5 1.5 1.6666666666666665 1.6666666666666665 1.8333333333333333 1.8333333333333333 2.0 2.0
6 1 2 3.5210626000000502 0.6600293999999991 0.018439099999980613 4.19953110000003 3.495484100000155 6.93572260000019 1.4175851200000409 0.1373300146666706 0.8981103750000123 0.3165541337499944 252.42578125 241.06640625 46 46 1.0 46 22 22 0.9130434782608695 1.0 0.8563207794629876 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.7818581029879451 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.090909090909091 2.090909090909091 2.0215291456172695 2.0215291456172695 0.9668182870343464 0.9668182870343464 0.6422685681178121 0.6422685681178121 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 8 0.36363636363636365 12 0.2608695652173913 4.82375321107147 0.008036567530057846 2.3070124052950507 0.09955824737987337 3.72314049586777 0.024157980551157705 1.7806324110671943 0.1685315323536911 1.843908891458577 0.15819783776723556 0.419070202604222 0.65765802434118 1.1333333333333329 0.3219582715376761 0.25757575757575746 0.7729230693174647 4.434711565216691 0.011858485814190505 0.482033865784423 0.6175261484031409 3.0000000000000013 0.049787068367863875 0.3260869565217393 0.7217424244921063 5 3 0.6 0.5477225575051661 0.9128709291752768 0.0 0.0 1.0 1.0 1.0 9.2 5.630275304103699 0.6119864460982282 1.0 6.0 12.0 12.0 15.0 5 4.4 3.361547262794322 0.7639880142714368 1.0 3.0 4.0 4.0 10.0 9.2 9.2 5.630275304103699 5.630275304103699 0.6119864460982282 0.6119864460982282 1.0 1.0 6.0 6.0 12.0 12.0 12.0 12.0 15.0 15.0 1.6816658407662326 1.6816658407662326 0.8042749673229809 0.8042749673229809 0.6808720039661109 0.6808720039661109 1.0 1.0 1.2 1.2 1.5 1.5 3.0 3.0 5.0 5.0
7 1 1 7.724433800000057 1.5562602999999626 0.04297899999998833 9.323673100000008 5.310029900000117 16.259395700000198 2.083072700000029 0.2937587055555572 1.6220788142857308 0.36046612803506145 261.5234375 251.0546875 73 73 1.0 0 46 46 0.9178082191780822 0.9639719231241851 0.6656288954579201 1.0 1.0 1.0 1.0 0.987990641041395 0.8847413541002795 0.6109196711737075 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9067859308188146 False 0 0 False 1.5869565217391304 1.5869565217391304 0.9086274620185654 0.9086274620185654 0.5725597705870412 0.5725597705870412 0.831171344995374 0.831171344995374 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 7 0.15217391304347827 7 0.0958904109589041 2.3820472997768736 0.09236129256128846 1.5010161067087149 0.22290355124469735 2.025047258979208 0.13198760544093532 1.2760571768910078 0.279135716353396 2.8819360776317637 0.05602618671525927 0.5012062743707415 0.6057994584261032 1.7777777777777777 0.1690133154060661 0.30917874396135264 0.7340495513747001 6.417748826496718 0.0016323267524859684 0.7033149398900512 0.4949418787915447 4.527777777777778 0.010804659769364485 0.4961948249619482 0.6088430117007037 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.75 2.7645717829090897 0.48079509267984166 1.0 4.5 6.0 7.5 9.0 9.125 9.125 5.055054048036621 5.055054048036621 0.5539785258122324 0.5539785258122324 1.0 1.0 6.0 6.0 10.5 10.5 13.25 13.25 14.0 14.0 0.45475601813414906 0.45475601813414906 0.28655858676946383 0.28655858676946383 0.9020962888362191 0.9020962888362191 1.0 1.0 1.125 1.125 1.5 1.5 1.7357142857142858 1.7357142857142858 2.3333333333333335 2.3333333333333335
8 2 4 0.6244884000000042 0.0819295000000011 0.0 0.7064179000000053 0.7064179000000053 0.7064179000000053 0.7064179000000053 0.054339838461538864 0.0 0.0 252.91796875 242.359375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.6385208999999605 0.310993799999963 0.010834799999983602 1.9603494999999072 1.8155281999999744 2.6667673999999124 1.3479178499999662 0.10984198496503209 0.880307499999958 0.06771596153845831 273.671875 263.07421875 24 24 1.0 24 13 22 0.8333333333333334 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 False 0 0 False 1.8461538461538463 1.8461538461538463 0.9870962335856491 0.40032038451271784 0.5346771265255599 0.37172607133323804 0.7322853989309541 0.8687299398169483 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.5 3.0 1.5 0 0.0 0 0.0 1.7027648939368196 0.1821791211163661 0.9223309842157772 0.3975911813234145 1.3727810650887569 0.2534012533211064 0.7435897435897433 0.4754042693328494 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 0.5773502691896257 0.5613839137989282 0.04811252243246881 0.9530265441790436 0.3333333333333333 0.7165313105737893 0.027777777777777776 0.9726044771163483 2 2 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 12.0 1.4142135623730951 0.11785113019775793 11.0 11.5 12.0 12.5 13.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 12.0 12.0 1.4142135623730951 1.4142135623730951 0.11785113019775793 0.11785113019775793 11.0 11.0 11.5 11.5 12.0 12.0 12.5 12.5 13.0 13.0 0.016835875742536942 0.016835875742536942 0.009119432693874177 0.009119432693874177 0.993490817582639 0.993490817582639 1.8333333333333333 1.8333333333333333 1.8392857142857142 1.8392857142857142 1.8452380952380953 1.8452380952380953 1.8511904761904763 1.8511904761904763 1.8571428571428572 1.8571428571428572
