 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1373105999999922 0.7574182000000107 0.0 1.8947288000000029 1.8947288000000029 1.8947288000000029 1.8947288000000029 0.09473644000000014 0.0 0.0 251.95703125 243.03125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 4.3114405000000176 0.5913703000000581 0.017633799999956068 4.920444600000032 2.5287979000000007 6.815173400000035 0.9978710571428664 0.14135925314625952 0.742716583333344 0.11654157444291967 247.10546875 235.9140625 54 54 1.0 54 20 20 0.7777777777777778 1.0 0.8619147399851339 1.0 1.0 1.0 1.0 1.0 0.7777777777777778 0.6703781310995486 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.7777777777777778 False 0 0 False 2.7 2.7 2.617753154701063 2.617753154701063 0.9695382054448382 0.9695382054448382 0.5707716710891236 0.5707716710891236 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 10.0 10.0 1 0.05 1 0.018518518518518517 6.945142187169388 0.0009633033532832955 2.57227488413681 0.07636163381510537 5.849999999999997 0.002879899158088251 2.166666666666665 0.11455884399268788 2.19170514179518 0.11172607729869631 0.7670967996283129 0.4643592411825092 1.625 0.19691167520419406 0.56875 0.5662327874988083 1.7423301310929242 0.17511189119915865 0.2258576095861198 0.7978316971635933 1.1071428571428572 0.33050190452744904 0.14351851851851852 0.8663047573580086 7 17 2.4285714285714284 0.9759000729485332 0.4018412065082196 1.0 2.0 2.0 3.0 4.0 7.714285714285714 2.7516228977511745 0.35669185711589296 4.0 6.5 8.0 8.0 13.0 7 2.857142857142857 2.115700942049815 0.7404953297174353 1.0 1.5 2.0 3.5 7.0 7.714285714285714 7.714285714285714 2.7516228977511745 2.7516228977511745 0.35669185711589296 0.35669185711589296 4.0 4.0 6.5 6.5 8.0 8.0 8.0 8.0 13.0 13.0 2.6531484374292678 2.6531484374292678 0.9826475694182473 0.9826475694182473 0.567521639762128 0.567521639762128 1.1428571428571428 1.1428571428571428 2.0 2.0 3.0 3.0 5.666666666666666 5.666666666666666 8.0 8.0
2 0 1 9.52217679999994 1.2094969000000901 0.04118419999998224 10.772857900000012 2.9945133000000013 17.588031300000047 0.7776165625000043 0.21423218458333423 0.6812297478260914 0.1859387509420297 246.3359375 235.5078125 96 96 1.0 0 54 54 0.6979166666666666 1.0 0.6519011736132485 1.0 1.0 1.0 1.0 1.0 0.6979166666666666 0.45497269408424634 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.6979166666666666 0.6979166666666666 False 0 0 False 1.7777777777777777 1.7777777777777777 1.3690192973358657 1.3690192973358657 0.7700733547514245 0.7700733547514245 0.7837855301378884 0.7837855301378884 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 5 0.09259259259259259 5 0.052083333333333336 2.9369226076442962 0.05302866791314313 1.6520189667999168 0.19166255738753926 2.3086419753086402 0.0993961423619482 1.2986111111111103 0.2729105723935595 1.2206555615733703 0.29503668879662104 0.5425135829214979 0.58128530570842 0.96 0.38289288597511206 0.42666666666666664 0.6526810763306461 1.2165525060596438 0.2962497275902966 0.30413812651491096 0.7377589553390945 0.92 0.39851904108451414 0.23 0.794533602503334 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24 2.25 0.8968544062928813 0.39860195835239165 1.0 2.0 2.0 3.0 4.0 4.0 4.0 1.103354568734741 1.103354568734741 0.27583864218368526 0.27583864218368526 2.0 2.0 3.0 3.0 4.0 4.0 4.25 4.25 6.0 6.0 1.7679235115448597 1.7679235115448597 0.9944569752439837 0.9944569752439837 0.7447727560760474 0.7447727560760474 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 2.0 2.0 6.0 6.0
3 1 3 1.1403538999999654 0.7470585000000085 0.0 1.887412399999974 1.887412399999974 1.887412399999974 1.887412399999974 0.0943706199999987 0.0 0.0 257.48046875 248.15234375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.953120799999965 0.6293349000000461 0.01918140000006474 4.601637100000076 2.523104699999976 6.48904950000005 1.1050628333333397 0.182993784682541 0.8214544600000124 0.20174528597619226 258.7890625 248.2265625 46 46 1.0 46 20 20 0.9130434782608695 1.0 0.8783408968264423 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8019634275371864 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.3 2.3 2.0545200489600846 2.0545200489600846 0.8932695865043847 0.8932695865043847 0.6272622601529214 0.6272622601529214 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 8.0 8.0 4 0.2 4 0.08695652173913043 5.558327086453263 0.0038552204564582552 2.4166639506318535 0.08921875973018845 4.750000000000003 0.008651695203120612 2.065217391304349 0.12679072437082753 2.2607766610417563 0.10426947126265149 0.6782329983125269 0.5075129768158927 1.7142857142857146 0.18009231214795232 0.5142857142857143 0.5979275332171694 2.4527276685096977 0.08605852692892177 0.3199210002403953 0.7262064049390509 1.2857142857142851 0.27645304662956455 0.1677018633540372 0.8456059032151494 6 14 2.3333333333333335 1.8618986725025255 0.7979565739296537 0.0 1.25 2.0 3.5 5.0 7.666666666666667 4.179314138308661 0.5451279310837384 2.0 7.0 7.0 7.75 15.0 6 3.3333333333333335 2.065591117977289 0.6196773353931866 1.0 1.5 3.5 4.75 6.0 7.666666666666667 7.666666666666667 4.179314138308661 4.179314138308661 0.5451279310837384 0.5451279310837384 2.0 2.0 7.0 7.0 7.0 7.0 7.75 7.75 15.0 15.0 2.069095794642531 2.069095794642531 0.899606867235883 0.899606867235883 0.6256731622235256 0.6256731622235256 1.4 1.4 1.8125 1.8125 2.25 2.25 2.625 2.625 7.0 7.0
5 1 1 7.7606789000000305 0.8966289999999333 0.03588960000000441 8.693197499999968 2.9864733999999657 15.182247000000018 0.807351794999996 0.21897701549999832 0.6926611842105239 0.2027778787719267 253.17578125 241.8984375 77 77 1.0 0 46 46 0.8701298701298701 1.0 0.6778982160986893 1.0 1.0 1.0 1.0 1.0 0.8701298701298701 0.5898594867352231 0.8701298701298701 0.8701298701298701 0.8701298701298701 0.8701298701298701 0.8701298701298701 False 0 0 False 1.673913043478261 1.673913043478261 1.2302546769056841 1.2302546769056841 0.734957339450149 0.734957339450149 0.790495974739986 0.790495974739986 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 5 0.10869565217391304 5 0.06493506493506493 1.9495649265019364 0.14233598473193024 1.1646751508972606 0.3120240062894364 1.6195652173913033 0.1979847607039521 0.9675324675324669 0.3800195928221969 1.2817398889233114 0.2775539670290332 0.5572782125753528 0.5727658912111139 1.038095238095238 0.3541285705669639 0.45134575569358176 0.6367706370383241 1.5349111964385367 0.2154748252520302 0.39867823284117837 0.6712066388639527 1.0904761904761906 0.33605642872822583 0.2832405689548547 0.7533385361945255 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20 2.3 1.0809352675491624 0.4699718554561576 1.0 1.0 2.0 3.0 4.0 3.85 3.85 1.1821033884786185 1.1821033884786185 0.30703984116327754 0.30703984116327754 1.0 1.0 3.0 3.0 4.0 4.0 4.0 4.0 6.0 6.0 1.625472266056637 1.625472266056637 0.9710613537481207 0.9710613537481207 0.7478842516759499 0.7478842516759499 1.0 1.0 1.3125 1.3125 1.3333333333333333 1.3333333333333333 2.25 2.25 6.0 6.0
6 2 3 1.140456400000005 0.8416962999999953 0.0 1.9821527000000003 1.9821527000000003 1.9821527000000003 1.9821527000000003 0.09910763500000001 0.0 0.0 263.51171875 254.08203125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 4.455499399999937 0.650915700000013 0.018538500000033764 5.124953599999984 2.620331800000045 7.107106299999984 1.0396562857142848 0.16107731998953423 0.7762103666666581 0.15356542319138972 283.90234375 273.2109375 52 52 1.0 52 20 20 0.8076923076923077 1.0 0.8487511841864993 1.0 1.0 1.0 1.0 1.0 0.8076923076923077 0.6855298026121726 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077 0.8076923076923077 False 0 0 False 2.6 2.6 2.6036411750510196 2.6036411750510196 1.0014004519426998 1.0014004519426998 0.572076322328658 0.572076322328658 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 7.576938695805846 0.0005121266010544823 2.914207190694556 0.054247021532551246 6.849999999999999 0.001059455692907611 2.634615384615384 0.07174655893293178 2.104417123236605 0.12191671598360296 0.7365459931328118 0.47876471956473027 1.75 0.17377394345044514 0.6124999999999999 0.5419941884591871 2.2240567824200386 0.10816939781062183 0.29939225917192824 0.7412685829985276 1.7321428571428579 0.1769049215456092 0.233173076923077 0.7920164818852458 7 16 2.2857142857142856 2.0586634591635513 0.9006652633840537 0.0 0.5 2.0 4.0 5.0 7.428571428571429 4.197504927816955 0.5650487402830516 3.0 4.0 7.0 10.5 13.0 7 2.857142857142857 1.3451854182690985 0.4708148963941845 1.0 2.0 3.0 3.5 5.0 7.428571428571429 7.428571428571429 4.197504927816955 4.197504927816955 0.5650487402830516 0.5650487402830516 3.0 3.0 4.0 4.0 7.0 7.0 10.5 10.5 13.0 13.0 2.053349309358587 2.053349309358587 0.7897497343686873 0.7897497343686873 0.6273902270303113 0.6273902270303113 1.0 1.0 1.75 1.75 2.6 2.6 3.5 3.5 7.0 7.0
8 2 1 9.165116899999958 1.3272277000000088 0.0413958999999835 10.53374049999995 3.084961900000039 17.640846799999935 0.8102240478260844 0.22337949992753614 0.7068268727272682 0.20035033628787705 279.71875 268.58203125 90 90 1.0 0 52 52 0.7444444444444445 1.0 0.6513836154660195 1.0 1.0 1.0 1.0 1.0 0.7444444444444445 0.4849189137358145 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 False 0 0 False 1.7307692307692308 1.7307692307692308 1.2542536975660945 1.2542536975660945 0.724679914149299 0.724679914149299 0.7942878188357405 0.7942878188357405 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 6 0.11538461538461539 6 0.06666666666666667 1.8694444322330364 0.15420931174372907 1.0801234497346432 0.339553605254996 1.452662721893491 0.23394652347652464 0.8393162393162392 0.4320058110532956 1.0320936930842783 0.3562602794980214 0.45650297963343084 0.6334951218074713 0.822463768115941 0.4393478686850801 0.3637820512820509 0.6950426618933551 0.9363821838346231 0.392043614526094 0.23929766920218146 0.7871805280946221 0.7246376811594201 0.48450008066533035 0.18518518518518512 0.830950389901292 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 2.260869565217391 1.0098330782113458 0.4466569384396338 1.0 1.5 2.0 3.0 4.0 3.9130434782608696 3.9130434782608696 1.040674758303078 1.040674758303078 0.2659502160107866 0.2659502160107866 2.0 2.0 3.0 3.0 4.0 4.0 4.0 4.0 6.0 6.0 1.610064892840281 1.610064892840281 0.9302597158632734 0.9302597158632734 0.7571966822317028 0.7571966822317028 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 2.0 2.0 6.0 6.0
9 3 3 1.139819200000062 0.7730437000000165 0.0 1.9128629000000785 1.9128629000000785 1.9128629000000785 1.9128629000000785 0.09564314500000393 0.0 0.0 288.8984375 278.87890625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
