 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1291195000000158 0.8130289000000062 0.0 1.942148400000022 1.942148400000022 1.942148400000022 1.942148400000022 0.0971074200000011 0.0 0.0 230.2578125 220.234375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.2819386000000037 0.6889924000000036 0.017720699999998146 3.9886517000000055 3.6110109000000463 5.930800100000027 1.9958920000000073 0.12769755039682557 1.1883325499999877 0.08418871388888821 242.5859375 233.2890625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9122232279504436 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.870758535770878 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.0925934551223877 2.0925934551223877 0.9511788432374488 0.9511788432374488 0.6231271883936114 0.6231271883936114 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 3 0.15 10 0.22727272727272727 5.369357503463518 0.004657122534353116 2.4406170470288715 0.0871070857072583 4.229999999999999 0.01455239054841615 1.922727272727272 0.1462076696980795 1.3743685418725535 0.2529993038416198 0.206155281280883 0.8137067130515867 0.8333333333333333 0.43459820850707825 0.12499999999999999 0.8824969025845955 1.6996731711975954 0.1827432400480419 0.11588680712710879 0.8905760244511145 1.0000000000000004 0.36787944117144217 0.06818181818181822 0.9340906234779491 3 13 4.333333333333333 1.1547005383792515 0.2664693550105965 3.0 4.0 5.0 5.0 5.0 14.666666666666666 3.055050463303893 0.20829889522526546 12.0 13.0 14.0 16.0 18.0 3 6.666666666666667 3.0550504633038935 0.458257569495584 4.0 5.0 6.0 8.0 10.0 14.666666666666666 14.666666666666666 3.055050463303893 3.055050463303893 0.20829889522526546 0.20829889522526546 12.0 12.0 13.0 13.0 14.0 14.0 16.0 16.0 18.0 18.0 1.6767472920751896 1.6767472920751896 0.7621578600341771 0.7621578600341771 0.671331657671421 0.671331657671421 1.2 1.2 1.7666666666666666 1.7666666666666666 2.3333333333333335 2.3333333333333335 3.416666666666667 3.416666666666667 4.5 4.5
2 0 1 7.225470500000036 0.8914245000000491 0.03646639999996637 8.153361400000051 4.305287300000039 14.084161500000079 0.9182896000000054 0.17640511666666775 0.6924897533333365 0.1409364803888893 235.4609375 224.11328125 75 75 1.0 0 44 44 0.8933333333333333 1.0 0.6916879337119788 1.0 1.0 1.0 1.0 1.0 0.8933333333333333 0.6179078874493678 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 False 0 0 False 1.7045454545454546 1.7045454545454546 1.0907549221577761 1.0907549221577761 0.639909554332562 0.639909554332562 0.805103528395944 0.805103528395944 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 7 0.1590909090909091 9 0.12 2.1864888454036024 0.11231039629816837 1.28274012263678 0.2772764869894831 1.8285123966942143 0.16065237711162747 1.0727272727272723 0.34207431413654665 1.7320508075688772 0.17692120631776423 0.6298366572977735 0.532678803096242 1.411764705882353 0.24371282199589903 0.5133689839572193 0.5984759228454085 3.8345852601874766 0.021610299263313596 0.8180448555066616 0.44129360437369386 3.1470588235294117 0.04297834806271169 0.6713725490196079 0.5110067144608725 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.75 0.7745966692414834 0.28167151608781216 1.0 2.0 3.0 3.0 4.0 4.6875 4.6875 1.40089257261219 1.40089257261219 0.2988570821572672 0.2988570821572672 2.0 2.0 4.0 4.0 4.5 4.5 5.25 5.25 8.0 8.0 0.9582578472686002 0.9582578472686002 0.5621779370642455 0.5621779370642455 0.8224044539100648 0.8224044539100648 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5 1.5 2.0 2.0 5.0 5.0
3 1 3 1.132874699999995 0.786799600000009 0.0 1.919674300000004 1.919674300000004 1.919674300000004 1.919674300000004 0.0959837150000002 0.0 0.0 236.62890625 226.3046875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.1171167999999625 0.6203837999999777 0.017777900000069735 3.75527850000001 3.2663110999999816 5.674952800000014 1.9101844666666732 0.1334086444078149 1.2321211500000189 0.08493838285714414 247.0 236.453125 42 42 1.0 42 20 20 1.0 1.0 0.9311877660565477 1.0 1.0 1.0 1.0 1.0 1.0 0.9311877660565477 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.04939015319192 2.04939015319192 0.9759000729485332 0.9759000729485332 0.6278233436625343 0.6278233436625343 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 10.0 10.0 4 0.2 8 0.19047619047619047 7.236366491548087 0.0007199228593050985 3.445888805499089 0.03187641751291027 6.649999999999999 0.0012940221054658502 3.166666666666666 0.04214384350927643 2.838231060987734 0.05852910886946413 0.42573465914816006 0.6532896635608568 2.0 0.1353352832366127 0.3 0.7408182206817179 0.7071067811865476 0.4930686913952398 0.05050762722761054 0.9507466770833661 0.5 0.6065306597126334 0.03571428571428571 0.96491594437237 3 11 3.6666666666666665 0.5773502691896257 0.1574591643244434 3.0 3.5 4.0 4.0 4.0 14.0 1.0 0.07142857142857142 13.0 13.5 14.0 14.5 15.0 3 6.666666666666667 4.041451884327381 0.6062177826491071 3.0 4.5 6.0 8.5 11.0 14.0 14.0 1.0 1.0 0.07142857142857142 0.07142857142857142 13.0 13.0 13.5 13.5 14.0 14.0 14.5 14.5 15.0 15.0 1.9585543415137556 1.9585543415137556 0.9326449245303597 0.9326449245303597 0.6379179940513607 0.6379179940513607 1.1818181818181819 1.1818181818181819 1.7575757575757578 1.7575757575757578 2.3333333333333335 2.3333333333333335 3.666666666666667 3.666666666666667 5.0 5.0
5 1 1 6.841836800000053 0.9381668000000332 0.03539800000000071 7.8154016000000865 3.961041299999991 13.4903544000001 1.0024914357142956 0.18230958214285914 0.7749106769230882 0.14889819455128459 238.6484375 227.76953125 71 71 1.0 0 42 42 0.9436619718309859 1.0 0.6997847556127905 1.0 1.0 1.0 1.0 1.0 0.9436619718309859 0.6603602623388305 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9496622053642698 0.9496622053642698 0.5617720088070328 0.5617720088070328 0.8213710151679307 0.8213710151679307 1.0 1.0 1.0 1.0 1.5 1.5 2.0 2.0 6.0 6.0 5 0.11904761904761904 5 0.07042253521126761 3.374000789909496 0.034252326488492656 1.9958877912140682 0.13589295602498905 2.9858276643990926 0.050497691107021035 1.766264252179745 0.17097049996614339 0.6831300510639732 0.5050337344413109 0.2277100170213244 0.7963551557960479 0.4666666666666667 0.6270890852730561 0.15555555555555556 0.8559395234122652 3.0694345686833886 0.0464474102542532 0.6052406191770062 0.5459430464675156 2.566666666666668 0.07679108957896794 0.5061032863849768 0.6028401031131894 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14 3.0 0.5547001962252291 0.18490006540840973 2.0 3.0 3.0 3.0 4.0 5.071428571428571 5.071428571428571 1.2688144505364485 1.2688144505364485 0.250188764894511 0.250188764894511 4.0 4.0 4.0 4.0 4.5 4.5 6.0 6.0 8.0 8.0 0.42818333058511815 0.42818333058511815 0.2532915476700699 0.2532915476700699 0.9046456014474048 0.9046456014474048 1.25 1.25 1.3333333333333333 1.3333333333333333 1.75 1.75 2.0 2.0 2.6666666666666665 2.6666666666666665
6 2 3 1.1328053000000153 1.0526281999999867 0.0 2.185433500000002 2.185433500000002 2.185433500000002 2.185433500000002 0.1092716750000001 0.0 0.0 245.0859375 235.02734375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.2724868000000242 0.7922971000000416 0.017647400000043945 4.08243130000011 3.854774400000011 6.267864800000112 2.1081287333333734 0.134692448809527 1.2348059000000546 0.08712439305555877 264.15625 253.234375 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.8907565619369459 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8502676273034484 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.1908902300206643 2.1908902300206643 0.9958591954639382 0.9958591954639382 0.612682362479701 0.612682362479701 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 11 0.55 22 0.5 5.8651513194460705 0.0028365937812086387 2.6659778724754863 0.06953132750694731 4.579999999999998 0.01025489629640404 2.0818181818181807 0.12470327272934766 1.3743685418725535 0.2529993038416198 0.206155281280883 0.8137067130515867 0.8333333333333333 0.43459820850707825 0.12499999999999999 0.8824969025845955 1.6996731711975954 0.1827432400480419 0.11588680712710879 0.8905760244511145 1.0000000000000004 0.36787944117144217 0.06818181818181822 0.9340906234779491 3 13 4.333333333333333 1.1547005383792515 0.2664693550105965 3.0 4.0 5.0 5.0 5.0 14.666666666666666 3.055050463303893 0.20829889522526546 12.0 13.0 14.0 16.0 18.0 3 6.666666666666667 3.0550504633038935 0.458257569495584 4.0 5.0 6.0 8.0 10.0 14.666666666666666 14.666666666666666 3.055050463303893 3.055050463303893 0.20829889522526546 0.20829889522526546 12.0 12.0 13.0 13.0 14.0 14.0 16.0 16.0 18.0 18.0 1.6767472920751896 1.6767472920751896 0.7621578600341771 0.7621578600341771 0.671331657671421 0.671331657671421 1.2 1.2 1.7666666666666666 1.7666666666666666 2.3333333333333335 2.3333333333333335 3.416666666666667 3.416666666666667 4.5 4.5
8 2 1 7.225169399999984 0.9937144000000444 0.03532590000004632 8.254209700000075 4.546920100000037 14.522074500000187 0.946988412500013 0.18147855802083546 0.7069929666666781 0.13874151033333548 258.98828125 247.828125 75 75 1.0 0 44 44 0.8933333333333333 1.0 0.6860166481215177 1.0 1.0 1.0 1.0 1.0 0.8933333333333333 0.6128415389885559 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 False 0 0 False 1.7045454545454546 1.7045454545454546 1.0907549221577761 1.0907549221577761 0.639909554332562 0.639909554332562 0.805103528395944 0.805103528395944 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 8 0.18181818181818182 10 0.13333333333333333 2.0878807120543534 0.12394954243279867 1.224890017738554 0.2937900102364577 1.768595041322313 0.17057246782581345 1.037575757575757 0.35431258125161 1.5146344928922038 0.21988854098615063 0.5507761792335286 0.5765021676668439 1.2352941176470589 0.2907492353099861 0.44919786096256686 0.6381398232420107 3.630700386167612 0.026497619342233193 0.7745494157157573 0.4609114136568685 3.0294117647058822 0.048344067450417576 0.6462745098039215 0.5239942804963735 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16 2.75 0.6831300510639732 0.2484109276596266 1.0 2.75 3.0 3.0 4.0 4.6875 4.6875 1.4476993242152645 1.4476993242152645 0.3088425224992564 0.3088425224992564 2.0 2.0 4.0 4.0 4.0 4.0 6.0 6.0 8.0 8.0 0.95349017746305 0.95349017746305 0.559380904111656 0.559380904111656 0.8230486122246743 0.8230486122246743 1.0 1.0 1.3333333333333333 1.3333333333333333 1.5833333333333335 1.5833333333333335 2.0 2.0 5.0 5.0
9 3 3 1.1315417999999795 0.6362595999999598 0.0 1.7678013999999393 1.7678013999999393 1.7678013999999393 1.7678013999999393 0.08839006999999696 0.0 0.0 263.73046875 253.5859375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
