 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6300184000000115 0.08188129999999916 0.0 0.7118997000000107 0.7118997000000107 0.7118997000000107 0.7118997000000107 0.054761515384616204 0.0 0.0 222.51953125 210.39453125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.4297601999999898 0.32829890000000006 0.0104461000000029 1.7685051999999928 1.776748099999999 2.4804049000000035 1.2546491000000053 0.11472839861111171 0.7325501000000116 0.061045841666667634 230.78125 219.17578125 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.4455945454184551 0.6910601294852008 0.8948918614495198 0.7187025346646088 0.651342721981971 0.7951789471817596 1.0 0.5 1.0 0.5 1.0 1.0 1.0 1.0 6.0 3.0 2 0.15384615384615385 6 0.2857142857142857 1.2474826723251426 0.2872269318581696 0.7722511781060407 0.4619719157786246 1.0236686390532541 0.35927447113629807 0.6336996336996334 0.5306250468100903 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 0.8660254037844386 0.4206200260541148 0.08247860988423225 0.9208311343307147 0.5 0.6065306597126334 0.047619047619047616 0.9534969548334767 2 4 2.0 1.4142135623730951 0.7071067811865476 1.0 1.5 2.0 2.5 3.0 10.5 2.1213203435596424 0.20203050891044214 9.0 9.75 10.5 11.25 12.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 10.5 10.5 2.1213203435596424 2.1213203435596424 0.20203050891044214 0.20203050891044214 9.0 9.0 9.75 9.75 10.5 10.5 11.25 11.25 12.0 12.0 0.15152288168283154 0.15152288168283154 0.09379987913699095 0.09379987913699095 0.9449948940054882 0.9449948940054882 1.5 1.5 1.5535714285714286 1.5535714285714286 1.6071428571428572 1.6071428571428572 1.6607142857142856 1.6607142857142856 1.7142857142857142 1.7142857142857142
2 0 2 4.109924599999957 0.625615499999995 0.017943699999975138 4.753483799999927 2.4426520999999966 7.23388869999993 1.2363507666666524 0.24550267367063397 0.9950904999999836 0.2313148888571403 235.1328125 224.14453125 47 47 1.0 47 21 21 0.8936170212765957 1.0 0.8434155456983496 1.0 1.0 1.0 1.0 1.0 0.8936170212765957 0.7536904876453336 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 0.8936170212765957 False 0 0 False 2.238095238095238 2.238095238095238 1.972429007715155 1.972429007715155 0.8812980672769841 0.8812980672769841 0.6421837944838613 0.6421837944838613 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 8.0 8.0 6 0.2857142857142857 12 0.2553191489361702 6.033855103282429 0.002396238402949634 2.695977812104915 0.06747637029440245 5.4761904761904745 0.0041852431507515084 2.446808510638297 0.0865694315067324 2.611786471254603 0.0734032936865553 0.7462247060727437 0.47415324584270413 2.0714285714285716 0.12600564500231182 0.5918367346938777 0.5533100670443568 2.5502878766853465 0.07805919134507837 0.32556866510876764 0.7221165943492339 1.2142857142857137 0.29692202572789633 0.155015197568389 0.8564021621542853 6 6 1.0 0.6324555320336759 0.6324555320336759 0.0 1.0 1.0 1.0 2.0 7.833333333333333 4.167333280008532 0.5319999931925786 2.0 7.0 7.5 8.0 15.0 6 3.5 2.258317958127243 0.6452337023220693 1.0 1.5 3.5 5.5 6.0 7.833333333333333 7.833333333333333 4.167333280008532 4.167333280008532 0.5319999931925786 0.5319999931925786 2.0 2.0 7.0 7.0 7.5 7.5 8.0 8.0 15.0 15.0 2.0788284628073037 2.0788284628073037 0.9288382493394336 0.9288382493394336 0.6306320027487629 0.6306320027487629 1.3333333333333333 1.3333333333333333 1.8125 1.8125 2.25 2.25 2.625 2.625 7.0 7.0
3 0 1 7.275009599999976 1.2305776000000535 0.03984800000004185 8.545435200000071 3.4782193000000063 15.779323900000001 1.3689004499999988 0.2713139621527766 1.177144190909089 0.25806673268398406 237.21875 224.98046875 70 70 1.0 0 47 47 0.9571428571428572 1.0 0.6709583107995629 1.0 1.0 1.0 1.0 1.0 0.9571428571428572 0.6422029546224388 0.9571428571428572 0.9571428571428572 0.9571428571428572 0.9571428571428572 0.9571428571428572 False 0 0 False 1.4893617021276595 1.4893617021276595 0.6875394194400757 0.6875394194400757 0.4616336101954794 0.4616336101954794 0.8640905343661384 0.8640905343661384 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 13 0.2765957446808511 16 0.22857142857142856 1.3945506049509744 0.2479444363361796 0.9363411204670828 0.3920597134876656 1.125396106835673 0.32452389576253604 0.755623100303952 0.4697178421964387 1.4723230089674768 0.22939198612424996 0.3759122576087175 0.6866625798159217 1.0897435897435899 0.33630271411752044 0.2782324058919804 0.7571208417212001 1.9226495251556395 0.14621903743125367 0.32959706145525247 0.7192134738847378 1.5641025641025654 0.2092757404860431 0.2681318681318684 0.7648069207929948 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 3.9166666666666665 1.8319554050414562 0.46773329490420157 1.0 2.0 4.5 5.25 6.0 5.833333333333333 5.833333333333333 2.443296332763787 2.443296332763787 0.4188507999023635 0.4188507999023635 2.0 2.0 3.75 3.75 6.5 6.5 8.0 8.0 8.0 8.0 0.5760293085510184 0.5760293085510184 0.3867625357413981 0.3867625357413981 0.8818464549626484 0.8818464549626484 1.0 1.0 1.1916666666666667 1.1916666666666667 1.4666666666666668 1.4666666666666668 2.0 2.0 3.0 3.0
4 1 4 0.6243106000000012 0.08601299999997991 0.0 0.7103235999999811 0.7103235999999811 0.7103235999999811 0.7103235999999811 0.054640276923075465 0.0 0.0 228.80078125 216.703125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.5026611000000116 0.41469019999998125 0.010074200000019573 1.9274255000000124 1.7956710999999927 2.6377490999999935 1.333271400000001 0.11836321416666681 0.8708717000000092 0.07257264166666744 239.28515625 228.6015625 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.47703679372151425 0.5051388811566561 0.4593687643244211 0.7591359643025763 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.5 3.0 2.0 0 0.0 0 0.0 1.0932823387347612 0.3351147264620062 0.6460304728887225 0.524122170048419 0.8994082840236686 0.4068103046934695 0.5314685314685315 0.5877412191355044 0.28867513459481287 0.7492555730849976 0.04441155916843275 0.9565601953318483 0.16666666666666666 0.8464817248906141 0.02564102564102564 0.9746849137081521 0.5773502691896257 0.5613839137989282 0.05248638810814779 0.948867236846107 0.3333333333333333 0.7165313105737893 0.0303030303030303 0.9701515036966302 2 5 2.5 0.7071067811865476 0.282842712474619 2.0 2.25 2.5 2.75 3.0 11.0 1.4142135623730951 0.128564869306645 10.0 10.5 11.0 11.5 12.0 2 6.5 0.7071067811865476 0.10878565864408424 6.0 6.25 6.5 6.75 7.0 11.0 11.0 1.4142135623730951 1.4142135623730951 0.128564869306645 0.128564869306645 10.0 10.0 10.5 10.5 11.0 11.0 11.5 11.5 12.0 12.0 0.40406101782088427 0.40406101782088427 0.2387633287123407 0.2387633287123407 0.8676898771282133 0.8676898771282133 1.4285714285714286 1.4285714285714286 1.5714285714285714 1.5714285714285714 1.7142857142857144 1.7142857142857144 1.8571428571428572 1.8571428571428572 2.0 2.0
6 1 2 4.155722200000028 0.5374096000000321 0.018752699999978972 4.711884500000039 2.463553800000014 7.349633600000033 1.0894911714285789 0.23374058066326606 0.8604807333333397 0.20875928152777604 240.12109375 228.890625 48 48 1.0 48 22 22 0.875 1.0 0.8387240074472131 1.0 1.0 1.0 1.0 1.0 0.875 0.7338835065163114 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.8932552877030568 1.8932552877030568 0.8677420068639011 0.8677420068639011 0.6563029200100716 0.6563029200100716 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 8.0 8.0 4 0.18181818181818182 6 0.125 5.292673870003223 0.005028297255352113 2.4258088570848106 0.0884065818242424 4.22727272727273 0.014592133055970104 1.9375000000000016 0.14406365910145305 1.7828548534783835 0.16815739663011117 0.5672719988340311 0.567070298987959 1.1071428571428572 0.33050190452744904 0.3522727272727273 0.7030883444593793 2.382975331087469 0.09227561815032133 0.3475172357835893 0.706439837780468 1.6785714285714297 0.18664041484472857 0.24479166666666685 0.7828676186742902 7 5 0.7142857142857143 0.7559289460184544 1.058300524425836 0.0 0.0 1.0 1.0 2.0 6.857142857142857 4.2594432902501635 0.6211688131614822 2.0 4.0 7.0 8.0 15.0 7 3.142857142857143 1.7728105208558367 0.5640760748177662 1.0 2.0 3.0 4.0 6.0 6.857142857142857 6.857142857142857 4.2594432902501635 4.2594432902501635 0.6211688131614822 0.6211688131614822 2.0 2.0 4.0 4.0 7.0 7.0 8.0 8.0 15.0 15.0 2.010225184153579 2.010225184153579 0.9213532094037239 0.9213532094037239 0.6434811541406174 0.6434811541406174 1.0 1.0 1.6666666666666665 1.6666666666666665 2.0 2.0 2.583333333333333 2.583333333333333 7.0 7.0
7 1 1 7.562668100000067 1.2401420000000911 0.04031869999998605 8.843128800000144 3.447410700000006 16.192762400000177 1.4055373916666802 0.2820224375793676 1.2199125454545596 0.24943162357143064 239.953125 228.828125 71 71 1.0 0 48 48 0.9436619718309859 1.0 0.6663560088756371 1.0 1.0 1.0 1.0 1.0 0.9436619718309859 0.6288148252770096 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 False 0 0 False 1.4791666666666667 1.4791666666666667 0.618494511691824 0.618494511691824 0.4181371346648951 0.4181371346648951 0.8756209243494859 0.8756209243494859 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 17 0.3541666666666667 18 0.2535211267605634 1.2538424737877047 0.28540602204682697 0.8476681512930961 0.4284127618471387 1.026909722222221 0.35811191767876255 0.694248826291079 0.4994494804288778 1.3301243435223524 0.26444437731006976 0.3325310858805881 0.7171063766343077 0.8461538461538461 0.42906200094310865 0.21153846153846154 0.8093381520636312 1.589562644789251 0.2040148191693569 0.26865847517564806 0.7644042741089688 1.1923076923076918 0.30352002442964016 0.20151679306608875 0.8174898492837632 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12 4.0 1.2792042981336627 0.31980107453341566 2.0 3.0 4.0 5.0 6.0 5.916666666666667 5.916666666666667 1.880924981991251 1.880924981991251 0.3179028138576762 0.3179028138576762 2.0 2.0 4.75 4.75 6.0 6.0 7.25 7.25 8.0 8.0 0.44988541376875685 0.44988541376875685 0.30414788536479337 0.30414788536479337 0.9040389462401857 0.9040389462401857 1.0 1.0 1.2 1.2 1.3666666666666667 1.3666666666666667 2.0 2.0 2.3333333333333335 2.3333333333333335
8 2 4 0.6281108999999958 0.08705150000002959 0.0 0.7151624000000254 0.7151624000000254 0.7151624000000254 0.7151624000000254 0.05501249230769426 0.0 0.0 238.921875 227.0234375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.4347084999999709 0.34900179999999636 0.010266200000017989 1.7939764999999852 1.8070511000000238 2.5091389000000106 1.2692131000000018 0.1159257458333332 0.7313750999999797 0.060947924999998314 261.1796875 249.1484375 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 0.869718492622904 0.379777262656375 0.538397162099893 0.39496835316263 0.7560232996376179 0.8744918369115433 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 1 0.07692307692307693 1 0.047619047619047616 1.3867504905630732 0.24988599364200928 0.8584645893961882 0.42381230892073946 1.1538461538461542 0.31542127463894754 0.7142857142857145 0.489541659556953 1.4433756729740645 0.23612931644846605 0.22205779584216379 0.8008690760943223 0.8333333333333334 0.4345982085070782 0.12820512820512822 0.879672914909989 0.8660254037844386 0.4206200260541148 0.08247860988423225 0.9208311343307147 0.5 0.6065306597126334 0.047619047619047616 0.9534969548334767 2 5 2.5 2.1213203435596424 0.8485281374238569 1.0 1.75 2.5 3.25 4.0 10.5 2.1213203435596424 0.20203050891044214 9.0 9.75 10.5 11.25 12.0 2 6.5 3.5355339059327378 0.5439282932204212 4.0 5.25 6.5 7.75 9.0 10.5 10.5 2.1213203435596424 2.1213203435596424 0.20203050891044214 0.20203050891044214 9.0 9.0 9.75 9.75 10.5 10.5 11.25 11.25 12.0 12.0 0.6481812160876687 0.6481812160876687 0.4012550385304615 0.4012550385304615 0.8051921043950955 0.8051921043950955 1.3333333333333333 1.3333333333333333 1.5625 1.5625 1.7916666666666665 1.7916666666666665 2.0208333333333335 2.0208333333333335 2.25 2.25
