 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6238719999999986 0.07540170000000046 0.0 0.6992736999999991 0.6992736999999991 0.6992736999999991 0.6992736999999991 0.05379028461538455 0.0 0.0 240.3828125 228.2421875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.5247572000000034 0.5726200999999946 0.012957400000004782 2.110334700000003 2.3859752000000043 2.809608400000002 1.4194130000000058 0.11229929166666741 0.4528508000000073 0.028303175000000458 254.59765625 243.87109375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 0 0.0 0 0.0 2.8158469565727886 0.059854003524658375 1.6639095652475568 0.1893970705695597 2.4615384615384612 0.085303613635839 1.4545454545454544 0.23350647909091343 2.598076211353316 0.07441660241090339 0.39970403251589476 0.6705184683350357 1.5 0.22313016014842982 0.23076923076923078 0.7939226578179512 2.886751345948129 0.05575705408641982 0.262431940540739 0.7691787124744045 1.6666666666666667 0.18887560283756183 0.15151515151515152 0.8594048608885093 2 2 1.0 1.4142135623730951 1.4142135623730951 0.0 0.5 1.0 1.5 2.0 11.0 7.0710678118654755 0.6428243465332251 6.0 8.5 11.0 13.5 16.0 2 6.5 6.363961030678928 0.9790709277967581 2.0 4.25 6.5 8.75 11.0 11.0 11.0 7.0710678118654755 7.0710678118654755 0.6428243465332251 0.6428243465332251 6.0 6.0 8.5 8.5 11.0 11.0 13.5 13.5 16.0 16.0 1.0928013891064825 1.0928013891064825 0.6457462753811033 0.6457462753811033 0.7120787028846414 0.7120787028846414 1.4545454545454546 1.4545454545454546 1.8409090909090908 1.8409090909090908 2.2272727272727275 2.2272727272727275 2.6136363636363638 2.6136363636363638 3.0 3.0
2 0 2 3.5386124000000123 0.6806488000000144 0.024447600000030434 4.243708800000057 3.969301000000044 7.053317200000059 1.7934595000000133 0.1411247658088237 1.068179000000003 0.1069497308823509 262.42578125 251.30078125 44 44 1.0 44 22 22 0.9545454545454546 1.0 0.851081000611044 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8123955005832693 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.0 2.0 1.9518001458970664 1.9518001458970664 0.9759000729485332 0.9759000729485332 0.649821955044324 0.649821955044324 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 3 0.13636363636363635 7 0.1590909090909091 7.813159063109783 0.00040437857048499046 3.9065795315548915 0.020109166329934976 7.136363636363637 0.0007956400790577998 3.5681818181818183 0.02820709270835617 0.8366600265340756 0.4331548357620682 0.15212000482437738 0.8588852041883164 0.6 0.5488116360940265 0.10909090909090909 0.8966489002565755 6.4031242374328485 0.0016563742744195005 0.5821022034029862 0.5587225826154001 4.6 0.010051835744633586 0.41818181818181815 0.658242537082838 4 4 1.0 1.1547005383792515 1.1547005383792515 0.0 0.0 1.0 2.0 2.0 11.0 6.97614984548545 0.6341954404986773 4.0 5.5 11.5 17.0 17.0 4 5.5 1.9148542155126762 0.34815531191139565 4.0 4.0 5.0 6.5 8.0 11.0 11.0 6.97614984548545 6.97614984548545 0.6341954404986773 0.6341954404986773 4.0 4.0 5.5 5.5 11.5 11.5 17.0 17.0 17.0 17.0 1.5322063340164078 1.5322063340164078 0.7661031670082039 0.7661031670082039 0.6994247068719042 0.6994247068719042 1.0 1.0 1.0 1.0 1.5625 1.5625 2.65625 2.65625 4.25 4.25
3 0 1 7.432434000000015 1.3788255999999777 0.05079859999997893 8.862058199999971 5.838376500000038 15.91537540000003 2.035450137500005 0.20479884386093125 1.4921749428571434 0.16028073547516 265.3828125 255.41796875 72 72 1.0 0 44 44 0.9305555555555556 0.9187673353395327 0.6694262222652894 1.0 1.0 1.0 1.0 0.9729224451131776 0.8549640481631763 0.6229382901635332 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9053583864247625 False 0 0 False 1.6363636363636365 1.6363636363636365 0.9172990963340728 0.9172990963340728 0.5605716699819333 0.5605716699819333 0.8279902600055524 0.8279902600055524 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 7 0.1590909090909091 7 0.09722222222222222 2.784995214916433 0.06172938441051504 1.701941520226709 0.18232918438582196 2.4628099173553704 0.08519522278177136 1.505050505050504 0.2220060811204633 1.0 0.36787944117144233 0.18181818181818182 0.8337529180751806 0.7777777777777778 0.45942582403592663 0.1414141414141414 0.868129708774326 4.320493798938574 0.013293317695304948 0.4800548665487304 0.6187494422283774 3.5555555555555554 0.028565500784550377 0.3950617283950617 0.6736384553447268 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 1.0690449676496976 0.19437181229994502 4.0 4.75 6.0 6.0 7.0 9.0 9.0 2.6726124191242437 2.6726124191242437 0.2969569354582493 0.2969569354582493 6.0 6.0 7.5 7.5 8.5 8.5 10.25 10.25 14.0 14.0 0.3929797788385094 0.3929797788385094 0.24015430929020015 0.24015430929020015 0.9124131688715085 0.9124131688715085 1.2 1.2 1.3214285714285714 1.3214285714285714 1.5833333333333335 1.5833333333333335 1.875 1.875 2.3333333333333335 2.3333333333333335
4 1 4 0.6253671000000054 0.08222550000000695 0.0 0.7075926000000123 0.7075926000000123 0.7075926000000123 0.7075926000000123 0.05443020000000095 0.0 0.0 257.6015625 247.41015625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.4822950999999875 0.7112436999999829 0.013984700000008843 2.2075234999999793 2.6392915999999786 2.9151160999999917 1.4721462500000015 0.11575133602941419 0.30500090000002444 0.017941229411766145 269.23046875 257.66015625 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 4 0.3076923076923077 5 0.23809523809523808 1.0741723110591495 0.3415803606171071 0.6649638116080449 0.514292138775375 0.8698224852071006 0.4190259259464254 0.5384615384615384 0.583645478143574 2.598076211353316 0.07441660241090339 0.39970403251589476 0.6705184683350357 1.5 0.22313016014842982 0.23076923076923078 0.7939226578179512 3.7527767497325675 0.023452533542530598 0.35740730949833976 0.6994875317882148 2.1666666666666665 0.11455884399268773 0.20634920634920634 0.8135489302211806 2 2 1.0 1.4142135623730951 1.4142135623730951 0.0 0.5 1.0 1.5 2.0 10.5 9.192388155425117 0.8754655386119159 4.0 7.25 10.5 13.75 17.0 2 6.5 6.363961030678928 0.9790709277967581 2.0 4.25 6.5 8.75 11.0 10.5 10.5 9.192388155425117 9.192388155425117 0.8754655386119159 0.8754655386119159 4.0 4.0 7.25 7.25 10.5 10.5 13.75 13.75 17.0 17.0 0.32141217326661253 0.32141217326661253 0.1989694405936173 0.1989694405936173 0.8913424968171748 0.8913424968171748 1.5454545454545454 1.5454545454545454 1.6590909090909092 1.6590909090909092 1.7727272727272727 1.7727272727272727 1.8863636363636362 1.8863636363636362 2.0 2.0
6 1 2 3.51491070000003 0.9062206999999916 0.02361609999995551 4.444747499999977 4.259817600000005 7.359863599999969 1.8705470499999954 0.1440722639180663 1.0741235333333254 0.07484687170868291 275.82421875 268.6015625 45 45 1.0 45 21 21 0.9333333333333333 1.0 0.8383171774654921 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.7824293656344593 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 2.142857142857143 2.142857142857143 2.104417123236605 2.104417123236605 0.9820613241770825 0.9820613241770825 0.6279134087691078 0.6279134087691078 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 7 0.3333333333333333 20 0.4444444444444444 7.191737511573553 0.0007527800195375587 3.3561441720676584 0.034869450670259684 6.61904761904762 0.0013347014847698863 3.0888888888888895 0.04555254022976968 1.036822067666386 0.35457972372751095 0.19748991765074017 0.8207884160614859 0.8 0.44932896411722156 0.1523809523809524 0.8586611094326662 6.6011362658257555 0.0013588231756894596 0.5867676680734005 0.5561219534346548 4.9 0.007446583070924338 0.4355555555555556 0.6469051754643523 4 4 1.0 1.1547005383792515 1.1547005383792515 0.0 0.0 1.0 2.0 2.0 11.25 6.751543033509698 0.6001371585341954 4.0 6.25 12.0 17.0 17.0 4 5.25 1.8929694486000912 0.36056560925716025 4.0 4.0 4.5 5.75 8.0 11.25 11.25 6.751543033509698 6.751543033509698 0.6001371585341954 0.6001371585341954 4.0 4.0 6.25 6.25 12.0 12.0 17.0 17.0 17.0 17.0 1.447753288144542 1.447753288144542 0.6756182011341196 0.6756182011341196 0.7059734007892541 0.7059734007892541 1.0 1.0 1.2999999999999998 1.2999999999999998 1.7625 1.7625 2.65625 2.65625 4.25 4.25
7 1 1 7.429911600000011 1.2584287999999617 0.05077530000005481 8.739115700000028 6.078658000000004 16.098979299999996 2.0587521624999994 0.20668894117063466 1.4844798999999986 0.1501793168027213 273.37109375 262.3203125 72 72 1.0 0 45 45 0.9305555555555556 0.9023789742412908 0.6673861460135166 1.0 1.0 1.0 1.0 0.9674596580804302 0.8397137676967567 0.6210398858736891 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9305555555555556 0.9002749596026226 False 0 0 False 1.6 1.6 0.9390517460812168 0.9390517460812168 0.5869073413007605 0.5869073413007605 0.8260420868207045 0.8260420868207045 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 9 0.2 10 0.1388888888888889 2.7608372321131522 0.0632388006349059 1.7255232700707201 0.1780798435361639 2.4222222222222207 0.08872423326203517 1.513888888888888 0.22005255189859146 1.3202482931462383 0.2670689823349496 0.23471080767044236 0.7907995097161982 0.9444444444444444 0.3888955639892229 0.16790123456790124 0.8454373305446021 4.320493798938574 0.013293317695304948 0.4800548665487304 0.6187494422283774 3.7777777777777777 0.02287346491123891 0.41975308641975306 0.6572090736282378 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.625 1.5979898086569353 0.28408707709456626 4.0 4.0 5.5 7.0 8.0 9.0 9.0 2.5634797778466227 2.5634797778466227 0.2848310864274025 0.2848310864274025 5.0 5.0 8.5 8.5 9.0 9.0 9.25 9.25 14.0 14.0 0.48692656567617265 0.48692656567617265 0.3043291035476079 0.3043291035476079 0.8957850129576049 0.8957850129576049 1.125 1.125 1.2767857142857144 1.2767857142857144 1.5178571428571428 1.5178571428571428 2.0625 2.0625 2.3333333333333335 2.3333333333333335
8 2 4 0.6229067999999955 0.08055610000000968 0.0 0.7034629000000052 0.7034629000000052 0.7034629000000052 0.7034629000000052 0.05411253076923117 0.0 0.0 262.55078125 253.00390625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.52138699999999 0.518821900000006 0.013892900000016084 2.054101800000012 2.3386274000000498 2.7575647000000174 1.3932935000000057 0.11041207291666502 0.4479595999999617 0.027997474999997607 284.78515625 273.109375 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 3 0.23076923076923078 3 0.13636363636363635 2.4506972803190754 0.08623343665293119 1.4481393020067264 0.2350071588743834 2.076923076923077 0.12531520484413722 1.2272727272727273 0.2930908272837557 2.598076211353316 0.07441660241090339 0.39970403251589476 0.6705184683350357 1.5 0.22313016014842982 0.23076923076923078 0.7939226578179512 2.886751345948129 0.05575705408641982 0.262431940540739 0.7691787124744045 1.6666666666666667 0.18887560283756183 0.15151515151515152 0.8594048608885093 2 2 1.0 1.4142135623730951 1.4142135623730951 0.0 0.5 1.0 1.5 2.0 11.0 7.0710678118654755 0.6428243465332251 6.0 8.5 11.0 13.5 16.0 2 6.5 6.363961030678928 0.9790709277967581 2.0 4.25 6.5 8.75 11.0 11.0 11.0 7.0710678118654755 7.0710678118654755 0.6428243465332251 0.6428243465332251 6.0 6.0 8.5 8.5 11.0 11.0 13.5 13.5 16.0 16.0 1.0928013891064825 1.0928013891064825 0.6457462753811033 0.6457462753811033 0.7120787028846414 0.7120787028846414 1.4545454545454546 1.4545454545454546 1.8409090909090908 1.8409090909090908 2.2272727272727275 2.2272727272727275 2.6136363636363638 2.6136363636363638 3.0 3.0
