 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.623004800000011 0.07953620000001393 0.0 0.702541000000025 0.702541000000025 0.702541000000025 0.702541000000025 0.054041615384617304 0.0 0.0 234.828125 222.42578125 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.5042912000000115 0.5629703000000177 0.01275919999998365 2.080020700000013 2.2781451000000246 2.7825617000000378 1.405483950000015 0.11399694142857261 0.5328228000000053 0.03552152000000035 257.01953125 246.69921875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.3155870289605438 0.6123724356957945 0.7773923352948668 0.6123724356957945 0.6726394502973617 0.8137559108047216 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 2.5 4 0.3076923076923077 10 0.45454545454545453 1.6462257353102074 0.19277612541465639 0.9727697526833045 0.37803452457330694 1.242603550295858 0.28863177151391173 0.7342657342657343 0.47985767269622154 0.8660254037844386 0.4206200260541148 0.13323467750529824 0.8752596642505708 0.5 0.6065306597126334 0.07692307692307693 0.925961078642316 2.309401076758503 0.09932071923669414 0.20994555243259116 0.8106283815120856 1.3333333333333333 0.26359713811572677 0.1212121212121212 0.8858460329277068 2 3 1.5 0.7071067811865476 0.47140452079103173 1.0 1.25 1.5 1.75 2.0 11.0 5.656854249492381 0.51425947722658 7.0 9.0 11.0 13.0 15.0 2 6.5 2.1213203435596424 0.32635697593225266 5.0 5.75 6.5 7.25 8.0 11.0 11.0 5.656854249492381 5.656854249492381 0.51425947722658 0.51425947722658 7.0 7.0 9.0 9.0 11.0 11.0 13.0 13.0 15.0 15.0 0.33587572106361013 0.33587572106361013 0.19847201699213327 0.19847201699213327 0.8870983371312453 0.8870983371312453 1.4 1.4 1.5187499999999998 1.5187499999999998 1.6375 1.6375 1.75625 1.75625 1.875 1.875
2 0 2 3.99456110000002 0.6670646000000175 0.024426700000034884 4.686052400000072 3.407766400000021 7.46861410000011 1.523564740000016 0.15742732943434495 1.0525143250000148 0.10239734861111237 254.59375 244.234375 48 48 1.0 48 22 22 0.875 1.0 0.8340673524772189 1.0 1.0 1.0 1.0 1.0 0.875 0.7298089334175665 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.94290807165233 1.94290807165233 0.8904995328406513 0.8904995328406513 0.6507979916875541 0.6507979916875541 1.0 1.0 1.0 1.0 1.0 1.0 2.75 2.75 8.0 8.0 9 0.4090909090909091 16 0.3333333333333333 5.7914870555022055 0.0030534381666369485 2.6544315671051777 0.07033881019708407 4.772727272727275 0.00845728336037808 2.1875000000000013 0.11219689052034358 1.6020819787597216 0.20147661100292635 0.3641095406272094 0.6948150800944954 1.2333333333333332 0.29131989113347107 0.2803030303030302 0.7555547507768365 3.9581140290126404 0.019099100696085093 0.41230354468881675 0.6621232615458386 2.866666666666667 0.056888238346101495 0.29861111111111116 0.7418478497317689 5 13 2.6 1.8165902124584952 0.6986885432532673 0.0 2.0 3.0 3.0 5.0 9.6 4.33589667773576 0.45165590393080834 3.0 9.0 10.0 11.0 15.0 5 4.4 2.3021728866442674 0.5232211106009699 2.0 2.0 5.0 6.0 7.0 9.6 9.6 4.33589667773576 4.33589667773576 0.45165590393080834 0.45165590393080834 3.0 3.0 9.0 9.0 10.0 10.0 11.0 11.0 15.0 15.0 1.2460304317048978 1.2460304317048978 0.5710972811980782 0.5710972811980782 0.7382228106782768 0.7382228106782768 1.4285714285714286 1.4285714285714286 1.5 1.5 2.2 2.2 2.5 2.5 4.5 4.5
3 0 1 8.929100800000043 1.1236610000000269 0.04676260000002941 10.0995244000001 4.001986700000039 17.56813850000021 1.0214097166666782 0.24788745006614057 0.8460816588235394 0.2158201978711515 252.734375 241.0 81 81 1.0 0 48 48 0.8271604938271605 1.0 0.6520966320564543 1.0 1.0 1.0 1.0 1.0 0.8271604938271605 0.5393885721948449 0.8271604938271605 0.8271604938271605 0.8271604938271605 0.8271604938271605 0.8271604938271605 False 0 0 False 1.6875 1.6875 1.2055942297508355 1.2055942297508355 0.7144262102227174 0.7144262102227174 0.7956714305679103 0.7956714305679103 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 3 0.0625 6 0.07407407407407407 2.4697387260599046 0.08460696170825335 1.4635488747021657 0.2314135580121943 1.9296875 0.14519356438370257 1.1435185185185186 0.31869571002102615 1.1920791213585387 0.30358940821896824 0.447029670509452 0.6395249329627304 0.8245614035087709 0.43842724295209085 0.3092105263157891 0.7340262219224188 1.057554278811059 0.347304181663405 0.2350120619580131 0.7905613138538511 0.868421052631579 0.4196135742075638 0.1929824561403509 0.8244964388620288 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 2.6666666666666665 1.0846522890932808 0.40674460840998033 1.0 2.0 3.0 3.0 5.0 4.5 4.5 1.2485285456935955 1.2485285456935955 0.27745078793191014 0.27745078793191014 2.0 2.0 4.0 4.0 5.0 5.0 5.0 5.0 7.0 7.0 1.3726584340142993 1.3726584340142993 0.8134272201566218 0.8134272201566218 0.7768106005886839 0.7768106005886839 1.0 1.0 1.2708333333333333 1.2708333333333333 1.5833333333333335 1.5833333333333335 2.4583333333333335 2.4583333333333335 6.0 6.0
4 1 4 0.6209101999999973 0.08618210000001625 0.0 0.7070923000000136 0.7070923000000136 0.7070923000000136 0.7070923000000136 0.05439171538461643 0.0 0.0 248.578125 236.515625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.5342622999999662 0.5488907999999952 0.013581400000006738 2.096734499999968 2.313452600000005 2.8038267999999817 1.4162898499999912 0.11555598541666492 0.5191270999999773 0.03244544374999858 260.4609375 249.32421875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 1.2506408613597126 0.5773502691896257 0.7390150544398302 0.5773502691896257 0.6837305966404872 0.8223175856932449 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 5.0 2.5 6 0.46153846153846156 8 0.36363636363636365 1.6098807335735654 0.19991145537826904 0.951293160748016 0.3862412283706637 1.3491124260355027 0.2594704576951319 0.7972027972027971 0.45058758784476166 2.598076211353316 0.07441660241090339 0.39970403251589476 0.6705184683350357 1.5 0.22313016014842982 0.23076923076923078 0.7939226578179512 2.886751345948129 0.05575705408641982 0.262431940540739 0.7691787124744045 1.6666666666666667 0.18887560283756183 0.15151515151515152 0.8594048608885093 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 11.0 7.0710678118654755 0.6428243465332251 6.0 8.5 11.0 13.5 16.0 2 6.5 6.363961030678928 0.9790709277967581 2.0 4.25 6.5 8.75 11.0 11.0 11.0 7.0710678118654755 7.0710678118654755 0.6428243465332251 0.6428243465332251 6.0 6.0 8.5 8.5 11.0 11.0 13.5 13.5 16.0 16.0 1.0928013891064825 1.0928013891064825 0.6457462753811033 0.6457462753811033 0.7120787028846414 0.7120787028846414 1.4545454545454546 1.4545454545454546 1.8409090909090908 1.8409090909090908 2.2272727272727275 2.2272727272727275 2.6136363636363638 2.6136363636363638 3.0 3.0
6 1 2 3.908003599999958 0.7045485000000866 0.022625999999945634 4.63517809999999 3.4475566999999785 7.439004899999972 1.5178419599999926 0.1570075581111105 1.0354132749999962 0.10620228763888812 257.66796875 247.25 48 48 1.0 48 22 22 0.875 1.0 0.8352110940704277 1.0 1.0 1.0 1.0 1.0 0.875 0.7308097073116242 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.1818181818181817 2.1818181818181817 1.9672645653622367 1.9672645653622367 0.9016629257910252 0.9016629257910252 0.6481314886283063 0.6481314886283063 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 2 0.09090909090909091 3 0.0625 7.492420412414379 0.0005572924491791888 3.4340260223565906 0.03225681235103095 6.863636363636366 0.0010451066267152672 3.145833333333335 0.043031049893098604 1.3165611772087673 0.26805551424724555 0.2992184493656289 0.741397433944809 1.0000000000000007 0.36787944117144206 0.2272727272727274 0.7967034698934615 3.834057902536164 0.021621698625483503 0.39938103151418375 0.6707350814532175 2.7000000000000006 0.06720551273974973 0.28125000000000006 0.7548396019890073 5 13 2.6 1.5165750888103102 0.5832981110808886 1.0 1.0 3.0 4.0 4.0 9.6 3.9115214431215892 0.40745015032516557 6.0 6.0 9.0 12.0 15.0 5 4.4 1.6733200530681511 0.3803000120609434 2.0 4.0 4.0 6.0 6.0 9.6 9.6 3.9115214431215892 3.9115214431215892 0.40745015032516557 0.40745015032516557 6.0 6.0 6.0 6.0 9.0 9.0 12.0 12.0 15.0 15.0 1.3693063937629153 1.3693063937629153 0.627598763808003 0.627598763808003 0.7209364593110714 0.7209364593110714 1.0 1.0 1.5 1.5 2.5 2.5 3.0 3.0 4.5 4.5
7 1 1 8.927722899999992 1.13709929999996 0.04557590000005973 10.110398100000012 4.089936299999977 17.549402999999984 1.0202723277777797 0.24839366478836059 0.8397038588235328 0.20477256616246553 253.00390625 241.0 83 83 1.0 0 48 48 0.8072289156626506 1.0 0.6522809815718461 1.0 1.0 1.0 1.0 1.0 0.8072289156626506 0.5265400694616107 0.8072289156626506 0.8072289156626506 0.8072289156626506 0.8072289156626506 0.8072289156626506 False 0 0 False 1.7291666666666667 1.7291666666666667 1.3951219474393448 1.3951219474393448 0.8068175117721512 0.8068175117721512 0.7743764416735898 0.7743764416735898 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 1 0.020833333333333332 1 0.012048192771084338 3.146327683747913 0.04300978273289206 1.8195629978301182 0.16209657201197095 2.568576388888887 0.0766445798696816 1.485441767068272 0.22640230150010515 1.1394058162196148 0.32000910955966017 0.4272771810823556 0.6522827267361568 0.8070175438596487 0.4461868163787222 0.3026315789473683 0.7388712619597281 1.7598234449810262 0.17207524188886825 0.3816484579476925 0.6827350210940144 1.388888888888892 0.24935220877729544 0.3012048192771091 0.739926206074707 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18 2.6666666666666665 1.2833778958394957 0.4812667109398109 1.0 2.0 3.0 3.0 5.0 4.611111111111111 4.611111111111111 1.2432826042324119 1.2432826042324119 0.2696275527251014 0.2696275527251014 2.0 2.0 4.0 4.0 5.0 5.0 5.0 5.0 7.0 7.0 1.7965461497730424 1.7965461497730424 1.0389664480615184 1.0389664480615184 0.734349847777003 0.734349847777003 1.0 1.0 1.25 1.25 1.5 1.5 2.4583333333333335 2.4583333333333335 6.0 6.0
8 2 4 0.622216399999985 0.08257469999996658 0.0 0.7047910999999516 0.7047910999999516 0.7047910999999516 0.7047910999999516 0.05421469999999628 0.0 0.0 251.44140625 239.8671875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 1 1.0 0.0 0.0 1.0 1.0 1.0 1.0 1.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.5372724999999718 0.6119468000000268 0.01436919999997599 2.1635884999999746 2.435049899999939 2.868379599999926 1.4487242999999594 0.11785898470587856 0.46239869999998007 0.027199923529410593 276.91796875 265.0546875 22 22 1.0 22 13 22 0.9090909090909091 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 0.9090909090909091 False 0 0 False 1.6923076923076923 1.6923076923076923 0.8548504142651103 0.3535533905932738 0.5051388811566561 0.3535533905932738 0.7591359643025763 0.8819730008575237 1.0 0.5 1.0 1.0 1.0 1.0 2.0 1.0 3.0 1.5 6 0.46153846153846156 6 0.2727272727272727 1.0262818510866412 0.35833683641778324 0.6064392756421062 0.5452890403479277 0.8165680473372782 0.4419457918330806 0.48251748251748255 0.6172275746281275 2.0207259421636903 0.1325591998305055 0.3108809141790293 0.7328011368984495 1.1666666666666667 0.3114032239145977 0.1794871794871795 0.8356986649599262 3.4641016151377544 0.03130111324493289 0.31491832864888675 0.7298484795464344 2.0 0.1353352832366127 0.18181818181818182 0.8337529180751806 2 3 1.5 2.1213203435596424 1.414213562373095 0.0 0.75 1.5 2.25 3.0 11.0 8.48528137423857 0.77138921583987 5.0 8.0 11.0 14.0 17.0 2 6.5 4.949747468305833 0.7614996105085896 3.0 4.75 6.5 8.25 10.0 11.0 11.0 8.48528137423857 8.48528137423857 0.77138921583987 0.77138921583987 5.0 5.0 8.0 8.0 11.0 11.0 14.0 14.0 17.0 17.0 0.0235702260395515 0.0235702260395515 0.013927860841553159 0.013927860841553159 0.9909172719854594 0.9909172719854594 1.6666666666666667 1.6666666666666667 1.675 1.675 1.6833333333333333 1.6833333333333333 1.6916666666666667 1.6916666666666667 1.7 1.7
