 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1243578999999997 0.7717505000000031 0.0 1.8961084000000028 1.8961084000000028 1.8961084000000028 1.8961084000000028 0.09480542000000014 0.0 0.0 234.515625 223.12109375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.259644200000011 0.726831199999971 0.02424089999998813 4.01071629999997 3.5962656000000024 5.906824699999973 1.9877948999999902 0.1274034670634913 1.183559549999984 0.08306904166666554 252.66015625 240.72265625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9138902293207961 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.872349764351669 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 3 0.15 10 0.22727272727272727 5.300943312279427 0.004986887495240868 2.4095196873997393 0.08985844435178866 4.179999999999998 0.015298507566725546 1.8999999999999988 0.14956861922263523 1.3743685418725535 0.2529993038416198 0.206155281280883 0.8137067130515867 0.8333333333333333 0.43459820850707825 0.12499999999999999 0.8824969025845955 1.6996731711975954 0.1827432400480419 0.11588680712710879 0.8905760244511145 1.0000000000000004 0.36787944117144217 0.06818181818181822 0.9340906234779491 3 5 1.6666666666666667 0.5773502691896257 0.3464101615137754 1.0 1.5 2.0 2.0 2.0 14.666666666666666 3.055050463303893 0.20829889522526546 12.0 13.0 14.0 16.0 18.0 3 6.666666666666667 3.0550504633038935 0.458257569495584 4.0 5.0 6.0 8.0 10.0 14.666666666666666 14.666666666666666 3.055050463303893 3.055050463303893 0.20829889522526546 0.20829889522526546 12.0 12.0 13.0 13.0 14.0 14.0 16.0 16.0 18.0 18.0 1.6767472920751896 1.6767472920751896 0.7621578600341771 0.7621578600341771 0.671331657671421 0.671331657671421 1.2 1.2 1.7666666666666666 1.7666666666666666 2.3333333333333335 2.3333333333333335 3.416666666666667 3.416666666666667 4.5 4.5
2 0 1 7.245072699999994 1.2724043000000123 0.04945849999998586 8.566935499999992 5.344860699999984 14.473760199999965 1.845768512499994 0.18163339912157248 1.3458981999999955 0.13723417406720217 255.09765625 245.89453125 73 73 1.0 0 44 44 0.9178082191780822 0.9604711118775489 0.6866306508064306 1.0 1.0 1.0 1.0 0.986823703959183 0.8815282807643257 0.6301952548497377 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9178082191780822 0.9057149063734967 False 0 0 False 1.6590909090909092 1.6590909090909092 0.9386576714124697 0.9386576714124697 0.5657662677006666 0.5657662677006666 0.8250627279085431 0.8250627279085431 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 6 0.13636363636363635 6 0.0821917808219178 2.341846678962692 0.09614991615576124 1.4115240256761432 0.24377148590749095 1.8688016528925606 0.15430846616722046 1.1264009962640091 0.32419794892813436 2.1081851067789197 0.12145820018672099 0.3833063830507127 0.6816040353677081 1.6666666666666667 0.18887560283756183 0.30303030303030304 0.7385767149187981 4.937807655675183 0.007170300921860803 0.5411296061013899 0.5820903480488613 4.277777777777778 0.013873457762527509 0.4687975646879756 0.6257542450913096 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 1.5118578920369088 0.2748832530976198 2.0 5.75 6.0 6.0 7.0 9.125 9.125 3.313931631332013 3.313931631332013 0.36317058973501515 0.36317058973501515 3.0 3.0 8.25 8.25 10.0 10.0 10.25 10.25 14.0 14.0 0.35026714780283347 0.35026714780283347 0.2111199247030777 0.2111199247030777 0.9206428616993877 0.9206428616993877 1.2 1.2 1.4464285714285714 1.4464285714285714 1.6666666666666667 1.6666666666666667 1.7083333333333335 1.7083333333333335 2.3333333333333335 2.3333333333333335
3 1 3 1.1207344999999833 0.8736280999999977 0.0 1.994362599999981 1.994362599999981 1.994362599999981 1.994362599999981 0.09971812999999904 0.0 0.0 246.19921875 235.85546875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.257959599999978 0.6286571999999495 0.022699299999992206 3.90931609999992 3.6606971999999445 5.903678699999901 1.9863245999999652 0.1267245607142832 1.1491382999999757 0.08101602361111028 257.66796875 245.8046875 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9141105237020899 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8725600453519949 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.117595458607661 2.117595458607661 0.9625433902762094 0.9625433902762094 0.620439373576817 0.620439373576817 1.0 1.0 1.0 1.0 1.0 1.0 3.0 3.0 10.0 10.0 7 0.35 14 0.3181818181818182 5.526300751859239 0.003980687436510801 2.511954887208745 0.08110952418508391 4.2799999999999985 0.013842662086479525 1.9454545454545447 0.14292224391483613 1.3743685418725535 0.2529993038416198 0.206155281280883 0.8137067130515867 0.8333333333333333 0.43459820850707825 0.12499999999999999 0.8824969025845955 1.6996731711975954 0.1827432400480419 0.11588680712710879 0.8905760244511145 1.0000000000000004 0.36787944117144217 0.06818181818181822 0.9340906234779491 3 5 1.6666666666666667 0.5773502691896257 0.3464101615137754 1.0 1.5 2.0 2.0 2.0 14.666666666666666 3.055050463303893 0.20829889522526546 12.0 13.0 14.0 16.0 18.0 3 6.666666666666667 3.0550504633038935 0.458257569495584 4.0 5.0 6.0 8.0 10.0 14.666666666666666 14.666666666666666 3.055050463303893 3.055050463303893 0.20829889522526546 0.20829889522526546 12.0 12.0 13.0 13.0 14.0 14.0 16.0 16.0 18.0 18.0 1.6767472920751896 1.6767472920751896 0.7621578600341771 0.7621578600341771 0.671331657671421 0.671331657671421 1.2 1.2 1.7666666666666666 1.7666666666666666 2.3333333333333335 2.3333333333333335 3.416666666666667 3.416666666666667 4.5 4.5
5 1 1 7.025295100000008 1.3083144000000573 0.04790390000002276 8.381513400000088 5.43685909999995 14.285192099999989 1.8218016749999997 0.18543243330627684 1.3053649000000067 0.14005764392084227 260.171875 250.4609375 71 71 1.0 0 44 44 0.9436619718309859 0.9516433163196352 0.6890544782398147 1.0 1.0 1.0 1.0 0.9838811054398784 0.8980296083579655 0.6502345076347547 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9284511840066457 False 0 0 False 1.6136363636363635 1.6136363636363635 0.9204627019188114 0.9204627019188114 0.570427589921517 0.570427589921517 0.8275545861286152 0.8275545861286152 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 9 0.20454545454545456 9 0.1267605633802817 1.7839823360130596 0.16796790894443553 1.1055665180926004 0.33102329842455497 1.457644628099174 0.2327839222291902 0.9033290653008966 0.40521841323583735 2.0275875100994063 0.1316527492678116 0.3686522745635284 0.6916658784589436 1.6666666666666667 0.18887560283756183 0.30303030303030304 0.7385767149187981 4.433928531474343 0.01186777504513218 0.49959758101119356 0.6067747882850871 3.8333333333333335 0.02163737071949309 0.431924882629108 0.649258145418349 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.5 1.3093073414159542 0.2380558802574462 3.0 5.0 5.5 6.25 7.0 8.875 8.875 3.2705394924123103 3.2705394924123103 0.36851149210279555 0.36851149210279555 3.0 3.0 8.25 8.25 9.0 9.0 10.25 10.25 14.0 14.0 0.46434196414881795 0.46434196414881795 0.2877612172189858 0.2877612172189858 0.8992106614020234 0.8992106614020234 1.0 1.0 1.2642857142857142 1.2642857142857142 1.542857142857143 1.542857142857143 1.875 1.875 2.3333333333333335 2.3333333333333335
6 2 3 1.1293911000000492 0.85779220000002 0.0 1.9871833000000692 1.9871833000000692 1.9871833000000692 1.9871833000000692 0.09935916500000345 0.0 0.0 254.8984375 243.75 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.1122647999999913 0.7550183000000601 0.022902599999980566 3.890185700000032 3.6584386000001246 5.877369000000101 1.9775779000000284 0.13094801610981738 1.1371475499999804 0.07436712136752024 273.21484375 261.41015625 42 42 1.0 42 20 20 1.0 1.0 0.9159672064672144 1.0 1.0 1.0 1.0 1.0 1.0 0.9159672064672144 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.0235456115702615 2.0235456115702615 0.9635931483667911 0.9635931483667911 0.6306645303152281 0.6306645303152281 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 10.0 10.0 4 0.2 11 0.2619047619047619 7.586501169841074 0.0005072527439343348 3.6126196046862256 0.02698107445986406 6.949999999999998 0.0009586351536940216 3.3095238095238084 0.03653356654872189 2.13437474581095 0.1183185464203546 0.3201562118716425 0.7260356128328553 1.5000000000000002 0.2231301601484298 0.22500000000000003 0.7985162187593771 2.5 0.0820849986238988 0.17857142857142858 0.8364643072929833 1.75 0.17377394345044514 0.125 0.8824969025845955 3 5 1.6666666666666667 0.5773502691896257 0.3464101615137754 1.0 1.5 2.0 2.0 2.0 14.0 3.605551275463989 0.25753937681885636 11.0 12.0 13.0 15.5 18.0 3 6.666666666666667 3.0550504633038935 0.458257569495584 4.0 5.0 6.0 8.0 10.0 14.0 14.0 3.605551275463989 3.605551275463989 0.25753937681885636 0.25753937681885636 11.0 11.0 12.0 12.0 13.0 13.0 15.5 15.5 18.0 18.0 1.7388800141768561 1.7388800141768561 0.8280381019889791 0.8280381019889791 0.6636718535291701 0.6636718535291701 1.1 1.1 1.6333333333333333 1.6333333333333333 2.1666666666666665 2.1666666666666665 3.333333333333333 3.333333333333333 4.5 4.5
8 2 1 7.052422200000009 1.2067618999999326 0.04671239999996146 8.305896499999903 5.402716500000096 14.183265500000005 1.8090340250000008 0.18158402476190416 1.2956508142857015 0.1568386015646245 274.515625 262.640625 71 71 1.0 0 42 42 0.9436619718309859 0.9548517350397947 0.6903831966933736 1.0 1.0 1.0 1.0 0.9849505783465983 0.9010572710938908 0.6514883687106483 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9294604049186208 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9997095977868197 0.9997095977868197 0.5913775085499496 0.5913775085499496 0.814589827436665 0.814589827436665 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 14 0.3333333333333333 17 0.23943661971830985 3.2105945884662925 0.0403326248275739 1.8992249678251307 0.1496845846475463 2.84297052154195 0.05825236878408544 1.681757209926224 0.18604676541180148 1.707825127659933 0.18125958069092374 0.3253000243161777 0.722310610382626 1.3333333333333333 0.26359713811572677 0.25396825396825395 0.7757164275739282 5.903741751352837 0.002729213650592362 0.6652103381806014 0.5141653677239685 4.944444444444445 0.007122870715457221 0.5571205007824727 0.5728562302702976 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8 5.25 1.5811388300841898 0.3011693009684171 2.0 4.75 6.0 6.0 7.0 8.875 8.875 3.399054490379851 3.399054490379851 0.3829920552540677 0.3829920552540677 3.0 3.0 8.0 8.0 10.0 10.0 10.0 10.0 14.0 14.0 0.3589488069791374 0.3589488069791374 0.21233591398765875 0.21233591398765875 0.9179404559103339 0.9179404559103339 1.25 1.25 1.4464285714285714 1.4464285714285714 1.6666666666666667 1.6666666666666667 1.75 1.75 2.3333333333333335 2.3333333333333335
9 3 3 1.1296265999999662 0.8982864000000319 0.0 2.027912999999998 2.027912999999998 2.027912999999998 2.027912999999998 0.1013956499999999 0.0 0.0 272.5390625 261.44921875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
