 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.1233264000000318 0.7725468000000006 0.0 1.8958732000000325 1.8958732000000325 1.8958732000000325 1.8958732000000325 0.09479366000000163 0.0 0.0 241.62109375 230.69921875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.4313022999999845 0.6656015000000224 0.023638100000020756 4.120541900000028 3.5125918000000524 6.01641510000006 2.024127566666685 0.1293060001346812 1.2798954500000015 0.07617476388888897 256.26953125 245.8515625 44 44 1.0 44 20 20 0.9545454545454546 1.0 0.9064348866242977 1.0 1.0 1.0 1.0 1.0 0.9545454545454546 0.8652333008686479 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 0.9545454545454546 False 0 0 False 2.2 2.2 2.0416711421361615 2.0416711421361615 0.9280323373346188 0.9280323373346188 0.6286693934545464 0.6286693934545464 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 6 0.3 10 0.22727272727272727 5.006995106848017 0.006690978805176615 2.2759068667490987 0.10270372759480527 4.349999999999997 0.012906812580479907 1.9772727272727257 0.13844630372404002 0.8975274678557507 0.4075761600826459 0.1346291201783626 0.8740400153875691 0.5833333333333333 0.5580351457700471 0.08749999999999998 0.9162188716508777 2.477678124553085 0.08393789284064024 0.1689325994013467 0.8445658257099684 1.7500000000000004 0.17377394345044506 0.11931818181818185 0.8875253613976257 3 7 2.3333333333333335 0.5773502691896257 0.24743582965269673 2.0 2.0 2.0 2.5 3.0 14.666666666666666 3.511884584284246 0.2394466762011986 11.0 13.0 15.0 16.5 18.0 3 6.666666666666667 2.0816659994661326 0.31224989991991986 5.0 5.5 6.0 7.5 9.0 14.666666666666666 14.666666666666666 3.511884584284246 3.511884584284246 0.2394466762011986 0.2394466762011986 11.0 11.0 13.0 13.0 15.0 15.0 16.5 16.5 18.0 18.0 1.0713439119992132 1.0713439119992132 0.4869745054541878 0.4869745054541878 0.7569216595571246 0.7569216595571246 1.6666666666666667 1.6666666666666667 1.75 1.75 1.8333333333333333 1.8333333333333333 2.716666666666667 2.716666666666667 3.6 3.6
2 0 1 8.477984999999975 1.3572921000000093 0.05003550000003543 9.88531260000002 4.629400900000057 15.90172770000008 1.6310612600000063 0.20045761887698527 1.2979124111111118 0.15466402005291013 255.40234375 244.38671875 79 79 1.0 0 44 44 0.8481012658227848 1.0 0.6695791187621989 1.0 1.0 1.0 1.0 1.0 0.8481012658227848 0.5678708981907257 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 0.8481012658227848 False 0 0 False 1.7954545454545454 1.7954545454545454 1.2497357014454018 1.2497357014454018 0.6960553273873125 0.6960553273873125 0.785736756946599 0.785736756946599 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 7 0.1590909090909091 7 0.08860759493670886 1.8367658200451007 0.15933190174787928 1.0230088111643598 0.3595116086784999 1.5000000000000002 0.2231301601484298 0.8354430379746837 0.4336823011361981 2.240129866365299 0.10644467989792092 0.5091204241739316 0.6010239925629633 1.6363636363636351 0.19468670833151042 0.3719008264462807 0.6894226116243724 3.273169162086852 0.0378861692064218 0.4143252103907408 0.660786021838807 2.6818181818181794 0.06843860713287296 0.33947065592635184 0.712147193903215 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 4.4 1.7126976771553504 0.38924947208076144 2.0 3.25 4.0 5.0 8.0 7.9 7.9 1.9119507199599983 1.9119507199599983 0.24201907847594914 0.24201907847594914 3.0 3.0 8.0 8.0 8.0 8.0 9.0 9.0 10.0 10.0 0.511081671857485 0.511081671857485 0.2846530830598651 0.2846530830598651 0.8909077574609959 0.8909077574609959 1.125 1.125 1.525 1.525 1.875 1.875 2.1875 2.1875 2.6666666666666665 2.6666666666666665
3 1 3 1.12752959999996 0.8151064999999846 0.0 1.9426360999999446 1.9426360999999446 1.9426360999999446 1.9426360999999446 0.09713180499999723 0.0 0.0 247.42578125 236.234375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 4.078106200000008 0.9295729000000392 0.024284100000045328 5.031963200000092 3.51297349999993 6.974599300000037 2.3434156666666817 0.16978925767676764 1.7586367500000577 0.1275934136363678 264.92578125 255.87890625 48 48 1.0 48 20 20 0.875 1.0 0.8545656406152158 1.0 1.0 1.0 1.0 1.0 0.875 0.7477449355383138 0.875 0.875 0.875 0.875 0.875 False 0 0 False 2.4 2.4 2.458069417888334 2.458069417888334 1.0241955907868059 1.0241955907868059 0.5858406732171038 0.5858406732171038 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 5 0.25 19 0.3958333333333333 5.710516614107695 0.003310961613512723 2.379381922544873 0.09260779861747792 4.75 0.008651695203120634 1.9791666666666667 0.13818434296267892 1.8408935028645437 0.15867558565861464 0.2761340254296815 0.7587112373470523 1.0000000000000002 0.3678794411714422 0.15000000000000002 0.8607079764250578 2.5495097567963922 0.07811995439178138 0.15934435979977452 0.8527026718836637 1.5 0.22313016014842982 0.09375 0.9105103613800342 3 6 2.0 1.0 0.5 1.0 1.5 2.0 2.5 3.0 16.0 5.5677643628300215 0.34798527267687634 11.0 13.0 15.0 18.5 22.0 3 6.666666666666667 3.5118845842842465 0.5267826876426369 3.0 5.0 7.0 8.5 10.0 16.0 16.0 5.5677643628300215 5.5677643628300215 0.34798527267687634 0.34798527267687634 11.0 11.0 13.0 13.0 15.0 15.0 18.5 18.5 22.0 22.0 0.863748794701153 0.863748794701153 0.3598953311254804 0.3598953311254804 0.7921743722272945 0.7921743722272945 2.142857142857143 2.142857142857143 2.1714285714285717 2.1714285714285717 2.2 2.2 2.9333333333333336 2.9333333333333336 3.6666666666666665 3.6666666666666665
5 1 1 7.959149900000085 1.442400300000017 0.051554399999986344 9.453104600000088 4.581381099999945 16.427703900000125 1.861416933333353 0.21362042793210112 1.521421412500029 0.1865996896875034 271.87109375 262.35546875 78 78 1.0 0 48 48 0.8589743589743589 1.0 0.6638097438611901 1.0 1.0 1.0 1.0 1.0 0.8589743589743589 0.5701955492140991 0.8589743589743589 0.8589743589743589 0.8589743589743589 0.8589743589743589 0.8589743589743589 False 0 0 False 1.625 1.625 1.023656358562546 1.023656358562546 0.6299423745000283 0.6299423745000283 0.8179102682332215 0.8179102682332215 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 8 0.16666666666666666 11 0.14102564102564102 2.9443625512720635 0.05263560162184542 1.8119154161674236 0.1633409710403343 2.265625 0.10376516104428837 1.3942307692307692 0.24802375050662234 1.7029386365926413 0.18214747158154482 0.31930099436112025 0.7266567967880496 1.100000000000001 0.3328710836980792 0.20625000000000018 0.8136296434440142 1.7224014243685075 0.17863665001009088 0.19873862588867397 0.8197641304547819 1.1666666666666665 0.31140322391459774 0.1346153846153846 0.8740520209016968 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9 5.333333333333333 1.5 0.28125 2.0 5.0 5.0 6.0 7.0 8.666666666666666 8.666666666666666 1.7320508075688772 1.7320508075688772 0.19985201625794738 0.19985201625794738 5.0 5.0 8.0 8.0 9.0 9.0 10.0 10.0 11.0 11.0 0.4357345240623166 0.4357345240623166 0.2681443224998871 0.2681443224998871 0.9065725131055881 0.9065725131055881 1.1428571428571428 1.1428571428571428 1.5 1.5 1.6 1.6 2.0 2.0 2.5 2.5
6 2 3 1.127788200000026 0.9027556000000203 0.0 2.0305438000000464 2.0305438000000464 2.0305438000000464 2.0305438000000464 0.10152719000000232 0.0 0.0 266.734375 255.01171875 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.163580399999944 0.7018117999999731 0.02356820000004234 3.8889603999999593 3.6941933000000375 5.919504200000006 1.9919476000000031 0.13204581476813063 1.140824749999986 0.06448145457516267 288.75 277.2734375 42 42 1.0 42 20 20 1.0 1.0 0.9130060336653619 1.0 1.0 1.0 1.0 1.0 1.0 0.9130060336653619 1.0 1.0 1.0 1.0 1.0 False 0 0 False 2.1 2.1 2.074912807299318 2.074912807299318 0.9880537177615799 0.9880537177615799 0.6250410774611561 0.6250410774611561 1.0 1.0 1.0 1.0 1.0 1.0 2.25 2.25 10.0 10.0 3 0.15 12 0.2857142857142857 7.500999933342219 0.0005525315990582423 3.571904730162961 0.02810227541879518 6.799999999999999 0.0011137751478448043 3.2380952380952372 0.03923856408515826 1.3743685418725535 0.2529993038416198 0.206155281280883 0.8137067130515867 0.8333333333333333 0.43459820850707825 0.12499999999999999 0.8824969025845955 4.031128874149275 0.017754276293213148 0.2879377767249482 0.749808246312288 2.75 0.06392786120670757 0.19642857142857142 0.8216600192006036 3 6 2.0 1.7320508075688772 0.8660254037844386 0.0 1.5 3.0 3.0 3.0 14.0 6.082762530298219 0.4344830378784442 7.0 12.0 17.0 17.5 18.0 3 6.666666666666667 3.0550504633038935 0.458257569495584 4.0 5.0 6.0 8.0 10.0 14.0 14.0 6.082762530298219 6.082762530298219 0.4344830378784442 0.4344830378784442 7.0 7.0 12.0 12.0 17.0 17.0 17.5 17.5 18.0 18.0 1.7905099625318832 1.7905099625318832 0.8526237916818491 0.8526237916818491 0.6574378924113068 0.6574378924113068 1.1666666666666667 1.1666666666666667 1.4333333333333333 1.4333333333333333 1.7 1.7 3.1 3.1 4.5 4.5
8 2 1 7.672465799999969 1.264755300000033 0.04750780000000532 8.984728900000007 4.771637000000027 14.904233100000013 1.692349300000002 0.21275156600689413 1.307438337499999 0.2785233432968064 288.97265625 278.08984375 71 71 1.0 0 42 42 0.9436619718309859 1.0 0.681257060593031 1.0 1.0 1.0 1.0 1.0 0.9436619718309859 0.642876381123001 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 0.9436619718309859 False 0 0 False 1.6904761904761905 1.6904761904761905 0.9750070728472726 0.9750070728472726 0.5767647473181049 0.5767647473181049 0.8179154261773042 0.8179154261773042 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 9 0.21428571428571427 10 0.14084507042253522 3.0938794331857773 0.04532577457258892 1.8301821999127132 0.1603843430995736 2.7715419501133787 0.06256545751147241 1.6395036887994634 0.19407634065356272 0.9486832980505139 0.38725058150845293 0.20328927815368153 0.8160421441135836 0.6333333333333335 0.5308194505620139 0.13571428571428576 0.8730920517276249 2.770211918621762 0.06264872690343168 0.3511536234872656 0.7038756137230201 2.0222222222222213 0.1323610024595891 0.25633802816901397 0.7738803312229062 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9 4.666666666666667 1.8027756377319946 0.3863090652282845 1.0 4.0 5.0 6.0 7.0 7.888888888888889 7.888888888888889 3.018461712712472 3.018461712712472 0.3826219072452429 0.3826219072452429 1.0 1.0 7.0 7.0 9.0 9.0 10.0 10.0 11.0 11.0 0.3961156351015219 0.3961156351015219 0.2343219249896327 0.2343219249896327 0.9107214205223839 0.9107214205223839 1.0 1.0 1.4 1.4 1.6666666666666667 1.6666666666666667 2.0 2.0 2.25 2.25
9 3 3 1.1295767000000296 0.769724499999981 0.0 1.8993012000000107 1.8993012000000107 1.8993012000000107 1.8993012000000107 0.09496506000000053 0.0 0.0 284.0234375 272.17578125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
