 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6436376999999851 0.08498890000000614 0.0 0.7286265999999912 0.7286265999999912 0.7286265999999912 0.7286265999999912 0.056048199999999326 0.0 0.0 234.421875 222.62109375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.6022358000000025 0.27138790000000057 0.0 1.8736237000000031 0.9351235999999901 2.6022502999999944 0.6731541250000017 0.13291673293650771 0.5858309666666722 0.11896427857142922 239.1484375 228.06640625 27 27 1.0 27 13 22 0.7407407407407407 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.7407407407407407 0.7407407407407407 0.7407407407407407 0.7407407407407407 0.7407407407407407 0.7407407407407407 0.7407407407407407 False 0 0 False 2.076923076923077 2.076923076923077 1.255755978254962 0.7531983087525438 0.6046232487894262 0.5934289705323073 0.6828455268514764 0.7811100155776434 1.0 0.5 1.0 1.0 2.0 1.0 3.0 1.5 5.0 3.0 0 0.0 0 0.0 1.802365309824613 0.1649083671709876 0.867805519545184 0.41987193975410264 1.4378698224852076 0.23743299479655292 0.6923076923076925 0.5004199203605699 0.4183300132670378 0.6581449960016927 0.12871692715908856 0.879222814422615 0.3 0.7408182206817179 0.0923076923076923 0.911824544978916 2.252776065213762 0.10510703519701382 0.33374460225389063 0.7162366841046518 1.7 0.18268352405273466 0.2518518518518518 0.7773598939674049 1 6 6.0 0.0 0.0 6.0 6.0 6.0 6.0 6.0 27.0 0.0 0.0 27.0 27.0 27.0 27.0 27.0 4 3.25 0.5 0.15384615384615385 3.0 3.0 3.0 3.25 4.0 6.75 6.75 2.6299556396765835 2.6299556396765835 0.3896230577298642 0.3896230577298642 3.0 3.0 6.0 6.0 7.5 7.5 8.25 8.25 9.0 9.0 0.7308512287179372 0.7308512287179372 0.35189133234567344 0.35189133234567344 0.7861114389556071 0.7861114389556071 1.0 1.0 1.9375 1.9375 2.291666666666667 2.291666666666667 2.416666666666667 2.416666666666667 2.6666666666666665 2.6666666666666665
2 0 2 3.6647099999999995 0.6050821000000184 0.0 4.269792100000018 4.071080000000023 6.872042400000012 1.0215338428571445 0.10366653511904726 0.5132761499999982 0.08304349805555496 256.00390625 245.10546875 55 55 1.0 55 27 27 0.7636363636363637 1.0 0.8592465465196928 1.0 1.0 1.0 1.0 1.0 0.7636363636363637 0.6561519082514018 0.7636363636363637 0.7636363636363637 0.7636363636363637 0.7636363636363637 0.7636363636363637 False 0 0 False 2.037037037037037 2.037037037037037 1.8077074618992608 1.8077074618992608 0.8874200267505461 0.8874200267505461 0.6867659588525991 0.6867659588525991 1.0 1.0 1.0 1.0 2.0 2.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 4.322980140261526 0.01326030702510239 2.12219025067384 0.11976901685389069 3.0548696844993146 0.047128861991418226 1.4996632996632997 0.2232053007977109 0.4818120558297157 0.6176631370423091 0.12491423669659296 0.8825725916798346 0.37499999999999983 0.6872892787909723 0.09722222222222218 0.9073543494279291 3.111040248626081 0.04455458338112496 0.3959505770978649 0.6730399587034205 1.964285714285714 0.14025603372596523 0.24999999999999997 0.7788007830714049 1 27 27.0 0.0 0.0 27.0 27.0 27.0 27.0 27.0 55.0 0.0 0.0 55.0 55.0 55.0 55.0 55.0 7 3.857142857142857 0.3779644730092272 0.09799078929868853 3.0 4.0 4.0 4.0 4.0 7.857142857142857 7.857142857142857 3.8047589248453675 3.8047589248453675 0.48424204498031953 0.48424204498031953 4.0 4.0 5.0 5.0 8.0 8.0 9.0 9.0 15.0 15.0 1.368219211063713 1.368219211063713 0.6716712490676409 0.6716712490676409 0.7384159714123955 0.7384159714123955 1.0 1.0 1.25 1.25 2.0 2.0 2.25 2.25 5.0 5.0
3 0 1 9.90144460000002 1.1034771999999862 0.0 11.004921800000005 7.421901700000014 17.876964200000018 0.6837047428571437 0.2542690214795917 0.43414189259259295 0.146552235925927 251.1015625 239.3671875 97 97 1.0 0 55 55 0.6907216494845361 0.8358762503930944 0.649094057071713 1.0 1.0 1.0 1.0 0.9452920834643648 0.5773578224364673 0.4483433177711832 0.6907216494845361 0.6907216494845361 0.6907216494845361 0.6907216494845361 0.6529337071351798 False 0 0 False 1.7636363636363637 1.7636363636363637 1.1379584768125306 1.1379584768125306 0.6452341878833936 0.6452341878833936 0.810384773169142 0.810384773169142 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 1.927444246227125 0.14551963598874482 1.0928807581700193 0.3352493290481945 1.4697520661157026 0.22998249857284822 0.8333645735707592 0.434584631767931 0.5520896264783678 0.5757454595399661 0.2810638098435327 0.7549801587773486 0.4655172413793091 0.6278102917321621 0.23699059561128466 0.7889987080332656 1.957523065438602 0.1412077504667001 0.5650582044565037 0.568327066626815 1.45320197044335 0.23382040216141972 0.41948098115890514 0.6573879280071542 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28 1.9642857142857142 0.1889822365046136 0.09620913858416692 1.0 2.0 2.0 2.0 2.0 3.4642857142857144 3.4642857142857144 1.452511053241372 1.452511053241372 0.41928154114183935 0.41928154114183935 2.0 2.0 2.0 2.0 3.0 3.0 4.25 4.25 7.0 7.0 0.7133922984085064 0.7133922984085064 0.4045007877574005 0.4045007877574005 0.8656275431240303 0.8656275431240303 1.0 1.0 1.0 1.0 1.5 1.5 2.125 2.125 3.5 3.5
4 1 4 0.6407986999999906 0.07904990000000112 0.0 0.7198485999999917 0.7198485999999917 0.7198485999999917 0.7198485999999917 0.05537296923076859 0.0 0.0 248.7421875 237.07421875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.4224543999999781 0.3034110000000112 0.0 1.7258653999999893 0.9251962999999961 2.445713999999981 0.6338137749999895 0.13479800458333233 0.536686266666654 0.12803360944444206 261.9375 252.40625 24 24 1.0 24 13 22 0.8333333333333334 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 0.8333333333333334 False 0 0 False 1.8461538461538463 1.8461538461538463 1.0681880176381127 0.4493585171364586 0.578601842887311 0.41726148019814013 0.7166911432307683 0.8553105715364726 1.0 0.5 1.0 1.0 1.0 1.0 3.0 1.5 4.0 2.0 0 0.0 0 0.0 3.2261872270016574 0.03970861044582255 1.7475180812925644 0.17420577191145847 2.692307692307693 0.06772447165924086 1.4583333333333337 0.2326236579172926 0.4183300132670378 0.6581449960016927 0.12871692715908856 0.879222814422615 0.3 0.7408182206817179 0.0923076923076923 0.911824544978916 3.7416573867739413 0.023714766002371643 0.6236095644623235 0.5360061926844436 2.8 0.06081006262521797 0.4666666666666666 0.6270890852730562 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 24.0 0.0 0.0 24.0 24.0 24.0 24.0 24.0 4 3.25 0.5 0.15384615384615385 3.0 3.0 3.0 3.25 4.0 6.0 6.0 4.08248290463863 4.08248290463863 0.6804138174397717 0.6804138174397717 3.0 3.0 3.75 3.75 4.5 4.5 6.75 6.75 12.0 12.0 0.8766518798921944 0.8766518798921944 0.47485310160827193 0.47485310160827193 0.7545802328044717 0.7545802328044717 1.0 1.0 1.25 1.25 1.5 1.5 2.0 2.0 3.0 3.0
6 1 2 3.0716491000000445 0.5638903999999911 0.0 3.6355395000000357 4.1296775999999795 6.081253500000017 1.054735449999998 0.10273171071078438 0.4397470200000015 0.06010236517647152 274.765625 266.83203125 46 46 1.0 46 24 24 0.9130434782608695 1.0 0.902212493517572 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8237592332116962 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 1.9166666666666667 1.9166666666666667 1.909169331471644 1.909169331471644 0.9960883468547708 0.9960883468547708 0.6639869415885673 0.6639869415885673 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 10.0 10.0 0 0.0 0 0.0 7.895219486546319 0.0003725201280591729 4.119244949502427 0.016256784502336766 7.166666666666665 0.0007718914190992316 3.739130434782608 0.023774767856519337 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 6.90870166747405 0.0009990540591924368 0.9011350001053109 0.4061084649115773 5.57142857142857 0.003805040775511366 0.7267080745341613 0.4834980126037466 1 22 22.0 0.0 0.0 22.0 22.0 22.0 22.0 22.0 46.0 0.0 0.0 46.0 46.0 46.0 46.0 46.0 6 4.0 0.0 0.0 4.0 4.0 4.0 4.0 4.0 7.666666666666667 7.666666666666667 4.926120853842977 4.926120853842977 0.6425375026751708 0.6425375026751708 4.0 4.0 4.25 4.25 6.5 6.5 8.0 8.0 17.0 17.0 1.2315302134607442 1.2315302134607442 0.6425375026751708 0.6425375026751708 0.7474279583120071 0.7474279583120071 1.0 1.0 1.0625 1.0625 1.625 1.625 2.0 2.0 4.25 4.25
7 1 1 8.541592600000115 0.8910605999999461 0.0 9.432653200000061 6.697134899999995 15.513906700000078 0.7233971695652204 0.2171652222567301 0.4518636363636397 0.13610544612554212 260.79296875 249.58984375 84 84 1.0 0 46 46 0.7976190476190477 0.8676293096784858 0.6739988113820383 1.0 1.0 1.0 1.0 0.9558764365594953 0.6920376636721256 0.5375942900309115 0.7976190476190477 0.7976190476190477 0.7976190476190477 0.7976190476190477 0.7624252529700737 False 0 0 False 1.826086956521739 1.826086956521739 1.2526300833062667 1.2526300833062667 0.6859640932391461 0.6859640932391461 0.7878886071145321 0.7878886071145321 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 5.041510110730452 0.006463979619252736 2.7608269654000095 0.06323944989286438 4.528355387523631 0.010798420694629716 2.4798136645962745 0.08375883137385562 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.8084692794686985 0.00816034134432463 1.3166046836640484 0.26804385235568773 4.262681159420292 0.014084488980589378 1.167162698412699 0.311248796333377 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 23 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 3.652173913043478 3.652173913043478 1.4650068461575658 1.4650068461575658 0.4011328269240954 0.4011328269240954 2.0 2.0 3.0 3.0 3.0 3.0 4.0 4.0 7.0 7.0 0.7325034230787829 0.7325034230787829 0.4011328269240954 0.4011328269240954 0.8564588920793215 0.8564588920793215 1.0 1.0 1.5 1.5 1.5 1.5 2.0 2.0 3.5 3.5
8 2 4 0.6383642999999921 0.08408590000000515 0.0 0.7224501999999973 0.7224501999999973 0.7224501999999973 0.7224501999999973 0.0555730923076921 0.0 0.0 262.2421875 250.59375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 3 3.0 0.0 0.0 3.0 3.0 3.0 3.0 3.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.3397755000000302 0.21936760000005506 0.0 1.5591431000000853 0.9276808999999986 2.2815933000000825 0.5927154500000249 0.1306778117803077 0.4810603000000337 0.11438796000000921 270.6015625 260.60546875 23 23 1.0 23 13 22 0.8695652173913043 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 0.8695652173913043 False 0 0 False 1.7692307692307692 1.7692307692307692 1.4806443503784736 0.6910601294852009 0.8368859371704417 0.6654653098746378 0.6457948214502014 0.7951789471817595 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 6.0 3.0 0 0.0 0 0.0 2.7456258919345764 0.06420810103284426 1.5518755041369345 0.21185027493331096 2.2485207100591715 0.10555525595391058 1.2709030100334449 0.28057814247060886 0.4183300132670378 0.6581449960016927 0.12871692715908856 0.879222814422615 0.3 0.7408182206817179 0.0923076923076923 0.911824544978916 3.3279122584587473 0.035867909879381175 0.5787673492971734 0.5605889512178478 2.5 0.0820849986238988 0.43478260869565216 0.647405392083911 1 5 5.0 0.0 0.0 5.0 5.0 5.0 5.0 5.0 23.0 0.0 0.0 23.0 23.0 23.0 23.0 23.0 4 3.25 0.5 0.15384615384615385 3.0 3.0 3.0 3.25 4.0 5.75 5.75 3.593976442141304 3.593976442141304 0.6250393812419659 0.6250393812419659 3.0 3.0 3.75 3.75 4.5 4.5 6.5 6.5 11.0 11.0 0.7588215766470964 0.7588215766470964 0.42889915201792406 0.42889915201792406 0.7798615304315074 0.7798615304315074 1.0 1.0 1.25 1.25 1.5 1.5 1.9375 1.9375 2.75 2.75
