 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 4 0.6295735000000278 0.08371610000000373 0.0 0.7132896000000315 0.7132896000000315 0.7132896000000315 0.7132896000000315 0.054868430769233194 0.0 0.0 222.36328125 210.46875 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 3 1.1238022999999728 0.1907815999999798 0.0 1.3145838999999526 0.9513497000000299 2.027873499999984 0.713198599999996 0.12582431851851936 0.594123049999979 0.108502218749996 228.62890625 216.66796875 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.3781902205514551 0.2520342670012582 0.8531653746270913 0.42606414257296804 1.1420118343195265 0.3191762457284749 0.7069597069597069 0.49314121442480957 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.8027756377319946 0.16484071454660576 0.25753937681885636 0.7729511893552639 1.25 0.2865047968601901 0.17857142857142858 0.8364643072929833 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 2.6457513110645907 2.6457513110645907 0.37796447300922725 0.37796447300922725 4.0 4.0 6.0 6.0 8.0 8.0 8.5 8.5 9.0 9.0 0.529150262212918 0.529150262212918 0.3275692099413302 0.3275692099413302 0.8344169269029196 0.8344169269029196 1.0 1.0 1.4 1.4 1.8 1.8 1.9 1.9 2.0 2.0
2 0 2 4.199400200000028 0.5324385000000262 0.0 4.731838700000054 2.9085137999999944 6.759712200000038 0.7147783600000068 0.11205430700000121 0.47102997777778594 0.11731326765432301 236.8515625 226.4140625 57 57 1.0 57 21 21 0.7368421052631579 1.0 0.8645693124620616 1.0 1.0 1.0 1.0 1.0 0.7368421052631579 0.6370510723404664 0.7368421052631579 0.7368421052631579 0.7368421052631579 0.7368421052631579 0.7368421052631579 False 0 0 False 2.7142857142857144 2.7142857142857144 2.7412197493608046 2.7412197493608046 1.0099230655539806 1.0099230655539806 0.5666276989454784 0.5666276989454784 1.0 1.0 1.0 1.0 2.0 2.0 3.0 3.0 11.0 11.0 0 0.0 0 0.0 8.935140440635365 0.0001316793916924967 3.291893846549871 0.03718336308826044 7.999999999999997 0.0003354626279025127 2.9473684210526305 0.05247762340746639 0.5090097337879796 0.601090523822784 0.24238558751808553 0.7847535280414561 0.4090909090909097 0.6642538428642949 0.1948051948051951 0.8229949661357896 7.425080348509245 0.000596112977970968 1.3026456751770605 0.2718117154000047 6.2272727272727275 0.001974830460156058 1.0925039872408293 0.33537566504778177 1 27 27.0 0.0 0.0 27.0 27.0 27.0 27.0 27.0 57.0 0.0 0.0 57.0 57.0 57.0 57.0 57.0 10 2.1 0.31622776601683794 0.15058465048420855 2.0 2.0 2.0 2.0 3.0 5.7 5.7 3.8887301554906353 3.8887301554906353 0.6822333606123921 0.6822333606123921 2.0 2.0 3.0 3.0 4.5 4.5 8.0 8.0 12.0 12.0 1.9888578520235065 1.9888578520235065 0.7327371033770813 0.7327371033770813 0.6403733762740726 0.6403733762740726 1.0 1.0 1.125 1.125 2.25 2.25 4.0 4.0 6.0 6.0
3 0 1 10.764290600000038 1.136735099999953 0.0 11.901025699999991 7.516134800000067 18.66073790000003 0.7152858214285737 0.2100963336479603 0.46340252592592573 0.15640328924162328 247.48046875 235.83203125 105 105 1.0 0 57 57 0.638095238095238 0.8322519802406619 0.6417639912447559 1.0 1.0 1.0 1.0 0.944083993413554 0.5310560254868986 0.4095065467942728 0.638095238095238 0.638095238095238 0.638095238095238 0.638095238095238 0.6024155005591249 False 0 0 False 1.8421052631578947 1.8421052631578947 1.4612796946049247 1.4612796946049247 0.7932661199283877 0.7932661199283877 0.7772273077734377 0.7772273077734377 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 7.0 7.0 0 0.0 0 0.0 2.224475619575724 0.10812410193417082 1.2075724791982503 0.29892203885711294 1.7885503231763629 0.16720238347893332 0.9709273182957399 0.3787316704065868 0.5520896264783663 0.575745459539967 0.27120192177884667 0.7624625230713413 0.4655172413793084 0.6278102917321625 0.2286751361161515 0.795586948994081 1.7726368436062545 0.16988443901064162 0.4727031582950012 0.6233150696266914 1.4137931034482758 0.2432189765277741 0.37701149425287356 0.6859081898485274 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28 2.0357142857142856 0.18898223650461363 0.09283337933559968 2.0 2.0 2.0 2.0 3.0 3.75 3.75 1.7769095101910528 1.7769095101910528 0.4738425360509474 0.4738425360509474 2.0 2.0 2.0 2.0 3.0 3.0 5.0 5.0 8.0 8.0 0.8938971015831156 0.8938971015831156 0.48525842657369134 0.48525842657369134 0.842040918515365 0.842040918515365 1.0 1.0 1.0 1.0 1.5 1.5 2.5 2.5 4.0 4.0
4 1 4 0.6335882000000055 0.08475130000002196 0.0 0.7183395000000274 0.7183395000000274 0.7183395000000274 0.7183395000000274 0.05525688461538673 0.0 0.0 243.1953125 231.91015625 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
5 1 3 1.1327603000000295 0.2555059999999969 0.0 1.3882663000000264 1.0857597000000538 2.106605800000054 0.7220685000000202 0.11712146888889284 0.5402229000000034 0.09657912166666734 252.17578125 242.49609375 21 21 1.0 21 13 22 0.9523809523809523 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 0.9523809523809523 False 0 0 False 1.6153846153846154 1.6153846153846154 1.0439078454267836 0.47703679372151425 0.6462286662165803 0.4961182654703748 0.7212952435735721 0.8479354326343773 1.0 0.5 1.0 0.5 1.0 1.0 2.0 1.0 4.0 2.0 0 0.0 0 0.0 1.2917581249035897 0.27478724785299313 0.7996597916069841 0.44948185560804893 1.0532544378698225 0.34880074959903395 0.652014652014652 0.5209950949196457 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.8027756377319946 0.16484071454660576 0.25753937681885636 0.7729511893552639 1.25 0.2865047968601901 0.17857142857142858 0.8364643072929833 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 7.0 7.0 2.6457513110645907 2.6457513110645907 0.37796447300922725 0.37796447300922725 5.0 5.0 5.5 5.5 6.0 6.0 8.0 8.0 10.0 10.0 0.38188130791298663 0.38188130791298663 0.23640271442232505 0.23640271442232505 0.8738977686138039 0.8738977686138039 1.25 1.25 1.375 1.375 1.5 1.5 1.75 1.75 2.0 2.0
6 1 2 3.2594447999999687 0.36131479999994554 0.0 3.6207595999999143 2.9399618000000487 5.727365399999968 0.6068953399999998 0.11335155922222166 0.34766573333332773 0.09811710234567676 249.69921875 238.04296875 45 45 1.0 45 21 21 0.9333333333333333 1.0 0.9270770063522414 1.0 1.0 1.0 1.0 1.0 0.9333333333333333 0.8652718725954254 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 0.9333333333333333 False 0 0 False 2.142857142857143 2.142857142857143 1.9566735620873066 1.9566735620873066 0.9131143289740764 0.9131143289740764 0.6439294299891619 0.6439294299891619 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 6.524157098839677 0.0014675556301966847 3.0446066461251826 0.04761503786398421 5.857142857142857 0.002859401742022366 2.7333333333333334 0.06500225396303454 0.5090097337879796 0.601090523822784 0.24238558751808553 0.7847535280414561 0.4090909090909097 0.6642538428642949 0.1948051948051951 0.8229949661357896 5.395705362937858 0.004536019729913913 1.199045636208413 0.3014817979713196 4.409090909090909 0.012166233516356411 0.9797979797979798 0.3753869269345544 1 21 21.0 0.0 0.0 21.0 21.0 21.0 21.0 21.0 45.0 0.0 0.0 45.0 45.0 45.0 45.0 45.0 10 2.1 0.31622776601683794 0.15058465048420855 2.0 2.0 2.0 2.0 3.0 4.5 4.5 2.9907264074877267 2.9907264074877267 0.664605868330606 0.664605868330606 2.0 2.0 2.0 2.0 3.5 3.5 5.75 5.75 10.0 10.0 1.5223641458575516 1.5223641458575516 0.7104366014001908 0.7104366014001908 0.6961110867875104 0.6961110867875104 1.0 1.0 1.0 1.0 1.4166666666666665 1.4166666666666665 2.875 2.875 5.0 5.0
7 1 1 7.665135899999967 0.8214374999999876 0.0 8.486573399999955 6.436933300000021 14.213938799999923 0.6997617636363639 0.21782863497835556 0.4265631190476183 0.15298466252834433 251.046875 239.375 76 76 1.0 0 45 45 0.881578947368421 0.8811639757044618 0.6899819447575114 1.0 1.0 1.0 1.0 0.9603879919014873 0.7768156101605124 0.6082735565625429 0.881578947368421 0.881578947368421 0.881578947368421 0.881578947368421 0.8466578349657848 False 0 0 False 1.6888888888888889 1.6888888888888889 1.2026905863374195 1.2026905863374195 0.7121194261208406 0.7121194261208406 0.7925532907032327 0.7925532907032327 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 6.0 6.0 0 0.0 0 0.0 3.351039394065091 0.03504790657636669 1.9841680622753828 0.13749495378761722 2.9950617283950605 0.050033538501229685 1.7733918128654964 0.16975622988462918 0.545372194046896 0.5796260098372432 0.2666264059784825 0.7659591757874148 0.4565217391304345 0.6334832378691005 0.2231884057971013 0.7999641172184446 2.4038835509404795 0.09036632871450376 0.695861027903823 0.49864491590542565 2.0237154150197627 0.13216350944830668 0.585812356979405 0.5566534767510225 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22 2.0454545454545454 0.21320071635561044 0.10423146132940955 2.0 2.0 2.0 2.0 3.0 3.4545454545454546 3.4545454545454546 1.5345938729769368 1.5345938729769368 0.4442245421775343 0.4442245421775343 2.0 2.0 2.0 2.0 3.0 3.0 4.75 4.75 7.0 7.0 0.7816205831032957 0.7816205831032957 0.4628016610480041 0.4628016610480041 0.8482861583860966 0.8482861583860966 1.0 1.0 1.0 1.0 1.5 1.5 2.375 2.375 3.5 3.5
8 2 4 0.6378932999999876 0.08388999999999669 0.0 0.7217832999999843 0.7217832999999843 0.7217832999999843 0.7217832999999843 0.055521792307691095 0.0 0.0 250.91796875 239.34375 13 13 1.0 22 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 2 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 13.0 0.0 0.0 13.0 13.0 13.0 13.0 13.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 2 3 1.4038611000000287 0.2726304000000255 0.0 1.6764915000000542 1.1154833999999738 2.3982748000000385 0.8192333000000076 0.10911031037037063 0.6711082500000245 0.09255603611111438 261.46484375 250.734375 25 25 1.0 25 13 22 0.8 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.8 0.8 0.8 0.8 0.8 0.8 0.8 True 0 0 False 1.9230769230769231 1.9230769230769231 1.281025230440697 0.6504436355879909 0.6938886664887108 0.5831563629409573 0.6785024226799645 0.8046573042975741 1.0 0.5 1.0 0.5 1.0 1.0 3.0 1.5 5.0 2.5 0 0.0 0 0.0 1.5423028965971863 0.21388797194903486 0.8019975062305369 0.44843232253354737 1.3254437869822484 0.2656850253665008 0.6892307692307692 0.5019620452448351 0.3726779962499646 0.6888870213378976 0.08600261451922261 0.9175918321555311 0.24999999999999978 0.778800783071405 0.05769230769230765 0.9439403459411809 1.5184055965240504 0.21906088008900612 0.18220867158288603 0.8334274096523698 1.2500000000000004 0.28650479686019 0.15000000000000005 0.8607079764250578 1 11 11.0 0.0 0.0 11.0 11.0 11.0 11.0 11.0 25.0 0.0 0.0 25.0 25.0 25.0 25.0 25.0 3 4.333333333333333 0.5773502691896257 0.13323467750529824 4.0 4.0 4.0 4.5 5.0 8.333333333333334 8.333333333333334 2.0816659994661326 2.0816659994661326 0.2497999199359359 0.2497999199359359 6.0 6.0 7.5 7.5 9.0 9.0 9.5 9.5 10.0 10.0 0.38188130791298663 0.38188130791298663 0.19857828011475304 0.19857828011475304 0.8738977686138039 0.8738977686138039 1.5 1.5 1.75 1.75 2.0 2.0 2.125 2.125 2.25 2.25
