 RU AL GT ST OT TT LT CT WT WT_PA MET MET_PA RSS VMS LE AC CF PSG SIZE SGLITS_T QL_SCORE LT_SCORE CT_SCORE AW_SCORE AW_PA_SCORE AME_SCORE AME_PA_SCORE TI_SCORE LT_GRADE CT_GRADE AW_GRADE AW_PA_GRADE AME_GRADE AME_PA_GRADE GRADE HAS_TRAILING TOT_CHOICES PRE_CHOICES FGOALS_ORDER CP_EF_L CP_EF_A SP_ED_L SP_ED_A SP_EB_L SP_EB_A SP_EBS_L SP_EBS_A SP_MIN_L SP_MIN_A SP_LOWER_L SP_LOWER_A SP_MED_L SP_MED_A SP_UPPER_L SP_UPPER_A SP_MAX_L SP_MAX_A T_INTER_SP P_INTER_SP T_INTER_Q P_INTER_Q M_CHILD_RMSE M_CHILD_RMSE_SCORE M_CHILD_NRMSE M_CHILD_NRMSE_SCORE M_CHILD_MAE M_CHILD_MAE_SCORE M_CHILD_NMAE M_CHILD_NMAE_SCORE DIV_INDEX_RMSE DIV_INDEX_RMSE_SCORE DIV_INDEX_NRMSE DIV_INDEX_NRMSE_SCORE DIV_INDEX_MAE DIV_INDEX_MAE_SCORE DIV_INDEX_NMAE DIV_INDEX_NMAE_SCORE DIV_STEP_RMSE DIV_STEP_RMSE_SCORE DIV_STEP_NRMSE DIV_STEP_NRMSE_SCORE DIV_STEP_MAE DIV_STEP_MAE_SCORE DIV_STEP_NMAE DIV_STEP_NMAE_SCORE DS_T DIVS_T DS_TD_MEAN DS_TD_STD DS_TD_CD DS_TD_MIN DS_TD_LOWER DS_TD_MED DS_TD_UPPER DS_TD_MAX DS_TS_MEAN DS_TS_STD DS_TS_CD DS_TS_MIN DS_TS_LOWER DS_TS_MED DS_TS_UPPER DS_TS_MAX PR_T PR_TS_MEAN PR_TS_STD PR_TS_CD PR_TS_MIN PR_TS_LOWER PR_TS_MED PR_TS_UPPER PR_TS_MAX PP_LE_MEAN PP_AC_MEAN PP_LE_STD PP_AC_STD PP_LE_CD PP_AC_CD PP_LE_MIN PP_AC_MIN PP_LE_LOWER PP_AC_LOWER PP_LE_MED PP_AC_MED PP_LE_UPPER PP_AC_UPPER PP_LE_MAX PP_AC_MAX PP_ED_L PP_ED_A PP_EB_L PP_EB_A PP_EBS_L PP_EBS_A PP_EF_LE_MIN PP_EF_AC_MIN PP_EF_LE_LOWER PP_EF_AC_LOWER PP_EF_LE_MED PP_EF_AC_MED PP_EF_LE_UPPER PP_EF_AC_UPPER PP_EF_LE_MAX PP_EF_AC_MAX
0 0 3 1.140772300000009 0.7617783999999972 0.0 1.9025507000000061 1.9025507000000061 1.9025507000000061 1.9025507000000061 0.0951275350000003 0.0 0.0 241.6328125 232.56640625 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 0 2 3.747825399999961 0.47693829999998627 0.0 4.224763699999947 2.6248490999999916 6.127314399999953 0.6444187199999944 0.10643293516666548 0.42437089999999483 0.08448812234567815 238.9453125 229.51953125 54 54 1.0 54 20 20 0.7777777777777778 1.0 0.899292093251125 1.0 1.0 1.0 1.0 1.0 0.7777777777777778 0.6994494058619861 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.7777777777777778 0.7777777777777778 False 0 0 False 2.7 2.7 2.696976865033572 2.696976865033572 0.9988803203828044 0.9988803203828044 0.5635406295448933 0.5635406295448933 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 10.0 10.0 0 0.0 0 0.0 8.9406375611586 0.00013095752013123627 3.3113472448735553 0.03646701065065432 7.799999999999997 0.0004097349789797879 2.8888888888888875 0.05563799827784289 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 8.36551362331197 0.00023275745242404822 1.5491691895022164 0.21242438494348823 6.999999999999997 0.0009118819655545186 1.2962962962962956 0.2735430415717506 2 24 12.0 12.727922061357855 1.0606601717798212 3.0 7.5 12.0 16.5 21.0 27.0 25.45584412271571 0.9428090415820634 9.0 18.0 27.0 36.0 45.0 10 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 5.4 5.4 3.6575644598253874 3.6575644598253874 0.6773267518195162 0.6773267518195162 2.0 2.0 2.25 2.25 4.5 4.5 8.0 8.0 12.0 12.0 1.8287822299126937 1.8287822299126937 0.6773267518195162 0.6773267518195162 0.6528907737267993 0.6528907737267993 1.0 1.0 1.125 1.125 2.25 2.25 4.0 4.0 6.0 6.0
2 0 1 8.661632199999978 0.9674287000000419 0.0 9.62906090000002 2.9836145999999957 15.756375299999974 0.6536600615384625 0.17709545038461555 0.5604618800000012 0.18619731619999996 241.69921875 230.375 90 90 1.0 0 54 54 0.7444444444444445 1.0 0.6712184801818499 1.0 1.0 1.0 1.0 1.0 0.7444444444444445 0.49968486857982164 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 0.7444444444444445 False 0 0 False 1.6666666666666667 1.6666666666666667 0.9316246713681893 0.9316246713681893 0.5589748028209135 0.5589748028209135 0.8349551064245411 0.8349551064245411 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 1.3286956381223782 0.2648224604403185 0.7972173828734269 0.4505810157705446 1.08641975308642 0.33742238918428846 0.6518518518518519 0.5210799199104905 0.4560451819471504 0.6337852008021847 0.21957730982640572 0.8028580864744103 0.36752136752136927 0.6924485307417886 0.1769547325102889 0.8378177095691492 1.4490393713474805 0.2347957312998352 0.41861137394482767 0.6579598459277303 1.1310541310541318 0.32269291644812403 0.32674897119341584 0.72126477853968 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26 2.076923076923077 0.271746488194703 0.1308409017233755 2.0 2.0 2.0 2.0 3.0 3.4615384615384617 3.4615384615384617 1.2076678096486377 1.2076678096486377 0.34888181167627313 0.34888181167627313 2.0 2.0 2.25 2.25 3.0 3.0 4.0 4.0 6.0 6.0 0.5840105958528288 0.5840105958528288 0.35040635751169724 0.35040635751169724 0.8846924486782407 0.8846924486782407 1.0 1.0 1.0833333333333333 1.0833333333333333 1.5 1.5 2.0 2.0 3.0 3.0
3 1 3 1.1404686000000055 0.7888905000000364 0.0 1.9293591000000418 1.9293591000000418 1.9293591000000418 1.9293591000000418 0.09646795500000209 0.0 0.0 244.671875 234.76953125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4 1 2 3.8833878000000084 0.5301455000000459 0.0 4.413533300000054 2.660498599999997 6.342892400000096 0.6599949200000068 0.10504075955555615 0.4377167333333413 0.1001035491358045 247.4765625 237.6015625 56 56 1.0 56 20 20 0.75 1.0 0.8864143192292057 1.0 1.0 1.0 1.0 1.0 0.75 0.6648107394219043 0.75 0.75 0.75 0.75 0.75 False 0 0 False 2.8 2.8 2.966479394838265 2.966479394838265 1.0594569267279519 1.0594569267279519 0.5400527239655759 0.5400527239655759 1.0 1.0 1.0 1.0 2.0 2.0 2.25 2.25 11.0 11.0 0 0.0 0 0.0 7.782673062643711 0.00041689629395632894 2.7795260938013255 0.062067914778185344 6.950000000000003 0.0009586351536940174 2.482142857142858 0.08356396795341905 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 7.877470752376393 0.00037919091265938845 1.4066912057814989 0.24495244096733976 6.636363636363639 0.0013117887221641227 1.1850649350649356 0.3057263264952772 2 25 12.5 13.435028842544403 1.0748023074035522 3.0 7.75 12.5 17.25 22.0 28.0 26.870057685088806 0.9596449173246002 9.0 18.5 28.0 37.5 47.0 10 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 5.6 5.6 3.8930136855083823 3.8930136855083823 0.695181015269354 0.695181015269354 2.0 2.0 3.0 3.0 3.5 3.5 8.0 8.0 12.0 12.0 1.9465068427541912 1.9465068427541912 0.695181015269354 0.695181015269354 0.6392800661241529 0.6392800661241529 1.0 1.0 1.5 1.5 1.75 1.75 4.0 4.0 6.0 6.0
5 1 1 9.170458399999973 1.1391758000000323 0.0 10.309634200000005 3.0141140999999863 16.6525266000001 0.6620773259259294 0.1773106245679018 0.5716143730769272 0.1922789215384625 253.99609375 242.64453125 95 95 1.0 0 56 56 0.7052631578947368 1.0 0.6614178206919528 1.0 1.0 1.0 1.0 1.0 0.7052631578947368 0.4664736209090614 0.7052631578947368 0.7052631578947368 0.7052631578947368 0.7052631578947368 0.7052631578947368 False 0 0 False 1.6964285714285714 1.6964285714285714 0.9708411134333299 0.9708411134333299 0.5722852879185945 0.5722852879185945 0.8314531338160688 0.8314531338160688 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 5.0 5.0 0 0.0 0 0.0 2.034108075610857 0.1307970916090773 1.1990531814127157 0.301479523238142 1.5905612244897953 0.20381119579632806 0.9375939849624056 0.3915688233662039 0.45956424418423447 0.6315587909706175 0.2215756177316845 0.8012553307464604 0.37169312169312085 0.6895658228500539 0.179209183673469 0.8359310179853963 2.09486227990799 0.12308719406642682 0.5953819111317445 0.5513519582033368 1.723544973544973 0.17843248697357014 0.4898496240601502 0.6127185253812024 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 27 2.074074074074074 0.2668802563418119 0.1286744093076593 2.0 2.0 2.0 2.0 3.0 3.5185185185185186 3.5185185185185186 1.2821367492879392 1.2821367492879392 0.3643967603239406 0.3643967603239406 2.0 2.0 2.5 2.5 3.0 3.0 4.5 4.5 6.0 6.0 0.6258896801656757 0.6258896801656757 0.36894549567660884 0.36894549567660884 0.8792515042683066 0.8792515042683066 1.0 1.0 1.1666666666666665 1.1666666666666665 1.5 1.5 2.0 2.0 3.0 3.0
6 2 3 1.1354461999999756 0.6922334000000205 0.0 1.8276795999999962 1.8276795999999962 1.8276795999999962 1.8276795999999962 0.09138397999999981 0.0 0.0 260.71484375 250.87109375 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7 2 2 3.150879599999982 0.35202880000009884 0.0 3.5029084000000807 2.553817400000028 5.330588000000077 0.5590989800000074 0.10429953905555726 0.3374636000000051 0.08910453697531054 260.27734375 250.3828125 46 46 1.0 46 20 20 0.9130434782608695 1.0 0.961894556533009 1.0 1.0 1.0 1.0 1.0 0.9130434782608695 0.8782515516170951 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 0.9130434782608695 False 0 0 False 2.3 2.3 2.02874085917453 2.02874085917453 0.882061243119361 0.882061243119361 0.6300914521275784 0.6300914521275784 1.0 1.0 1.0 1.0 1.5 1.5 2.25 2.25 8.0 8.0 0 0.0 0 0.0 5.362368879515845 0.004689783406769508 2.3314647302242806 0.09715333938796963 4.600000000000003 0.01005183574463355 2.0000000000000013 0.1353352832366125 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 4.885972500201704 0.007551776086045537 1.0621679348264574 0.34570553028598894 3.9090909090909105 0.020058727982721604 0.8498023715415024 0.42749940965019056 2 20 10.0 9.899494936611665 0.9899494936611666 3.0 6.5 10.0 13.5 17.0 23.0 19.79898987322333 0.860825646661884 9.0 16.0 23.0 30.0 37.0 10 2.0 0.0 0.0 2.0 2.0 2.0 2.0 2.0 4.6 4.6 2.913569784454954 2.913569784454954 0.633384735751077 0.633384735751077 2.0 2.0 2.25 2.25 3.5 3.5 5.75 5.75 10.0 10.0 1.456784892227477 1.456784892227477 0.633384735751077 0.633384735751077 0.6999553168717954 0.6999553168717954 1.0 1.0 1.125 1.125 1.75 1.75 2.875 2.875 5.0 5.0
8 2 1 7.209200199999984 0.8555329 0.0 8.064733099999984 2.905024300000008 13.39532110000006 0.6576038045454576 0.18179079328282927 0.5505837809523838 0.20279974280423455 275.73046875 266.734375 75 75 1.0 0 46 46 0.8933333333333333 1.0 0.7011274399093529 1.0 1.0 1.0 1.0 1.0 0.8933333333333333 0.6263405129856886 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 0.8933333333333333 False 0 0 False 1.6304347826086956 1.6304347826086956 1.2535938674630882 1.2535938674630882 0.7688709053773608 0.7688709053773608 0.7877768816104307 0.7877768816104307 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 8.0 8.0 0 0.0 0 0.0 2.0474637360580017 0.12906182368443064 1.2557777581155745 0.2848542143698796 1.7348771266540652 0.17642187650085997 1.0640579710144935 0.34505275140552105 0.4400862294233513 0.6439808885882361 0.21047602276768976 0.8101984812376569 0.35177865612648185 0.703435805951919 0.1682419659735348 0.8451493125657625 2.158950484303864 0.11544622009931782 0.6332921420624668 0.5308413161401156 1.6739130434782605 0.18751188601923852 0.4910144927536231 0.6120052042964349 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22 2.090909090909091 0.29424494316824984 0.14072584238481514 2.0 2.0 2.0 2.0 3.0 3.409090909090909 3.409090909090909 1.7636296692870674 1.7636296692870674 0.5173313696575398 0.5173313696575398 2.0 2.0 2.0 2.0 3.0 3.0 4.5 4.5 9.0 9.0 0.8748324927275452 0.8748324927275452 0.5365639288728944 0.5365639288728944 0.8358375065379717 0.8358375065379717 1.0 1.0 1.0 1.0 1.5 1.5 1.625 1.625 4.5 4.5
9 3 3 1.1846774000000693 0.8840074000000158 0.0 2.068684800000085 2.068684800000085 2.068684800000085 2.068684800000085 0.10343424000000426 0.0 0.0 281.66796875 271.48828125 20 20 1.0 20 1 0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 False 0 0 False 1.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1 9 9.0 0.0 0.0 9.0 9.0 9.0 9.0 9.0 20.0 0.0 0.0 20.0 20.0 20.0 20.0 20.0 1 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
