 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
0 0 1 1 9.643593 154.355848 165.146554 53 53 0.22585150000000453 0.07711129999998434 0.07919480000001045 0.08212720000000218 0.12011739999999804 0.13423649999998588 0.09774980000000255 0.105712699999998 0.09659629999998742 0.10118489999996427 0.10032829999997261 0.10817210000001865 0.11834920000001148 0.12630590000000552 0.19851589999998964 0.1679440999999997 0.18351970000000506 0.18342129999999202 0.24899619999996503 0.2230415000000221 0.21590589999999565 0.2836657999999659 0.325608399999993 0.39578240000003007 0.502577500000001 0.7128045999999983 0.9008474000000035 1.0777646000000232 0.8749192999999877 0.5962843000000362 0.8803967999999998 1.0462256000000139 1.2348798000000158 1.532628499999987 2.192779200000018 3.118739799999986 3.7121881999999857 4.515156700000006 7.88614130000002 5.574100299999998 6.632233200000002 7.733357099999978 8.483157100000028 6.881160500000021 9.616418600000031 9.765815199999992 7.646507999999983 7.944664899999992 10.029985699999997 11.4777153 11.6653728 11.965350399999977 13.778143600000021
1 1 1 1 9.440248 135.734154 146.233538 53 53 0.23405410000003712 0.0701473999999962 0.07260369999994509 0.08555440000009185 0.0871869999999717 0.08772609999999759 0.09848089999997 0.09758429999999407 0.09729090000001861 0.09770609999998214 0.09789100000000417 0.1076549 0.11448579999995445 0.11586500000004207 0.12940519999995104 0.14432959999999184 0.13428890000000138 0.14683780000001434 0.13481010000003835 0.15460450000000492 0.19561279999999215 0.2687270000000126 0.34193139999996447 0.512268400000039 0.6130019999999945 0.769872399999997 1.123794500000031 1.3097758000000113 1.0213035999999533 1.1473402999999962 0.8397945999999479 0.7205630000000269 0.7857395999999994 1.2498069999999757 1.7247381000000246 2.0011837000000128 3.619081000000051 4.648528299999953 4.594912299999976 5.2022236999999905 5.8663384999999835 8.500607700000046 8.272117800000046 9.873114799999996 7.852138299999979 6.903028500000005 8.698117400000001 10.591441400000008 8.857290599999999 11.050665399999957 9.561907899999994 10.984027099999992 3.130533200000002
2 2 1 1 9.190277 131.713461 141.948763 53 53 0.19101979999993546 0.07184179999995877 0.07016040000002022 0.07758339999998043 0.08277519999995775 0.08480359999998655 0.09021400000000313 0.09241670000005797 0.09470629999998437 0.09831280000003062 0.10128230000003668 0.10781800000000885 0.1268912000000455 0.12803000000002385 0.12144920000002912 0.13879670000005717 0.13167519999996102 0.1379468000000088 0.1439748000000236 0.16875029999999924 0.2010153999999602 0.213044200000013 0.2865984999999682 0.3525780999999597 0.45497179999995296 0.5825405999999589 0.9870619000000147 1.0144831999999724 0.5462962999999945 0.6188748999999802 0.7096733999999856 0.8963885999999661 1.299359700000025 1.497747899999922 1.3016081999999756 2.078109100000006 2.7246779000000174 2.2935468000000583 3.6293552000000204 6.6678870000000074 4.6150764999999865 5.591289099999983 8.481233699999962 7.210135799999989 5.96316939999997 4.443281999999954 5.310847100000046 6.1992735999999695 9.308674399999973 7.628404199999977 12.981432799999993 14.407872399999974 18.1261978
3 3 1 1 9.923981 171.696129 182.800487 53 53 0.19910470000002078 0.06946570000013708 0.074463200000082 0.07802530000003571 0.0823373000000629 0.08611560000008467 0.09467019999988224 0.09833289999994577 0.09760829999993348 0.09993669999994381 0.10211309999999685 0.10515410000004977 0.1039432999998553 0.11651950000009492 0.11214209999991454 0.12384740000004513 0.14119779999998627 0.15283750000014606 0.17768869999986237 0.18660189999991417 0.235469299999977 0.3039946000001237 0.40459340000006705 0.38739890000010746 0.5282044000000496 0.6970818000000918 0.876895300000001 0.7072842999999693 0.9394381999999268 0.8641336000000592 0.7744175000000268 1.1405792999998994 1.4513875000000098 1.9267090000000735 1.912969999999973 4.410571400000094 3.682065800000032 7.498312999999939 7.237210300000015 4.539011100000039 5.985032899999965 8.634980100000007 8.79890260000002 8.657517999999982 12.07152839999992 12.964890200000127 10.562785200000121 10.45746199999985 12.002380399999993 10.403614500000003 11.815709200000015 14.125195900000108 12.300636899999972
4 4 1 1 9.610636 162.929418 173.590868 53 53 0.19915000000003147 0.07027879999986908 0.07106079999994108 0.08082480000007308 0.09324870000000374 0.08681270000010954 0.09325119999994058 0.09517700000003515 0.0964389000000665 0.09984740000004422 0.10565779999990355 0.11319190000006074 0.11230449999993652 0.13252190000002884 0.14537339999992582 0.1498437999998714 0.14254489999996167 0.1505250000001297 0.14719350000007125 0.17469370000003437 0.1782061999999769 0.20731130000001485 0.3158720999999787 0.4119907000000467 0.3896548999998686 0.48096109999994496 0.5850844999998799 0.5761850999999751 0.8843828999999914 1.12457059999997 1.691597999999999 2.3943327000000636 3.6955586999999923 2.9427330999999413 3.468637600000079 3.740466900000115 4.113129400000048 4.172177499999975 4.905833099999882 7.198332600000072 7.9532557 7.13762579999991 5.177502000000004 3.58760170000005 8.225134899999944 7.547869799999944 8.816616400000044 7.519544300000007 11.79884269999991 14.791970700000093 12.260162400000013 19.028312000000028 12.836919200000011
5 5 1 1 9.387612 142.95294 153.387768 53 53 0.20008670000004258 0.07645339999999123 0.07089870000004339 0.07931219999989025 0.08241940000004888 0.08807289999992918 0.09713290000001962 0.10347969999997986 0.0988270000001421 0.09923440000000028 0.09936419999996815 0.10608150000007299 0.1078815000000759 0.13049980000005235 0.13979480000000422 0.15583459999993465 0.1572188999999753 0.15041809999991074 0.16119719999994686 0.15283820000001924 0.20977860000004966 0.2433962000000065 0.3240899999999556 0.4276737999998659 0.516693000000032 0.7477645999999822 0.7605753000000277 0.5951866000000336 0.8172220000000152 1.1959613000000218 1.3103820000000042 1.6623679000000493 2.0596431999999822 3.0992431999999326 2.394180600000027 3.6688530999999784 3.729212899999993 4.136202199999957 5.484774100000095 6.112977199999932 8.049142599999982 7.278309100000001 6.884765600000037 8.911420600000042 10.000317100000075 7.446046100000103 6.01639699999987 7.772194199999831 6.295082500000035 10.114969299999984 8.115650500000129 10.435860699999921 13.14726870000004
6 6 1 1 9.647677 150.426448 161.112373 53 53 0.20793400000002293 0.07264869999994517 0.07289520000017546 0.086410700000215 0.0884349000000384 0.10399949999987257 0.10688270000036937 0.102688199999875 0.11697669999989557 0.10498949999987417 0.10409320000007938 0.11469990000000507 0.1256732000001648 0.12065800000004856 0.14229880000016237 0.15409939999995004 0.13653220000014699 0.165720599999986 0.16667850000021645 0.16528029999994942 0.14026389999980893 0.1685322000000724 0.18966910000017378 0.2327545000000555 0.27314799999999195 0.27171359999988454 0.281017699999893 0.4391874000000371 0.6127521999999317 0.6843649999998433 0.936520499999915 1.6825569000000087 1.563849200000277 1.9626964999999927 2.4042266999997537 3.704060000000254 4.476310999999896 5.218945600000097 5.4342947000000095 4.077055100000052 5.526642400000128 4.10420739999995 4.288745400000153 5.154365200000029 7.793707399999903 11.533907899999804 9.052753100000018 9.532611100000167 10.672796300000073 10.229892000000063 13.732485400000314 14.91400920000001 16.301891100000148
7 7 1 1 9.459237 141.963094 152.443448 53 53 0.19767620000015995 0.06976060000010875 0.07229060000008758 0.0771484000001692 0.09137089999990167 0.10656710000012026 0.09319539999978588 0.09335600000008526 0.10024859999975888 0.10514209999996638 0.10741170000005695 0.10927510000010443 0.11985669999990023 0.1371982000000571 0.12178840000001401 0.11766689999990376 0.1174373999999716 0.14160850000007486 0.17584230000011303 0.18292810000025383 0.18465189999983522 0.22654269999998178 0.27045399999974506 0.3673889999997755 0.45027860000004694 0.6720245000001341 1.04942710000023 1.7008829000001242 1.3407784000000902 0.6575428000001011 0.6034127000002627 0.587136399999963 0.8002281999997649 1.2176160000001346 1.6532916999999543 3.1948533000002044 3.914556199999879 4.899514199999885 5.533119099999794 6.981567099999893 4.221527200000082 4.673009200000024 3.964046099999905 5.990203599999859 7.12519159999988 9.867118400000209 9.421505199999956 10.46037850000016 10.695763800000123 11.07477340000014 10.83186180000007 13.431585499999983 11.00122959999976
8 8 1 1 9.777546 152.272867 163.105749 53 53 0.21996279999984836 0.06987129999993158 0.07238269999993463 0.07862629999999626 0.08862229999999727 0.08590509999999085 0.10464860000001863 0.1195941999999377 0.11111930000015491 0.10804579999989983 0.10829219999982342 0.10988599999973303 0.12218589999974938 0.11421480000012707 0.11744829999975082 0.129478699999936 0.1273593000000801 0.1482303000000229 0.15078430000016851 0.17405230000008487 0.18723320000003696 0.18531930000017383 0.2055187000000842 0.27096899999992274 0.34598510000000715 0.5165612000000692 0.7541612999998506 0.8230229000000691 1.2483013999999457 1.248364699999911 1.3993395999998484 1.2521242999998776 2.1942454 2.905349200000046 3.0315550999998777 2.687825999999859 1.9709537000001092 4.659055300000091 4.135908700000073 4.66746669999975 6.485800100000006 7.4218252999999095 7.711490600000161 6.363291600000139 9.257221399999935 10.245486200000187 9.522442500000125 8.68725540000014 9.42583750000017 9.763880199999903 15.25532320000002 13.564210999999887 11.267770599999949
9 9 1 1 9.592453 149.752369 160.381667 53 53 0.20684269999992466 0.07335340000008728 0.08040070000015476 0.08184419999997772 0.08832840000013675 0.10432150000019647 0.09760320000009415 0.10718279999991864 0.14186150000000453 0.10429440000007162 0.10902490000012222 0.1273846000001413 0.12260900000023867 0.12172720000012305 0.15353460000005725 0.1417175999997653 0.1612523000001147 0.16555569999991349 0.16932680000013534 0.1889198999999735 0.22148119999997107 0.25091600000018843 0.3425912000002427 0.4390446999998403 0.5225164000000859 0.5165344000001824 0.5346443000000818 0.6597178000001804 0.8727874000001066 1.0804334000001745 0.9086838999999145 1.109142600000041 1.2506199000001743 2.150350200000048 3.379625600000054 2.799677800000154 4.061451099999886 3.8043537000000924 5.375678500000049 6.7140895 6.438092200000256 9.384735699999965 5.929244299999937 6.8903969999998935 7.900551700000051 9.615148599999884 12.604712999999947 8.348032799999828 7.468666500000154 7.444157200000063 10.14510630000018 15.733499100000017 11.87530300000003
