 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
0 0 1 3 0.822957 0.630306 1.496936 18 18 0.04538339999999863 0.034661700000000906 0.0356954000000016 0.03910820000000115 0.039939599999996744 0.04300400000000337 0.04496120000001014 0.04734350000000376 0.047377899999993645 0.0513328000000044 0.05896930000000111 0.06730180000000274 0.07242070000000211 0.08526890000000265 0.11009360000000612 0.19091990000000436 0.2877884000000037 0.13461010000000329 0.0 0.0 0.0 0.0 0.0
1 0 1 2 1.978537 1.430511 3.544714 34 34 0.8580719000000059 0.08816319999999678 0.0830756000000008 0.10154649999999776 0.09564369999999656 0.09898350000000278 0.09480870000000152 0.09888840000000698 0.11172390000000121 0.1205726000000027 0.12309050000000354 0.1485788000000028 0.15409710000000842 0.17699269999999956 0.22191910000000092 0.26814600000000155 0.27222740000000556 0.27429450000000344 0.0 0.0 0.0 0.0 0.0
2 0 1 1 13.771041 6.757722 20.960305 55 55 5.344412000000013 0.38747700000000407 0.4064519000000075 0.41850589999999954 0.4281095999999991 0.43949850000001334 0.46092370000000926 0.4663175000000024 0.47399869999999567 0.4917054999999948 0.484395400000011 0.5094452999999959 0.5618459000000087 0.6161303000000089 0.5333107000000012 0.6538795000000022 0.697710999999984 0.826896700000006 0.7666104000000047 0.7505490999999864 1.0339596999999827 1.3938665000000015 2.361596999999989
3 1 1 3 0.831527 0.730974 1.604801 18 18 0.04551510000000292 0.034783999999987714 0.03767509999998708 0.03950260000000583 0.04029489999999214 0.04297470000000203 0.04440099999999347 0.04490239999999801 0.04822240000000022 0.05508869999999888 0.05573710000000176 0.06283849999998381 0.06924460000001886 0.09003769999999633 0.12513610000000597 0.21375220000000184 0.29612609999999506 0.20069600000000776 0.0 0.0 0.0 0.0 0.0
4 1 1 2 1.978749 1.431287 3.537332 34 34 0.871246499999998 0.08761750000000745 0.08978390000000047 0.09468549999999709 0.09522420000000409 0.10499740000001623 0.09188640000000703 0.10741589999999235 0.11767690000000641 0.1191494999999918 0.13496419999998466 0.142516999999998 0.16618650000000912 0.1919891000000007 0.19761909999999716 0.2395508000000035 0.2515754000000072 0.2889909000000017 0.0 0.0 0.0 0.0 0.0
5 1 1 1 12.662385 6.606247 19.661909 53 53 5.300762599999999 0.3876010999999977 0.40208980000001304 0.4190880000000021 0.424408200000002 0.4450377000000145 0.48715459999999666 0.4500898999999947 0.4587969999999899 0.4783888999999988 0.5108010000000007 0.5301860000000147 0.647643699999989 0.6634603000000112 0.7052666999999957 0.7299798999999894 0.8357725999999985 0.8038195999999829 1.412294700000004 1.4027119 1.753767300000007 0.0 0.0
6 2 1 3 0.818131 0.704022 1.565417 18 18 0.045023200000002817 0.03409610000001351 0.03512380000000803 0.039792699999992465 0.03967990000001009 0.042297299999987104 0.04433580000001314 0.04511689999999646 0.04792149999998685 0.05023079999999425 0.053294800000003306 0.060992299999995225 0.06536099999998157 0.080453200000008 0.1053890000000024 0.2060484999999943 0.350316399999997 0.16082540000000733 0.0 0.0 0.0 0.0 0.0
7 2 1 2 1.980475 1.578526 3.689438 34 34 0.8543765999999948 0.088292299999992 0.08273450000000082 0.09448930000000644 0.09543590000001245 0.0994242000000014 0.09261210000001086 0.10233809999999721 0.12699130000000025 0.11820590000000664 0.13174259999998128 0.1429349000000002 0.2106174999999979 0.228948299999999 0.2444304999999929 0.2137678000000136 0.30075709999999845 0.31426800000001265 0.0 0.0 0.0 0.0 0.0
8 2 1 1 13.769107 14.142863 28.401205 55 55 5.345248299999994 0.39874829999999406 0.4015683000000223 0.4216905999999909 0.4291637000000037 0.44135729999999285 0.475158399999998 0.47469289999999376 0.4735027000000116 0.5146775999999988 0.49666990000000055 0.6455130999999881 0.689623300000008 0.7027572000000077 0.8729423999999995 0.8033408000000151 1.1371974000000051 1.2616888999999816 1.6261043999999742 1.4781868000000031 2.1149071000000106 3.381992099999991 3.3036005999999816
9 3 1 3 0.824635 0.762836 1.631337 18 18 0.0468975999999941 0.03588260000000787 0.03509750000000622 0.03949049999997101 0.04000339999998914 0.04224399999998241 0.044986700000009705 0.045547899999974106 0.04885179999999423 0.050240300000012894 0.05270840000000021 0.05866720000000214 0.06761419999997997 0.0863297000000216 0.10562999999999079 0.19945279999998888 0.25767940000000067 0.31357369999997786 0.0 0.0 0.0 0.0 0.0
10 3 1 2 1.980956 1.447482 3.558693 34 34 0.8719873999999948 0.0866139999999973 0.09557680000000346 0.09383679999999117 0.09591249999999718 0.10101029999998445 0.09421690000002059 0.09901199999998767 0.11230240000000435 0.1052047000000016 0.10837159999999812 0.11692310000000816 0.13733919999998534 0.1874845000000107 0.25020479999997747 0.24219350000001327 0.2696114000000307 0.34341089999998076 0.0 0.0 0.0 0.0 0.0
11 3 1 1 13.838892 10.675318 24.981777 55 55 5.365615600000012 0.39510299999997756 0.42380940000001033 0.4394435000000101 0.42350609999999733 0.4400184000000138 0.4617945999999904 0.4489909000000125 0.46602389999998195 0.4911385999999993 0.5446338000000139 0.5925600000000202 0.5991381999999987 0.6863772000000097 0.7011465000000214 0.8276400999999964 1.0466758999999968 1.1008379000000161 0.9576622000000157 1.194733499999984 1.5078378000000043 2.527598399999988 2.85085890000002
12 4 1 3 0.821487 0.59553 1.459279 18 18 0.04452549999999178 0.0343351999999868 0.03481890000000476 0.039180700000002844 0.03991580000001704 0.04283519999998475 0.045764299999973446 0.0452940000000126 0.04778380000001903 0.04987590000001774 0.05139919999999165 0.05985940000002188 0.06812270000000353 0.07984460000000126 0.10927770000000692 0.20755959999999618 0.2624456000000066 0.13839699999999766 0.0 0.0 0.0 0.0 0.0
13 4 1 2 2.003274 1.4563 3.597457 34 34 0.8720638999999721 0.08539930000003437 0.08491580000003296 0.10356680000001006 0.09528219999998555 0.10057169999998905 0.09365490000001842 0.10208180000000766 0.10902280000001952 0.132922399999984 0.12800730000000726 0.1375581000000068 0.17456290000001218 0.20948119999999903 0.23292289999997706 0.2404388999999867 0.25388840000002233 0.2852443999999821 0.0 0.0 0.0 0.0 0.0
14 4 1 1 13.653927 10.448889 24.553523 55 55 5.312893999999972 0.39362429999999904 0.4035842000000116 0.4246139000000255 0.4445170000000189 0.460679999999968 0.4556025000000261 0.43262999999996055 0.4660861000000125 0.4540279999999939 0.4857561999999973 0.5440024000000108 0.6278140999999948 0.659672200000017 0.7297328999999877 0.7983384999999714 0.7961271000000067 0.9590625999999816 1.089492000000007 1.1540855999999735 1.975131900000008 2.5412656000000027 2.472735599999993
15 5 1 3 0.829063 0.675694 1.547236 18 18 0.04533750000001646 0.034245800000007875 0.03572180000000458 0.039319499999976415 0.039983400000011216 0.043249400000007654 0.044977900000020554 0.0493759999999952 0.0490415000000155 0.0511982999999816 0.052162100000032297 0.05802780000001917 0.06680659999997829 0.07905730000001654 0.09803270000000452 0.20919620000003647 0.264571200000006 0.2286417000000256 0.0 0.0 0.0 0.0 0.0
16 5 1 2 2.011048 1.670124 3.812491 34 34 0.8638373000000001 0.08722590000002128 0.08381639999998924 0.09495709999995938 0.10284749999999576 0.09938930000001278 0.11474999999998658 0.10442979999996282 0.1153000999999847 0.11710120000000757 0.12625489999999218 0.15290350000000785 0.18101100000001225 0.2534368000000029 0.2670133000000021 0.2876564999999971 0.28188349999996376 0.330658800000009 0.0 0.0 0.0 0.0 0.0
17 5 1 1 13.53831 14.034255 28.069967 55 55 5.295419100000032 0.393640199999993 0.41446849999999813 0.47263739999999643 0.42938129999998864 0.44527700000000436 0.47430330000000254 0.47404990000001135 0.47187540000001604 0.5254815000000121 0.5001010000000008 0.5714112 0.6878039999999999 0.6984454999999912 0.7656006999999647 0.9444163999999944 0.9746007999999904 1.1407985999999823 1.094889099999989 2.0735886999999877 2.335993299999984 3.034370300000006 3.334857200000016
18 6 1 3 0.829255 0.683309 1.555071 18 18 0.04469309999998927 0.03405230000001325 0.03546459999998319 0.039780000000007476 0.0394133999999724 0.04286989999999946 0.04428440000000933 0.04982549999999719 0.048998600000004444 0.051859800000016776 0.05382940000001213 0.05936699999998041 0.066936400000003 0.0846475999999825 0.1110951 0.19415940000001797 0.26749519999998483 0.22839989999999943 0.0 0.0 0.0 0.0 0.0
19 6 1 2 2.000758 1.554014 3.69067 34 34 0.8835265000000163 0.08801650000000905 0.08449630000004049 0.09240510000000768 0.09326190000001588 0.10661840000000211 0.10255260000002409 0.10926670000003469 0.1213049000000126 0.11663940000002526 0.12303189999997244 0.15393660000000864 0.19630940000001829 0.21076859999999442 0.24744499999999903 0.23976690000000644 0.2595577000000162 0.30809379999999464 0.0 0.0 0.0 0.0 0.0
20 6 1 1 12.675782 6.151268 19.234807 53 53 5.297286100000008 0.3992259000000047 0.4077364999999986 0.4185194000000081 0.43586949999999547 0.4357671999999866 0.44652659999999855 0.5219572000000028 0.5072989999999891 0.4996854000000326 0.4803775999999971 0.5350663000000111 0.5947213999999974 0.7099280000000192 0.6193524999999909 0.8459850999999787 0.9360238999999808 0.9717143000000306 1.0101111000000174 1.20814009999998 1.5258506000000125 0.0 0.0
