 RU IT AL GT ST TT S A 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
0 0 1 1 4.089784 41.303573 45.929281 39 39 0.20170920000000336 0.07097269999999867 0.07230789999999843 0.08216969999999435 0.08506739999999269 0.0863856999999939 0.09262799999999771 0.09506439999999827 0.09949959999999436 0.106576000000004 0.10279159999999621 0.10936720000000122 0.12476439999999656 0.1269472000000036 0.12788060000000456 0.1462676000000016 0.16286859999999592 0.203883900000001 0.2864344999999986 0.34418660000000045 0.5089016999999956 0.8084442999999979 0.9451839999999976 0.8846946000000031 0.8194823999999912 1.166297699999994 0.6962529000000046 0.7303670999999952 0.8092292999999984 1.1414733999999953 1.4488917000000043 1.6531149000000056 2.0460980000000006 2.5954729000000043 4.652441100000004 4.328223700000009 7.106270399999985 7.103653199999997 3.2001386000000025
1 1 1 1 4.135195 31.771427 36.453779 39 39 0.20781529999999293 0.06945549999998946 0.07390549999998086 0.07585399999999254 0.08417730000000745 0.09281859999998687 0.09233940000000018 0.09623469999999656 0.09652470000000335 0.099284499999996 0.10698170000000573 0.10831149999999923 0.12084450000000402 0.1256039999999956 0.13527840000000424 0.14955079999998588 0.17357830000000263 0.19008460000000582 0.2579982999999828 0.3124795000000091 0.3920889999999986 0.5630846999999903 0.678376699999987 0.36209520000001305 0.4355127999999979 0.5112274999999897 0.5568025999999975 0.6482120000000009 0.9027781000000061 0.969643099999999 1.346429999999998 2.1352945000000005 1.9997577999999976 1.8569502 3.9658085999999884 4.3746658000000025 3.6062081000000035 6.286795700000013 1.6255379999999775
2 2 1 1 4.171749 51.42095 56.191625 39 39 0.21406919999998308 0.09149490000001492 0.07208800000000792 0.07814089999999396 0.08579249999999661 0.08716619999998443 0.09572100000002592 0.09946659999999952 0.10542760000001294 0.10979009999999789 0.1199884000000111 0.1248721000000046 0.12178389999996853 0.12273490000001175 0.12781029999999305 0.15412440000002903 0.164449999999988 0.18861430000001178 0.2319682000000114 0.28095650000000205 0.43418259999998554 0.4986566000000039 0.8418697999999836 1.005828399999956 1.309536300000019 0.8973164000000224 0.7136482999999885 0.7808971000000042 0.9888711000000114 1.3169733000000008 1.7483779000000084 2.7548273000000165 3.8168541999999945 4.750733100000019 5.071384999999992 6.471264000000019 5.895722500000005 9.475265199999996 4.124055399999975
3 3 1 1 4.233802 58.88338 63.699114 39 39 0.21362790000000587 0.08692259999997987 0.07475619999999594 0.08010750000002531 0.08937679999999659 0.09958900000000881 0.10590619999999262 0.10307689999996228 0.09962419999999383 0.10417909999998187 0.11798729999998159 0.10701389999999833 0.11870940000000019 0.12008340000002704 0.14718929999997954 0.16349190000002523 0.1855190999999934 0.23265719999997714 0.3103535999999849 0.3248901999999987 0.42529669999998987 0.6083286999999871 0.49741610000000946 0.5823666000000003 0.8184229000000016 1.4197252999999819 1.7116425999999763 1.3344782999999723 1.2847540000000208 2.0827864999999974 2.523050600000005 3.3477653000000203 4.1030218999999875 5.11736479999999 4.137955299999987 5.7563714000000346 8.164217199999996 8.758519299999989 7.534122599999989
4 4 1 1 4.189542 50.166666 54.964638 39 39 0.21115390000002776 0.07518619999999032 0.07193959999997901 0.07756100000000288 0.08915859999999043 0.0875071000000105 0.11341540000000805 0.11665050000001997 0.09818219999999656 0.10641039999998725 0.11001410000000078 0.11161750000002257 0.11777110000002722 0.1262581999999952 0.13533369999998968 0.162438399999985 0.20270270000003165 0.22669030000000134 0.28338189999999486 0.36633299999999736 0.42192290000002686 0.5856041000000118 0.8105733000000157 1.1530819999999835 2.0073687999999947 2.947761699999944 2.5427048999999897 2.1031663999999637 2.2139945000000125 1.7315979999999627 1.6947959999999966 2.1800514999999905 2.3544842999999673 3.55150569999995 5.445983099999978 5.010421000000008 5.02942360000003 7.794615299999975 1.8633060999999884
5 5 1 1 4.254201 44.893854 49.695838 39 39 0.21086550000001125 0.07069549999999936 0.07294159999997873 0.07783829999999625 0.08542280000000346 0.08735779999994975 0.09090159999999514 0.09709999999995489 0.10309399999999869 0.11573820000000978 0.1273615000000632 0.12180990000001657 0.11905190000004495 0.12908190000001696 0.1327122000000145 0.14144909999998845 0.17245059999999057 0.19944770000000744 0.20800140000000056 0.23267420000001948 0.28759230000002844 0.33681250000000773 0.45104699999996 0.5528825999999754 1.0184379000000376 1.190876000000003 1.0189407999999958 1.1159518999999705 1.7159081000000356 2.1275201999999354 2.1748243999999204 2.617558200000019 2.505835099999956 4.047809000000029 5.132728900000018 5.118060300000025 6.003322500000024 5.442963500000019 3.6712097999999855
6 6 1 1 4.214339 52.408876 57.201205 39 39 0.19829549999997198 0.06927359999997407 0.07144319999997606 0.0769027000000051 0.08619310000000269 0.09433990000002268 0.09319739999995136 0.10115420000005315 0.09823440000002392 0.10114239999995789 0.10269449999998415 0.11479260000004388 0.13263449999999466 0.14703100000002678 0.13241240000002108 0.15811020000001008 0.1755282999999963 0.2129034999999817 0.3127443000000767 0.4008995000000368 0.44869069999992917 0.5527496000000269 0.6022895999999491 0.7700045999999929 0.7800108000000137 1.021103299999993 1.554524899999933 1.7165103000000386 2.1845239000000447 2.745375700000068 2.716741500000012 2.4793751999999927 3.3268518999999515 3.6206567000000405 3.536521999999991 4.855601500000034 4.900852299999997 7.08905279999999 8.821371
7 7 1 1 4.060202 40.483375 45.073438 39 39 0.20028619999999364 0.06970549999999776 0.071994200000006 0.07800620000000436 0.08598560000001498 0.08626369999996086 0.0930199000000016 0.09420510000001059 0.09717200000000048 0.09944780000000719 0.10769080000000031 0.10701530000000048 0.11319999999994934 0.1277872000000002 0.12918729999995548 0.14863399999995863 0.13211899999998877 0.1460825000000341 0.1437246000000414 0.15745560000004843 0.19269379999997227 0.24838040000003048 0.4347596000000067 0.6128767999999809 0.7020436000000245 1.0480875000000083 1.6153691000000094 2.4709159000000227 2.5881980999999996 4.293647399999941 1.9076420000000098 1.3239793999999847 1.5741870999999605 3.105761599999994 3.761150100000009 3.9527270999999473 4.663838300000009 5.361548299999981 2.3761288000000036
8 8 1 1 4.126608 47.598543 52.260539 39 39 0.20598710000001574 0.07086889999999357 0.0726664000000028 0.07731789999996863 0.08465060000003177 0.08663029999996752 0.09446580000002314 0.10448750000000473 0.09641269999997348 0.10331969999998591 0.10620839999995724 0.10639049999997496 0.10677379999998493 0.12472710000002962 0.12793869999995877 0.1284430000000043 0.14070850000001656 0.14993089999995846 0.18023629999999002 0.20773289999999633 0.2735340000000406 0.4227407999999855 0.6325526999999624 0.5168014000000198 0.5872017000000369 0.6547826999999984 0.6518704000000639 0.8315909000000374 0.7288194999999291 1.0815398999999957 1.8372631000000865 2.1053926999999817 4.002319199999988 4.974199999999996 5.92209239999994 5.8984574999999495 6.372892700000023 6.783029699999929 5.051475500000038
9 9 1 1 4.417093 51.019546 56.018335 39 39 0.211242900000002 0.07666899999998122 0.07244510000003856 0.09562010000001919 0.08335920000001806 0.08691310000000385 0.09209510000005139 0.10210200000011582 0.09604769999998553 0.1013529000000517 0.10551060000000234 0.11384389999989253 0.11941860000001725 0.12195059999999103 0.13172560000009526 0.15204339999991134 0.17150579999997717 0.24395689999994374 0.2639139000000341 0.31419229999994513 0.42561810000006517 0.6202501000000211 0.8364626000000044 1.3015624999999318 1.759809300000029 0.8894351000000142 0.8760743999999931 0.6477719000000661 0.7333204999999907 0.9169231999999283 1.2825542999999016 1.9111837000000378 2.9844258000000536 4.91393729999993 4.444076800000062 7.055848699999956 5.715025000000082 7.125125300000036 8.220508300000006
10 10 1 1 4.186807 42.884604 47.598377 39 39 0.22269630000016605 0.07271909999997206 0.0868371000000252 0.07968360000006669 0.08975299999985964 0.09123439999996208 0.09294869999996536 0.09666719999995621 0.11408569999991869 0.11387669999987793 0.10614529999998012 0.10223259999997936 0.11637080000002697 0.11730479999994259 0.1255786999998918 0.1420823000000837 0.152174500000001 0.17213059999994584 0.21018240000000787 0.23804629999995086 0.24337289999994027 0.2928761000000577 0.37424410000005537 0.4552327999999761 0.7053128000000015 0.9340900000000829 1.0010242000000744 0.7635011000000986 1.182646200000022 1.3432589999998754 1.4499155000000883 2.7347087999999076 4.388925999999856 4.6185603000001265 4.85214760000008 5.947230300000001 5.366255599999931 5.611176199999932 2.2337144999999055
11 11 1 1 4.1676 40.430998 45.116374 39 39 0.2026472999999669 0.06835279999995691 0.07212070000002768 0.0784404999999424 0.08844220000003133 0.08561270000006971 0.0951039999998784 0.1105289999999286 0.10589629999992667 0.0958227999999508 0.10035389999995914 0.1018228000000363 0.11396099999990383 0.1050630000000865 0.11904029999993782 0.14445999999998094 0.17002439999998842 0.2166091999999935 0.3232196000000158 0.3462451999999985 0.4260839000000942 0.6255732999999282 0.7164950999999746 0.7820196000000124 0.9550953000000391 0.7651342999999997 1.07195640000009 1.0342980000000352 1.0873061999999436 1.4709838999999647 1.8443950999999288 2.288532900000064 2.861633200000142 3.3612739000000147 3.9053771999999753 6.266755999999987 6.04476180000006 5.765344599999935 0.5604348999999047
12 12 1 1 4.126789 53.263313 57.986468 39 39 0.20562229999984538 0.06999610000002576 0.07336970000005749 0.08032189999994443 0.08678190000000541 0.08730130000003555 0.09362799999996696 0.09377329999995254 0.10038789999998698 0.10580149999998412 0.10110020000013265 0.1114573999999493 0.11561110000013741 0.1220124000000169 0.13824739999995472 0.15116610000006858 0.16273419999993166 0.2143664999999828 0.28458729999988464 0.3534601000000066 0.4023999000000913 0.4638034999999263 0.3257112999999663 0.5324145999999246 0.6419088999999758 0.8795041999999285 1.3028858999999784 1.837756200000058 2.927461199999925 2.4327506999999287 2.456630500000074 2.637245300000018 3.524169499999971 4.173981099999992 4.069330900000068 5.092034699999999 6.733566999999994 6.823666199999934 7.359305500000005
13 13 1 1 4.145356 52.027613 56.7555 39 39 0.20777480000015203 0.07023930000002565 0.0716923999999608 0.08117570000001706 0.08432649999997466 0.08701570000005177 0.09220699999991666 0.10211999999989985 0.09962949999999182 0.09756600000002891 0.10236999999995078 0.11916629999996076 0.11598560000015823 0.1297341999999162 0.13741809999999077 0.16006190000007336 0.19197139999994306 0.23275790000002416 0.3124069000000418 0.34722480000004907 0.34867220000001 0.5937708999999813 0.7234694000001127 0.883980099999917 0.9334834000000001 1.5857005999999956 1.4928741999999602 0.8204172000000653 1.0321301999998695 1.4429516000000149 1.8114173000000164 2.7485436999999138 4.209276799999998 3.9239974999999276 4.877597199999968 6.010534200000052 7.066239199999927 7.3882661999999755 5.388282299999901
14 14 1 1 4.176324 53.621404 58.374693 39 39 0.2027914000000237 0.06934079999984988 0.0729449000001523 0.08374639999999545 0.08387130000005527 0.0860725000001139 0.09121879999997873 0.09390529999996033 0.09806589999993776 0.10039080000012746 0.102906399999938 0.10725080000008802 0.12249959999996918 0.12066529999992781 0.13869399999998677 0.15816800000004605 0.1707326999999168 0.19052050000004783 0.3091321000000562 0.3087199999999939 0.3992766000000074 0.6338308999999072 0.5448648000000276 0.40893240000002606 0.5037730999999894 0.7847800999999208 1.3312749000000395 1.5608128000001216 1.9578609999999799 2.45391010000003 2.542917599999896 3.129490799999985 3.291093100000012 4.918586600000026 5.704745999999886 6.397604999999999 6.679760299999884 6.818616100000099 5.0032911000000695
15 15 1 1 4.343345 41.366896 46.261142 39 39 0.20419639999988703 0.07031980000010662 0.072026600000072 0.0768170999999711 0.08534630000008292 0.08657880000009754 0.0909275000000207 0.10096100000009756 0.09906969999997273 0.10257799999999406 0.10063909999996667 0.1068768000000091 0.1095309999999472 0.11435949999997774 0.12446220000003905 0.13400319999993826 0.13621199999988676 0.16442380000000867 0.2125044000000571 0.2426197999999431 0.2982011999998804 0.44622069999991254 0.5913587000001144 0.844530299999974 0.5917697999999518 0.7078515999999127 0.8032093000000486 0.8518837000000303 1.2314600000000837 1.244141999999897 1.509858000000122 2.0609272999998893 2.873382099999958 4.196394400000031 2.9493984999999157 4.231138600000008 6.042729699999882 6.018665000000055 5.762553600000047
16 16 1 1 4.062345 54.703275 59.292859 39 39 0.20273090000000593 0.07213200000012421 0.07431409999992411 0.07777840000005654 0.08496150000007674 0.08605910000005679 0.09409659999994346 0.0963165000000572 0.0971410999999307 0.10214169999994738 0.10349229999997078 0.10481450000008863 0.11891330000003109 0.12483759999986432 0.147001100000125 0.1598297000000457 0.18961090000004788 0.24218599999994694 0.30934140000010757 0.35224730000004456 0.4610463000000209 0.7283175000000028 0.9335128000000168 0.9614642999999887 1.1079904000000624 0.893738800000051 0.8406537999999273 0.7755779000000302 1.0994393999999375 1.581105999999977 2.847929499999964 3.551647800000069 5.860606699999948 4.8648514000000205 6.421471899999915 6.4602314999999635 7.481691899999987 8.299941600000011 0.7330888999998706
17 17 1 1 4.096835 50.781123 55.427917 39 39 0.19885439999995924 0.06984379999994417 0.07437979999997424 0.09410230000003139 0.08383529999991879 0.08576889999994819 0.09234059999994315 0.09528260000001865 0.09598739999989903 0.09635969999999361 0.10326410000004671 0.10801099999991948 0.11755779999998595 0.12236410000002707 0.13355730000000676 0.1550437000000784 0.16846529999997983 0.1912116999999398 0.24057809999999336 0.26905710000005456 0.3299114000000145 0.41104459999996834 0.62641009999993 1.0759782999999743 0.8163963000000649 0.7450278000000026 0.913313799999969 1.351887099999999 1.3969514000000345 1.5076497000000018 1.9101500000000442 2.412548200000174 2.8106610000000956 4.122505700000033 5.8142826999999215 7.040594400000032 6.205634400000122 6.866038799999842 5.904427599999849
18 18 1 1 4.386903 53.344247 58.331293 39 39 0.19780720000005658 0.0695247000001018 0.07215790000009292 0.0774784999999838 0.08327669999994214 0.0873377000000346 0.0926564999999755 0.09573810000006233 0.1045968000000812 0.10140979999994215 0.12123810000002777 0.11712209999996048 0.12359459999993305 0.13339719999999033 0.1452915000000985 0.16612709999992603 0.17388070000004063 0.19577509999999165 0.23275140000009742 0.29464999999993324 0.44105830000012247 0.7048596000000771 1.0296116999999185 1.555552700000021 1.2120331000000988 1.0678558999998131 0.9415026000000353 1.437608399999931 1.7892885999999635 3.136541100000045 2.631343799999968 2.3997796000001017 3.061732799999959 2.9960138000000143 5.217732199999887 5.859674300000279 5.996110499999986 8.794287899999972 4.752670800000033
19 19 1 1 4.107574 34.279784 38.903903 39 39 0.19803430000001754 0.07094660000007025 0.07507259999988491 0.07834539999998924 0.08829549999995834 0.08935009999981958 0.09244699999999284 0.09471609999991415 0.101622000000134 0.12011340000003656 0.10273140000003878 0.10538580000002185 0.1126125000000684 0.12102250000020831 0.12547440000003007 0.13768199999981334 0.16835470000000896 0.20566140000005362 0.2520052000002124 0.28323349999982383 0.3953266999999414 0.42222050000009403 0.46483519999992495 0.5920766000001549 0.5512019000000237 0.6106562999998459 0.5662592999999561 0.7706113000003825 0.8535956999999144 0.9787509000000227 1.3697523999999248 1.5796340999997938 3.199736099999882 2.7844804000001204 4.285774500000116 4.7802662999997665 4.952022599999964 3.263833500000146 3.3237400000000434
